Date,Open,High,Low,Close,Volume,Adj Close
1995-04-04,23.5,23.75,22.5,23.62496,40387200,2.555705
1995-04-05,23.25,23.75,22.75,22.75,12236800,2.4610540000000003
1995-04-06,22.75,23.5,22.75,23.12496,3776000,2.501616
1995-04-07,23.25,23.25,22.75,22.75,1920800,2.4610540000000003
1995-04-10,22.75,23.25,22.75,23.0,2047200,2.488098
1995-04-11,22.75,23.25,22.75,22.87504,4096800,2.47458
1995-04-12,22.75,23.0,22.75,22.87504,2457600,2.47458
1995-04-13,22.75,23.0,22.75,23.0,2297600,2.488098
1995-04-17,22.75,23.62496,22.75,23.62496,2233600,2.555705
1995-04-18,23.12496,23.62496,23.0,23.5,2441600,2.5421869999999998
1995-04-19,23.0,23.25,22.5,22.75,1422400,2.4610540000000003
1995-04-20,22.5,22.5,21.75,21.87504,1023200,2.366402
1995-04-21,21.75,22.5,21.75,22.37504,2803200,2.420491
1995-04-24,22.0,22.5,22.0,22.0,644800,2.3799200000000003
1995-04-25,22.0,22.5,22.0,22.5,484800,2.434009
1995-04-26,22.0,22.5,22.0,22.0,151200,2.3799200000000003
1995-04-27,22.0,22.5,22.0,22.25,3552000,2.406965
1995-04-28,22.25,22.5,22.12496,22.12496,1076000,2.393438
1995-05-01,22.5,22.5,22.12496,22.12496,2287200,2.393438
1995-05-02,22.12496,23.12496,22.12496,22.75,1212000,2.4610540000000003
1995-05-03,22.5,23.12496,22.25,22.87504,791200,2.47458
1995-05-04,22.75,23.12496,22.5,22.5,1011200,2.434009
1995-05-05,22.5,23.0,22.5,22.5,164000,2.434009
1995-05-08,22.5,23.12496,22.5,22.5,59200,2.434009
1995-05-09,22.5,22.75,21.87504,22.0,592800,2.3799200000000003
1995-05-10,22.5,22.5,21.87504,22.0,817600,2.3799200000000003
1995-05-11,22.0,22.5,21.87504,22.0,615200,2.3799200000000003
1995-05-12,22.5,22.5,21.87504,22.0,1013600,2.3799200000000003
1995-05-15,22.37504,22.37504,21.62496,21.62496,3689600,2.3393490000000003
1995-05-16,21.62496,21.87504,21.62496,21.75,2481600,2.3528759999999997
1995-05-17,21.87504,21.87504,21.62496,21.687519,328000,2.346117
1995-05-18,21.62496,21.75,20.75,21.12496,514400,2.28526
1995-05-19,21.0,21.12496,20.75,20.87504,1853600,2.2582240000000002
1995-05-22,21.12496,21.25,20.75,21.25,432800,2.298787
1995-05-23,20.75,22.12496,20.75,22.0,809600,2.3799200000000003
1995-05-24,21.75,22.5,21.75,22.5,1676800,2.434009
1995-05-25,22.5,22.5,21.75,22.5,209600,2.434009
1995-05-26,22.5,22.5,21.75,22.5,64000,2.434009
1995-05-30,22.25,22.75,21.75,22.25,558400,2.406965
1995-05-31,22.62496,22.75,22.25,22.75,487200,2.4610540000000003
1995-06-01,22.87504,24.0,22.5,23.0,1427200,2.488098
1995-06-02,23.0,24.5,23.0,24.0,1112800,2.596277
1995-06-05,24.0,24.5,24.0,24.12496,799200,2.609795
1995-06-06,24.5,24.5,24.0,24.0,264800,2.596277
1995-06-07,24.0,24.5,23.75,24.25,469600,2.623321
1995-06-08,24.25,24.25,23.5,23.5,68000,2.5421869999999998
1995-06-09,24.0,24.0,23.5,23.75,249600,2.569232
1995-06-12,23.5,24.0,23.5,24.0,95200,2.596277
1995-06-13,24.0,24.0,23.5,23.5,504800,2.5421869999999998
