Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,39.0,40.25,38.5,40.25,2210400,4.498532
1990-01-03,40.25,41.5,40.0,41.25,4268000,4.610297
1990-01-04,41.5,42.0,39.75,40.25,2384000,4.498532
1990-01-05,40.5,41.0,39.75,40.25,1088800,4.498532
1990-01-08,39.75,40.0,39.25,39.875038,835200,4.456624
1990-01-09,40.0,40.5,39.75,39.75,1256800,4.442648999999999
1990-01-10,39.5,39.875038,38.875038,39.75,2626400,4.442648999999999
1990-01-11,39.25,39.75,38.75,39.0,773600,4.3588260000000005
1990-01-12,38.75,39.0,38.25,38.25,1607200,4.275002
1990-01-15,38.5,38.75,38.0,38.25,658400,4.275002
1990-01-16,37.5,38.75,37.5,38.5,1217600,4.302944
1990-01-17,38.25,38.75,37.5,38.25,1976800,4.275002
1990-01-18,37.75,38.5,37.25,38.25,1521600,4.275002
1990-01-19,38.5,39.0,38.25,38.624962,918400,4.31691
1990-01-22,38.25,38.75,37.25,37.5,805600,4.191179
1990-01-23,37.75,37.75,36.75,36.75,772800,4.107355
1990-01-24,35.5,37.75,35.0,37.5,3576000,4.191179
1990-01-25,38.5,39.25,38.0,38.25,1311200,4.275002
1990-01-26,38.25,39.25,38.25,38.75,1541600,4.330884999999999
1990-01-29,39.25,40.25,39.0,40.25,1405600,4.498532
1990-01-30,40.0,40.25,38.5,39.0,2442400,4.3588260000000005
1990-01-31,39.0,39.5,38.75,39.5,1140000,4.414708
1990-02-01,39.25,41.25,39.25,40.75,2995200,4.5544139999999995
1990-02-02,40.75,42.5,40.25,40.75,3584000,4.5544139999999995
1990-02-05,41.0,41.0,39.875038,39.875038,1663200,4.456624
1990-02-06,40.375038,41.624962,40.25,41.5,2444000,4.638237999999999
1990-02-07,41.0,42.75,40.5,42.75,3701600,4.777944000000001
1990-02-08,43.0,45.0,43.0,44.0,3427200,4.91765
1990-02-09,44.0,44.5,43.5,43.75,1296000,4.889709
1990-02-12,43.75,43.75,42.75,43.25,1324000,4.833826
