Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,33.0,33.125,32.75,33.125,194100,7.834213
1990-01-03,33.0,33.125,32.75,33.0,510500,7.80465
1990-01-04,33.0,33.0,32.0,32.5,312100,7.686398
1990-01-05,32.25,32.375,31.625,31.75,201500,7.50902
1990-01-08,31.5,31.875,31.375,31.625,155200,7.479457000000001
1990-01-09,31.625,31.875,31.375,31.5,190000,7.449892999999999
1990-01-10,31.25,31.75,31.25,31.625,462300,7.479457000000001
1990-01-11,31.875,32.125,31.75,31.875,398300,7.538583
1990-01-12,31.75,31.75,31.125,31.25,151800,7.390766999999999
1990-01-15,31.125,31.25,31.125,31.25,119100,7.390766999999999
1990-01-16,31.125,31.375,31.0,31.375,169800,7.42033
1990-01-17,31.375,31.625,31.125,31.25,351200,7.390766999999999
1990-01-18,31.0,31.125,30.625,30.875,274200,7.302078
1990-01-19,31.0,31.25,30.875,31.25,260800,7.390766999999999
1990-01-22,31.25,31.25,30.875,30.875,236800,7.302078
1990-01-23,30.875,31.125,30.625,31.125,173800,7.361203999999999
1990-01-24,30.625,30.875,30.375,30.625,271100,7.242952000000001
1990-01-25,30.75,30.875,30.375,30.5,215600,7.213389
1990-01-26,30.5,30.75,30.25,30.75,261300,7.272514999999999
1990-01-29,30.75,30.875,30.375,30.625,182900,7.242952000000001
1990-01-30,30.625,30.75,30.375,30.625,141700,7.242952000000001
1990-01-31,30.625,31.0,30.625,30.875,166400,7.302078
1990-02-01,30.875,31.125,30.875,30.875,151500,7.302078
1990-02-02,30.875,31.125,30.75,31.0,1047000,7.331641
1990-02-05,30.25,30.25,30.0,30.125,1127600,7.265319
1990-02-06,30.0,30.125,29.75,29.875,708800,7.205025999999999
1990-02-07,29.75,30.125,29.625,30.125,183200,7.265319
1990-02-08,30.0,30.5,30.0,30.25,220700,7.295464999999999
1990-02-09,30.375,30.5,30.25,30.25,93600,7.295464999999999
1990-02-12,30.25,30.5,30.25,30.375,84400,7.325612
1990-02-13,30.5,30.5,30.25,30.5,166700,7.355758
1990-02-14,30.5,30.5,30.25,30.375,256500,7.325612
1990-02-15,30.25,30.5,30.125,30.375,188700,7.325612
1990-02-16,30.5,30.5,30.25,30.25,385500,7.295464999999999
1990-02-20,30.0,30.125,29.625,29.75,179100,7.174879
1990-02-21,29.625,29.875,29.375,29.75,235400,7.174879
1990-02-22,29.625,30.125,29.625,29.875,195400,7.205025999999999
1990-02-23,29.75,30.125,29.75,29.875,162200,7.205025999999999
1990-02-26,29.75,30.0,29.75,30.0,513300,7.235172
1990-02-27,29.875,30.25,29.875,30.125,489900,7.265319
1990-02-28,30.125,30.5,30.125,30.5,364600,7.355758
1990-03-01,30.375,30.625,30.375,30.5,369300,7.355758
1990-03-02,30.375,30.625,30.375,30.625,502300,7.385905
1990-03-05,30.5,30.625,30.375,30.375,273500,7.325612
