Date,Open,High,Low,Close,Volume,Adj Close
1993-02-17,12.75,14.25,12.5,14.25,7517200,7.125
1993-02-18,14.75,15.25,13.5,13.625,1488200,6.8125
1993-02-19,13.5,14.0,13.0,13.5,746600,6.75
1993-02-22,13.25,13.25,12.25,12.25,926400,6.125
1993-02-23,12.25,12.75,12.25,12.5,566800,6.25
1993-02-24,12.25,15.0,12.25,14.5,650200,7.25
1993-02-25,14.0,14.75,14.0,14.25,507600,7.125
1993-02-26,14.25,14.75,14.25,14.25,303800,7.125
1993-03-01,14.5,14.75,14.0,14.625,52800,7.3125
1993-03-02,14.75,15.5,14.25,15.5,198200,7.75
1993-03-03,15.0,16.75,15.0,16.5,442000,8.25
1993-03-04,17.0,17.0,16.25,16.25,151800,8.125
1993-03-05,16.75,16.75,15.25,15.75,400000,7.875
1993-03-08,15.75,15.75,15.25,15.75,42000,7.875
1993-03-09,15.75,16.25,15.25,16.0,121400,8.0
1993-03-10,16.25,16.25,15.5,16.0,315200,8.0
1993-03-11,16.25,17.125,15.75,16.75,150400,8.375
1993-03-12,16.5,16.75,16.25,16.75,22600,8.375
1993-03-15,16.75,17.0,16.25,16.25,105600,8.125
1993-03-16,16.75,16.75,16.25,16.25,36000,8.125
1993-03-17,16.375,16.75,16.375,16.375,90600,8.1875
1993-03-18,16.75,16.75,16.25,16.5,191600,8.25
1993-03-19,16.75,16.75,16.25,16.75,101800,8.375
1993-03-22,16.25,16.5,16.25,16.5,120000,8.25
1993-03-23,16.25,16.75,16.25,16.5,92600,8.25
1993-03-24,16.25,16.5,16.25,16.5,42800,8.25
1993-03-25,16.25,16.75,15.75,15.75,219200,7.875
1993-03-26,15.75,17.0,15.75,16.25,107600,8.125
1993-03-29,16.25,17.0,16.25,16.75,162600,8.375
1993-03-30,16.25,16.75,16.0,16.75,196800,8.375
1993-03-31,16.75,17.75,16.25,17.75,153000,8.875
1993-04-01,17.25,17.75,17.25,17.25,28800,8.625
1993-04-02,17.75,17.75,17.0,17.5,94600,8.75
1993-04-05,17.5,17.5,17.0,17.5,45000,8.75
1993-04-06,17.25,17.5,17.0,17.5,73400,8.75
1993-04-07,17.0,17.5,17.0,17.5,2800,8.75
1993-04-08,17.5,17.5,17.125,17.5,16000,8.75
1993-04-12,17.25,17.75,17.0,17.25,78800,8.625
1993-04-13,17.0,17.5,17.0,17.5,321400,8.75
1993-04-14,17.0,17.25,16.75,16.875,226600,8.4375
1993-04-15,16.5,17.0,15.5,16.25,198000,8.125
1993-04-16,15.5,16.25,13.75,14.75,279600,7.375
1993-04-19,15.0,15.0,14.25,14.75,110200,7.375
1993-04-20,15.0,15.75,14.875,15.25,435200,7.625
1993-04-21,15.75,16.25,15.5,16.0,164400,8.0
1993-04-22,15.5,16.0,15.5,16.0,25800,8.0
1993-04-23,16.0,16.0,15.25,15.75,966600,7.875
1993-04-26,16.0,16.0,15.25,15.25,73200,7.625
1993-04-27,15.75,15.75,14.25,14.25,310400,7.125
1993-04-28,14.5,14.875,14.25,14.5,48800,7.25
1993-04-29,15.0,15.0,14.5,15.0,84200,7.5
1993-04-30,15.0,15.25,14.5,15.0,355600,7.5
1993-05-03,15.25,15.25,14.5,15.0,71800,7.5
1993-05-04,15.5,15.75,15.0,15.5,377400,7.75
1993-05-05,15.25,15.25,14.25,14.75,62400,7.375
1993-05-06,14.5,15.25,14.25,15.25,537000,7.625
1993-05-07,14.75,15.25,14.75,15.0,95200,7.5
1993-05-10,14.75,15.25,14.75,15.25,61400,7.625
1993-05-11,15.0,15.25,15.0,15.25,6800,7.625
1993-05-12,15.25,15.25,14.75,15.25,96600,7.625
1993-05-13,14.75,15.25,14.75,14.75,8200,7.375
1993-05-14,14.75,15.0,14.5,14.5,40400,7.25
1993-05-17,15.0,15.0,14.5,14.875,171000,7.4375
1993-05-18,15.25,15.25,14.5,14.5,71200,7.25
1993-05-19,14.25,15.0,14.25,15.0,75600,7.5
1993-05-20,15.0,15.0,14.25,15.0,11400,7.5
1993-05-21,14.75,14.75,14.25,14.25,72400,7.125
1993-05-24,14.875,15.0,14.25,14.25,82800,7.125
1993-05-25,15.0,15.0,14.25,14.25,54800,7.125
1993-05-26,14.25,14.75,14.25,14.75,93600,7.375
1993-05-27,14.25,15.0,14.25,15.0,5600,7.5
1993-05-28,14.75,15.0,14.5,15.0,129800,7.5
1993-06-01,14.5,15.0,14.5,15.0,234600,7.5
1993-06-02,14.75,15.0,14.5,15.0,231200,7.5
1993-06-03,15.0,15.0,14.75,15.0,95200,7.5
1993-06-04,14.875,15.25,14.75,15.25,205400,7.625
1993-06-07,14.75,15.25,14.5,15.0,61000,7.5
1993-06-08,15.25,15.25,14.5,15.0,34400,7.5
1993-06-09,14.5,15.25,14.5,15.25,9400,7.625
1993-06-10,15.0,15.25,14.5,15.25,12000,7.625
1993-06-11,14.75,14.75,14.75,14.75,1200,7.375
1993-06-14,15.25,15.25,14.75,14.75,11800,7.375
1993-06-15,15.0,17.0,14.75,17.0,191000,8.5
1993-06-16,17.25,17.25,15.625,16.5,256200,8.25
1993-06-17,16.5,16.75,16.25,16.75,63800,8.375
1993-06-18,17.5,18.25,17.0,17.75,637400,8.875
1993-06-21,18.5,19.0,18.0,18.75,369000,9.375
1993-06-22,19.0,21.5,18.5,21.0,443600,10.5
