Date,Open,High,Low,Close,Volume,Adj Close
1993-06-03,29.75,30.0,29.0,29.375,56603000,8.60318
1993-06-04,29.125,29.375,28.625,28.625,12644400,8.383524000000001
1993-06-07,28.25,28.5,28.0,28.125,10043800,8.237086999999999
1993-06-08,28.125,28.25,27.625,27.75,6974600,8.12726
1993-06-09,27.875,28.5,27.875,28.25,4043200,8.273697
1993-06-10,28.125,28.25,27.875,28.0,2605400,8.200478
1993-06-11,28.0,28.375,28.0,28.0,2641600,8.200478
1993-06-14,28.125,28.25,27.75,27.75,1806200,8.12726
1993-06-15,28.0,28.0,27.75,27.875,2257600,8.163869
1993-06-16,27.875,28.0,27.75,28.0,2391600,8.200478
1993-06-17,28.0,28.25,27.875,28.0,2126800,8.200478
1993-06-18,28.0,28.0,27.625,27.625,2128600,8.09065
1993-06-21,27.625,27.625,27.125,27.375,2101000,8.017432000000001
1993-06-22,27.375,27.75,27.375,27.75,1593600,8.12726
1993-06-23,27.75,28.0,27.625,27.625,1948000,8.09065
1993-06-24,27.625,28.125,27.25,28.125,3305200,8.237086999999999
1993-06-25,28.5,28.625,28.125,28.5,2468000,8.346915
1993-06-28,28.375,29.0,28.375,29.0,2522600,8.493352
1993-06-29,28.875,29.0,28.25,28.75,1190800,8.420134
1993-06-30,29.0,29.25,28.875,29.0,2553800,8.493352
1993-07-01,29.375,29.5,28.625,29.5,2857800,8.639789
1993-07-02,28.875,28.875,28.625,28.75,1077200,8.420134
1993-07-06,28.875,29.125,28.625,28.625,1237600,8.383524000000001
1993-07-07,28.5,28.75,28.375,28.5,1667200,8.346915
1993-07-08,28.625,29.0,28.5,28.875,1588600,8.456743
1993-07-09,29.125,29.25,28.5,28.5,1731200,8.346915
1993-07-12,28.75,28.75,27.875,28.25,1738600,8.273697
1993-07-13,28.375,28.875,28.375,28.625,1305000,8.383524000000001
1993-07-14,28.625,29.25,28.625,29.25,1805600,8.566571000000001
1993-07-15,29.25,29.375,29.125,29.375,1235400,8.60318
1993-07-16,29.75,30.125,29.5,29.875,2590200,8.749617
1993-07-19,30.0,30.375,29.875,30.375,2590000,8.896054
1993-07-20,31.5,31.5,30.625,30.625,3977600,8.969273
1993-07-21,30.875,30.875,29.875,29.875,1779000,8.749617
1993-07-22,30.0,30.0,29.5,29.625,1095200,8.676399
1993-07-23,29.625,30.125,29.625,29.875,1060400,8.749617
1993-07-26,30.0,30.5,29.875,30.5,990000,8.932664
1993-07-27,30.5,31.125,30.5,30.5,942200,8.932664
1993-07-28,30.5,30.625,30.25,30.375,346200,8.896054
1993-07-29,30.125,30.75,30.0,30.5,1070400,8.932664
1993-07-30,30.5,31.125,30.5,31.125,1271200,9.11571
1993-08-02,31.125,31.375,30.875,31.0,1062200,9.079101
1993-08-03,31.125,31.625,31.125,31.375,1316000,9.188929
1993-08-04,31.5,31.75,31.0,31.25,752200,9.152319
1993-08-05,31.375,31.375,30.5,30.5,910600,8.932664
1993-08-06,30.875,31.25,30.875,31.0,718200,9.079101
1993-08-09,31.0,31.125,30.75,31.0,492000,9.079101
1993-08-10,31.0,31.25,30.625,30.625,1608600,8.969273
1993-08-11,30.875,30.875,30.375,30.5,337400,8.932664
1993-08-12,30.5,30.5,30.0,30.25,496200,8.859445
1993-08-13,30.375,30.375,30.0,30.0,375200,8.786227
1993-08-16,29.875,30.125,29.625,29.75,1067800,8.713008
1993-08-17,29.75,30.25,29.75,30.0,1069400,8.786227
1993-08-18,30.125,30.375,30.125,30.375,809800,8.896054
1993-08-19,30.375,31.25,30.375,31.25,861200,9.152319
1993-08-20,31.125,32.0,31.125,32.0,2957000,9.371975
1993-08-23,32.125,32.125,31.75,32.0,853000,9.371975
1993-08-24,31.75,32.125,31.75,31.875,759800,9.335366
1993-08-25,31.75,32.0,31.75,31.75,951200,9.298756
1993-08-26,31.875,32.0,31.5,32.0,721200,9.371975
1993-08-27,32.0,32.125,31.875,32.0,316600,9.371975
1993-08-30,31.75,31.875,31.125,31.25,945800,9.152319
1993-08-31,31.0,31.25,30.875,31.0,590000,9.079101
1993-09-01,31.375,31.875,31.375,31.875,355400,9.335366
1993-09-02,31.75,32.0,31.5,31.625,682200,9.262147
1993-09-03,31.625,32.125,31.625,31.875,550400,9.335366
1993-09-07,32.125,32.75,32.0,32.25,873000,9.445193
1993-09-08,32.0,32.0,31.625,31.75,1367800,9.298756
1993-09-09,31.5,32.125,31.5,31.875,625400,9.388592
1993-09-10,32.0,32.25,32.0,32.125,664600,9.462228
1993-09-13,32.125,32.25,31.875,32.0,344600,9.425410000000001
1993-09-14,32.125,32.75,32.0,32.75,453200,9.646317999999999
1993-09-15,32.25,32.25,31.875,32.125,599200,9.462228
1993-09-16,32.0,32.25,31.75,32.25,403400,9.499046
1993-09-17,32.0,32.25,31.75,32.25,501600,9.499046
1993-09-20,32.125,32.125,31.75,32.0,567400,9.425410000000001
1993-09-21,31.875,31.875,31.375,31.75,816200,9.351774
1993-09-22,31.75,32.125,31.75,32.0,945800,9.425410000000001
