Date,Open,High,Low,Close,Volume,Adj Close
1998-02-27,17.375,18.0,17.375,17.375,50000,16.231997
1998-03-02,17.25,17.25,17.0,17.25,75000,16.11522
1998-03-03,17.125,17.125,16.75,17.125,35000,15.998443
1998-03-04,15.75,15.75,15.5,15.75,60000,14.713897
1998-03-05,16.125,16.125,16.125,16.125,400,15.064228
1998-03-06,16.125,16.375,16.125,16.125,3600,15.064228
1998-03-09,16.125,16.5,15.875,15.875,3200,14.830673999999998
1998-03-10,15.875,16.875,15.875,16.25,56800,15.181004999999999
1998-03-11,16.25,16.5,16.125,16.25,10400,15.181004999999999
1998-03-12,16.25,16.375,16.125,16.375,3800,15.297782000000002
1998-03-13,16.5,16.5,16.5,16.5,1000,15.414558
1998-03-16,16.5,16.5,16.125,16.125,7700,15.064228
1998-03-17,16.125,16.125,15.75,15.875,28000,14.830673999999998
1998-03-18,15.875,16.125,15.75,16.125,45700,15.064228
1998-03-19,16.125,17.375,16.0,17.125,383600,15.998443
1998-03-20,17.25,17.75,17.25,17.75,275600,16.582328
1998-03-23,17.75,19.0,17.375,18.875,398600,17.633321
1998-03-24,18.875,19.875,18.875,19.75,261800,18.450758999999998
1998-03-25,19.75,20.125,19.5,19.875,135600,18.567535999999997
1998-03-26,19.875,19.875,19.25,19.625,26300,18.333982000000002
1998-03-27,19.625,19.75,18.375,19.25,62200,17.983652
1998-03-30,19.25,19.875,19.25,19.875,49500,18.567535999999997
1998-03-31,19.875,20.25,19.875,20.125,79000,18.80109
1998-04-01,20.125,20.625,20.0,20.5,150100,19.151421
1998-04-02,21.75,23.375,21.75,23.25,140500,21.720514
1998-04-03,23.25,26.125,21.75,24.75,458700,23.121838
1998-04-06,24.75,26.0,23.0,24.0,105300,22.421176000000003
1998-04-07,24.0,24.0,22.125,22.125,152800,20.669522
1998-04-08,22.125,23.0,21.0,22.5,45100,21.019852
1998-04-09,22.5,23.0,22.25,23.0,151400,21.48696
1998-04-13,23.0,23.25,22.375,22.625,85900,21.136629
1998-04-14,22.625,23.0,22.5,22.75,322900,21.253406
1998-04-15,22.75,22.875,21.5,21.75,23100,20.319191
1998-04-16,21.75,21.75,20.875,21.25,55400,19.852083
1998-04-17,21.25,21.625,21.0,21.625,15100,20.202414
1998-04-20,21.625,22.125,21.25,22.125,92900,20.669522
1998-04-21,22.125,22.125,21.75,22.125,23100,20.669522
1998-04-22,22.125,23.625,22.125,23.0,60900,21.48696
1998-04-23,23.0,23.5,23.0,23.5,242300,21.954068
1998-04-24,23.5,23.625,22.0,22.0,100900,20.552745
1998-04-27,22.0,22.5,19.875,20.875,52200,19.501752
1998-04-28,20.875,21.875,20.75,21.5,29100,20.085637
1998-04-29,21.5,22.5,21.0,22.5,101300,21.019852
1998-04-30,22.5,23.25,22.375,23.0,116300,21.48696
1998-05-01,23.0,23.125,22.0,22.125,61000,20.669522
1998-05-04,22.125,22.25,21.25,21.625,58400,20.202414
1998-05-05,21.625,21.75,20.75,21.25,44000,19.852083
1998-05-06,21.25,22.0,20.875,22.0,47300,20.552745
1998-05-07,22.0,22.125,21.375,21.375,230900,19.96886
1998-05-08,21.75,22.75,21.75,22.625,320700,21.136629
1998-05-11,22.625,22.75,22.25,22.375,375200,20.903076000000002
1998-05-12,22.375,22.625,22.0,22.0,333300,20.552745
1998-05-13,22.125,22.625,22.125,22.375,88100,20.903076000000002
1998-05-14,22.375,22.5,22.0,22.5,35600,21.019852
1998-05-15,22.5,22.5,21.5,22.0,69200,20.552745
1998-05-18,22.0,22.125,21.0,21.5,53200,20.085637
1998-05-19,21.5,22.0,21.5,22.0,21000,20.552745
1998-05-20,22.0,22.0,21.0,21.0,14100,19.618529000000002
1998-05-21,21.0,21.125,19.5,21.125,116400,19.735306
1998-05-22,20.75,20.75,20.25,20.625,45100,19.268198
1998-05-26,20.625,21.0,19.125,19.5,119500,18.217205
1998-05-27,19.5,19.5,18.75,19.25,91100,17.983652
1998-05-28,19.25,20.5,18.75,20.5,163600,19.151421
1998-05-29,20.5,22.5,20.5,22.5,121900,21.019852
1998-06-01,22.5,22.5,22.0,22.125,258500,20.669522
1998-06-02,22.125,22.5,22.125,22.375,123400,20.903076000000002
1998-06-03,22.375,22.5,20.75,20.75,180600,19.384975
1998-06-04,20.75,21.0,20.0,20.75,263200,19.384975
1998-06-05,21.0,23.0,21.0,22.875,290100,21.370182999999997
1998-06-08,23.25,23.625,22.5,23.0,2718000,21.48696
1998-06-09,23.0,23.0,22.0,22.375,604900,20.903076000000002
1998-06-10,22.5,23.125,22.5,22.875,149300,21.370182999999997
1998-06-11,22.875,23.0625,22.5625,23.0,697400,21.48696
1998-06-12,23.0,23.0,22.375,22.5625,782000,21.078241000000002
1998-06-15,22.9375,22.9375,21.875,21.875,165900,20.435968
1998-06-16,21.9375,22.0,21.75,21.75,95000,20.319191
1998-06-17,21.9375,21.9375,21.5,21.9375,57400,20.494356
1998-06-18,21.9375,21.9375,21.375,21.5,588700,20.085637
1998-06-19,21.125,21.375,21.0625,21.1875,698100,19.793694
1998-06-22,21.0,21.375,20.625,21.125,159500,19.735306
1998-06-23,21.875,22.75,21.625,22.5,234000,21.019852
1998-06-24,22.5,23.0625,22.5,23.0,275900,21.48696
1998-06-25,23.0,23.625,22.6875,23.0,223500,21.48696
1998-06-26,23.25,23.625,23.125,23.375,115800,21.837291
1998-06-29,23.125,23.1875,21.625,22.875,188900,21.370182999999997
1998-06-30,22.9375,24.9375,22.6875,24.9375,566300,23.297003
1998-07-01,25.0,25.625,24.375,24.6875,449600,23.063449
1998-07-02,24.0,24.6875,24.0,24.0,5141900,22.421176000000003
1998-07-06,24.25,25.3125,24.1875,25.25,991100,23.588946
1998-07-07,26.0625,27.0,25.625,25.875,1096000,24.172829999999998
1998-07-08,26.125,27.25,26.125,26.5,431200,24.756715
1998-07-09,26.5,27.125,25.625,25.9375,659300,24.231219
1998-07-10,26.125,26.625,25.75,26.25,334700,24.523160999999998
1998-07-13,26.9375,27.3125,26.6875,27.25,429600,25.457376999999997
1998-07-14,27.0,27.375,26.0,26.125,509200,24.406384
1998-07-15,26.625,27.0,26.25,26.9375,225800,25.165434
1998-07-16,27.375,27.375,26.5,26.9375,233300,25.165434
1998-07-17,26.875,27.4375,26.375,27.0,479300,25.223823
1998-07-20,26.75,27.4375,26.5625,27.0625,244800,25.282211
1998-07-21,27.5625,28.125,27.25,27.4375,575300,25.632542
1998-07-22,27.8125,28.125,27.5,27.75,630200,25.924485
1998-07-23,28.0,28.5,27.75,28.0,496100,26.158039000000002
1998-07-24,27.875,28.625,27.25,27.875,245300,26.041262
1998-07-27,27.625,27.625,26.375,26.5625,280600,24.815104
1998-07-28,26.625,27.25,26.0,26.25,421600,24.523160999999998
1998-07-29,26.375,26.75,26.25,26.25,268000,24.523160999999998
1998-07-30,26.0,26.375,25.75,25.875,208200,24.172829999999998
1998-07-31,26.0,26.125,24.0,24.0,335600,22.421176000000003
1998-08-03,24.0,24.9375,24.0,24.9375,214700,23.297003
1998-08-04,24.5,24.625,22.5,23.0,654300,21.48696
1998-08-05,23.25,23.625,22.375,22.5,446700,21.019852
1998-08-06,22.5,23.5,22.5,22.875,582600,21.370182999999997
