Date,Open,High,Low,Close,Volume,Adj Close
1992-03-03,12.125,12.375,12.125,12.125,13400,5.472775
1992-03-04,12.375,12.375,12.125,12.375,6200,5.585615
1992-03-05,12.125,12.375,11.875,12.125,25600,5.472775
1992-03-06,12.25,12.25,11.875,12.25,7800,5.529195
1992-03-09,11.875,12.25,11.875,12.25,2200,5.529195
1992-03-10,11.875,12.25,11.75,11.75,48400,5.303513
1992-03-11,12.0,12.0,11.75,11.75,7800,5.303513
1992-03-12,12.0,12.0,11.5,11.875,34400,5.359934
1992-03-13,12.0,12.0,11.25,11.25,375200,5.077832
1992-03-16,11.25,11.75,11.0,11.5,193400,5.190673
1992-03-17,11.0,11.5,11.0,11.5,18000,5.190673
1992-03-18,11.0,11.375,10.75,11.0,263600,4.964991
1992-03-19,11.0,11.375,10.75,11.375,44400,5.134252
1992-03-20,11.375,11.375,10.75,11.0,77200,4.964991
1992-03-23,10.75,11.25,10.75,10.75,59800,4.852151
1992-03-24,10.75,11.25,10.75,10.75,16000,4.852151
1992-03-25,10.75,11.25,10.75,11.25,29200,5.077832
1992-03-26,10.75,11.125,10.75,10.75,144400,4.852151
1992-03-27,10.75,11.0,10.375,10.5,100800,4.73931
1992-03-30,10.25,10.625,10.0,10.125,29000,4.570049
1992-03-31,10.25,10.25,10.0,10.25,22600,4.626469
1992-04-01,10.25,10.25,9.875,9.875,31200,4.4572080000000005
1992-04-02,9.875,10.0,9.5,9.875,31400,4.4572080000000005
1992-04-03,9.875,10.0,9.5,9.5,330800,4.287947
1992-04-06,9.75,10.0,9.5,9.625,70200,4.344367
1992-04-07,9.5,9.75,9.25,9.75,186600,4.4007879999999995
1992-04-08,9.25,9.5,8.875,8.875,75600,4.005845
1992-04-09,9.375,9.5,8.875,9.5,39000,4.287947
1992-04-10,9.5,10.0,9.125,9.875,79400,4.4572080000000005
1992-04-13,9.875,10.0,9.625,9.75,86400,4.4007879999999995
1992-04-14,9.875,9.875,9.625,9.75,16400,4.4007879999999995
1992-04-15,9.625,9.75,9.625,9.625,34000,4.344367
1992-04-16,9.625,9.875,9.25,9.25,106200,4.1751059999999995
1992-04-20,9.5,9.5,9.25,9.25,6400,4.1751059999999995
1992-04-21,9.0,9.25,8.5,9.125,44000,4.118686
