Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,48.0,49.5,47.875,49.5,1001200,6.987411
1990-01-03,49.375,49.625,49.0,49.5,882000,6.987411
1990-01-04,49.25,49.5,48.75,48.875,828400,6.899186
1990-01-05,48.375,49.75,48.375,49.5,735200,6.987411
1990-01-08,49.375,50.25,49.375,50.0,909200,7.057991
1990-01-09,50.0,50.125,49.375,49.5,939200,6.987411
1990-01-10,49.5,49.625,49.125,49.5,714800,6.987411
1990-01-11,49.5,50.25,49.5,50.0,567200,7.057991
1990-01-12,49.625,49.625,48.25,48.625,434400,6.863896
1990-01-15,48.5,48.625,47.75,47.75,545200,6.740381
1990-01-16,47.0,48.5,47.0,48.5,357600,6.846251
1990-01-17,48.25,48.375,47.75,48.0,438000,6.775671000000001
1990-01-18,47.875,48.125,47.125,47.375,386400,6.6874460000000004
1990-01-19,47.5,47.625,46.5,46.5,905200,6.563932
1990-01-22,46.375,47.25,46.375,46.625,563200,6.581575999999999
1990-01-23,46.625,47.5,46.625,47.25,898800,6.669801
1990-01-24,47.0,47.0,46.125,46.5,990800,6.563932
1990-01-25,46.875,47.375,46.375,46.375,220800,6.546287
1990-01-26,46.5,46.875,46.25,46.875,220000,6.616866
1990-01-29,47.125,47.25,46.875,47.0,306000,6.634511
1990-01-30,47.0,47.0,46.375,46.5,574000,6.563932
1990-01-31,46.625,46.75,46.0,46.625,1382000,6.581575999999999
1990-02-01,46.875,46.875,46.625,46.625,504800,6.581575999999999
1990-02-02,46.5,47.0,46.5,46.625,923200,6.581575999999999
1990-02-05,46.375,46.375,46.125,46.25,300800,6.528642
1990-02-06,46.0,46.125,45.625,45.75,638000,6.458062
1990-02-07,45.5,46.0,45.375,46.0,582000,6.493352
1990-02-08,45.875,46.125,45.0,45.0,1160000,6.352192
1990-02-09,45.375,45.875,45.375,45.875,391200,6.475707
1990-02-12,46.0,46.125,45.625,45.625,529600,6.440417
1990-02-13,45.75,45.875,45.125,45.375,330800,6.405126999999999
1990-02-14,45.5,45.75,45.0,45.0,328000,6.352192
1990-02-15,45.0,45.375,45.0,45.125,529200,6.369837
1990-02-16,45.0,45.25,44.75,45.125,485200,6.369837
1990-02-20,45.0,45.125,44.25,44.375,160800,6.263967
1990-02-21,44.0,44.75,43.875,44.75,338400,6.316902
1990-02-22,44.75,45.25,44.75,44.875,398000,6.334547
1990-02-23,44.75,44.75,44.0,44.375,612400,6.263967
1990-02-26,44.375,44.625,44.25,44.625,236800,6.299257
1990-02-27,44.875,44.875,44.625,44.625,316800,6.299257
1990-02-28,44.625,45.25,44.625,45.25,333600,6.387482
1990-03-01,45.0,45.625,45.0,45.625,388800,6.440417
1990-03-02,46.0,46.625,45.875,46.5,558000,6.563932
1990-03-05,46.625,46.875,46.5,46.5,418800,6.563932
1990-03-06,46.5,47.875,46.5,47.875,535600,6.758025999999999
1990-03-07,48.25,48.5,48.0,48.5,504800,6.846251
1990-03-08,48.5,49.625,48.5,49.5,475600,6.987411
1990-03-09,49.75,50.5,49.5,50.25,482800,7.093281
1990-03-12,50.125,50.375,50.0,50.375,374800,7.110925999999999
1990-03-13,50.125,50.125,49.75,49.75,783600,7.022701
1990-03-14,49.625,49.75,49.375,49.625,418000,7.005056
1990-03-15,49.5,49.625,49.125,49.375,338000,6.969766
1990-03-16,49.625,49.625,49.0,49.125,1108800,6.934475999999999
