Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,22.87504,23.12496,22.62496,23.0,63200,2.412248
1990-01-03,23.0,23.12496,18.0,19.25,2416800,2.018946
1990-01-04,19.5,19.62496,19.0,19.12496,1508800,2.005832
1990-01-05,19.25,19.37504,18.37504,18.37504,553600,1.92718
1990-01-08,18.5,19.25,18.5,19.25,203200,2.018946
1990-01-09,19.12496,19.12496,18.87504,19.12496,708000,2.005832
1990-01-10,19.12496,19.12496,19.0,19.12496,118400,2.005832
1990-01-11,19.0,19.12496,18.87504,18.87504,268800,1.9796200000000002
1990-01-12,18.62496,18.75,18.25,18.25,222400,1.914066
1990-01-15,18.37504,18.37504,18.0,18.0,401600,1.887846
1990-01-16,17.87504,17.87504,17.62496,17.62496,188000,1.848512
1990-01-17,17.62496,18.0,17.62496,17.87504,196000,1.87474
1990-01-18,17.87504,18.0,17.62496,17.87504,79200,1.87474
1990-01-19,17.87504,17.87504,17.37504,17.37504,147200,1.8223
1990-01-22,17.5,17.62496,17.12496,17.25,128000,1.809186
1990-01-23,17.12496,17.25,17.12496,17.12496,24000,1.7960720000000001
1990-01-24,17.25,17.5,17.0,17.37504,115200,1.8223
1990-01-25,17.62496,17.87504,17.62496,17.62496,124000,1.848512
1990-01-26,17.62496,17.75,17.5,17.62496,15200,1.848512
1990-01-29,17.62496,17.62496,17.25,17.25,155200,1.809186
1990-01-30,17.25,17.37504,17.0,17.12496,95200,1.7960720000000001
1990-01-31,17.0,17.12496,17.0,17.0,40800,1.782966
1990-02-01,16.75,16.87504,16.25,16.5,160800,1.730525
1990-02-02,16.5,18.0,16.5,18.0,131200,1.887846
1990-02-05,17.87504,17.87504,17.62496,17.62496,108000,1.848512
1990-02-06,17.75,17.75,17.75,17.75,64000,1.8616259999999998
1990-02-07,17.75,17.75,17.37504,17.37504,26400,1.8223
1990-02-08,17.37504,17.37504,17.37504,17.37504,40000,1.8223
1990-02-09,17.25,17.25,17.25,17.25,800,1.809186
1990-02-12,15.5,16.25,15.5,16.25,2254400,1.704305
1990-02-13,16.75,17.0,16.5,16.75,261600,1.756746
1990-02-14,16.87504,17.0,16.5,17.0,311200,1.782966
1990-02-15,17.0,17.25,16.87504,17.0,350400,1.782966
1990-02-16,16.87504,17.12496,16.87504,16.87504,45600,1.7698599999999998
1990-02-20,16.87504,17.0,16.75,17.0,46400,1.782966
1990-02-21,16.62496,16.75,16.5,16.5,94400,1.730525
1990-02-22,16.62496,16.62496,16.25,16.5,554400,1.730525
1990-02-23,16.37504,16.5,16.37504,16.5,26400,1.730525
1990-02-26,16.5,16.75,16.25,16.75,104000,1.756746
1990-02-27,16.87504,16.87504,16.25,16.5,281600,1.730525
1990-02-28,16.5,16.87504,16.5,16.75,298400,1.756746
1990-03-01,16.87504,17.12496,16.75,17.12496,103200,1.7960720000000001
1990-03-02,17.12496,17.25,17.0,17.25,64000,1.809186
1990-03-05,17.12496,17.37504,17.12496,17.37504,372000,1.8223
1990-03-06,17.37504,17.75,17.25,17.62496,56000,1.848512
1990-03-07,17.75,17.87504,17.5,17.62496,116800,1.848512
1990-03-08,17.62496,17.75,17.62496,17.75,81600,1.8616259999999998
1990-03-09,17.62496,17.75,17.5,17.75,203200,1.8616259999999998
1990-03-12,17.87504,18.25,17.87504,18.25,151200,1.914066
1990-03-13,18.25,18.25,18.0,18.12496,146400,1.900952
1990-03-14,18.12496,18.12496,18.0,18.0,122400,1.887846
1990-03-15,18.12496,18.12496,18.0,18.0,10400,1.887846
1990-03-16,18.25,18.62496,18.25,18.62496,237600,1.9533919999999998
1990-03-19,18.5,18.75,18.12496,18.25,50400,1.914066
1990-03-20,18.0,18.0,17.87504,18.0,190400,1.887846
1990-03-21,18.0,18.0,17.5,17.5,25600,1.835406
1990-03-22,17.37504,17.37504,17.12496,17.12496,38400,1.7960720000000001
1990-03-23,17.12496,17.12496,16.87504,16.87504,11200,1.7698599999999998
1990-03-26,17.0,17.12496,16.87504,16.87504,16000,1.7698599999999998
1990-03-27,17.0,17.0,17.0,17.0,5600,1.782966
1990-03-28,17.0,17.0,16.75,16.87504,8800,1.7698599999999998
1990-03-29,17.0,17.0,16.75,17.0,60000,1.782966
1990-03-30,16.87504,16.87504,16.75,16.75,34400,1.756746
1990-04-02,16.37504,16.5,16.37504,16.37504,66400,1.7174200000000002
1990-04-03,16.5,16.5,16.37504,16.37504,52800,1.7174200000000002
1990-04-04,16.37504,16.37504,16.25,16.37504,12000,1.7174200000000002
1990-04-05,16.12496,16.25,15.75,15.75,765600,1.6518650000000001
1990-04-06,15.75,15.87504,15.75,15.87504,31200,1.664979
1990-04-09,15.87504,16.0,15.75,16.0,200800,1.6780849999999998
1990-04-10,16.0,16.5,15.75,16.5,55200,1.730525
1990-04-11,16.5,16.5,16.25,16.25,16000,1.704305
1990-04-12,16.5,17.12496,16.5,17.12496,112000,1.7960720000000001
1990-04-16,17.12496,17.87504,17.12496,17.62496,88000,1.848512
1990-04-17,17.5,17.5,16.87504,17.0,104800,1.782966
1990-04-18,17.0,17.0,17.0,17.0,67200,1.782966
1990-04-19,17.0,17.0,16.62496,16.75,45600,1.756746
1990-04-20,16.5,16.62496,16.5,16.62496,8800,1.7436310000000002
1990-04-23,16.62496,16.62496,16.37504,16.62496,36800,1.7436310000000002
1990-04-24,16.62496,16.62496,16.62496,16.62496,16800,1.7436310000000002
1990-04-25,16.62496,16.62496,16.25,16.25,42400,1.704305
1990-04-26,16.25,16.37504,16.0,16.37504,209600,1.7174200000000002
1990-04-27,16.25,16.5,16.25,16.5,8000,1.730525
1990-04-30,16.37504,16.37504,16.37504,16.37504,8000,1.7174200000000002
1990-05-01,16.5,16.62496,16.5,16.5,79200,1.730525
1990-05-02,16.5,16.5,16.5,16.5,5600,1.730525
1990-05-03,16.5,16.5,16.25,16.5,39200,1.730525
1990-05-04,16.5,16.5,16.25,16.37504,8000,1.7174200000000002
1990-05-07,16.25,16.25,16.0,16.25,32800,1.704305
1990-05-08,16.25,16.25,16.0,16.0,15200,1.6780849999999998
1990-05-09,16.12496,16.25,16.0,16.25,52800,1.704305
1990-05-10,16.12496,16.12496,16.0,16.12496,37600,1.6911909999999999
1990-05-11,16.12496,16.37504,16.0,16.25,237600,1.704305
1990-05-14,16.5,16.87504,16.25,16.87504,420800,1.7698599999999998
1990-05-15,17.0,17.12496,16.87504,17.12496,87200,1.7960720000000001
1990-05-16,17.25,17.5,17.25,17.5,47200,1.835406
1990-05-17,17.25,17.62496,17.25,17.62496,64800,1.848512
1990-05-18,17.5,17.75,17.5,17.62496,98400,1.848512
1990-05-21,17.87504,18.0,17.62496,18.0,42400,1.887846
1990-05-22,17.87504,18.0,17.75,17.87504,49600,1.87474
1990-05-23,17.75,17.87504,17.37504,17.37504,75200,1.8223
1990-05-24,17.12496,17.25,16.62496,16.75,148000,1.756746
1990-05-25,17.0,17.37504,17.0,17.37504,79200,1.8223
1990-05-29,17.75,17.87504,17.0,17.0,226400,1.782966
1990-05-30,17.25,17.25,17.12496,17.25,32800,1.809186
1990-05-31,17.25,17.5,17.25,17.37504,113600,1.8223
1990-06-01,17.37504,17.37504,17.25,17.25,30400,1.809186
1990-06-04,17.12496,17.5,17.12496,17.37504,36000,1.8223
1990-06-05,17.37504,17.75,17.37504,17.75,43200,1.8616259999999998
1990-06-06,17.87504,18.5,17.87504,18.5,224000,1.940286
1990-06-07,18.75,19.25,18.75,19.25,213600,2.018946
1990-06-08,19.25,19.25,18.62496,18.87504,77600,1.9796200000000002
1990-06-11,18.87504,19.0,18.62496,18.75,80000,1.966506
1990-06-12,18.62496,18.87504,18.62496,18.62496,94400,1.9533919999999998
1990-06-13,18.62496,18.87504,18.62496,18.87504,32800,1.9796200000000002
1990-06-14,18.75,18.87504,18.75,18.87504,210400,1.9796200000000002
1990-06-15,18.75,19.12496,18.75,19.12496,80000,2.005832
1990-06-18,19.0,19.0,18.75,18.75,184800,1.966506
1990-06-19,18.75,19.0,18.62496,19.0,76800,1.9927259999999998
1990-06-20,19.12496,19.25,19.0,19.0,80000,1.9927259999999998
1990-06-21,19.0,19.0,19.0,19.0,4000,1.9927259999999998
1990-06-22,19.0,19.0,18.75,18.75,19200,1.966506
1990-06-25,18.87504,19.12496,18.87504,19.12496,42400,2.005832
1990-06-26,19.0,19.12496,18.87504,19.0,149600,1.9927259999999998
1990-06-27,19.12496,19.12496,19.12496,19.12496,15200,2.005832
1990-06-28,19.0,19.0,19.0,19.0,48800,1.9927259999999998
1990-06-29,19.0,19.25,19.0,19.25,43200,2.018946
1990-07-02,19.25,19.87504,19.25,19.62496,130400,2.058272
1990-07-03,19.75,19.75,19.62496,19.75,128800,2.071387
1990-07-05,19.75,19.87504,19.62496,19.87504,32800,2.084501
1990-07-06,19.75,19.75,19.5,19.75,67200,2.071387
1990-07-09,19.5,19.5,19.25,19.25,85600,2.018946
1990-07-10,19.37504,19.5,19.25,19.5,60800,2.045166
1990-07-11,19.5,19.5,19.37504,19.37504,4000,2.032061
1990-07-12,19.5,19.5,19.25,19.25,16800,2.018946
1990-07-13,19.5,20.0,19.5,20.0,202400,2.097607
1990-07-16,19.87504,19.87504,19.62496,19.87504,109600,2.084501
1990-07-17,19.75,19.75,19.75,19.75,35200,2.071387
1990-07-18,19.87504,19.87504,19.62496,19.75,126400,2.071387
1990-07-19,19.75,19.75,19.5,19.5,32000,2.045166
1990-07-20,19.5,19.62496,19.37504,19.62496,44000,2.058272
1990-07-23,19.37504,19.87504,19.25,19.5,164800,2.045166
1990-07-24,19.37504,19.5,19.12496,19.12496,68000,2.005832
1990-07-25,19.12496,19.25,19.12496,19.25,4800,2.018946
1990-07-26,19.25,19.25,19.12496,19.12496,250400,2.005832
1990-07-27,19.0,19.37504,19.0,19.37504,24800,2.032061
1990-07-30,19.37504,19.37504,19.25,19.25,96800,2.018946
1990-07-31,19.25,19.25,19.0,19.0,38400,1.9927259999999998
1990-08-01,19.12496,19.12496,19.0,19.12496,80800,2.005832
1990-08-02,18.87504,18.87504,18.87504,18.87504,22400,1.9796200000000002
1990-08-03,18.87504,18.87504,17.75,17.75,123200,1.8616259999999998
1990-08-06,17.5,17.5,16.75,17.12496,108000,1.7960720000000001
1990-08-07,17.37504,17.37504,17.12496,17.37504,48000,1.8223
1990-08-08,17.25,17.5,17.25,17.37504,5600,1.8223
1990-08-09,17.25,17.5,17.25,17.5,22400,1.835406
1990-08-10,17.37504,17.5,17.25,17.25,227200,1.809186
1990-08-13,17.25,17.25,17.12496,17.12496,17600,1.7960720000000001
1990-08-14,17.37504,17.62496,17.25,17.5,39200,1.835406
1990-08-15,17.5,17.5,16.87504,17.0,72800,1.782966
1990-08-16,17.0,17.0,16.75,17.0,620000,1.782966
1990-08-17,16.75,16.75,16.0,16.0,263200,1.6780849999999998
1990-08-20,15.87504,16.25,15.87504,16.0,269600,1.6780849999999998
1990-08-21,15.75,15.75,14.87504,15.12496,299200,1.586311
1990-08-22,15.12496,15.12496,14.87504,14.87504,5600,1.560099
1990-08-23,14.12496,14.5,13.87504,14.5,340800,1.520765
1990-08-24,14.37504,14.37504,14.12496,14.12496,64000,1.481431
1990-08-27,14.25,14.87504,14.12496,14.87504,91200,1.560099
1990-08-28,15.0,15.75,15.0,15.75,59200,1.6518650000000001
1990-08-29,15.5,15.5,15.5,15.5,84000,1.625645
1990-08-30,15.5,15.5,15.5,15.5,800,1.625645
1990-08-31,15.25,15.25,15.25,15.25,30400,1.599425
1990-09-04,15.37504,15.37504,15.12496,15.12496,11200,1.586311
1990-09-05,15.12496,15.25,15.12496,15.25,12800,1.599425
1990-09-06,15.25,15.25,15.25,15.25,16800,1.599425
1990-09-07,15.12496,15.37504,15.12496,15.37504,20800,1.612539
1990-09-10,15.37504,15.37504,15.25,15.25,64000,1.599425
1990-09-11,15.5,15.75,15.37504,15.5,217600,1.625645
1990-09-12,15.25,15.25,15.25,15.25,2400,1.599425
1990-09-13,15.5,15.5,15.5,15.5,1600,1.625645
1990-09-14,15.37504,15.5,15.37504,15.5,89600,1.625645
1990-09-17,15.5,15.75,15.5,15.62496,36800,1.6387509999999998
1990-09-18,15.75,15.75,15.5,15.5,352800,1.625645
1990-09-19,15.37504,15.37504,15.25,15.25,164000,1.599425
1990-09-20,15.12496,15.12496,14.62496,14.62496,104000,1.533871
1990-09-21,14.5,14.5,13.75,13.87504,350400,1.455219
1990-09-24,13.37504,13.37504,12.62496,12.62496,67200,1.3241100000000001
1990-09-25,12.5,13.0,12.5,12.62496,41600,1.3241100000000001
1990-09-26,12.87504,13.0,12.62496,13.0,167200,1.363444
1990-09-27,12.62496,12.87504,12.5,12.75,86400,1.337224
1990-09-28,12.87504,12.87504,12.62496,12.87504,15200,1.3503379999999998
1990-10-01,13.0,13.37504,13.0,13.37504,22400,1.402779
1990-10-02,13.5,13.75,13.25,13.5,47200,1.415884
1990-10-03,13.62496,13.87504,13.62496,13.87504,20800,1.455219
1990-10-04,13.87504,14.0,13.75,14.0,17600,1.468325
1990-10-05,13.87504,13.87504,13.5,13.5,35200,1.415884
1990-10-08,13.62496,13.62496,13.37504,13.37504,177600,1.402779
1990-10-09,13.25,13.25,12.87504,12.87504,16800,1.3503379999999998
1990-10-10,12.5,12.5,12.37504,12.37504,64000,1.297898
1990-10-11,12.5,12.5,12.0,12.0,55200,1.258564
1990-10-12,12.12496,12.25,12.0,12.25,32000,1.284784
1990-10-15,12.25,12.25,12.0,12.0,25600,1.258564
1990-10-16,12.0,12.12496,11.5,11.5,27200,1.206124
1990-10-17,11.62496,11.62496,11.25,11.25,28800,1.179904
1990-10-18,11.25,11.62496,11.25,11.62496,32800,1.21923
1990-10-19,11.62496,11.75,11.5,11.75,55200,1.232344
1990-10-22,11.75,11.75,11.5,11.5,108800,1.206124
1990-10-23,11.75,11.75,11.5,11.5,76800,1.206124
1990-10-24,11.62496,11.62496,11.37504,11.5,30400,1.206124
1990-10-25,11.62496,11.62496,11.5,11.5,15200,1.206124
1990-10-26,11.37504,11.62496,11.25,11.37504,28800,1.1930180000000001
1990-10-29,11.62496,11.75,11.5,11.75,66400,1.232344
1990-10-30,11.62496,11.62496,11.62496,11.62496,1600,1.21923
1990-10-31,11.75,11.75,11.75,11.75,21600,1.232344
1990-11-01,11.87504,12.12496,11.87504,12.0,13600,1.258564
1990-11-02,12.12496,12.25,12.12496,12.25,88000,1.284784
1990-11-05,12.5,12.5,12.37504,12.5,18400,1.311004
1990-11-06,12.5,12.5,12.5,12.5,39200,1.311004
1990-11-07,12.5,12.5,12.0,12.0,88000,1.258564
1990-11-08,11.75,12.25,11.5,12.25,108800,1.284784
1990-11-09,12.37504,12.37504,12.0,12.0,213600,1.258564
1990-11-12,12.12496,12.12496,11.5,11.75,66400,1.232344
1990-11-13,11.62496,12.12496,11.62496,12.0,22400,1.258564
1990-11-14,12.0,12.5,11.87504,12.25,86400,1.284784
1990-11-15,12.5,12.75,12.5,12.5,32800,1.311004
1990-11-16,12.75,12.75,12.62496,12.62496,69600,1.3241100000000001
1990-11-19,12.75,13.0,12.5,12.5,153600,1.311004
1990-11-20,12.87504,12.87504,12.75,12.75,84000,1.337224
1990-11-21,12.87504,13.12496,12.87504,13.12496,8800,1.37655
1990-11-23,13.12496,13.12496,12.87504,12.87504,9600,1.3503379999999998
1990-11-26,13.12496,13.5,13.12496,13.5,32800,1.415884
1990-11-27,13.5,13.5,13.0,13.0,33600,1.363444
1990-11-28,12.87504,13.0,12.62496,12.87504,66400,1.3503379999999998
1990-11-29,12.75,12.75,12.5,12.62496,182400,1.3241100000000001
1990-11-30,12.62496,13.0,12.62496,13.0,16800,1.363444
1990-12-03,13.12496,13.25,12.75,12.87504,42400,1.3503379999999998
1990-12-04,12.87504,12.87504,12.75,12.87504,49600,1.3503379999999998
1990-12-05,13.0,13.0,12.87504,13.0,38400,1.363444
1990-12-06,13.0,13.0,12.62496,12.62496,27200,1.3241100000000001
