Date,Open,High,Low,Close,Volume,Adj Close
1994-03-11,20.625,20.875,20.625,20.875,2359000,9.379688999999999
1994-03-14,20.75,20.75,20.625,20.625,536500,9.267357
1994-03-15,20.625,20.75,20.625,20.625,215700,9.267357
1994-03-16,20.625,21.375,20.625,21.375,338600,9.604352
1994-03-17,21.375,21.375,20.875,21.125,195900,9.49202
1994-03-18,21.125,21.125,20.75,21.0,285700,9.435853999999999
1994-03-21,21.0,21.0,20.875,20.875,38900,9.379688999999999
1994-03-22,20.875,20.875,20.75,20.75,78400,9.323523
1994-03-23,20.75,21.5,20.75,21.25,209200,9.548186
1994-03-24,21.125,21.125,21.0,21.0,155000,9.435853999999999
1994-03-25,21.0,21.125,21.0,21.0,91500,9.435853999999999
1994-03-28,21.0,21.125,20.875,21.125,111200,9.49202
1994-03-29,21.125,21.125,20.625,20.625,101200,9.267357
1994-03-30,20.625,20.75,20.375,20.5,105000,9.211191
1994-03-31,20.5,20.625,20.5,20.625,108300,9.267357
1994-04-04,20.375,20.375,20.0,20.125,42300,9.042694000000001
1994-04-05,20.25,20.875,20.25,20.75,55600,9.323523
1994-04-06,20.75,20.875,20.75,20.875,31800,9.379688999999999
1994-04-07,20.875,21.0,20.75,20.75,52000,9.323523
1994-04-08,20.75,20.75,20.5,20.5,24000,9.211191
1994-04-11,20.5,20.625,20.375,20.375,44400,9.155025
1994-04-12,20.375,20.5,20.25,20.5,15100,9.211191
1994-04-13,20.5,20.5,20.375,20.375,30500,9.155025
1994-04-14,20.375,20.5,20.375,20.375,38800,9.155025
1994-04-15,20.375,20.5,20.125,20.125,12200,9.042694000000001
1994-04-18,20.125,20.375,20.125,20.125,39800,9.042694000000001
1994-04-19,20.25,20.375,20.25,20.25,24500,9.09886
1994-04-20,20.25,20.25,20.125,20.25,72000,9.09886
1994-04-21,20.25,20.375,20.25,20.25,15000,9.09886
1994-04-22,20.25,20.5,20.125,20.5,20700,9.211191
1994-04-25,20.5,20.5,20.25,20.25,27300,9.09886
1994-04-26,20.375,20.5,20.375,20.5,64000,9.211191
1994-04-28,20.5,20.75,20.5,20.625,27100,9.267357
1994-04-29,20.625,20.625,20.5,20.5,5500,9.211191
1994-05-02,20.5,20.625,20.5,20.625,11700,9.267357
1994-05-03,20.625,20.625,20.375,20.5,29000,9.211191
1994-05-04,20.5,20.5,20.25,20.25,39600,9.09886
1994-05-05,20.25,20.375,20.125,20.375,7600,9.155025
1994-05-06,20.375,20.375,20.0,20.125,13600,9.042694000000001
1994-05-09,20.125,20.25,20.125,20.25,3700,9.09886
1994-05-10,20.25,20.25,20.125,20.25,75100,9.09886
1994-05-11,20.25,20.375,20.125,20.25,81400,9.09886
1994-05-12,20.25,20.375,20.25,20.25,7100,9.09886
1994-05-13,20.25,20.375,20.25,20.25,14500,9.09886
1994-05-16,20.25,20.375,20.125,20.25,12600,9.09886
1994-05-17,20.25,20.375,20.125,20.125,13400,9.042694000000001
1994-05-18,20.125,20.375,20.125,20.375,6700,9.155025
1994-05-19,20.375,20.5,20.375,20.5,36500,9.211191
1994-05-20,20.5,20.75,20.5,20.5,26800,9.211191
1994-05-23,20.625,21.0,20.625,21.0,36200,9.435853999999999
1994-05-24,21.0,21.375,20.875,21.375,116200,9.604352
1994-05-25,21.625,21.875,21.625,21.75,283300,9.772849
1994-05-26,21.625,21.625,21.5,21.5,50200,9.660518
1994-05-27,21.5,21.625,21.375,21.375,10000,9.604352
1994-05-31,21.375,21.5,21.375,21.5,41400,9.660518
1994-06-01,21.5,21.875,21.5,21.75,166300,9.772849
