Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,46.0,47.125,45.875,46.625,849600,5.368973
1990-01-03,46.75,47.25,46.75,47.0,1785200,5.412155
1990-01-04,46.5,46.5,45.625,46.0,1471200,5.297003
1990-01-05,45.75,45.875,45.0,45.0,1050800,5.181851
1990-01-08,45.0,45.75,45.0,45.25,680000,5.210639
1990-01-09,45.375,45.875,45.125,45.25,776000,5.210639
1990-01-10,44.5,44.625,43.75,44.375,702800,5.109881
1990-01-11,44.5,44.625,43.625,44.0,1208400,5.066699
1990-01-12,43.25,43.875,42.75,42.75,707600,4.922758
1990-01-15,41.75,42.375,41.25,41.5,1298800,4.778818
1990-01-16,40.75,43.0,40.5,43.0,1355600,4.951546
1990-01-17,43.25,43.75,42.75,43.25,2706800,4.980334
1990-01-18,43.0,44.0,42.0,42.625,3792800,4.908364
1990-01-19,43.5,44.5,43.125,44.25,2429200,5.095487
1990-01-22,44.5,44.625,43.5,43.5,1362800,5.0091220000000005
1990-01-23,43.625,44.375,43.625,44.375,1023600,5.109881
1990-01-24,44.0,44.0,43.25,43.875,1580400,5.0523050000000005
1990-01-25,43.75,44.25,43.75,43.75,480800,5.03791
1990-01-26,43.5,43.625,42.25,43.0,824800,4.951546
1990-01-29,43.0,43.0,41.875,42.5,899600,4.8939699999999995
1990-01-30,42.25,42.25,40.75,40.875,940800,4.706848
1990-01-31,40.625,42.0,40.625,42.0,1434400,4.836394
1990-02-01,42.25,42.375,41.25,41.375,1309600,4.764424
1990-02-02,41.25,42.875,41.0,42.875,1500000,4.937151999999999
1990-02-05,42.875,42.875,42.0,42.0,490400,4.836394
1990-02-06,41.75,41.75,41.25,41.5,979200,4.778818
1990-02-07,41.0,42.25,40.75,42.25,851200,4.865182
1990-02-08,42.0,42.125,41.5,41.75,1348800,4.807606
1990-02-09,41.625,42.25,41.5,42.125,1039200,4.850788
1990-02-12,42.0,42.5,41.875,42.125,939600,4.850788
1990-02-13,42.0,42.375,41.875,42.0,1687600,4.836394
1990-02-14,42.0,42.625,41.875,42.625,789600,4.908364
1990-02-15,42.375,43.875,42.375,43.75,825200,5.03791
1990-02-16,44.0,45.0,44.0,44.75,2972800,5.1530629999999995
1990-02-20,44.25,44.25,43.75,44.125,2726400,5.081093
1990-02-21,43.375,44.25,43.25,43.875,863600,5.0523050000000005
1990-02-22,44.0,45.125,44.0,44.375,1263200,5.109881
1990-02-23,44.125,44.625,43.625,44.0,942800,5.066699
1990-02-26,43.75,44.125,43.75,44.0,797200,5.107325
1990-02-27,43.75,44.875,43.75,44.875,948800,5.208891
1990-02-28,44.625,45.125,44.25,44.5,795600,5.165363
1990-03-01,44.125,44.875,44.125,44.625,1000800,5.1798720000000005
1990-03-02,44.625,46.0,44.625,46.0,930800,5.339476
1990-03-05,46.125,46.5,45.75,45.875,1546000,5.324967
1990-03-06,45.75,45.75,45.0,45.5,2353200,5.281438
1990-03-07,45.25,45.5,45.125,45.375,800400,5.266929
1990-03-08,44.75,44.75,43.125,43.625,6367600,5.063797
1990-03-09,42.0,42.0,40.75,41.5,9583200,4.817136
1990-03-12,41.75,42.0,41.25,41.375,2523600,4.802626999999999
1990-03-13,41.375,41.375,40.5,40.625,2272400,4.71557
1990-03-14,40.5,40.625,39.375,40.25,3680000,4.672042
1990-03-15,40.375,40.875,40.375,40.5,867600,4.70106
1990-03-16,41.5,41.5,40.375,40.5,1942000,4.70106
1990-03-19,40.25,40.5,39.875,40.25,624800,4.672042
1990-03-20,40.0,40.25,39.75,39.875,1190800,4.628513
1990-03-21,39.875,40.25,37.875,39.75,862000,4.614004
1990-03-22,39.0,39.375,38.5,38.5,2560800,4.468909
1990-03-23,38.0,39.0,37.875,38.75,2236000,4.497928
1990-03-26,38.75,39.75,38.75,39.625,669600,4.599494
1990-03-27,39.625,39.875,39.25,39.75,834800,4.614004
1990-03-28,39.75,39.875,39.375,39.5,495200,4.584985
1990-03-29,39.375,39.5,39.0,39.125,527600,4.541457
1990-03-30,39.125,39.125,38.25,38.75,697600,4.497928
1990-04-02,38.5,38.625,37.875,38.25,1032800,4.43989
1990-04-03,38.25,38.75,38.25,38.5,751600,4.468909
1990-04-04,37.0,38.125,37.0,37.75,1815200,4.3818529999999996
1990-04-05,37.625,37.625,36.125,36.125,1321200,4.193230000000001
1990-04-06,35.75,36.0,33.875,35.375,3821200,4.106173
1990-04-09,35.375,36.25,35.375,36.125,1013200,4.193230000000001
1990-04-10,36.5,37.75,36.375,37.625,3070000,4.367343
1990-04-11,38.0,38.125,37.625,37.75,942000,4.3818529999999996
1990-04-12,37.875,38.0,37.625,37.625,842000,4.367343
1990-04-16,37.625,37.875,37.0,37.0,914400,4.294796
1990-04-17,36.875,38.5,36.75,37.375,2101600,4.338324
1990-04-18,37.125,37.75,37.125,37.375,1252400,4.338324
1990-04-19,37.25,37.625,37.125,37.25,915200,4.323815
1990-04-20,37.25,37.5,37.125,37.125,359600,4.309305
1990-04-23,37.125,37.125,36.75,37.0,754400,4.294796
1990-04-24,37.0,37.625,36.75,37.0,728000,4.294796
1990-04-25,36.875,37.0,36.0,36.5,1064800,4.236758
1990-04-26,36.5,37.0,36.5,36.875,1223600,4.280287
1990-04-27,37.125,37.375,37.0,37.25,581600,4.323815
1990-04-30,37.375,38.125,37.25,38.0,1665200,4.410872
1990-05-01,38.0,39.25,38.0,38.875,1420000,4.5124379999999995
1990-05-02,38.75,39.25,38.625,39.25,1543600,4.555966000000001
1990-05-03,39.25,40.25,39.25,40.0,1844800,4.643023
1990-05-04,40.0,40.25,39.25,39.5,1494000,4.584985
1990-05-07,39.5,40.0,39.5,39.75,950800,4.614004
1990-05-08,39.5,39.5,38.75,39.0,891200,4.526947
1990-05-09,39.0,39.0,38.5,38.75,1158800,4.497928
1990-05-10,38.5,38.875,38.375,38.625,2725600,4.4834190000000005
1990-05-11,38.875,39.625,38.75,39.375,4104800,4.570475
