Date,Open,High,Low,Close,Volume,Adj Close
1990-03-26,14.25,14.25,13.75,13.75,30800,3.026459
1990-03-27,13.75,14.5,13.75,14.25,7400,3.1365119999999997
1990-03-28,13.75,14.25,13.75,14.25,17600,3.1365119999999997
1990-03-29,14.125,14.125,13.75,13.75,7600,3.026459
1990-03-30,13.75,14.25,13.75,14.25,8400,3.1365119999999997
1990-04-02,13.75,14.25,13.75,14.25,22600,3.1365119999999997
1990-04-03,13.75,14.25,13.75,13.75,9200,3.026459
1990-04-04,14.25,14.25,13.75,13.75,13800,3.026459
1990-04-05,14.125,14.25,13.75,14.25,38400,3.1365119999999997
1990-04-06,13.75,14.25,13.625,14.0,25200,3.081485
1990-04-09,13.5,14.0,13.5,13.5,13800,2.971432
1990-04-10,14.0,14.0,13.25,13.25,16200,2.9164060000000003
1990-04-11,13.25,13.25,13.25,13.25,7800,2.9164060000000003
1990-04-12,13.25,13.75,13.25,13.5,21800,2.971432
1990-04-16,13.0,13.75,13.0,13.25,22000,2.9164060000000003
1990-04-17,13.5,13.5,12.75,12.75,20200,2.806353
1990-04-18,12.75,13.125,12.75,12.75,19000,2.806353
1990-04-19,12.75,13.25,12.75,13.0,27200,2.861379
1990-04-20,13.0,13.125,13.0,13.0,26200,2.861379
1990-04-23,13.0,13.5,13.0,13.5,7400,2.971432
1990-04-24,13.5,13.5,13.5,13.5,2200,2.971432
1990-04-25,13.0,13.375,13.0,13.375,15400,2.9439189999999997
1990-04-26,13.0,13.0,12.75,13.0,12400,2.861379
1990-04-27,12.5,12.875,12.5,12.5,12000,2.7513259999999997
1990-04-30,12.5,13.25,12.5,12.75,22600,2.806353
1990-05-01,13.25,13.25,12.5,12.5,16200,2.7513259999999997
1990-05-02,12.5,12.75,12.5,12.75,21600,2.806353
1990-05-03,12.5,13.0,12.5,12.5,67600,2.7513259999999997
1990-05-04,13.0,13.0,12.75,12.75,9600,2.806353
1990-05-07,13.0,13.0,13.0,13.0,7200,2.861379
1990-05-08,13.0,13.0,13.0,13.0,1400,2.861379
1990-05-09,13.125,13.25,12.75,13.0,12200,2.861379
1990-05-10,13.0,13.25,13.0,13.125,18400,2.888892
1990-05-11,13.25,13.25,12.75,12.75,44600,2.806353
1990-05-14,12.75,13.5,12.75,13.25,9600,2.9164060000000003
1990-05-15,12.75,13.25,12.75,12.875,22600,2.833866
1990-05-16,12.75,13.25,12.75,13.25,6600,2.9164060000000003
1990-05-17,12.75,13.0,12.75,12.75,34000,2.806353
1990-05-18,12.75,13.25,12.75,12.75,2400,2.806353
1990-05-21,12.75,13.25,12.75,12.875,8000,2.833866
1990-05-22,12.75,13.0,12.75,12.75,9400,2.806353
1990-05-23,12.75,13.0,12.5,13.0,12800,2.861379
1990-05-24,12.5,12.75,12.5,12.75,29000,2.806353
1990-05-25,13.25,13.25,12.5,12.5,2600,2.7513259999999997
1990-05-29,12.5,13.25,12.5,12.75,13800,2.806353
1990-05-30,12.5,12.75,12.5,12.75,4800,2.806353
1990-05-31,12.75,13.25,12.5,13.25,10600,2.9164060000000003
1990-06-01,12.75,12.75,12.75,12.75,600,2.806353
1990-06-04,13.25,13.25,12.75,12.75,1600,2.806353
1990-06-05,12.75,12.875,12.75,12.75,9200,2.806353
1990-06-06,12.75,13.25,12.75,13.25,15000,2.9164060000000003
1990-06-07,12.75,13.25,12.75,12.75,26400,2.806353
1990-06-08,12.75,13.25,12.75,12.75,43600,2.806353
1990-06-11,13.25,13.25,12.75,12.75,18000,2.806353
