Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,22.125,22.25,21.625,22.25,154600,7.759206
1990-01-03,22.25,22.5,22.125,22.5,227600,7.846388
1990-01-04,22.375,22.5,22.125,22.375,207000,7.802797
1990-01-05,22.375,22.375,22.0,22.0,199000,7.672024
1990-01-08,21.875,22.375,21.75,22.125,194000,7.715615
1990-01-09,22.125,22.25,21.5,21.875,285800,7.628433
1990-01-10,21.875,22.25,21.25,21.5,194600,7.497660000000001
1990-01-11,21.5,21.5,21.375,21.5,101000,7.497660000000001
1990-01-12,21.25,21.375,20.5,20.875,240200,7.279704
1990-01-15,20.75,20.75,19.75,19.75,616000,6.887385000000001
1990-01-16,19.625,19.875,19.5,19.875,579200,6.966247999999999
1990-01-17,19.75,20.125,19.75,20.0,321600,7.010061
1990-01-18,19.875,20.0,19.75,19.875,166800,6.966247999999999
1990-01-19,20.0,20.0,19.875,19.875,139600,6.966247999999999
1990-01-22,19.875,20.0,19.625,19.75,308200,6.922435000000001
1990-01-23,19.875,19.875,19.625,19.75,146200,6.922435000000001
1990-01-24,19.5,19.5,19.25,19.375,300400,6.790997
1990-01-25,19.625,19.875,19.375,19.5,327000,6.834810000000001
1990-01-26,19.5,19.625,19.375,19.5,217600,6.834810000000001
1990-01-29,19.5,19.625,19.0,19.125,285400,6.703371000000001
1990-01-30,19.125,19.5,18.875,18.875,762200,6.6157449999999995
1990-01-31,19.0,19.25,18.375,18.625,666000,6.528119
1990-02-01,18.625,18.625,17.25,18.375,959000,6.440494
1990-02-02,18.125,18.125,17.5,17.75,331600,6.221429
1990-02-05,18.0,18.25,17.875,18.25,171600,6.396681
1990-02-06,18.0,18.25,17.875,17.875,163200,6.265242
1990-02-07,17.75,17.75,17.375,17.75,358200,6.221429
1990-02-08,17.75,17.875,17.375,17.5,200400,6.1338040000000005
1990-02-09,17.5,17.75,16.625,16.75,1278200,5.870926
1990-02-12,17.0,18.125,17.0,17.25,399400,6.046178
1990-02-13,17.5,17.75,16.75,17.375,264800,6.089991
1990-02-14,17.375,18.125,17.375,17.875,191800,6.265242
1990-02-15,18.0,18.875,18.0,18.25,456000,6.396681
1990-02-16,18.25,19.0,18.25,18.875,355200,6.6157449999999995
1990-02-20,18.625,18.625,17.0,17.625,645400,6.177616
1990-02-21,17.375,18.125,17.25,18.0,351200,6.309055
1990-02-22,17.875,18.0,17.625,17.75,399000,6.221429
1990-02-23,17.75,17.75,16.625,16.875,1475000,5.914739
1990-02-26,16.875,17.0,16.375,16.5,830000,5.7833
1990-02-27,16.0,16.375,16.0,16.25,558000,5.695675
1990-02-28,16.0,16.25,15.75,16.125,2646600,5.651862
1990-03-01,16.125,17.0,16.125,16.625,488800,5.827113
1990-03-02,16.375,16.625,16.375,16.5,570000,5.7833
1990-03-05,16.625,16.75,16.25,16.5,346000,5.7833
1990-03-06,16.625,17.125,16.5,17.125,901600,6.002365
1990-03-07,17.0,17.0,16.75,16.75,610600,5.870926
1990-03-08,14.0,14.375,13.5,13.625,6700800,4.775604
1990-03-09,13.25,13.375,12.875,13.375,6181600,4.687978
1990-03-12,13.75,13.75,13.375,13.5,2890000,4.731791
1990-03-13,13.375,14.5,13.25,14.5,3315600,5.082294
1990-03-14,14.5,14.5,14.0,14.25,2153600,4.994669
1990-03-15,14.375,15.0,14.375,14.625,1927800,5.126107
1990-03-16,14.75,15.375,14.75,15.25,1189600,5.345172
