Date,Open,High,Low,Close,Volume,Adj Close
1999-10-01,14.0,14.25,14.0,14.125,3162400,10.843687
1999-10-04,14.125,14.125,14.0,14.0,533400,10.747725
1999-10-05,14.0,14.125,14.0,14.125,270600,10.843687
1999-10-06,14.125,14.875,14.125,14.875,205400,11.419458
1999-10-07,14.875,14.875,14.0625,14.125,214200,10.843687
1999-10-08,14.1875,14.1875,14.0625,14.0625,65600,10.795706
1999-10-11,14.0625,14.125,14.0,14.0625,77500,10.795706
1999-10-12,14.0625,14.125,14.0,14.125,49200,10.843687
1999-10-13,14.125,14.375,14.0,14.0625,49900,10.795706
1999-10-14,14.0,14.0625,13.25,13.625,430900,10.45984
1999-10-15,13.125,13.1875,12.6875,13.0625,158200,10.028011
1999-10-18,13.0,13.0,12.5,12.8125,83800,9.836088
1999-10-19,12.75,13.25,12.75,13.25,58200,10.171954
1999-10-20,13.375,13.5,13.125,13.125,62600,10.075992
1999-10-21,13.125,13.4375,13.0,13.4375,98200,10.315897
1999-10-22,13.375,13.5625,13.3125,13.5,191200,10.363878
1999-10-25,13.4375,13.9375,13.4375,13.9375,153100,10.699744
1999-10-26,13.8125,14.125,13.8125,14.0,65600,10.747725
1999-10-27,14.0,14.1875,14.0,14.0625,100900,10.795706
1999-10-28,14.1875,14.5,14.125,14.125,255300,10.843687
1999-10-29,14.125,15.25,14.125,15.25,123200,11.707343
1999-11-01,15.0,15.0,14.625,14.75,41800,11.323496
1999-11-02,14.75,14.875,14.3125,14.75,66600,11.323496
1999-11-03,14.6875,14.875,14.6875,14.75,18500,11.323496
1999-11-04,14.875,15.125,14.5,14.9375,72100,11.467439
1999-11-05,15.0,15.875,14.875,15.75,122900,12.091191
1999-11-08,15.875,17.375,15.8125,16.625,240000,12.762924
1999-11-09,16.75,16.75,16.125,16.125,42400,12.379076
1999-11-10,16.0,16.125,15.8125,16.0625,59900,12.331095
1999-11-11,16.0625,16.25,16.0625,16.125,20000,12.379076
1999-11-12,16.25,18.5,16.25,18.0,248500,13.818504
1999-11-15,18.1875,18.1875,17.5,17.6875,99200,13.578598999999999
1999-11-16,17.6875,17.6875,17.375,17.4375,95300,13.386675
1999-11-17,17.6875,18.25,17.25,17.5,107900,13.434656
1999-11-18,17.5,17.5,17.25,17.25,67500,13.242733
1999-11-19,17.25,17.75,17.1875,17.625,31200,13.530617999999999
1999-11-22,17.5625,17.875,17.5625,17.8125,36500,13.674560999999999
1999-11-23,17.8125,19.375,17.8125,19.125,65500,14.682160000000001
1999-11-24,19.0,19.0,18.375,18.5625,53800,14.250332
1999-11-26,18.5,18.5,18.375,18.4375,2600,14.154370000000002
1999-11-29,18.375,18.375,17.875,18.125,20200,13.914466000000001
1999-11-30,18.1875,18.5,18.1875,18.375,38100,14.106389000000002
1999-12-01,18.375,18.625,18.25,18.5625,43800,14.250332
1999-12-02,18.5625,19.0,18.5625,19.0,33200,14.586198000000001
1999-12-03,19.125,19.375,19.0625,19.1875,62000,14.730141
1999-12-06,19.1875,19.1875,18.25,18.375,38200,14.106389000000002
1999-12-07,18.5,19.0,18.4375,18.625,112500,14.298313
1999-12-08,18.5,18.5,18.0,18.1875,27700,13.962446
1999-12-09,18.25,18.375,18.125,18.25,15500,14.010426999999998
1999-12-10,18.125,18.125,17.625,17.625,22400,13.530617999999999
1999-12-13,17.75,18.0,17.4375,17.4375,44500,13.386675
1999-12-14,17.25,17.25,17.0625,17.125,19400,13.146771
1999-12-15,17.125,17.125,16.875,17.125,11100,13.146771
1999-12-16,17.0625,17.25,16.8125,16.8125,90700,12.906866
1999-12-17,16.6875,17.25,16.6875,17.125,37300,13.146771
1999-12-20,17.0,17.0,16.8125,16.9375,31300,13.002828
1999-12-21,16.9375,17.0625,16.875,17.0,11800,13.050809
1999-12-22,17.125,17.375,17.125,17.1875,6300,13.194752
1999-12-23,17.1875,17.25,17.0,17.125,3700,13.146771
1999-12-27,17.0625,17.125,17.0625,17.125,2400,13.146771
1999-12-28,17.0625,17.625,17.0625,17.375,65600,13.338695000000001
1999-12-29,17.4375,17.4375,17.125,17.25,9600,13.242733
1999-12-30,17.125,17.375,17.125,17.3125,5100,13.290714000000001
1999-12-31,17.25,17.375,17.1875,17.1875,13000,13.194752
2000-01-03,17.4375,17.5,16.625,16.625,64600,12.762924
2000-01-04,16.625,16.625,15.625,15.875,81900,12.187153
2000-01-05,15.75,15.75,15.0,15.75,38100,12.091191
2000-01-06,15.75,16.25,15.75,16.0,41200,12.283114
2000-01-07,15.875,16.25,15.75,15.875,34700,12.187153
2000-01-10,16.5,16.5,16.0,16.0,94200,12.283114
2000-01-11,16.125,16.875,16.0,16.4375,39700,12.618981
2000-01-12,16.5,17.125,16.5,17.125,25100,13.146771
2000-01-13,17.25,17.5,16.875,16.9375,62000,13.002828
2000-01-14,17.0,17.75,16.875,17.5,183100,13.434656
2000-01-18,17.75,18.25,17.75,18.0,77300,13.818504
2000-01-19,18.0,18.375,17.9375,18.25,34500,14.010426999999998
2000-01-20,18.25,18.25,17.375,17.5,42200,13.434656
2000-01-21,17.4375,17.5,17.25,17.375,16000,13.338695000000001
2000-01-24,17.5,17.5,17.0,17.125,10700,13.146771
2000-01-25,17.125,17.5,17.0625,17.25,19200,13.242733
2000-01-26,17.25,17.5,17.25,17.4375,16600,13.386675
2000-01-27,17.4375,18.0,17.4375,17.5,33600,13.434656
2000-01-28,17.625,17.625,17.3125,17.375,3900,13.338695000000001
2000-01-31,17.125,17.5,17.125,17.5,53900,13.434656
2000-02-01,17.375,17.75,17.375,17.75,15400,13.626579999999999
2000-02-02,18.0,18.125,17.875,17.9375,92700,13.770523
2000-02-03,18.0625,18.125,17.9375,18.0,35200,13.818504
2000-02-04,18.125,18.5625,18.125,18.4375,51500,14.154370000000002
2000-02-07,18.4375,18.5625,18.375,18.5,25200,14.202351
2000-02-08,18.5,18.875,18.5,18.5625,45300,14.250332
2000-02-09,18.75,18.75,18.375,18.375,9100,14.106389000000002
2000-02-10,18.5,18.5,17.875,17.875,9700,13.722542
2000-02-11,17.875,18.0,17.875,17.9375,24700,13.770523
2000-02-14,18.0625,18.0625,17.875,18.0,7100,13.818504
2000-02-15,17.875,18.0,17.875,17.875,4900,13.722542
2000-02-16,17.875,18.5,17.875,18.5,69000,14.202351
2000-02-17,18.5,18.6875,18.3125,18.375,28100,14.106389000000002
2000-02-18,18.375,18.5625,18.375,18.5,5000,14.202351
2000-02-22,18.625,18.8125,18.5625,18.5625,10700,14.250332
2000-02-23,18.5625,18.9375,18.5625,18.8125,5700,14.442256
2000-02-24,18.875,19.125,18.875,19.0,61800,14.586198000000001
