Date,Open,High,Low,Close,Volume,Adj Close
1997-06-18,26.125,26.875,26.125,26.75,7918300,10.911715
1997-06-19,26.875,27.0,26.5,26.625,1472400,10.860726
1997-06-20,26.75,26.75,26.25,26.375,1030200,10.758747
1997-06-23,26.375,26.375,26.125,26.125,628900,10.656768
1997-06-24,26.1875,26.25,26.0625,26.0625,541800,10.631274000000001
1997-06-25,26.25,26.5625,26.25,26.4375,570500,10.784241999999999
1997-06-26,26.75,27.0,26.5625,27.0,488700,11.013694000000001
1997-06-27,27.0,27.125,26.75,26.875,586400,10.962703999999999
1997-06-30,26.8125,27.5,26.25,27.25,629800,11.115672
1997-07-01,27.125,27.125,26.625,26.625,269700,10.860726
1997-07-02,26.375,26.625,26.375,26.375,350800,10.758747
1997-07-03,26.4375,26.75,26.4375,26.625,173000,10.860726
1997-07-07,26.875,26.9375,26.5,26.75,449500,10.911715
1997-07-08,26.6875,26.875,26.625,26.6875,239400,10.88622
1997-07-09,26.625,26.6875,26.5,26.5625,226000,10.835231
1997-07-10,26.5,26.5,26.3125,26.375,425100,10.758747
1997-07-11,26.375,26.5,26.3125,26.4375,326300,10.784241999999999
1997-07-14,26.6875,27.1875,26.625,26.75,311000,10.911715
1997-07-15,26.9375,26.9375,26.5625,26.6875,534400,10.88622
1997-07-16,26.6875,27.0,26.625,26.875,443700,10.962703999999999
1997-07-17,26.9375,27.1875,26.9375,27.0625,443800,11.039188000000001
1997-07-18,27.0,27.0625,26.375,26.625,359600,10.860726
1997-07-21,26.375,26.875,26.25,26.8125,422700,10.93721
1997-07-22,26.8125,26.9375,26.75,26.8125,246500,10.93721
1997-07-23,26.9375,26.9375,26.8125,26.8125,196900,10.93721
1997-07-24,26.9375,27.125,26.75,27.0625,481800,11.039188000000001
1997-07-25,27.1875,27.375,27.125,27.3125,225800,11.141167
1997-07-28,27.1875,27.375,27.0,27.3125,127600,11.141167
1997-07-29,27.25,27.5625,27.1875,27.4375,350200,11.192155999999999
1997-07-30,27.4375,27.625,27.0,27.5625,126600,11.243146000000001
1997-07-31,27.5625,28.0,27.5,27.875,203500,11.370619
1997-08-01,27.9375,27.9375,27.25,27.875,85200,11.370619
1997-08-04,27.9375,28.0,27.1875,27.875,115600,11.370619
1997-08-05,27.6875,28.3125,27.5625,28.125,152900,11.472598
1997-08-06,28.0,29.375,27.9375,29.375,234900,11.982491
1997-08-07,29.3125,29.375,29.25,29.25,358900,11.931500999999999
1997-08-08,29.0,29.0,28.0,29.0,387300,11.829523
1997-08-11,28.875,28.9375,27.625,28.1875,164700,11.498092
1997-08-12,28.25,28.375,27.9375,27.9375,437100,11.396114
1997-08-13,28.0,28.25,27.5,27.6875,323000,11.294135
1997-08-14,27.5625,27.75,27.5,27.5,89800,11.217651
1997-08-15,27.625,27.75,27.5,27.625,120200,11.26864
1997-08-18,27.5625,27.8125,27.5,27.8125,177000,11.345124
1997-08-19,27.8125,28.3125,27.75,28.25,161300,11.523587
1997-08-20,28.375,28.9375,28.1875,28.6875,206500,11.702049
1997-08-21,28.6875,29.0625,28.5625,29.0,133000,11.829523
