Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,57.875038,58.875038,57.75,58.875038,2910400,4.038442
1990-01-03,59.375038,60.124962,59.375038,59.5,5712000,4.08131
1990-01-04,59.5,59.875038,59.375038,59.75,2397600,4.098459
1990-01-05,59.75,59.75,59.124962,59.375038,2043200,4.072739
1990-01-08,59.375038,59.375038,58.624962,59.0,1340800,4.047014
1990-01-09,59.0,59.375038,58.5,58.624962,2283200,4.021287999999999
1990-01-10,58.624962,59.0,58.375038,58.75,2684800,4.029865
1990-01-11,58.75,59.0,58.624962,58.75,2259200,4.029865
1990-01-12,58.624962,58.624962,57.624962,57.75,1362400,3.961272
1990-01-15,57.624962,57.624962,57.25,57.5,1007200,3.9441230000000003
1990-01-16,57.25,57.25,56.624962,57.0,2668000,3.930332
1990-01-17,56.375038,56.375038,54.5,54.875038,7724000,3.78381
1990-01-18,54.875038,56.25,53.5,55.375038,6443200,3.818286
1990-01-19,55.375038,55.375038,54.75,55.124962,4531200,3.801043
1990-01-22,55.124962,55.25,54.124962,54.5,1825600,3.757949
1990-01-23,54.5,55.5,54.375038,55.25,2964800,3.809664
1990-01-24,55.25,56.25,54.25,55.75,3203200,3.8441410000000005
1990-01-25,55.75,56.0,55.124962,55.124962,1330400,3.801043
1990-01-26,55.124962,55.375038,54.5,54.875038,1689600,3.78381
1990-01-29,54.875038,55.124962,54.124962,54.624962,1153600,3.7665660000000005
1990-01-30,54.624962,54.75,53.875038,54.5,1355200,3.757949
1990-01-31,54.624962,55.5,54.624962,55.375038,3260000,3.818286
1990-02-01,55.5,56.0,55.5,55.5,2389600,3.8269029999999997
1990-02-02,55.5,56.25,55.0,55.624962,1966400,3.835519
1990-02-05,55.624962,55.624962,55.0,55.25,1725600,3.809664
1990-02-06,55.124962,55.124962,54.624962,55.0,1142400,3.7924260000000003
1990-02-07,55.0,55.875038,54.25,55.25,1573600,3.809664
1990-02-08,55.25,56.624962,55.25,56.124962,3035200,3.869996
1990-02-09,56.124962,56.124962,55.375038,55.75,940800,3.8441410000000005
1990-02-12,55.5,55.5,55.0,55.375038,1288000,3.818286
1990-02-13,55.375038,55.375038,54.624962,55.375038,1884800,3.818286
1990-02-14,55.375038,55.75,55.124962,55.5,1682400,3.8269029999999997
1990-02-15,55.5,56.25,55.375038,55.875038,1418400,3.852763
1990-02-16,55.875038,56.624962,55.875038,56.25,2558400,3.878618
1990-02-20,56.0,56.0,55.624962,56.0,1002400,3.861379
1990-02-21,56.0,56.875038,55.0,56.75,1913600,3.913094
1990-02-22,56.875038,58.25,56.875038,57.5,3349600,3.964809
1990-02-23,57.5,58.0,57.124962,57.75,1857600,3.982047
1990-02-26,58.124962,59.375038,58.124962,59.124962,4646400,4.076855
1990-02-27,59.124962,60.5,58.875038,60.124962,6055200,4.145809
1990-02-28,60.124962,60.624962,60.0,60.624962,3759200,4.180285
1990-03-01,60.5,60.5,59.875038,60.375038,2911200,4.1630519999999995
1990-03-02,60.375038,62.124962,60.375038,62.124962,7916800,4.283715
1990-03-05,62.124962,62.375038,61.75,62.375038,2763200,4.300959
1990-03-06,62.375038,62.75,61.75,62.75,3267200,4.326813
1990-03-07,62.75,62.875038,62.25,62.375038,2452000,4.300959
1990-03-08,62.375038,62.5,61.25,62.375038,3474400,4.300959
1990-03-09,62.124962,62.124962,61.124962,62.0,3742400,4.275098000000001
1990-03-12,61.5,61.5,61.0,61.25,2052800,4.223383999999999
1990-03-13,60.75,60.75,59.25,60.25,8483200,4.1544300000000005
1990-03-14,60.25,60.25,59.624962,60.25,4519200,4.1544300000000005
1990-03-15,60.25,60.75,60.124962,60.624962,3153600,4.180285
1990-03-16,60.624962,60.875038,60.5,60.75,2744800,4.188907
1990-03-19,60.75,61.5,60.124962,61.5,1945600,4.240622
1990-03-20,61.5,62.0,61.0,61.124962,2611200,4.214762
1990-03-21,61.124962,61.375038,60.75,60.875038,1560000,4.197529
1990-03-22,60.875038,60.875038,60.375038,60.624962,2002400,4.180285
1990-03-23,60.875038,61.624962,60.875038,61.624962,2882400,4.249238
1990-03-26,61.624962,62.0,61.375038,61.875038,2924000,4.266482
1990-03-27,61.875038,61.875038,61.124962,61.624962,1342400,4.249238
1990-03-28,61.624962,61.75,61.25,61.25,1027200,4.223383999999999
1990-03-29,61.25,61.25,60.75,61.25,778400,4.223383999999999
1990-03-30,61.25,61.25,60.75,61.124962,1112000,4.214762
1990-04-02,60.624962,60.624962,59.875038,60.124962,2544000,4.145809
1990-04-03,60.25,61.0,60.25,60.875038,2569600,4.197529
1990-04-04,60.875038,61.124962,60.624962,60.624962,1610400,4.180285
1990-04-05,60.624962,61.25,60.5,61.124962,1200000,4.214762
1990-04-06,60.75,60.75,60.0,60.375038,1929600,4.1630519999999995
1990-04-09,60.375038,60.375038,60.0,60.25,819200,4.1544300000000005
1990-04-10,60.25,60.375038,60.0,60.25,1262400,4.1544300000000005
1990-04-11,60.25,60.375038,60.0,60.25,903200,4.1544300000000005
1990-04-12,60.25,60.375038,59.875038,60.124962,2324000,4.145809
1990-04-16,60.124962,60.624962,60.124962,60.25,2777600,4.1544300000000005
1990-04-17,60.124962,60.124962,59.375038,60.124962,959200,4.166555000000001
1990-04-18,60.124962,60.124962,59.375038,59.375038,1271200,4.114587
1990-04-19,59.375038,60.124962,59.25,59.875038,2141600,4.149236
1990-04-20,59.875038,61.25,59.75,60.5,8148000,4.192545
1990-04-23,60.5,61.25,60.375038,60.624962,5410400,4.201204
1990-04-24,61.0,61.875038,61.0,61.25,4377600,4.244518
1990-04-25,61.375038,62.5,61.375038,62.25,5344800,4.313817
1990-04-26,62.25,62.875038,62.0,62.5,4086400,4.331141000000001
1990-04-27,62.375038,62.375038,61.624962,61.75,2827200,4.279168
1990-04-30,61.75,61.875038,61.124962,61.375038,1590400,4.253183
1990-05-01,61.375038,61.75,61.124962,61.25,1205600,4.244518
1990-05-02,61.25,62.624962,61.0,62.624962,4767200,4.3398010000000005
