Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,95.25,96.0,94.624962,95.875038,1690400,6.621830999999999
1990-01-03,96.124962,96.25,95.0,96.25,1087200,6.647728999999999
1990-01-04,96.124962,96.875038,95.624962,95.875038,1318400,6.621830999999999
1990-01-05,96.0,96.124962,95.25,95.25,1683200,6.578662
1990-01-08,95.0,95.0,94.25,94.5,897600,6.526861
1990-01-09,94.124962,95.624962,93.75,94.5,4556800,6.526861
1990-01-10,93.75,94.624962,92.375038,92.875038,734400,6.414629
1990-01-11,92.75,93.624962,92.75,93.5,1035200,6.457794
1990-01-12,93.25,94.5,92.5,94.5,1284800,6.526861
1990-01-15,94.0,94.0,93.5,93.875038,812800,6.483697
1990-01-16,93.0,93.75,92.624962,93.75,1239200,6.475061
1990-01-17,93.75,94.124962,93.0,93.75,2170400,6.475061
1990-01-18,93.5,94.375038,93.375038,94.375038,1802400,6.51823
1990-01-19,94.75,95.75,94.5,94.5,1480000,6.526861
1990-01-22,94.624962,95.0,93.0,93.124962,1263200,6.431891
1990-01-23,93.25,93.25,91.624962,91.875038,588800,6.345562
1990-01-24,91.25,91.25,89.124962,91.124962,1669600,6.293756
1990-01-25,91.124962,91.875038,89.5,89.5,1195200,6.181525
1990-01-26,89.624962,89.624962,87.0,88.25,1183200,6.0951900000000006
1990-01-29,88.124962,88.124962,86.375038,86.624962,1403200,5.982953
1990-01-30,86.624962,86.624962,84.624962,84.624962,1656000,5.844819
1990-01-31,85.0,88.75,85.0,88.75,1168000,6.1297239999999995
1990-02-01,90.0,90.0,89.124962,89.25,1126400,6.164258
1990-02-02,89.0,91.875038,89.0,91.75,1300800,6.336926
1990-02-05,91.5,94.875038,91.5,94.25,1220800,6.509594
1990-02-06,94.25,94.375038,93.375038,94.124962,963200,6.500958
1990-02-07,94.124962,94.75,93.0,93.25,902400,6.4405269999999994
1990-02-08,93.25,94.375038,92.75,93.0,1331200,6.42326
1990-02-09,93.25,94.375038,93.0,94.375038,788800,6.51823
1990-02-12,94.25,94.25,93.5,93.75,950400,6.475061
1990-02-13,93.5,94.375038,93.25,94.375038,1206400,6.51823
1990-02-14,94.375038,94.624962,94.0,94.25,1667200,6.509594
1990-02-15,94.0,95.75,94.0,95.25,596800,6.578662
1990-02-16,95.124962,97.0,95.124962,96.624962,1243200,6.673627000000001
1990-02-20,95.875038,96.75,95.5,96.124962,1124800,6.639092999999999
1990-02-21,95.75,96.375038,95.624962,96.375038,1039200,6.656364999999999
1990-02-22,96.5,97.875038,96.5,97.875038,2098400,6.759966
1990-02-23,97.5,98.124962,97.375038,97.624962,1185600,6.742694
1990-02-26,97.5,97.875038,97.375038,97.875038,747200,6.759966
1990-02-27,97.75,98.875038,97.75,98.5,1264800,6.80313
1990-02-28,98.624962,99.375038,98.624962,98.875038,932800,6.829033
1990-03-01,99.375038,101.5,99.375038,100.25,1928800,6.923997999999999
1990-03-02,100.5,101.25,100.5,100.875038,903200,6.967167999999999
1990-03-05,100.624962,101.75,100.624962,101.75,826400,7.027599
1990-03-06,101.75,102.0,101.375038,101.75,844000,7.027599
1990-03-07,101.75,102.75,101.624962,101.624962,1119200,7.018963
1990-03-08,101.5,101.624962,100.5,101.25,1268000,6.993066000000001
1990-03-09,100.75,101.124962,100.375038,100.5,1490400,6.941265
1990-03-12,99.624962,99.875038,99.375038,99.875038,599200,6.943701
1990-03-13,99.875038,100.0,99.75,100.0,632000,6.952389
1990-03-14,100.124962,100.25,98.75,99.375038,1356000,6.908939999999999
1990-03-15,99.375038,100.375038,99.25,100.25,952000,6.96977
1990-03-16,101.25,101.25,100.624962,100.875038,814400,7.013225
1990-03-19,99.5,100.5,99.5,100.124962,1327200,6.961077
1990-03-20,100.124962,100.375038,99.75,99.875038,489600,6.943701
1990-03-21,100.0,100.25,99.124962,99.124962,477600,6.891553
1990-03-22,99.124962,99.5,98.124962,98.25,856000,6.830723
1990-03-23,98.5,98.5,97.875038,98.124962,669600,6.822029
1990-03-26,98.375038,98.375038,96.624962,96.624962,1206400,6.717744000000001
1990-03-27,96.0,96.0,93.5,95.124962,2933600,6.6134580000000005
1990-03-28,95.375038,95.75,95.25,95.375038,1500800,6.630844000000001
1990-03-29,95.0,95.124962,93.624962,93.875038,1501600,6.5265580000000005
1990-03-30,93.75,93.875038,93.5,93.624962,1220800,6.509172
1990-04-02,93.375038,93.5,93.124962,93.5,657600,6.500483999999999
1990-04-03,93.5,94.5,93.0,94.375038,6248000,6.561319999999999
1990-04-04,94.25,95.25,93.0,93.25,1451200,6.483103
1990-04-05,93.624962,93.875038,92.5,92.875038,641600,6.457033999999999
1990-04-06,92.624962,92.875038,91.875038,92.875038,1139200,6.457033999999999
1990-04-09,92.875038,93.0,92.75,92.875038,203200,6.457033999999999
1990-04-10,92.875038,93.75,92.75,93.624962,747200,6.509172
1990-04-11,93.875038,94.375038,93.875038,94.0,948800,6.535246
1990-04-12,94.25,94.75,94.25,94.75,544000,6.587389
1990-04-16,94.624962,95.124962,94.0,94.624962,726400,6.578696000000001
1990-04-17,94.124962,94.375038,93.875038,94.375038,596000,6.561319999999999
1990-04-18,94.375038,94.375038,92.875038,93.0,968800,6.465722
1990-04-19,92.5,92.5,91.875038,91.875038,824000,6.38751
1990-04-20,92.0,92.0,89.75,90.0,1748800,6.25715
1990-04-23,90.124962,90.124962,87.875038,88.5,668000,6.152865
1990-04-24,88.5,89.0,87.75,88.0,855200,6.118103
1990-04-25,88.5,88.75,87.75,87.75,726400,6.100722
1990-04-26,88.0,88.375038,87.624962,88.375038,1160800,6.144177
1990-04-27,88.25,88.25,85.624962,85.624962,3287200,5.952980999999999
1990-04-30,85.624962,87.124962,85.624962,87.124962,1553600,6.0572669999999995
1990-05-01,87.124962,87.624962,87.124962,87.624962,2193600,6.092028
1990-05-02,87.5,88.25,87.25,87.75,1455200,6.100722
1990-05-03,87.875038,87.875038,86.124962,86.375038,1185600,6.005129
1990-05-04,86.75,86.875038,86.25,86.5,1547200,6.0138169999999995
1990-05-07,86.5,88.0,86.25,87.75,1315200,6.100722
1990-05-08,87.75,88.5,87.5,88.5,2858400,6.152865
1990-05-09,88.0,88.25,87.5,88.124962,1840800,6.12679
1990-05-10,88.25,88.624962,87.75,88.25,633600,6.135484
1990-05-11,88.875038,90.124962,88.375038,89.75,1914400,6.239769
1990-05-14,90.124962,91.25,90.124962,90.75,2503200,6.309293
1990-05-15,90.624962,92.75,90.624962,92.75,620800,6.448341
1990-05-16,92.75,93.75,92.25,93.0,1583200,6.465722
1990-05-17,93.25,95.0,93.25,94.0,1300000,6.535246
1990-05-18,94.0,94.0,93.25,93.375038,349600,6.491796
1990-05-21,93.375038,94.5,93.25,94.375038,1164800,6.561319999999999
1990-05-22,94.875038,95.375038,94.375038,95.124962,2018400,6.6134580000000005
1990-05-23,95.624962,96.5,95.5,96.124962,1319200,6.682982000000001
1990-05-24,96.75,96.875038,95.624962,95.875038,918400,6.6656059999999995
1990-05-25,95.75,95.75,94.624962,94.624962,540800,6.578696000000001
1990-05-29,94.375038,95.875038,94.375038,95.75,603200,6.656913
1990-05-30,95.75,96.124962,94.875038,95.5,532000,6.639532000000001
1990-05-31,47.625,48.0,47.5,48.0,592400,6.674294000000001
1990-06-01,48.25,48.875,48.125,48.75,619200,6.778580000000001
1990-06-04,48.875,49.375,48.75,49.0,587600,6.813342
1990-06-05,49.375,49.375,48.75,49.0,729200,6.813342
1990-06-06,48.875,50.625,48.625,50.5,1102000,7.0219130000000005
1990-06-07,50.25,50.375,48.625,49.25,751200,6.848103
1990-06-08,49.0,49.25,48.25,48.625,944400,6.761199
1990-06-11,48.25,49.25,48.125,48.375,1001200,6.772398
1990-06-12,48.75,48.75,48.0,48.25,495600,6.754899000000001
1990-06-13,48.625,49.375,48.5,48.75,854400,6.824897999999999
1990-06-14,48.375,48.375,47.75,47.75,702800,6.6849
1990-06-15,47.375,47.75,47.375,47.75,1033600,6.6849
1990-06-18,47.5,47.75,47.0,47.0,366400,6.5799009999999996
1990-06-19,47.0,47.75,47.0,47.125,791600,6.597401
1990-06-20,46.875,47.125,46.5,46.5,756400,6.509901999999999
1990-06-21,46.5,46.5,46.0,46.375,1776800,6.4924029999999995
1990-06-22,46.625,46.75,45.75,45.75,750000,6.404904
1990-06-25,46.0,46.0,44.875,45.125,509600,6.317405
1990-06-26,45.375,45.625,44.875,45.0,878000,6.299905
1990-06-27,45.125,45.375,44.5,44.5,909200,6.229907
1990-06-28,44.5,44.75,44.5,44.625,586800,6.247406
1990-06-29,44.625,45.0,44.625,44.75,340000,6.264906
1990-07-02,45.0,45.0,44.25,44.75,791600,6.264906
1990-07-03,45.0,45.5,44.75,45.375,581600,6.352405
1990-07-05,45.375,45.375,44.0,44.375,588800,6.212407
1990-07-06,44.375,45.375,44.375,45.375,461600,6.352405
1990-07-09,45.25,45.375,44.75,45.0,215200,6.299905
1990-07-10,45.25,45.75,44.375,44.375,602800,6.212407
1990-07-11,44.625,45.375,44.625,45.375,464800,6.352405
1990-07-12,46.0,46.5,45.375,46.5,1171600,6.509901999999999
1990-07-13,46.625,47.375,46.5,46.75,1014000,6.5449019999999996
1990-07-16,47.5,48.0,47.5,47.75,677600,6.6849
1990-07-17,48.0,48.25,47.5,48.0,999600,6.719899000000001
1990-07-18,47.75,47.875,47.375,47.375,782000,6.6324
1990-07-19,47.375,47.375,46.5,46.75,706000,6.5449019999999996
1990-07-20,47.0,47.125,46.75,46.875,574400,6.5624020000000005
1990-07-23,46.375,46.375,45.0,45.375,1132400,6.352405
1990-07-24,45.5,45.5,43.875,44.75,817600,6.264906
1990-07-25,44.625,45.0,44.5,45.0,487200,6.299905
1990-07-26,45.0,45.75,44.875,45.5,1244000,6.369904
1990-07-27,45.75,45.75,44.625,44.875,756400,6.282406
1990-07-30,44.875,45.375,44.75,45.375,791600,6.352405
1990-07-31,45.125,45.625,45.0,45.375,1420400,6.352405
1990-08-01,45.25,45.375,44.75,44.75,1289200,6.264906
1990-08-02,44.875,45.875,44.5,44.625,1357200,6.247406
1990-08-03,44.375,44.375,43.375,43.375,1639200,6.0724089999999995
1990-08-06,42.0,42.25,41.5,41.875,1037600,5.862412
1990-08-07,42.375,43.5,42.0,43.0,1023600,6.019909999999999
1990-08-08,43.125,43.625,43.125,43.5,1014000,6.089909
1990-08-09,43.5,43.625,43.25,43.5,724000,6.089909
1990-08-10,43.375,43.375,42.875,43.0,786000,6.019909999999999
1990-08-13,42.75,43.25,42.125,43.125,905200,6.037408999999999
1990-08-14,43.375,43.625,43.0,43.25,256800,6.054908999999999
1990-08-15,44.0,44.25,43.75,43.875,378400,6.1424080000000005
1990-08-16,43.5,43.5,42.875,42.875,594400,6.00241
1990-08-17,42.5,42.5,41.0,42.25,1372800,5.914911
1990-08-20,42.5,42.875,41.75,42.0,1085600,5.879912
1990-08-21,41.125,41.625,40.75,41.0,789600,5.739914
1990-08-22,41.125,42.0,41.125,41.375,901200,5.792413
1990-08-23,40.375,41.25,40.375,40.625,1960000,5.6874150000000006
1990-08-24,41.25,41.75,40.875,40.875,1076400,5.722414
1990-08-27,41.125,41.875,40.875,41.5,1624800,5.809913
1990-08-28,41.5,41.875,41.5,41.5,474800,5.809913
1990-08-29,41.75,42.75,41.375,42.25,920800,5.914911
1990-08-30,42.25,42.75,42.125,42.5,820000,5.949911
1990-08-31,42.375,43.25,42.375,43.25,542000,6.054908999999999
1990-09-04,43.0,43.0,42.625,43.0,269600,6.019909999999999
1990-09-05,42.875,43.125,42.875,43.0,311600,6.019909999999999
1990-09-06,43.0,43.0,42.875,42.875,502400,6.00241
1990-09-07,42.75,43.75,42.75,43.5,557600,6.089909
1990-09-10,43.875,44.25,43.0,43.25,590400,6.054908999999999
1990-09-11,43.5,43.625,42.75,42.875,869600,6.00241
1990-09-12,42.625,42.625,41.875,42.25,840800,5.914911
1990-09-13,42.25,42.625,41.75,41.875,1121600,5.862412
1990-09-14,41.625,41.625,40.75,41.0,1823200,5.739914
1990-09-17,40.375,40.875,40.375,40.625,966400,5.733562
1990-09-18,40.25,40.875,40.125,40.75,1459200,5.751204
1990-09-19,41.0,41.125,40.25,40.25,1147200,5.680637
1990-09-20,40.125,40.25,39.0,40.125,1454000,5.662996
1990-09-21,40.0,40.25,39.375,39.625,1155600,5.592429
1990-09-24,39.25,39.25,38.375,38.375,1816000,5.416011
1990-09-25,38.625,38.625,37.625,38.625,1116400,5.451295
1990-09-26,38.625,38.75,37.0,37.5,1571600,5.292519
1990-09-27,38.0,38.0,36.0,37.5,1582400,5.292519
1990-09-28,37.125,39.25,36.5,39.25,1865600,5.539503
1990-10-01,39.25,40.625,38.75,40.125,649600,5.662996
1990-10-02,40.375,41.375,40.0,40.0,1082800,5.645354
1990-10-03,40.125,40.25,39.375,39.375,334000,5.557144999999999
