Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,19.875,20.0,19.75,20.0,304800,3.0150639999999997
1990-01-03,20.0,20.0,19.625,19.75,439600,2.977376
1990-01-04,19.875,20.125,19.75,20.125,328000,3.0339080000000003
1990-01-05,20.25,20.25,19.75,20.0,352400,3.0150639999999997
1990-01-08,19.875,20.0,19.75,19.875,162400,2.99622
1990-01-09,19.75,19.875,19.5,19.5,199200,2.9396880000000003
1990-01-10,19.375,19.5,19.125,19.25,402000,2.901999
1990-01-11,19.25,19.375,19.125,19.375,339600,2.9208439999999998
1990-01-12,19.375,19.375,18.75,18.875,269200,2.8454669999999997
1990-01-15,19.0,19.0,18.625,18.875,148800,2.8454669999999997
1990-01-16,18.625,19.125,18.5,19.0,286400,2.8643110000000003
1990-01-17,19.25,19.875,19.125,19.625,245200,2.958532
1990-01-18,19.5,19.5,18.75,19.375,248400,2.9208439999999998
1990-01-19,19.25,19.625,19.125,19.125,238000,2.883155
1990-01-22,19.125,19.25,18.75,18.75,158800,2.826623
1990-01-23,19.0,19.125,18.875,19.125,154000,2.883155
1990-01-24,18.75,18.875,18.125,18.875,223600,2.8454669999999997
1990-01-25,18.75,19.125,18.75,19.0,79200,2.8643110000000003
1990-01-26,19.0,19.125,18.75,18.875,119600,2.8454669999999997
1990-01-29,19.125,19.375,18.875,19.0,146800,2.8643110000000003
1990-01-30,18.875,18.875,18.0,18.0,376400,2.7135580000000004
1990-01-31,18.25,18.5,18.125,18.5,190400,2.788934
1990-02-01,18.75,18.75,18.125,18.25,166400,2.751246
1990-02-02,18.125,18.375,18.0,18.125,478000,2.732402
1990-02-05,18.25,18.375,18.125,18.125,87200,2.732402
1990-02-06,18.125,18.25,18.0,18.125,86000,2.732402
1990-02-07,18.25,18.625,17.625,17.75,239200,2.67587
1990-02-08,17.75,18.0,17.75,17.75,173600,2.67587
1990-02-09,18.25,18.5,18.0,18.25,648400,2.751246
1990-02-12,18.5,18.5,18.25,18.5,162800,2.788934
1990-02-13,18.625,18.625,18.375,18.5,122800,2.788934
1990-02-14,18.5,18.5,18.25,18.5,248000,2.788934
1990-02-15,18.25,18.5,18.25,18.375,78800,2.77009
1990-02-16,18.625,18.75,18.375,18.75,204400,2.826623
1990-02-20,18.75,18.75,18.25,18.625,171200,2.807779
1990-02-21,18.375,18.625,18.125,18.5,456400,2.788934
1990-02-22,18.5,18.875,18.5,18.875,76400,2.864045
1990-02-23,18.75,18.875,18.25,18.375,754000,2.788176
1990-02-26,18.25,18.625,18.25,18.625,58800,2.82611
1990-02-27,18.75,18.75,18.125,18.125,269200,2.7502419999999996
1990-02-28,18.25,18.25,17.375,17.625,454800,2.674373
1990-03-01,17.5,17.5,16.875,17.25,822400,2.617471
1990-03-02,17.25,17.25,16.25,17.0,1125600,2.5795369999999997
1990-03-05,17.125,17.5,17.125,17.25,180000,2.617471
1990-03-06,17.375,18.0,17.375,18.0,316800,2.731274
1990-03-07,18.0,18.0,17.875,18.0,368800,2.731274
1990-03-08,18.0,18.0,17.625,17.875,213200,2.712307
1990-03-09,18.0,18.875,18.0,18.875,808000,2.864045
1990-03-12,18.875,19.625,18.625,19.5,441600,2.9588810000000003
1990-03-13,19.375,19.625,19.25,19.5,164400,2.9588810000000003
1990-03-14,19.625,20.0,19.375,19.625,348400,2.977848
1990-03-15,19.625,20.75,19.625,20.5,434000,3.110618
1990-03-16,20.375,20.75,20.125,20.75,206400,3.148552
1990-03-19,20.5,20.75,20.0,20.75,316000,3.148552
1990-03-20,20.875,21.5,20.875,21.5,422400,3.262356
1990-03-21,21.375,21.875,20.75,20.875,516400,3.16752
1990-03-22,20.875,21.125,20.125,20.375,275200,3.0916509999999997
1990-03-23,20.625,20.75,20.0,20.375,211600,3.0916509999999997
1990-03-26,20.25,21.375,20.125,21.125,218000,3.205454
1990-03-27,21.0,21.5,20.625,21.5,680400,3.262356
1990-03-28,21.25,21.5,21.0,21.5,282800,3.262356
