Date,Open,High,Low,Close,Volume,Adj Close
1997-10-16,23.25,23.25,22.25,22.75,7436400,4.327653
1997-10-17,22.625,23.0,21.625,22.375,3390400,4.256318
1997-10-20,22.0,22.5,21.875,22.125,3068000,4.208762
1997-10-21,22.25,22.75,22.0,22.375,2382400,4.256318
1997-10-22,22.75,23.0,22.375,22.875,1525200,4.351432
1997-10-23,22.75,22.75,22.125,22.375,1622400,4.256318
1997-10-24,22.625,22.875,22.25,22.875,813600,4.351432
1997-10-27,22.625,23.0,21.5,21.687519,1507200,4.125541
1997-10-28,21.0,22.75,19.75,22.375,2955600,4.256318
1997-10-29,22.75,22.875,22.375,22.625,1859200,4.303875
1997-10-30,22.125,22.25,21.5,22.0,856000,4.184984
1997-10-31,21.75,22.562481,21.75,22.0,561600,4.184984
1997-11-03,22.5,23.375,22.125,22.937519,1004000,4.363325
1997-11-04,23.0,23.5,22.75,23.125,364000,4.398988
1997-11-05,23.25,24.25,23.125,23.625,324400,4.494102
1997-11-06,23.5,25.0,23.5,25.0,361600,4.755662999999999
1997-11-07,24.75,26.5,24.125,25.75,662400,4.898333
1997-11-10,25.25,26.0,24.625,24.625,266800,4.684328
1997-11-11,23.75,24.0,23.0,24.0,618000,4.565437
1997-11-12,24.0,24.0,22.25,22.75,314800,4.327653
1997-11-13,22.25,22.5,21.875,22.0,500000,4.184984
1997-11-14,21.75,22.0,21.25,21.75,438000,4.137427
1997-11-17,22.0,23.375,22.0,23.25,284000,4.4227669999999994
1997-11-18,23.5,23.5,22.75,22.875,1429600,4.351432
1997-11-19,22.875,23.25,22.25,22.25,148400,4.23254
1997-11-20,22.5,22.5,21.25,22.25,1268000,4.23254
1997-11-21,22.25,22.5,22.0,22.125,640800,4.208762
1997-11-24,22.0,22.375,22.0,22.125,64400,4.208762
1997-11-25,22.25,22.5,22.0,22.062481,326800,4.196869
1997-11-26,22.0,22.125,20.937519,21.015639999999998,463200,3.997732
1997-11-28,21.125,21.25,21.0,21.0,212800,3.994757
1997-12-01,21.0,21.5,21.0,21.062481,475200,4.006643
1997-12-02,21.5,22.0,21.125,21.375,1280800,4.066092
1997-12-03,21.75,22.0,21.375,22.0,934400,4.184984
1997-12-04,22.0,22.5,21.625,22.187519,681600,4.220655000000001
1997-12-05,22.0,23.0,21.75,22.75,282800,4.327653
1997-12-08,22.75,23.0,22.625,22.875,227600,4.351432
1997-12-09,23.0,23.25,22.375,22.375,124000,4.256318
1997-12-10,22.5,22.5,21.25,21.5,269600,4.100867
1997-12-11,21.0,21.5,20.625,21.25,400800,4.053182
1997-12-12,21.5,21.5,20.625,20.625,412400,3.933971
1997-12-15,21.0,21.5,20.687519,20.875,289200,3.9816559999999996
1997-12-16,20.5,21.25,20.5,20.875,190800,3.9816559999999996
1997-12-17,20.625,20.75,20.125,20.125,584800,3.838602
1997-12-18,20.375,20.375,19.875,20.0,272400,3.8147599999999997
1997-12-19,20.125,20.125,19.75,19.75,921600,3.767075
1997-12-22,19.75,21.25,19.75,20.25,924000,3.8624440000000004
1997-12-23,20.75,20.75,19.75,20.0,2331200,3.8147599999999997
1997-12-24,20.125,20.125,19.75,19.75,50400,3.767075
1997-12-26,20.0,20.25,19.875,20.25,1248400,3.8624440000000004
1997-12-29,20.25,21.125,20.0,21.125,430800,4.02934
1997-12-30,20.25,21.375,20.25,21.125,662800,4.02934
1997-12-31,21.625,22.75,21.0,22.375,911600,4.2677629999999995
1998-01-02,22.125,23.125,22.125,23.125,112400,4.4108160000000005
1998-01-05,24.125,24.375,22.5,22.5,629600,4.291605000000001
1998-01-06,22.375,22.375,21.0,21.687519,915200,4.136634
1998-01-07,21.687519,23.0,21.687519,22.25,164800,4.24392
1998-01-08,22.0,23.125,22.0,23.0,236000,4.3869739999999995
1998-01-09,22.625,23.0,22.0,22.0,140400,4.196236
1998-01-12,21.5,22.125,21.375,21.375,927200,4.077025
1998-01-13,22.0,22.0,21.25,21.75,100400,4.148551
1998-01-14,21.75,22.25,21.375,21.437519,585600,4.0889489999999995
1998-01-15,21.75,21.75,21.375,21.5,417200,4.100867
1998-01-16,21.75,22.375,21.375,22.25,69200,4.24392
1998-01-20,22.0,23.125,22.0,23.125,348800,4.4108160000000005
1998-01-21,23.0,23.125,22.875,23.0,141600,4.3869739999999995
1998-01-22,22.875,23.0,22.625,22.625,92400,4.315447
1998-01-23,22.625,23.5,22.625,23.25,211200,4.434658
1998-01-26,23.5,23.5,22.5,22.875,497200,4.363132
1998-01-27,23.0,23.0,22.5,22.5,96400,4.291605000000001
1998-01-28,22.5,22.75,22.5,22.625,154800,4.315447
1998-01-29,22.625,23.25,22.625,22.875,108400,4.363132
1998-01-30,23.187519,23.187519,22.625,22.875,130400,4.363132
1998-02-02,23.125,24.625,23.125,24.0,580800,4.577712
1998-02-03,23.75,24.5,23.75,24.0,159200,4.577712
