Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,50.75,51.624962,50.75,51.5,80800,3.802747
1990-01-03,51.25,51.25,50.875038,51.0,164000,3.765827
1990-01-04,51.0,51.75,50.875038,51.5,1893600,3.802747
1990-01-05,51.5,51.5,50.75,51.124962,214400,3.775054
1990-01-08,51.0,51.624962,51.0,51.25,1081600,3.7842870000000004
1990-01-09,51.25,51.75,50.624962,50.624962,1414400,3.7381339999999996
1990-01-10,50.75,50.875038,50.0,50.25,789600,3.7104470000000003
1990-01-11,50.25,50.624962,50.124962,50.624962,435200,3.7381339999999996
1990-01-12,50.124962,50.124962,49.5,49.75,100000,3.6735269999999995
1990-01-15,49.0,49.0,48.5,48.75,337600,3.5996870000000003
1990-01-16,48.375038,49.5,48.124962,49.5,246400,3.655067
1990-01-17,49.75,50.0,49.124962,49.124962,152800,3.6273739999999997
1990-01-18,49.124962,49.375038,48.25,49.0,74400,3.618147
1990-01-19,49.25,49.25,48.75,49.0,219200,3.618147
1990-01-22,48.875038,49.0,48.0,48.0,424800,3.544307
1990-01-23,48.0,48.0,47.124962,47.124962,484000,3.4796949999999995
1990-01-24,46.75,47.5,45.75,47.375038,421600,3.49816
1990-01-25,47.5,48.0,47.25,47.375038,315200,3.49816
1990-01-26,47.375038,47.875038,47.25,47.875038,80000,3.5350800000000002
1990-01-29,47.5,48.0,47.25,47.375038,211200,3.49816
1990-01-30,47.624962,47.75,47.124962,47.5,83200,3.5073879999999997
1990-01-31,47.75,48.5,47.624962,48.5,46400,3.5812269999999997
1990-02-01,48.75,48.75,48.5,48.75,73600,3.5996870000000003
1990-02-02,49.0,50.0,48.624962,49.624962,137600,3.6642940000000004
1990-02-05,49.624962,51.25,49.375038,49.624962,232000,3.6642940000000004
1990-02-06,49.5,49.5,48.875038,49.0,106400,3.618147
1990-02-07,48.75,48.75,48.0,48.0,56000,3.544307
1990-02-08,48.25,48.25,47.75,47.875038,260000,3.5350800000000002
1990-02-09,47.375038,47.75,47.124962,47.25,217600,3.488928
1990-02-12,47.124962,47.124962,46.5,46.624962,154400,3.442775
1990-02-13,46.375038,46.375038,45.875038,45.875038,129600,3.387401
