Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,37.75,37.875,37.5,37.625,81100,16.847036
1990-01-03,38.0,38.5,38.0,38.5,261400,17.238827
1990-01-04,38.5,38.5,37.75,38.0,80900,17.014946
1990-01-05,37.75,37.875,37.25,37.5,65400,16.791065
1990-01-08,37.75,37.875,37.25,37.75,79800,16.903006
1990-01-09,37.5,37.5,36.375,36.375,205500,16.287333
1990-01-10,36.5,37.0,36.375,37.0,109900,16.567185000000002
1990-01-11,37.0,37.0,36.75,36.75,101800,16.455244
1990-01-12,36.5,36.5,36.0,36.25,115800,16.231363
1990-01-15,36.125,36.125,35.375,35.375,86900,15.839572
1990-01-16,35.125,36.0,34.875,35.875,173100,16.063453
1990-01-17,36.125,36.125,35.75,35.875,144500,16.063453
1990-01-18,36.0,36.0,35.5,35.875,49400,16.063453
1990-01-19,36.0,36.625,36.0,36.375,234300,16.287333
1990-01-22,36.25,36.5,35.25,35.25,112700,15.783601
1990-01-23,35.625,36.0,34.625,34.875,234200,15.615691
1990-01-24,34.0,34.375,33.625,34.25,167700,15.33584
1990-01-25,34.5,34.5,33.0,33.0,498100,14.776138000000001
1990-01-26,33.0,33.625,32.75,33.5,567900,15.000017999999999
1990-01-29,33.875,33.875,33.125,33.375,136100,14.944048
1990-01-30,33.5,33.75,32.5,32.625,488200,14.652129
1990-01-31,33.125,33.75,33.125,33.75,380800,15.157375
1990-02-01,34.0,34.375,33.875,34.375,166300,15.438067000000002
1990-02-02,34.25,34.625,34.125,34.5,66600,15.494206
1990-02-05,34.25,34.625,34.25,34.625,58000,15.550344
1990-02-06,34.375,34.5,34.0,34.25,103100,15.381929000000001
1990-02-07,34.0,34.625,33.875,34.625,56000,15.550344
1990-02-08,34.625,35.125,34.5,34.875,262100,15.662621
1990-02-09,35.0,35.0,34.75,34.875,89600,15.662621
1990-02-12,34.75,35.0,34.75,35.0,111900,15.718759
1990-02-13,34.75,34.875,34.625,34.75,381400,15.606482000000002
1990-02-14,34.75,34.75,34.0,34.375,76000,15.438067000000002
1990-02-15,34.625,34.75,34.5,34.75,42700,15.606482000000002
1990-02-16,34.625,34.75,34.25,34.375,64800,15.438067000000002
1990-02-20,34.25,34.5,34.125,34.375,145200,15.438067000000002
1990-02-21,34.125,34.375,34.0,34.0,103700,15.269651999999999
1990-02-22,34.0,34.25,33.5,33.75,110500,15.157375
1990-02-23,33.75,33.75,32.25,32.625,108400,14.652129
1990-02-26,32.375,32.75,31.375,32.625,498900,14.652129
1990-02-27,33.0,33.0,32.625,32.625,151800,14.652129
1990-02-28,32.625,33.125,32.5,33.125,250100,14.876682999999998
1990-03-01,33.125,33.875,33.125,33.625,90500,15.101237
1990-03-02,33.5,34.0,33.5,33.875,86900,15.213513
1990-03-05,34.125,34.125,33.75,33.75,68300,15.157375
1990-03-06,33.75,34.25,33.75,34.125,91900,15.32579
1990-03-07,34.25,34.75,34.25,34.625,192600,15.550344
1990-03-08,34.625,35.0,34.625,35.0,142300,15.718759
1990-03-09,35.0,35.0,34.75,35.0,93400,15.718759
1990-03-12,34.75,34.75,34.5,34.625,69000,15.550344
1990-03-13,34.75,35.0,34.75,34.75,229300,15.606482000000002
1990-03-14,34.625,34.75,33.75,34.125,50200,15.32579
1990-03-15,34.125,34.25,32.75,33.75,221800,15.157375
1990-03-16,33.875,34.0,33.25,33.375,240800,14.98896
1990-03-19,33.0,33.25,32.75,33.125,92700,14.876682999999998
1990-03-20,32.875,32.875,32.125,32.5,238500,14.595991
1990-03-21,32.5,33.25,32.375,32.75,394100,14.708267999999999
1990-03-22,32.75,32.875,32.5,32.625,60800,14.652129
1990-03-23,32.75,33.25,32.75,32.875,141100,14.764406
1990-03-26,33.0,33.25,33.0,33.0,46500,14.820544
1990-03-27,33.0,33.25,32.875,33.25,81800,14.932820999999999
1990-03-28,33.125,33.5,32.25,32.25,270300,14.483714
1990-03-29,32.25,32.375,32.125,32.375,129800,14.539852
1990-03-30,32.25,32.375,31.875,32.375,278100,14.539852
1990-04-02,32.25,32.25,31.875,32.125,89900,14.427575
1990-04-03,32.0,32.625,32.0,32.5,85600,14.595991
1990-04-04,32.375,32.625,32.25,32.5,91400,14.595991
1990-04-05,32.5,32.625,32.125,32.25,108900,14.483714
1990-04-06,32.375,32.375,31.125,31.5,94000,14.146882999999999
1990-04-09,31.25,31.375,30.5,30.875,226600,13.866191
1990-04-10,30.75,30.75,29.875,30.25,135100,13.585498999999999
1990-04-11,30.0,30.125,29.375,29.5,290600,13.248669
1990-04-12,29.125,29.625,28.5,29.5,454200,13.248669
1990-04-16,29.375,29.625,28.625,29.0,241300,13.024115
1990-04-17,29.0,29.25,28.75,29.25,259200,13.136392
1990-04-18,29.25,30.25,29.125,30.0,687100,13.473222
1990-04-19,30.0,30.0,29.5,29.5,148500,13.248669
1990-04-20,29.75,30.0,29.5,29.5,229000,13.248669
1990-04-23,29.5,29.5,29.125,29.125,160400,13.080252999999999
1990-04-24,29.25,29.75,29.0,29.0,470100,13.024115
1990-04-25,29.375,29.75,29.375,29.625,325000,13.304807
1990-04-26,29.625,29.75,29.25,29.5,249600,13.248669
1990-04-27,29.5,29.625,29.5,29.625,141300,13.304807
1990-04-30,29.625,29.75,29.25,29.375,157200,13.19253
1990-05-01,29.5,29.5,29.0,29.125,187200,13.124932999999999
1990-05-02,29.125,29.5,29.0,29.5,237800,13.293923999999999
1990-05-03,29.75,30.375,29.625,30.0,187400,13.519244
1990-05-04,30.625,30.625,30.0,30.0,275100,13.519244
1990-05-07,30.0,30.0,29.75,29.875,122700,13.462914000000001
1990-05-08,30.0,30.0,29.75,29.875,128800,13.462914000000001
1990-05-09,30.125,30.25,29.875,30.125,195400,13.575575
1990-05-10,30.0,30.0,29.75,29.75,207900,13.406584
1990-05-11,30.0,30.375,29.875,30.25,205000,13.631905
1990-05-14,30.25,30.625,30.125,30.5,144800,13.744565
1990-05-15,30.375,31.5,30.375,31.375,91500,14.138876999999999
1990-05-16,31.25,31.5,31.125,31.25,100400,14.082545999999999
1990-05-17,31.25,31.375,31.0,31.125,147500,14.026216
1990-05-18,30.5,30.5,29.5,30.25,248700,13.631905
1990-05-21,30.5,31.0,30.0,30.875,243200,13.913556
1990-05-22,31.25,31.75,30.75,31.0,268000,13.969885999999999
1990-05-23,30.75,30.75,27.625,28.625,793600,12.899612
1990-05-24,28.5,30.0,27.25,29.125,939100,13.124932999999999
1990-05-25,29.125,29.625,29.0,29.375,295000,13.237594
1990-05-29,29.5,29.625,28.875,29.0,250400,13.068603
1990-05-30,29.0,29.5,28.75,29.25,228000,13.181263000000001
1990-05-31,29.0,29.25,28.625,29.25,79100,13.181263000000001
1990-06-01,29.375,29.5,29.25,29.375,191600,13.237594
1990-06-04,29.5,30.0,29.25,29.875,301500,13.462914000000001
1990-06-05,30.0,30.875,29.875,30.75,463700,13.857226
1990-06-06,30.625,31.375,30.5,30.875,242500,13.913556
1990-06-07,30.875,30.875,30.375,30.5,66500,13.744565
1990-06-08,30.375,30.75,30.25,30.75,133300,13.857226
1990-06-11,30.5,30.75,30.375,30.5,84000,13.744565
1990-06-12,30.625,31.25,30.625,30.75,205500,13.857226
1990-06-13,30.875,31.125,30.75,31.0,254700,13.969885999999999
1990-06-14,31.0,31.25,30.875,31.0,121500,13.969885999999999
1990-06-15,31.0,31.125,31.0,31.125,159600,14.026216
1990-06-18,31.375,31.375,30.75,30.875,100400,13.913556
1990-06-19,30.875,31.0,30.75,31.0,131600,13.969885999999999
1990-06-20,31.0,31.5,31.0,31.5,150800,14.195207
1990-06-21,31.75,31.75,31.375,31.625,45800,14.251536999999999
1990-06-22,31.625,31.75,31.125,31.125,131700,14.026216
1990-06-25,31.0,31.375,31.0,31.125,260300,14.026216
1990-06-26,31.25,31.5,31.125,31.5,160100,14.195207
1990-06-27,31.625,31.625,31.375,31.375,41800,14.138876999999999
1990-06-28,31.375,31.5,31.25,31.5,50700,14.195207
1990-06-29,31.5,31.875,31.5,31.875,37400,14.364197
1990-07-02,31.625,31.625,31.25,31.375,42200,14.138876999999999
1990-07-03,31.25,31.75,31.125,31.75,334400,14.307867000000002
1990-07-05,31.625,31.75,31.625,31.625,59800,14.251536999999999
1990-07-06,31.625,33.0,31.5,32.75,446600,14.758509
1990-07-09,32.875,32.875,32.25,32.375,96100,14.589518
1990-07-10,32.375,32.375,32.0,32.125,100400,14.476857999999998
1990-07-11,32.125,32.125,31.75,31.75,151700,14.307867000000002
1990-07-12,31.875,31.875,31.75,31.875,68700,14.364197
1990-07-13,31.875,32.0,31.75,32.0,164900,14.420526999999998
1990-07-16,32.125,32.125,31.75,31.75,222700,14.307867000000002
1990-07-17,32.0,32.0,31.75,31.875,68900,14.364197
1990-07-18,31.875,31.875,31.75,31.75,63100,14.307867000000002
1990-07-19,31.75,32.0,31.625,31.875,76100,14.364197
1990-07-20,31.875,31.875,31.375,31.5,65500,14.195207
1990-07-23,31.25,31.375,30.875,31.0,231500,13.969885999999999
1990-07-24,31.0,31.375,31.0,31.0,58500,13.969885999999999
1990-07-25,30.875,31.0,30.0,30.875,56000,13.913556
1990-07-26,30.875,31.375,30.75,31.125,113700,14.026216
