Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,35.0,35.25,34.875,35.25,710800,3.901733
1990-01-03,35.25,35.25,35.125,35.25,461600,3.901733
1990-01-04,35.25,35.25,34.5,34.875,558000,3.860225
1990-01-05,34.875,34.875,34.375,34.375,360000,3.804881
1990-01-08,34.5,34.75,34.375,34.625,264000,3.832553
1990-01-09,34.75,34.75,34.375,34.5,470600,3.818717
1990-01-10,34.375,34.625,34.125,34.625,424600,3.832553
1990-01-11,34.75,34.875,34.625,34.75,268400,3.846389
1990-01-12,34.625,34.625,34.25,34.375,404600,3.804881
1990-01-15,34.375,34.625,34.25,34.625,365400,3.832553
1990-01-16,34.375,34.75,34.375,34.75,350200,3.846389
1990-01-17,34.875,34.875,34.375,34.5,245200,3.818717
1990-01-18,34.125,34.5,34.125,34.5,495200,3.818717
1990-01-19,34.375,34.5,34.25,34.375,393000,3.804881
1990-01-22,34.375,34.5,33.75,33.75,506600,3.735702
1990-01-23,33.875,34.0,33.625,33.75,323600,3.735702
1990-01-24,33.5,34.0,32.875,33.75,341400,3.735702
1990-01-25,33.875,33.875,33.125,33.125,223000,3.666522
1990-01-26,33.125,33.375,32.875,33.125,337200,3.666522
1990-01-29,33.0,33.625,33.0,33.5,310000,3.7080300000000004
1990-01-30,33.5,33.625,33.0,33.5,248200,3.7080300000000004
1990-01-31,33.375,33.875,33.25,33.875,410400,3.749538
1990-02-01,34.0,34.0,33.625,33.875,196200,3.749538
1990-02-02,33.75,33.875,33.625,33.875,200600,3.749538
1990-02-05,33.875,34.125,33.75,34.0,463800,3.7633739999999998
1990-02-06,34.0,34.125,33.875,34.0,534200,3.7633739999999998
1990-02-07,33.75,34.125,33.75,34.125,290800,3.7772089999999996
1990-02-08,34.0,34.125,33.875,34.0,566600,3.7633739999999998
1990-02-09,34.125,34.375,34.0,34.375,557400,3.804881
1990-02-12,33.5,33.625,33.125,33.125,1195000,3.747189
1990-02-13,33.125,33.375,33.0,33.375,1242600,3.775469
1990-02-14,33.625,33.875,33.5,33.625,198600,3.80375
1990-02-15,33.75,34.5,33.75,34.25,794400,3.874452
1990-02-16,34.25,34.375,33.875,34.0,384800,3.846171
1990-02-20,33.75,33.75,33.375,33.625,252000,3.80375
1990-02-21,33.25,33.375,33.125,33.25,510600,3.761329
1990-02-22,33.375,33.375,33.0,33.0,335600,3.733048
1990-02-23,33.125,33.125,32.5,32.625,185800,3.6906269999999997
1990-02-26,32.5,33.125,32.5,33.0,341800,3.733048
1990-02-27,33.0,33.25,32.875,33.125,350000,3.747189
1990-02-28,33.125,33.375,33.0,33.125,449800,3.747189
1990-03-01,33.0,33.375,33.0,33.25,359600,3.761329
1990-03-02,33.5,33.625,33.375,33.625,216000,3.80375
1990-03-05,33.5,33.75,33.0,33.375,365400,3.775469
1990-03-06,33.375,34.125,33.25,34.125,404800,3.8603110000000003
1990-03-07,33.875,34.0,33.75,33.75,549400,3.8178900000000002
1990-03-08,33.875,34.0,33.625,33.875,1945000,3.8320309999999997
1990-03-09,33.875,33.875,33.75,33.875,324200,3.8320309999999997
1990-03-12,33.75,33.875,33.625,33.75,496600,3.8178900000000002
1990-03-13,33.875,33.875,33.5,33.5,506800,3.7896099999999997
1990-03-14,33.625,33.625,33.375,33.625,183800,3.80375
1990-03-15,33.625,33.875,33.5,33.625,494600,3.80375
1990-03-16,33.625,33.75,33.25,33.75,490800,3.8178900000000002
1990-03-19,33.5,33.625,33.25,33.375,275600,3.775469
1990-03-20,33.375,33.625,33.25,33.25,183600,3.761329
1990-03-21,33.375,33.5,33.125,33.25,187600,3.761329
1990-03-22,33.125,33.25,32.625,32.75,215800,3.704768
1990-03-23,32.875,32.875,32.625,32.75,242600,3.704768
1990-03-26,32.875,33.125,32.75,33.0,216800,3.733048
1990-03-27,33.0,33.25,32.875,33.25,258400,3.761329
1990-03-28,33.5,33.625,33.0,33.25,628000,3.761329
1990-03-29,33.0,33.25,33.0,33.0,96000,3.733048
1990-03-30,33.125,33.375,32.875,33.375,188200,3.775469
1990-04-02,33.25,33.375,33.0,33.0,257600,3.733048
1990-04-03,33.25,33.25,33.0,33.25,259800,3.761329
1990-04-04,33.25,33.375,33.125,33.375,267200,3.775469
1990-04-05,33.375,33.375,32.25,32.25,1607200,3.6482059999999996
1990-04-06,32.25,32.5,31.5,32.125,1362000,3.6340660000000002
1990-04-09,32.125,32.375,32.0,32.125,170400,3.6340660000000002
1990-04-10,32.125,32.375,32.0,32.375,316600,3.662347
1990-04-11,32.5,32.75,32.375,32.625,261800,3.6906269999999997
1990-04-12,32.625,32.625,32.25,32.5,462000,3.6764870000000003
1990-04-16,32.5,32.625,32.25,32.625,380400,3.6906269999999997
1990-04-17,32.375,32.375,31.875,32.125,495000,3.6340660000000002
1990-04-18,32.125,32.125,31.375,31.5,726800,3.563364
1990-04-19,31.625,31.875,31.625,31.875,362400,3.605785
1990-04-20,31.75,31.875,31.25,31.625,1473800,3.5775050000000004
1990-04-23,31.625,32.25,31.625,32.25,635600,3.6482059999999996
1990-04-24,32.375,32.5,32.125,32.375,674800,3.662347
1990-04-25,32.375,32.375,32.125,32.25,349800,3.6482059999999996
1990-04-26,32.375,32.5,32.0,32.375,412600,3.662347
1990-04-27,32.375,32.375,32.0,32.25,223400,3.6482059999999996
1990-04-30,32.125,32.25,32.0,32.25,292800,3.6482059999999996
1990-05-01,32.125,32.5,32.125,32.5,574200,3.6764870000000003
1990-05-02,32.5,32.75,32.375,32.5,538600,3.6764870000000003
1990-05-03,32.5,32.625,32.375,32.625,556200,3.6906269999999997
1990-05-04,32.75,33.5,32.75,33.5,1085600,3.7896099999999997
1990-05-07,33.375,34.25,33.375,33.875,782800,3.8320309999999997
1990-05-08,33.5,33.5,32.75,32.875,1056200,3.7189080000000003
1990-05-09,32.875,33.375,32.875,33.375,1973200,3.775469
1990-05-10,32.75,33.0,32.5,32.625,2271200,3.774313
1990-05-11,33.0,33.5,32.875,33.375,2528200,3.861078
1990-05-14,33.375,33.625,33.0,33.5,745400,3.875539
1990-05-15,33.375,33.75,33.375,33.75,235600,3.904461
1990-05-16,33.625,33.75,33.5,33.75,214000,3.904461
1990-05-17,33.625,33.75,33.375,33.625,350000,3.89
1990-05-18,33.25,33.25,32.75,32.875,315600,3.803235
1990-05-21,32.5,32.75,31.75,32.0,699400,3.702008
1990-05-22,32.625,32.625,32.0,32.0,641600,3.702008
1990-05-23,32.0,32.375,32.0,32.375,397800,3.745391
1990-05-24,32.5,32.5,32.25,32.375,211800,3.745391
1990-05-25,32.375,32.5,32.125,32.125,192000,3.716469
1990-05-29,32.25,32.25,32.0,32.125,278400,3.716469
1990-05-30,32.25,32.375,31.75,32.0,280600,3.702008
1990-05-31,31.875,32.125,31.875,31.875,283800,3.687547
1990-06-01,31.875,32.5,31.875,32.25,553600,3.7309300000000003
1990-06-04,32.625,33.25,32.125,33.25,410800,3.8466169999999997
1990-06-05,33.125,33.375,33.0,33.125,291200,3.832156
1990-06-06,33.125,33.625,33.125,33.625,764400,3.89
1990-06-07,33.5,33.625,33.125,33.5,486800,3.875539
1990-06-08,33.25,33.375,33.0,33.125,277800,3.832156
1990-06-11,33.125,33.125,33.0,33.125,207600,3.832156
1990-06-12,33.125,33.25,33.0,33.25,193800,3.8466169999999997
1990-06-13,33.25,33.5,33.25,33.375,419600,3.861078
1990-06-14,33.25,33.375,33.0,33.25,152600,3.8466169999999997
1990-06-15,33.0,33.25,33.0,33.25,494200,3.8466169999999997
1990-06-18,33.125,33.125,32.375,32.5,612000,3.7598519999999995
1990-06-19,32.625,33.0,32.5,33.0,397000,3.8176959999999998
1990-06-20,32.875,33.0,32.625,32.875,288000,3.803235
1990-06-21,32.5,32.75,32.375,32.5,347800,3.7598519999999995
1990-06-22,32.375,32.625,32.25,32.375,727200,3.745391
1990-06-25,32.25,32.375,31.875,32.125,400400,3.716469
1990-06-26,32.125,32.375,32.125,32.25,558400,3.7309300000000003
1990-06-27,32.375,33.0,32.25,32.875,660200,3.803235
1990-06-28,32.75,33.125,32.625,33.125,559600,3.832156
1990-06-29,33.0,33.625,33.0,33.625,1031600,3.89
1990-07-02,33.375,33.5,33.25,33.375,295800,3.861078
1990-07-03,33.375,33.625,33.375,33.5,445200,3.875539
1990-07-05,33.5,33.625,33.125,33.25,337600,3.8466169999999997
1990-07-06,33.5,33.625,33.125,33.5,337000,3.875539
1990-07-09,33.5,33.5,33.0,33.25,348400,3.8466169999999997
1990-07-10,33.25,33.25,33.0,33.0,352800,3.8176959999999998
1990-07-11,33.125,33.125,32.875,33.0,511400,3.8176959999999998
1990-07-12,32.875,33.125,32.75,33.0,744200,3.8176959999999998
1990-07-13,33.125,33.25,33.0,33.125,218600,3.832156
1990-07-16,33.25,33.25,33.0,33.25,272400,3.8466169999999997
1990-07-17,33.125,33.25,33.0,33.25,158000,3.8466169999999997
1990-07-18,33.0,33.125,32.75,32.75,225200,3.7887739999999996
1990-07-19,32.625,32.875,32.375,32.5,214400,3.7598519999999995
1990-07-20,32.75,32.75,32.5,32.625,273400,3.774313
1990-07-23,32.5,32.625,32.0,32.375,594200,3.745391
1990-07-24,32.25,32.5,31.75,32.5,296200,3.7598519999999995
1990-07-25,32.5,32.875,32.375,32.875,709000,3.803235
1990-07-26,32.75,33.125,32.625,33.125,363200,3.832156
1990-07-27,33.0,33.125,32.25,32.625,412600,3.774313
1990-07-30,32.625,33.25,32.375,33.25,569000,3.8466169999999997
1990-07-31,33.125,34.0,33.125,33.75,475400,3.904461
1990-08-01,33.5,34.5,33.5,34.5,642600,3.991227
1990-08-02,34.125,34.375,33.75,33.875,609800,3.9189220000000002
1990-08-03,33.75,33.75,32.875,33.125,786400,3.832156
1990-08-06,32.75,32.75,32.0,32.25,436600,3.7309300000000003
1990-08-07,32.125,33.25,32.125,33.25,1619200,3.8466169999999997
1990-08-08,33.125,34.0,33.125,33.875,789400,3.9189220000000002
1990-08-09,33.875,34.0,33.75,33.875,998200,3.9189220000000002
1990-08-10,33.0,33.625,32.625,32.875,3386600,3.888172
1990-08-13,32.75,33.0,32.625,33.0,2760800,3.9029559999999996
1990-08-14,33.0,33.25,32.875,33.125,496000,3.917739
1990-08-15,33.25,33.5,33.0,33.375,380800,3.947307
