Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,57.75,58.0,54.0,55.25,2805200,6.95403
1990-01-03,54.875,55.0,53.25,54.25,1934000,6.859203
1990-01-04,53.75,54.375,52.25,53.25,1469600,6.732766000000001
1990-01-05,51.75,52.75,51.25,51.625,1927200,6.527305999999999
1990-01-08,51.125,51.25,49.875,50.75,1533600,6.4166739999999995
1990-01-09,51.0,51.625,50.25,50.625,586000,6.400869
1990-01-10,50.875,50.875,49.625,50.125,695200,6.337651
1990-01-11,50.625,51.0,49.75,49.875,662800,6.3060410000000005
1990-01-12,49.125,49.75,48.875,49.25,1176400,6.227018
1990-01-15,49.25,50.5,48.875,50.25,796000,6.353455
1990-01-16,49.625,49.75,49.0,49.75,1105600,6.290237
1990-01-17,49.5,49.625,49.0,49.125,626800,6.211214
1990-01-18,48.5,49.25,48.25,49.125,570000,6.211214
1990-01-19,48.875,49.875,48.875,49.125,769600,6.211214
1990-01-22,48.75,49.0,46.5,47.0,931600,5.9425349999999995
1990-01-23,48.75,49.5,48.375,48.5,2446800,6.132191000000001
1990-01-24,48.5,50.5,47.25,50.5,1339200,6.385064
1990-01-25,50.125,50.375,47.75,47.75,660400,6.037363
1990-01-26,48.0,49.75,46.625,47.75,1250000,6.037363
1990-01-29,47.0,47.375,46.25,46.875,904000,5.926731
1990-01-30,47.125,47.875,46.0,46.375,1040400,5.863512
1990-01-31,47.0,47.625,46.875,47.625,432400,6.021558
1990-02-01,47.25,47.25,46.75,47.0,193200,5.9425349999999995
1990-02-02,47.125,48.375,47.0,48.25,371200,6.100581
1990-02-05,48.25,48.625,48.125,48.625,142800,6.147995
1990-02-06,48.625,48.625,47.75,47.75,250400,6.037363
1990-02-07,48.5,49.25,48.0,49.0,528800,6.195409
1990-02-08,49.125,49.25,48.375,48.375,429600,6.116386
1990-02-09,48.5,48.625,47.125,47.375,448000,5.989949
1990-02-12,47.125,47.75,46.875,47.0,421200,5.9425349999999995
1990-02-13,47.0,47.625,46.75,47.5,219600,6.0057540000000005
1990-02-14,47.25,47.5,46.875,47.25,168400,5.974144
1990-02-15,47.0,47.375,47.0,47.375,154000,5.989949
1990-02-16,47.375,47.375,46.625,46.875,345200,5.926731
1990-02-20,46.75,46.75,45.625,46.25,329600,5.847708
1990-02-21,45.0,46.25,45.0,45.75,1065200,5.784489
1990-02-22,46.125,47.125,46.125,46.125,556800,5.831903
1990-02-23,46.0,46.875,46.0,46.625,486000,5.895121
1990-02-26,46.375,46.625,46.0,46.625,770000,5.895121
1990-02-27,46.375,47.875,46.25,47.5,1094000,6.0057540000000005
