Date,Open,High,Low,Close,Volume,Adj Close
1992-03-17,9.0,9.0,8.75,8.875,31200,3.6975239999999996
1992-03-18,8.875,8.875,8.875,8.875,200,3.6975239999999996
1992-03-19,8.75,8.75,8.625,8.625,10000,3.593368
1992-03-20,8.625,8.625,8.625,8.625,1400,3.593368
1992-03-23,8.625,8.75,8.625,8.75,10200,3.6454459999999997
1992-03-24,8.875,8.875,8.75,8.75,2000,3.6454459999999997
1992-03-25,8.75,8.875,8.75,8.875,22000,3.6975239999999996
1992-03-26,8.875,9.0,8.875,9.0,2400,3.749601
1992-03-27,8.875,9.125,8.75,8.75,56400,3.6454459999999997
1992-03-30,8.875,8.875,8.625,8.625,38600,3.593368
1992-03-31,8.5,8.625,8.5,8.625,2800,3.593368
1992-04-01,8.375,8.75,8.375,8.375,45000,3.489212
1992-04-02,8.375,8.375,8.375,8.375,19600,3.489212
1992-04-03,8.375,8.375,8.375,8.375,20400,3.489212
1992-04-06,8.375,8.375,8.375,8.375,2200,3.489212
1992-04-07,8.5,8.5,8.375,8.375,30000,3.489212
1992-04-08,8.375,8.375,8.375,8.375,61400,3.489212
1992-04-09,8.375,8.5,8.375,8.5,27200,3.54129
1992-04-10,8.375,8.625,8.375,8.5,18000,3.54129
1992-04-13,8.375,8.5,8.375,8.5,20600,3.54129
1992-04-14,8.5,8.5,8.5,8.5,0,3.54129
1992-04-15,8.375,8.375,8.375,8.375,1400,3.489212
1992-04-16,8.625,8.625,8.5,8.5,3000,3.54129
1992-04-20,8.625,8.625,8.375,8.375,6800,3.489212
1992-04-21,8.25,8.25,8.25,8.25,37400,3.437135
1992-04-22,8.125,8.125,8.0,8.0,7600,3.332979
1992-04-23,8.0,8.0,8.0,8.0,800,3.332979
1992-04-24,7.875,8.375,7.875,8.375,48600,3.489212
1992-04-27,8.5,8.625,8.5,8.625,25400,3.593368
1992-04-28,8.625,8.625,8.625,8.625,2200,3.593368
1992-04-29,8.625,8.625,8.5,8.625,6400,3.593368
1992-04-30,8.5,9.0,8.5,9.0,6000,3.749601
1992-05-01,9.0,9.0,9.0,9.0,0,3.749601
1992-05-04,9.0,9.0,9.0,9.0,8800,3.749601
1992-05-05,9.0,9.0,9.0,9.0,7000,3.749601
1992-05-06,9.0,9.0,9.0,9.0,7000,3.749601
1992-05-07,9.25,9.375,9.125,9.375,13200,3.9058349999999997
1992-05-08,9.5,9.5,9.375,9.375,5200,3.9058349999999997
1992-05-11,9.375,9.5,9.375,9.5,12400,3.9579129999999996
1992-05-12,9.375,9.375,9.375,9.375,20800,3.9058349999999997
1992-05-13,9.5,9.5,9.5,9.5,1600,3.9579129999999996
1992-05-14,9.75,9.75,9.625,9.625,5600,4.00999
1992-05-15,9.625,9.625,9.625,9.625,2800,4.00999
1992-05-18,9.625,9.625,9.625,9.625,8400,4.00999
1992-05-19,9.75,11.125,9.75,11.125,37000,4.634924
1992-05-20,11.0,11.25,10.875,11.25,44200,4.687002
1992-05-21,11.125,11.125,10.625,10.75,55600,4.47869
1992-05-22,10.875,10.875,10.75,10.75,2400,4.47869
1992-05-26,10.75,11.25,10.75,11.25,14600,4.687002
1992-05-27,11.25,11.25,10.75,10.75,18400,4.47869
1992-05-28,10.75,10.875,10.75,10.75,32000,4.47869
1992-05-29,11.0,11.0,11.0,11.0,16000,4.582846
1992-06-01,10.875,10.875,10.75,10.75,28400,4.47869
1992-06-02,10.625,10.625,10.625,10.625,800,4.426613
1992-06-03,10.625,10.625,10.5,10.5,47600,4.374535
1992-06-04,10.5,10.5,10.375,10.5,3200,4.374535
1992-06-05,10.375,10.375,10.375,10.375,20200,4.322457
1992-06-08,10.25,10.375,10.0,10.0,77000,4.166224
1992-06-09,9.875,10.0,9.875,10.0,7600,4.166224
1992-06-10,10.125,10.25,9.75,9.875,13400,4.114146
1992-06-11,10.0,10.0,10.0,10.0,5000,4.166224
1992-06-12,10.0,10.625,10.0,10.375,142800,4.322457
1992-06-15,10.375,10.375,10.25,10.25,4200,4.270379
1992-06-16,10.5,10.5,10.5,10.5,8600,4.374535
1992-06-17,10.75,10.875,10.625,10.75,49600,4.47869
1992-06-18,10.75,10.75,10.75,10.75,100000,4.47869
1992-06-19,10.75,11.0,10.75,10.875,39000,4.530768
1992-06-22,10.75,10.75,10.25,10.375,115800,4.322457
1992-06-23,10.375,10.375,10.25,10.25,15000,4.270379
1992-06-24,10.125,10.25,10.0,10.125,179600,4.2183019999999996
1992-06-25,10.125,10.125,10.0,10.125,59000,4.2183019999999996
1992-06-26,10.0,10.375,10.0,10.375,1945800,4.322457
1992-06-29,10.5,10.75,10.5,10.75,175400,4.47869
1992-06-30,10.75,10.75,10.5,10.5,210200,4.374535
1992-07-01,10.5,10.75,10.5,10.75,98400,4.47869
1992-07-02,10.75,11.0,10.75,10.875,72000,4.530768
1992-07-06,10.875,11.625,10.875,11.625,40200,4.843235
1992-07-07,11.625,11.625,11.375,11.375,140200,4.739079
1992-07-08,11.125,11.75,11.125,11.75,116600,4.895313
1992-07-09,11.625,11.875,11.625,11.75,107800,4.895313
1992-07-10,11.75,12.125,11.75,12.125,145000,5.051546
1992-07-13,12.25,12.875,12.25,12.375,154200,5.155702
1992-07-14,12.375,12.625,12.25,12.5,276800,5.2077800000000005
1992-07-15,12.5,12.875,12.5,12.875,243000,5.364013
1992-07-16,12.875,12.875,12.625,12.75,72800,5.311935
1992-07-17,12.625,12.625,12.375,12.375,103600,5.155702
1992-07-20,12.25,12.625,12.25,12.625,23400,5.259857
1992-07-21,12.5,12.875,12.5,12.875,9800,5.364013
1992-07-22,12.875,13.625,12.875,13.5,334600,5.624402
1992-07-23,13.75,13.875,13.625,13.875,127000,5.780635
1992-07-24,13.875,13.875,13.25,13.375,159200,5.572324
1992-07-27,13.25,13.5,13.25,13.375,44800,5.572324
1992-07-28,13.5,13.75,13.5,13.5,197800,5.624402
1992-07-29,13.5,13.75,13.5,13.625,119200,5.676480000000001
1992-07-30,13.75,13.75,13.625,13.75,54000,5.7285580000000005
1992-07-31,13.75,13.875,13.75,13.75,216200,5.7285580000000005
1992-08-03,13.875,14.0,13.75,13.875,86600,5.780635
1992-08-04,13.75,13.75,13.75,13.75,11600,5.7285580000000005
1992-08-05,13.75,14.0,13.75,14.0,60000,5.832713
1992-08-06,14.0,14.0,13.875,14.0,183000,5.832713
1992-08-07,13.875,14.125,13.875,14.0,234800,5.832713
1992-08-10,14.0,14.25,14.0,14.125,14200,5.884791000000001
1992-08-11,14.0,14.25,13.875,14.25,8600,5.936869000000001
1992-08-12,14.25,14.375,14.0,14.375,16400,5.9889470000000005
1992-08-13,14.25,15.0,14.25,14.625,90400,6.093102
1992-08-14,14.5,14.875,14.5,14.875,49200,6.197258000000001
1992-08-17,14.75,14.75,14.375,14.375,36600,5.9889470000000005
1992-08-18,14.25,14.25,14.0,14.125,138200,5.884791000000001
1992-08-19,14.0,14.125,14.0,14.0,28400,5.832713
1992-08-20,14.0,14.125,13.875,14.0,25000,5.832713
1992-08-21,14.0,14.0,14.0,14.0,200,5.832713
1992-08-24,14.0,14.0,13.875,13.875,17200,5.780635
1992-08-25,14.0,14.125,14.0,14.125,36200,5.884791000000001
1992-08-26,14.125,14.5,14.125,14.375,245600,5.9889470000000005
1992-08-27,14.375,14.875,14.375,14.75,268800,6.14518
1992-08-28,14.75,15.125,14.75,15.0,532600,6.2493360000000004
1992-08-31,15.125,15.25,15.125,15.25,68800,6.353491
1992-09-01,15.25,15.25,14.875,14.875,91000,6.197258000000001
1992-09-02,15.0,15.0,14.875,15.0,104200,6.2493360000000004
1992-09-03,15.0,15.0,15.0,15.0,110000,6.2493360000000004
1992-09-04,14.875,14.875,14.875,14.875,200,6.197258000000001
1992-09-08,15.0,15.125,15.0,15.125,70800,6.301413
1992-09-09,15.125,15.125,15.0,15.125,85000,6.301413
1992-09-10,15.0,15.25,15.0,15.125,90200,6.301413
1992-09-11,15.125,15.25,15.0,15.125,87600,6.301413
1992-09-14,15.125,15.5,15.125,15.5,178600,6.457647
1992-09-15,15.375,15.375,15.25,15.25,36400,6.353491
1992-09-16,15.125,15.5,15.0,15.5,138000,6.457647
1992-09-17,15.5,16.0,15.5,15.875,125000,6.61388
1992-09-18,15.625,15.625,15.25,15.375,104200,6.405569
1992-09-21,15.5,15.75,15.5,15.75,99800,6.561802
1992-09-22,15.75,15.75,15.5,15.75,452800,6.561802
1992-09-23,15.75,15.75,15.5,15.5,139200,6.457647
1992-09-24,15.5,15.625,15.375,15.375,63600,6.405569
1992-09-25,15.5,15.5,15.25,15.25,9000,6.353491
1992-09-28,15.0,15.0,15.0,15.0,8400,6.2493360000000004
1992-09-29,15.0,15.125,14.875,15.125,90400,6.301413
1992-09-30,15.25,15.625,15.25,15.5,145200,6.457647
1992-10-01,15.5,15.5,15.25,15.375,86000,6.405569
1992-10-02,15.25,15.25,14.5,14.5,122600,6.041024
1992-10-05,14.375,14.375,14.0,14.0,52600,5.832713
1992-10-06,14.25,14.25,13.625,13.75,295600,5.7285580000000005
1992-10-07,13.75,14.5,13.75,14.125,117800,5.884791000000001
1992-10-08,14.125,14.125,14.125,14.125,141400,5.884791000000001
1992-10-09,14.0,14.0,13.75,13.875,76000,5.780635
1992-10-12,13.75,14.0,13.75,14.0,17600,5.832713
1992-10-13,14.0,14.125,13.875,14.0,52600,5.832713
1992-10-14,14.125,14.125,14.0,14.125,68800,5.884791000000001
1992-10-15,14.125,14.25,14.125,14.25,153800,5.936869000000001
1992-10-16,14.0,14.375,14.0,14.25,163600,5.936869000000001
1992-10-19,14.25,14.75,14.25,14.75,151400,6.14518
1992-10-20,14.875,15.125,14.875,15.0,215400,6.2493360000000004
1992-10-21,15.0,15.0,14.875,15.0,14800,6.2493360000000004
1992-10-22,14.875,15.0,14.875,15.0,5400,6.2493360000000004
1992-10-23,15.0,15.0,14.625,14.75,32800,6.14518
1992-10-26,14.875,15.0,14.875,15.0,126800,6.2493360000000004
1992-10-27,14.875,14.875,14.75,14.875,5200,6.197258000000001
1992-10-28,14.875,14.875,14.75,14.75,4000,6.14518
1992-10-29,14.875,14.875,14.75,14.875,37000,6.197258000000001
1992-10-30,14.75,14.75,14.75,14.75,2400,6.14518
1992-11-02,15.0,15.125,15.0,15.0,892600,6.2493360000000004
1992-11-03,15.0,15.0,15.0,15.0,8200,6.2493360000000004
1992-11-04,14.75,14.75,14.625,14.625,11800,6.093102
1992-11-05,14.375,14.5,14.375,14.375,236800,5.9889470000000005
1992-11-06,14.375,14.625,14.375,14.625,360200,6.093102
1992-11-09,14.5,14.625,14.375,14.5,12800,6.041024
1992-11-10,14.625,14.75,14.625,14.75,66200,6.14518
1992-11-11,14.625,15.125,14.625,15.125,120000,6.301413
1992-11-12,15.125,15.125,14.5,14.5,57200,6.041024
1992-11-13,14.5,14.875,14.5,14.875,147600,6.197258000000001
1992-11-16,15.0,15.0,14.625,14.625,18800,6.093102
1992-11-17,14.75,14.875,14.25,14.25,109800,5.936869000000001
1992-11-18,14.125,14.375,14.125,14.25,142000,5.936869000000001
1992-11-19,14.0,14.0,13.5,13.5,183600,5.624402
1992-11-20,13.625,14.0,13.625,14.0,105200,5.832713
1992-11-23,14.0625,14.0625,13.875,14.0,22000,5.832713
1992-11-24,13.875,14.375,13.875,14.25,75800,5.936869000000001
1992-11-25,14.0,14.125,13.875,13.875,39800,5.780635
1992-11-27,14.0,14.0,13.875,14.0,16800,5.832713
1992-11-30,13.625,13.875,13.625,13.875,94200,5.780635
1992-12-01,14.0,14.0,13.25,13.5,97600,5.624402
1992-12-02,13.25,13.375,13.0,13.375,143200,5.572324
1992-12-03,13.5,13.625,13.25,13.5,44200,5.624402
1992-12-04,13.375,14.0,13.375,13.625,146800,5.676480000000001
1992-12-07,13.625,13.75,13.625,13.625,115400,5.676480000000001
1992-12-08,13.625,14.0,13.625,14.0,64200,5.832713
1992-12-09,14.0,14.0,13.875,13.875,75200,5.780635
1992-12-10,13.875,13.875,13.625,13.875,44000,5.780635
1992-12-11,13.875,13.875,13.75,13.75,32600,5.7285580000000005
1992-12-14,13.875,14.0,13.875,14.0,564800,5.832713
1992-12-15,14.0,14.5,14.0,14.5,217000,6.041024
1992-12-16,14.5,14.625,14.5,14.625,7800,6.093102
1992-12-17,14.75,15.125,14.75,15.0,22200,6.2493360000000004
1992-12-18,15.0,15.625,15.0,15.625,123800,6.509725
1992-12-21,15.5,15.625,15.0,15.375,62600,6.405569
1992-12-22,15.25,15.625,15.0,15.0,116600,6.2493360000000004
1992-12-23,14.75,14.75,14.375,14.375,160600,5.9889470000000005
1992-12-24,14.5,14.75,14.5,14.5,29200,6.041024
1992-12-28,14.5,14.625,14.375,14.375,14600,5.9889470000000005
1992-12-29,14.375,14.75,14.375,14.75,39800,6.14518
1992-12-30,14.75,14.875,14.75,14.875,28400,6.197258000000001
1992-12-31,15.0,15.125,15.0,15.0,90000,6.2493360000000004
1993-01-04,15.25,15.25,14.75,15.0,411400,6.2493360000000004
1993-01-05,14.625,14.875,14.625,14.875,251800,6.197258000000001
1993-01-06,14.875,15.125,14.75,14.75,316000,6.14518
1993-01-07,14.75,15.0,14.75,14.875,208800,6.197258000000001
1993-01-08,14.875,15.0,14.5,14.5,487400,6.041024
1993-01-11,14.375,14.375,14.375,14.375,8400,5.9889470000000005
1993-01-12,14.5,14.625,14.5,14.5,114600,6.041024
1993-01-13,14.375,14.625,14.375,14.625,35400,6.093102
1993-01-14,14.75,14.75,14.75,14.75,13000,6.14518
1993-01-15,14.875,15.0,14.875,15.0,37400,6.2493360000000004
1993-01-18,14.875,15.0,14.75,15.0,42000,6.2493360000000004
1993-01-19,15.0,15.0,14.375,14.625,96000,6.093102
1993-01-20,14.625,14.625,14.375,14.5,7800,6.041024
1993-01-21,14.625,14.625,14.5,14.5,77800,6.041024
