Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,29.125,29.25,28.875,29.25,365200,6.906942999999999
1990-01-03,29.125,29.25,28.75,28.75,261300,6.788875999999999
1990-01-04,28.75,28.75,28.0,28.25,271200,6.670808
1990-01-05,28.125,28.125,27.75,28.0,203100,6.611775
1990-01-08,27.625,27.75,27.25,27.5,333000,6.493707
1990-01-09,27.5,27.75,26.875,27.25,280400,6.434674
1990-01-10,27.25,27.75,27.0,27.75,505100,6.552741
1990-01-11,28.0,28.0,27.625,27.75,203200,6.552741
1990-01-12,27.25,27.5,26.75,26.75,367000,6.316606
1990-01-15,26.625,26.875,26.5,26.75,259800,6.316606
1990-01-16,26.5,27.0,26.375,27.0,126200,6.37564
1990-01-17,26.875,27.0,26.5,26.75,495500,6.316606
1990-01-18,26.375,27.125,26.375,26.75,203400,6.316606
1990-01-19,26.875,26.875,26.125,26.375,224800,6.228056
1990-01-22,26.5,26.875,26.375,26.625,237900,6.287089
1990-01-23,26.625,26.75,26.125,26.5,377200,6.257573000000001
1990-01-24,25.25,26.625,25.25,26.375,422800,6.228056
1990-01-25,26.625,26.75,25.875,26.25,235100,6.198539
1990-01-26,26.0,27.0,26.0,26.875,369300,6.346123
1990-01-29,26.75,26.875,26.375,26.625,244000,6.287089
1990-01-30,26.625,26.75,26.25,26.375,311100,6.228056
1990-01-31,26.5,27.25,26.5,27.25,448000,6.434674
1990-02-01,27.0,27.25,26.875,27.25,201900,6.434674
1990-02-02,27.25,27.625,27.125,27.375,504600,6.46419
1990-02-05,27.375,27.875,27.25,27.75,315600,6.552741
1990-02-06,27.625,27.75,27.375,27.5,150600,6.493707
1990-02-07,27.25,27.5,27.125,27.25,520200,6.434674
1990-02-08,26.75,26.75,26.375,26.625,654400,6.3938489999999994
1990-02-09,26.75,26.75,26.5,26.75,501500,6.4238669999999995
1990-02-12,26.625,26.75,26.0,26.0,155300,6.243759
1990-02-13,26.25,26.375,25.875,26.25,634300,6.303795
1990-02-14,26.25,26.625,26.125,26.625,250500,6.3938489999999994
1990-02-15,26.375,26.625,26.25,26.375,158000,6.333813
1990-02-16,26.375,26.625,26.125,26.125,258100,6.273777
1990-02-20,26.125,26.125,25.625,25.875,198700,6.213741000000001
1990-02-21,25.625,25.875,25.375,25.75,332500,6.1837230000000005
1990-02-22,25.75,25.75,25.125,25.25,241100,6.06365
1990-02-23,25.375,25.5,25.125,25.375,169000,6.093668
1990-02-26,25.25,25.875,25.25,25.875,296800,6.213741000000001
1990-02-27,25.75,26.0,25.625,25.875,357100,6.213741000000001
1990-02-28,25.75,26.5,25.75,26.375,254000,6.333813
1990-03-01,26.25,26.375,26.0,26.125,169300,6.273777
1990-03-02,26.25,26.25,25.875,26.125,144100,6.273777
1990-03-05,25.875,26.0,25.5,25.625,238000,6.153704
1990-03-06,25.75,26.125,25.625,26.125,141700,6.273777
1990-03-07,26.0,26.25,25.875,26.125,169900,6.273777
1990-03-08,26.125,26.375,25.875,26.375,284900,6.333813
1990-03-09,26.375,26.375,26.0,26.125,343600,6.273777
1990-03-12,26.25,26.25,26.0,26.125,139200,6.273777
1990-03-13,26.125,26.125,25.625,26.0,202300,6.243759
1990-03-14,26.0,26.375,25.75,26.25,211100,6.303795
