Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,39.375,40.25,39.125,40.25,931400,7.647755999999999
1990-01-03,40.125,40.25,39.625,39.875,543200,7.576503999999999
1990-01-04,39.875,39.875,39.0,39.25,280000,7.45775
1990-01-05,38.75,38.875,38.125,38.375,862200,7.291494
1990-01-08,38.25,38.75,38.0,38.625,393600,7.338996000000001
1990-01-09,38.625,38.625,37.875,37.875,460800,7.196491
1990-01-10,37.875,38.25,37.5,38.0,592800,7.220242
1990-01-11,38.125,38.5,38.125,38.375,414400,7.291494
1990-01-12,38.25,38.25,37.25,37.375,866200,7.101488000000001
1990-01-15,37.375,37.625,37.25,37.5,392800,7.125239
1990-01-16,37.375,37.75,37.125,37.75,624800,7.172739999999999
1990-01-17,37.75,38.0,37.25,37.5,317800,7.125239
1990-01-18,37.375,37.625,37.125,37.625,412400,7.148989
1990-01-19,37.5,37.625,37.375,37.375,511400,7.101488000000001
1990-01-22,37.375,37.5,36.75,36.75,456600,6.982734
1990-01-23,36.75,37.5,36.625,37.5,616400,7.125239
1990-01-24,37.0,37.125,36.75,36.875,464400,7.0064850000000005
1990-01-25,37.125,37.375,36.75,36.75,532200,6.982734
1990-01-26,36.75,37.0,36.625,37.0,873200,7.030235
1990-01-29,37.0,37.125,36.75,36.875,331000,7.0064850000000005
1990-01-30,36.875,37.0,36.625,37.0,417200,7.030235
1990-01-31,37.125,37.75,37.125,37.75,461000,7.172739999999999
1990-02-01,37.875,37.875,37.5,37.5,701400,7.125239
1990-02-02,37.5,38.0,37.5,37.75,294400,7.172739999999999
1990-02-05,37.75,37.875,37.75,37.875,443800,7.196491
1990-02-06,37.875,38.0,37.625,37.875,208800,7.196491
1990-02-07,37.75,38.625,37.75,38.625,790000,7.338996000000001
1990-02-08,38.625,38.875,38.625,38.625,289000,7.338996000000001
1990-02-09,38.875,39.125,38.625,39.125,368800,7.433999000000001
1990-02-12,38.875,38.875,38.5,38.625,186600,7.338996000000001
1990-02-13,38.75,38.75,38.375,38.5,357800,7.315245
1990-02-14,38.75,38.875,38.625,38.875,264400,7.386497
1990-02-15,38.875,39.0,38.5,38.625,305400,7.338996000000001
1990-02-16,38.625,38.625,37.75,37.875,568600,7.196491
1990-02-20,37.625,37.625,37.125,37.25,679200,7.077737
1990-02-21,36.875,37.75,36.875,37.625,436200,7.148989
1990-02-22,37.5,37.75,37.0,37.0,288600,7.030235
1990-02-23,37.0,37.5,36.75,37.25,248400,7.077737
1990-02-26,37.25,37.625,37.125,37.625,619600,7.148989
1990-02-27,37.5,38.0,37.5,37.875,192000,7.196491
1990-02-28,37.75,38.375,37.75,38.125,297200,7.2439919999999995
1990-03-01,38.125,38.625,38.125,38.375,497800,7.291494
1990-03-02,38.5,38.75,38.375,38.75,293600,7.3627460000000005
1990-03-05,38.625,38.75,38.5,38.625,235800,7.338996000000001
1990-03-06,38.5,39.25,38.5,39.125,879200,7.433999000000001
1990-03-07,39.375,39.5,39.25,39.25,509600,7.45775
1990-03-08,39.25,39.5,39.25,39.375,463200,7.4815
1990-03-09,39.25,39.25,38.625,38.625,403800,7.338996000000001
1990-03-12,38.375,38.625,38.25,38.5,717000,7.315245
1990-03-13,38.375,38.5,38.125,38.125,518200,7.2439919999999995
1990-03-14,37.875,38.125,37.625,38.0,378000,7.220242
1990-03-15,38.0,38.125,37.875,38.125,299800,7.2439919999999995
1990-03-16,38.375,38.5,38.125,38.375,519200,7.291494
1990-03-19,38.25,38.375,37.75,38.0,325400,7.220242
1990-03-20,38.0,38.375,38.0,38.0,270600,7.220242
1990-03-21,38.125,38.25,37.875,38.0,259800,7.220242
1990-03-22,38.0,38.0,37.75,38.0,695000,7.220242
1990-03-23,38.0,38.0,37.25,38.0,186000,7.220242
1990-03-26,38.0,38.25,37.75,37.875,228000,7.196491
1990-03-27,37.875,38.25,37.75,38.25,251000,7.267742999999999
1990-03-28,38.125,38.375,38.0,38.375,3541600,7.291494
1990-03-29,38.25,38.375,38.0,38.375,4049000,7.291494
1990-03-30,37.5,37.625,37.0,37.25,755600,7.197778
1990-04-02,37.25,37.375,37.0,37.375,233000,7.221932000000001
1990-04-03,37.5,37.875,37.375,37.875,231600,7.318546
1990-04-04,37.75,37.75,37.25,37.25,721200,7.197778
1990-04-05,37.125,37.5,37.125,37.375,247200,7.221932000000001
1990-04-06,37.625,37.625,37.125,37.25,222800,7.197778
1990-04-09,37.125,37.625,37.0,37.625,228400,7.270239
1990-04-10,37.5,37.625,37.25,37.375,202200,7.221932000000001
1990-04-11,37.25,37.375,37.125,37.25,113800,7.197778
1990-04-12,37.25,37.75,37.125,37.5,304000,7.246085000000001
1990-04-16,37.5,37.75,37.5,37.625,312600,7.270239
1990-04-17,37.5,37.625,37.25,37.5,166600,7.246085000000001
1990-04-18,37.625,37.875,37.0,37.125,369600,7.173625
1990-04-19,37.0,37.5,36.75,36.875,862400,7.125317
1990-04-20,36.875,36.875,36.125,36.125,456000,6.980396000000001
1990-04-23,36.0,36.0,35.75,35.875,464000,6.932088
1990-04-24,35.875,36.125,35.875,36.0,630600,6.956242
1990-04-25,36.125,36.25,36.0,36.125,249400,6.980396000000001
1990-04-26,36.25,36.5,36.125,36.375,401400,7.028703
1990-04-27,36.25,36.5,36.0,36.125,358600,6.980396000000001
1990-04-30,36.125,36.25,35.625,35.875,477800,6.932088
