Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,39.25,40.75,39.0,40.5,1836400,5.000457
1990-01-03,41.0,41.0,40.5,41.0,2098400,5.062192
1990-01-04,41.0,41.0,39.625,40.5,1386800,5.000457
1990-01-05,40.375,40.5,39.875,40.25,1072400,4.96959
1990-01-08,40.0,40.375,39.75,40.375,1624000,4.985024
1990-01-09,40.125,41.25,40.125,40.875,2126000,5.0467580000000005
1990-01-10,41.0,41.0,40.0,41.0,3017600,5.062192
1990-01-11,41.25,41.625,41.125,41.375,2195200,5.108492
1990-01-12,40.625,40.75,39.5,39.75,2178000,4.907856
1990-01-15,39.5,39.625,38.875,39.5,1112800,4.876989
1990-01-16,39.125,40.125,38.75,39.875,1894000,4.92329
1990-01-17,39.875,40.0,39.125,39.5,1101200,4.876989
1990-01-18,39.125,39.875,39.0,39.875,2389600,4.92329
1990-01-19,39.75,40.125,39.75,39.875,1611600,4.92329
1990-01-22,39.625,39.875,38.5,38.75,1021200,4.784388
1990-01-23,39.0,39.5,38.625,39.25,2110400,4.846122
1990-01-24,38.0,40.0,37.5,39.625,2514400,4.892423
1990-01-25,40.0,40.125,39.0,39.25,2247600,4.846122
1990-01-26,39.25,39.625,38.75,39.375,1737600,4.861556
1990-01-29,39.625,39.625,38.375,38.625,1532800,4.768955
1990-01-30,38.625,38.75,37.625,38.0,1566800,4.691787000000001
1990-01-31,37.875,38.375,37.625,38.25,2257600,4.722654
1990-02-01,38.125,38.375,37.75,37.875,906400,4.676354
1990-02-02,38.0,38.5,37.625,38.0,1883600,4.691787000000001
1990-02-05,38.25,38.75,38.0,38.625,1006800,4.768955
1990-02-06,38.625,39.125,38.0,38.125,2031600,4.707221
1990-02-07,38.0,38.0,37.5,37.625,2770400,4.645487
1990-02-08,37.5,38.125,37.5,38.0,2224400,4.691787000000001
1990-02-09,38.125,38.375,37.625,38.375,1301600,4.738087999999999
1990-02-12,38.0,38.125,37.0,37.0,731200,4.606128
1990-02-13,37.25,38.25,36.5,38.125,1140800,4.746180000000001
1990-02-14,37.875,38.125,36.875,37.125,2312800,4.62169
1990-02-15,37.25,38.0,37.25,38.0,1118400,4.730618
1990-02-16,38.125,38.375,38.0,38.125,1088000,4.746180000000001
1990-02-20,37.75,37.875,37.375,37.75,683600,4.699496
1990-02-21,37.0,37.75,36.875,37.625,1084800,4.683935
1990-02-22,37.875,38.125,37.5,37.5,1182000,4.668373
1990-02-23,37.5,37.875,37.25,37.625,1138800,4.683935
1990-02-26,37.625,38.25,37.5,38.25,648800,4.761741000000001
1990-02-27,38.25,39.0,38.125,38.375,1545600,4.777302
1990-02-28,38.0,39.0,38.0,38.75,1418400,4.823986
1990-03-01,38.5,39.75,38.375,39.625,1941200,4.932914
1990-03-02,40.0,40.25,39.375,40.0,1802800,4.979598
1990-03-05,40.5,40.5,39.125,39.125,1459200,4.87067
1990-03-06,39.25,40.25,39.0,39.75,1235600,4.948476
1990-03-07,39.875,40.25,39.75,39.875,2048800,4.964037
1990-03-08,39.875,40.5,39.75,40.25,788800,5.010721
1990-03-09,40.25,40.375,39.625,40.375,968800,5.026282
1990-03-12,40.0,40.25,39.75,40.0,603200,4.979598
1990-03-13,40.125,40.25,39.5,39.5,705600,4.917353
1990-03-14,39.375,40.0,39.25,39.75,931600,4.948476
1990-03-15,40.0,40.5,39.875,40.5,696000,5.041843
1990-03-16,41.0,41.0,40.25,40.375,1476800,5.026282
1990-03-19,40.375,41.625,40.125,41.625,1752800,5.181894000000001
1990-03-20,41.375,41.875,40.625,41.125,1372400,5.119649
1990-03-21,41.125,41.5,40.25,40.25,831600,5.010721
1990-03-22,39.875,40.0,38.375,39.5,2172000,4.917353
1990-03-23,39.75,39.75,38.875,38.875,636000,4.8395470000000005
1990-03-26,39.0,39.25,39.0,39.0,658000,4.855108
1990-03-27,39.125,39.75,38.75,39.75,728000,4.948476
1990-03-28,39.75,40.375,39.5,39.75,736400,4.948476
1990-03-29,39.75,39.75,38.625,39.625,499600,4.932914
1990-03-30,39.375,40.125,39.375,39.875,613600,4.964037
1990-04-02,39.625,39.75,39.25,39.75,484800,4.948476
1990-04-03,39.75,40.25,39.5,40.0,856800,4.979598
