Date,Open,High,Low,Close,Volume,Adj Close
1993-08-12,29.0,29.0,27.375,28.625,13086600,4.5012870000000005
1993-08-13,28.5,28.5,27.75,27.75,1277800,4.363693
1993-08-16,27.75,28.0,27.625,28.0,559000,4.403005
1993-08-17,28.0,28.25,27.875,28.125,545600,4.422662
1993-08-18,28.125,28.125,28.125,28.125,469200,4.422662
1993-08-19,28.125,28.125,27.625,27.625,409400,4.344037
1993-08-20,27.75,28.125,27.75,27.875,540800,4.383349
1993-08-23,27.875,28.125,27.75,28.0,335600,4.403005
1993-08-24,28.0,28.375,28.0,28.375,234400,4.461974
1993-08-25,28.125,28.125,28.0,28.0,102600,4.403005
1993-08-26,28.0,28.625,28.0,28.625,180400,4.5012870000000005
1993-08-27,28.625,28.625,28.125,28.25,119600,4.442318
1993-08-30,28.125,28.5,28.125,28.25,71400,4.442318
1993-08-31,28.25,28.875,28.25,28.75,147000,4.520943
1993-09-01,28.875,29.0,28.625,28.625,141600,4.5012870000000005
1993-09-02,29.0,29.0,28.75,29.0,217600,4.560256
1993-09-03,28.875,29.625,28.875,29.25,178800,4.599568
1993-09-07,29.125,29.625,29.125,29.375,167600,4.619224
1993-09-08,29.625,29.75,29.0,29.0,276200,4.560256
1993-09-09,29.0,29.75,29.0,29.25,74400,4.599568
1993-09-10,29.125,30.5,29.125,30.25,245000,4.756818
1993-09-13,29.875,30.0,29.75,30.0,251200,4.717506
1993-09-14,29.5,29.625,29.125,29.5,127000,4.638881
1993-09-15,29.5,29.5,29.125,29.5,162400,4.638881
1993-09-16,29.75,29.75,29.375,29.75,88800,4.678193
1993-09-17,29.625,30.125,29.5,30.125,113000,4.7371620000000005
1993-09-20,29.625,29.875,29.5,29.5,15400,4.671444999999999
1993-09-21,29.75,29.75,29.375,29.625,286000,4.691239
1993-09-22,29.5,29.875,29.375,29.875,54800,4.730828
1993-09-23,29.75,29.75,29.375,29.625,51000,4.691239
1993-09-24,29.5,30.125,29.5,30.125,265000,4.770416
1993-09-27,30.125,31.5,30.125,31.375,675400,4.9683589999999995
1993-09-28,31.25,31.625,31.0,31.5,360800,4.988153
1993-09-29,31.5,32.25,31.5,31.5,823200,4.988153
1993-09-30,31.375,31.5,31.0,31.125,138000,4.928771
1993-10-01,31.125,31.5,31.125,31.125,31600,4.928771
1993-10-04,31.0,31.0,30.25,30.5,27600,4.8297989999999995
1993-10-05,30.5,30.875,30.375,30.5,87600,4.8297989999999995
1993-10-06,30.25,31.125,30.25,31.0,327600,4.908976
1993-10-07,30.75,31.5,30.75,31.125,40400,4.928771
1993-10-08,31.375,35.0,31.375,34.25,1242600,5.423627
1993-10-11,34.0,34.5,34.0,34.0,885200,5.384039
1993-10-12,34.0,36.5,34.0,36.0,708200,5.700747
1993-10-13,36.25,36.25,35.5,35.5,55600,5.621569999999999
1993-10-14,35.5,35.5,35.5,35.5,55000,5.621569999999999
1993-10-15,35.5,36.75,35.5,36.25,200600,5.740335
1993-10-18,36.125,36.625,35.5,36.125,47200,5.720541000000001
1993-10-19,35.875,35.875,35.0,35.0,173400,5.542393
1993-10-20,35.0,35.125,34.125,34.875,141600,5.522598
1993-10-21,34.625,34.625,34.375,34.5,32200,5.463216
1993-10-22,34.375,35.5,34.375,35.0,161000,5.542393
1993-10-25,34.875,35.25,34.25,34.75,48000,5.502804
1993-10-26,34.25,34.25,33.875,33.875,27000,5.364244
1993-10-27,33.5,33.625,33.375,33.5,122400,5.304861
1993-10-28,33.5,34.0,33.0,34.0,75400,5.384039
1993-10-29,34.25,34.625,34.0,34.625,224400,5.48301
1993-11-01,34.5,34.75,34.375,34.75,24400,5.502804
1993-11-02,34.5,34.75,34.375,34.625,68800,5.48301
1993-11-03,34.625,35.0,34.5,35.0,233600,5.542393
