Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,41.500019,41.500019,40.5,40.999981,220800,3.534818
1990-01-03,40.999981,40.999981,39.625019,39.625019,388000,3.416275
1990-01-04,39.874981,39.874981,39.0,39.499981,253200,3.4054949999999997
1990-01-05,39.375,39.75,39.250019,39.499981,306000,3.4054949999999997
1990-01-08,39.625019,39.625019,39.124981,39.250019,132400,3.3839449999999998
1990-01-09,39.499981,39.499981,38.25,38.749981,284800,3.3408339999999996
1990-01-10,38.500019,38.500019,37.875,38.374981,218800,3.308503
1990-01-11,38.500019,39.250019,38.25,39.0,96400,3.362389
1990-01-12,38.625,38.749981,37.999981,38.500019,70800,3.319283
1990-01-15,39.0,39.0,37.750019,37.999981,74400,3.2761720000000003
1990-01-16,38.25,38.625,37.999981,38.625,48400,3.3300589999999994
1990-01-17,38.875019,39.0,38.500019,38.875019,29200,3.351614
1990-01-18,38.875019,38.875019,38.500019,38.749981,85200,3.3408339999999996
1990-01-19,38.749981,39.0,38.749981,38.875019,72400,3.351614
1990-01-22,38.749981,39.124981,38.749981,38.749981,19600,3.3408339999999996
1990-01-23,38.749981,38.749981,37.999981,37.999981,67200,3.2761720000000003
1990-01-24,37.750019,37.875,37.5,37.5,60400,3.2330669999999997
1990-01-25,37.5,38.25,37.5,38.125019,30000,3.286953
1990-01-26,37.999981,37.999981,37.624981,37.624981,103600,3.243842
1990-01-29,37.875,38.25,37.624981,37.750019,125200,3.254622
1990-01-30,37.999981,38.25,37.750019,37.750019,16000,3.254622
1990-01-31,37.5,37.750019,37.5,37.750019,72000,3.254622
1990-02-01,37.624981,37.875,37.5,37.875,124800,3.294633
1990-02-02,37.875,37.875,37.5,37.750019,53200,3.283761
1990-02-05,37.5,37.875,37.249981,37.875,66000,3.294633
1990-02-06,37.624981,37.875,37.5,37.750019,86800,3.283761
1990-02-07,37.5,37.875,37.5,37.875,66400,3.294633
1990-02-08,38.125019,40.000019,38.125019,38.875019,305200,3.381622
1990-02-09,39.0,39.0,38.500019,38.749981,87600,3.370745
1990-02-12,38.749981,38.749981,38.625,38.625,19200,3.3598730000000003
1990-02-13,38.625,38.875019,38.25,38.500019,70000,3.3490010000000003
1990-02-14,38.374981,38.625,38.125019,38.500019,46800,3.3490010000000003
1990-02-15,38.25,38.625,38.25,38.625,68400,3.3598730000000003
1990-02-16,38.625,38.875019,38.25,38.25,438000,3.327253
1990-02-20,37.999981,38.374981,37.750019,37.875,121600,3.294633
1990-02-21,37.624981,38.125019,37.5,38.125019,84000,3.316381
1990-02-22,37.999981,38.125019,37.750019,37.750019,40000,3.283761
1990-02-23,37.624981,37.999981,37.5,37.624981,192000,3.272885
1990-02-26,37.624981,37.875,37.5,37.624981,78000,3.272885
1990-02-27,37.750019,37.999981,37.750019,37.875,102000,3.294633
1990-02-28,37.624981,37.999981,37.624981,37.999981,76000,3.305505
1990-03-01,37.750019,37.999981,37.624981,37.875,241200,3.294633
1990-03-02,37.999981,38.125019,37.750019,38.125019,366000,3.316381
1990-03-05,37.875,37.999981,37.624981,37.624981,115200,3.272885
1990-03-06,37.624981,37.875,37.249981,37.624981,93600,3.272885
1990-03-07,37.750019,37.750019,37.375019,37.624981,214800,3.272885
1990-03-08,37.750019,37.750019,37.5,37.750019,68800,3.283761
1990-03-09,37.5,37.875,37.5,37.624981,20400,3.272885
1990-03-12,37.750019,37.999981,37.375019,37.5,142800,3.262013
1990-03-13,37.375019,37.624981,37.000019,37.000019,180400,3.218521
1990-03-14,37.000019,37.249981,36.874981,37.249981,48000,3.240264
1990-03-15,37.000019,37.249981,36.625019,36.874981,78000,3.2076439999999997
1990-03-16,36.625019,36.874981,36.124981,36.375,219600,3.164152
1990-03-19,36.124981,36.124981,35.875019,36.0,83200,3.131532
1990-03-20,35.749981,35.875019,35.25,35.25,52800,3.066292
1990-03-21,34.999981,35.125019,34.5,34.999981,276400,3.0445439999999997
1990-03-22,34.999981,35.500019,34.750019,34.999981,125200,3.0445439999999997
1990-03-23,35.25,36.499981,35.25,36.375,101200,3.164152
1990-03-26,36.625019,36.874981,36.499981,36.874981,52800,3.2076439999999997
1990-03-27,36.874981,37.249981,36.75,37.249981,80400,3.240264
1990-03-28,37.5,37.5,37.249981,37.249981,595200,3.240264
1990-03-29,37.249981,37.249981,37.000019,37.125,84000,3.229393
1990-03-30,37.000019,37.000019,36.75,36.874981,124000,3.2076439999999997
1990-04-02,36.75,37.000019,36.625019,36.75,210400,3.196773
1990-04-03,36.75,36.75,36.499981,36.75,50800,3.196773
1990-04-04,37.000019,37.000019,36.625019,36.874981,350400,3.2076439999999997
1990-04-05,36.625019,36.874981,36.250019,36.499981,280000,3.175024
1990-04-06,36.499981,36.499981,36.0,36.124981,84000,3.142404
1990-04-09,36.0,36.124981,35.374981,35.500019,151200,3.0880400000000003
1990-04-10,35.500019,35.500019,35.125019,35.125019,168400,3.0554200000000002
1990-04-11,34.999981,34.999981,34.624981,34.875,457200,3.033672
1990-04-12,34.750019,34.999981,34.750019,34.750019,111600,3.0228
1990-04-16,34.999981,35.875019,34.750019,35.500019,66000,3.0880400000000003
1990-04-17,35.875019,35.875019,34.999981,35.25,61600,3.066292
1990-04-18,35.625,36.124981,35.625,35.875019,102400,3.120661
1990-04-19,35.625,37.000019,35.625,37.000019,124800,3.218521
