Date,Open,High,Low,Close,Volume,Adj Close
1991-01-02,2.625,2.625,2.5,2.625,64400,4.086824
1991-01-03,2.625,2.75,2.5,2.625,164400,4.086824
1991-01-04,2.5,2.625,2.375,2.375,57200,3.697603
1991-01-07,2.375,2.5,2.375,2.5,44800,3.892214
1991-01-08,2.375,2.5,2.375,2.5,78400,3.892214
1991-01-09,2.375,2.5,2.375,2.5,92800,3.892214
1991-01-10,2.375,2.5,2.375,2.5,53600,3.892214
1991-01-11,2.375,2.5,2.375,2.5,329600,3.892214
1991-01-14,2.25,2.375,2.25,2.375,43800,3.697603
1991-01-15,2.375,2.375,2.25,2.25,28400,3.502992
1991-01-16,2.25,2.25,2.125,2.25,180600,3.502992
1991-01-17,2.25,2.375,2.125,2.125,101200,3.308382
1991-01-18,2.25,2.25,2.0,2.0,80000,3.113771
1991-01-21,2.125,2.125,2.0,2.0,87200,3.113771
1991-01-22,2.125,2.125,2.0,2.125,82800,3.308382
1991-01-23,2.0,2.125,2.0,2.125,219000,3.308382
1991-01-24,2.25,2.375,2.125,2.375,181400,3.697603
1991-01-25,2.375,2.5,2.25,2.5,174000,3.892214
1991-01-28,2.5,2.5,2.375,2.375,84800,3.697603
1991-01-29,2.375,2.5,2.375,2.375,38400,3.697603
1991-01-30,2.5,2.5,2.375,2.375,79200,3.697603
1991-01-31,2.375,2.375,2.25,2.25,108600,3.502992
1991-02-01,2.375,2.375,2.25,2.375,43400,3.697603
1991-02-04,2.25,2.375,2.25,2.375,90800,3.697603
1991-02-05,2.375,2.375,2.25,2.375,186400,3.697603
1991-02-06,2.25,2.75,2.25,2.625,425400,4.086824
1991-02-07,2.625,2.75,2.5,2.5,146000,3.892214
1991-02-08,2.5,2.625,2.5,2.625,53000,4.086824
1991-02-11,2.625,2.75,2.5,2.75,190000,4.281435
1991-02-12,2.75,2.75,2.5,2.625,113000,4.086824
1991-02-13,2.5,2.75,2.5,2.625,47200,4.086824
1991-02-14,2.75,2.75,2.625,2.625,43000,4.086824
1991-02-15,2.625,2.75,2.5,2.625,196200,4.086824
1991-02-19,2.5,2.625,2.375,2.5,59200,3.892214
