Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,23.125,23.625,23.0,23.625,496000,7.314137
1990-01-03,23.625,23.625,23.0,23.0,331000,7.120642
1990-01-04,23.25,23.25,22.875,23.0,520300,7.120642
1990-01-05,22.875,23.0,22.5,22.625,722800,7.004544
1990-01-08,22.5,22.5,22.375,22.5,118300,6.965845
1990-01-09,22.5,22.5,22.125,22.125,508200,6.849748
1990-01-10,22.125,22.375,22.125,22.25,145800,6.888447
1990-01-11,22.375,22.5,22.375,22.375,159600,6.9271460000000005
1990-01-12,22.25,22.375,22.0,22.125,263500,6.849748
1990-01-15,22.0,22.125,21.875,22.0,325500,6.8110479999999995
1990-01-16,21.875,22.25,21.875,22.25,221100,6.888447
1990-01-17,22.25,22.375,22.0,22.125,106800,6.849748
1990-01-18,22.0,22.375,22.0,22.375,220800,6.9271460000000005
1990-01-19,22.25,22.5,22.25,22.375,434500,6.9271460000000005
1990-01-22,22.375,22.875,22.0,22.0,368000,6.8110479999999995
1990-01-23,22.0,22.0,21.75,21.875,476500,6.772349
1990-01-24,21.5,21.625,21.25,21.5,242000,6.656252
1990-01-25,21.625,21.625,21.375,21.375,525600,6.617553
1990-01-26,21.375,21.875,21.375,21.625,339700,6.694951
1990-01-29,21.75,21.75,21.25,21.25,498500,6.578854
1990-01-30,21.25,21.375,21.125,21.25,173900,6.578854
1990-01-31,21.25,21.75,21.25,21.625,674000,6.694951
1990-02-01,21.625,21.875,21.625,21.875,390300,6.772349
1990-02-02,21.75,21.875,21.75,21.75,753400,6.73365
1990-02-05,21.5,21.5,21.125,21.25,662000,6.655352000000001
1990-02-06,21.25,21.375,21.125,21.125,689100,6.616203
1990-02-07,21.125,21.25,20.75,21.125,311400,6.616203
1990-02-08,21.0,21.125,20.875,21.0,483200,6.577053
1990-02-09,21.0,21.0,20.625,21.0,479600,6.577053
1990-02-12,20.875,21.0,20.75,20.75,194500,6.498755
1990-02-13,20.75,20.875,20.5,20.875,435600,6.537904
1990-02-14,20.875,21.0,20.625,20.875,806100,6.537904
1990-02-15,20.875,21.0,20.75,20.875,209500,6.537904
1990-02-16,20.875,20.875,20.5,20.625,549700,6.459606
1990-02-20,20.625,20.625,20.25,20.5,496600,6.420457
1990-02-21,20.375,20.5,20.25,20.25,286600,6.342159
1990-02-22,20.25,20.25,19.75,19.875,1695400,6.224711
1990-02-23,19.875,20.0,19.625,19.75,769900,6.185562
1990-02-26,19.5,20.125,19.5,20.125,633200,6.30301
1990-02-27,20.125,20.75,20.0,20.625,1035300,6.459606
1990-02-28,20.625,21.0,20.625,20.75,413300,6.498755
1990-03-01,20.875,21.0,20.625,20.75,345300,6.498755
1990-03-02,20.875,20.875,20.75,20.75,252700,6.498755
1990-03-05,20.75,20.75,20.625,20.625,155400,6.459606
1990-03-06,20.625,20.875,20.625,20.875,312300,6.537904
1990-03-07,20.875,20.875,20.625,20.875,185800,6.537904
1990-03-08,20.75,20.75,20.625,20.75,250800,6.498755
1990-03-09,20.625,20.75,20.625,20.75,173400,6.498755
1990-03-12,20.625,20.75,20.5,20.75,218400,6.498755
1990-03-13,20.625,20.75,20.25,20.5,238600,6.420457
1990-03-14,20.375,20.5,20.125,20.25,640900,6.342159
1990-03-15,20.25,20.5,20.125,20.5,497400,6.420457
