Date,Open,High,Low,Close,Volume,Adj Close
1996-04-01,10.375,10.375,10.375,10.375,900,4.711672
1996-04-02,10.375,10.375,10.375,10.375,3700,4.711672
1996-04-03,10.25,10.25,10.1875,10.25,5300,4.654905
1996-04-04,10.375,10.375,10.375,10.375,100,4.711672
1996-04-08,10.125,10.1875,10.125,10.1875,10300,4.626521
1996-04-09,10.3125,10.3125,10.3125,10.3125,10000,4.683288
1996-04-10,10.3125,10.375,10.25,10.25,8600,4.654905
1996-04-11,10.25,10.25,10.25,10.25,0,4.654905
1996-04-12,10.25,10.25,10.25,10.25,0,4.654905
1996-04-15,10.375,10.5,10.375,10.5,65300,4.768439
1996-04-16,10.5,10.5,10.375,10.4375,16000,4.740056
1996-04-17,10.4375,10.4375,10.4375,10.4375,1300,4.740056
1996-04-18,10.375,10.5,10.375,10.5,19200,4.768439
1996-04-19,10.5,10.5,10.5,10.5,2200,4.768439
1996-04-22,10.5625,10.5625,10.5,10.5,1400,4.768439
1996-04-23,10.625,10.6875,10.625,10.625,246000,4.825206
1996-04-24,10.6875,10.6875,10.6875,10.6875,5400,4.8535900000000005
1996-04-25,10.6875,10.75,10.6875,10.6875,21100,4.8535900000000005
1996-04-26,10.8125,10.875,10.75,10.8125,51800,4.910357
1996-04-29,10.875,10.875,10.6875,10.75,35900,4.881973
1996-04-30,10.6875,10.6875,10.6875,10.6875,1600,4.8535900000000005
1996-05-01,10.6875,10.6875,10.625,10.6875,3900,4.8535900000000005
1996-05-02,10.75,10.875,10.6875,10.8125,145600,4.910357
1996-05-03,10.8125,10.8125,10.75,10.8125,19000,4.910357
1996-05-06,10.875,10.875,10.75,10.75,51500,4.881973
1996-05-07,10.8125,10.8125,10.8125,10.8125,14600,4.910357
1996-05-08,10.8125,10.8125,10.6875,10.8125,16500,4.910357
1996-05-09,10.75,10.75,10.6875,10.75,4000,4.881973
1996-05-10,10.75,10.75,10.75,10.75,1000,4.881973
1996-05-13,10.6875,10.6875,10.5625,10.5625,25500,4.796823000000001
1996-05-14,10.6875,10.75,10.6875,10.75,2100,4.881973
1996-05-15,10.625,10.6875,10.625,10.6875,3100,4.8535900000000005
1996-05-16,10.5625,10.625,10.4375,10.5625,18300,4.796823000000001
1996-05-17,10.4375,10.5625,10.4375,10.5625,5100,4.796823000000001
1996-05-20,10.5,10.625,10.5,10.625,3500,4.825206
1996-05-21,10.75,10.8125,10.4375,10.5625,29000,4.796823000000001
1996-05-22,10.5625,10.5625,10.5625,10.5625,700,4.796823000000001
1996-05-23,10.5625,10.5625,10.5625,10.5625,7700,4.796823000000001
1996-05-24,10.5625,10.5625,10.5625,10.5625,900,4.796823000000001
1996-05-28,10.625,10.625,10.5625,10.5625,600,4.796823000000001
1996-05-29,10.625,10.625,10.625,10.625,12000,4.825206
1996-05-30,10.625,10.625,10.5625,10.5625,3600,4.796823000000001
1996-05-31,10.625,10.625,10.625,10.625,7600,4.825206
1996-06-03,10.5,10.5,10.375,10.375,3400,4.711672
1996-06-04,10.5,10.5,10.5,10.5,7100,4.768439
1996-06-05,10.4375,10.4375,10.4375,10.4375,2300,4.740056
1996-06-06,10.375,10.375,10.375,10.375,3100,4.711672
1996-06-07,10.25,10.25,10.25,10.25,11000,4.654905
1996-06-10,10.25,10.3125,10.25,10.3125,16800,4.683288
1996-06-11,10.3125,10.375,10.3125,10.375,5800,4.711672
1996-06-12,10.5,10.5,10.4375,10.4375,10600,4.740056
1996-06-13,10.5,10.5,10.375,10.5,38500,4.768439
1996-06-14,10.5,10.5,10.4375,10.5,7300,4.768439
1996-06-17,10.4375,10.4375,10.4375,10.4375,7400,4.740056
1996-06-18,10.5,10.5,10.375,10.5,5600,4.768439
1996-06-19,10.5,10.5,10.375,10.375,7200,4.711672
1996-06-20,10.5625,10.5625,10.5,10.5625,7500,4.796823000000001
1996-06-21,10.5625,10.625,10.5625,10.5625,9800,4.796823000000001
1996-06-24,10.625,10.625,10.5625,10.5625,10700,4.796823000000001
1996-06-25,10.5625,10.625,10.5625,10.5625,2100,4.796823000000001
1996-06-26,10.5,10.5625,10.5,10.5625,4200,4.796823000000001
1996-06-27,10.5,10.5,10.375,10.375,3200,4.711672
1996-06-28,10.4375,10.4375,10.4375,10.4375,2400,4.740056
1996-07-01,10.4375,10.4375,10.4375,10.4375,4700,4.740056
1996-07-02,10.4375,10.5,10.4375,10.5,7000,4.768439
1996-07-03,10.4375,10.4375,10.25,10.3125,13000,4.683288
1996-07-05,10.25,10.375,10.25,10.375,7400,4.711672
1996-07-08,10.5625,10.5625,10.25,10.25,22500,4.654905
1996-07-09,10.375,10.375,10.375,10.375,22200,4.711672
1996-07-10,10.375,10.375,10.25,10.375,11200,4.711672
1996-07-11,10.25,10.25,10.0625,10.0625,35000,4.569754
1996-07-12,10.125,10.125,10.0,10.125,20700,4.598138
1996-07-15,9.875,9.875,9.75,9.75,3300,4.427836
1996-07-16,9.75,9.75,9.5625,9.5625,18700,4.3426860000000005
1996-07-17,9.6875,9.875,9.5625,9.875,13000,4.484603
1996-07-18,9.875,9.875,9.875,9.875,300,4.484603
1996-07-19,10.25,10.25,10.0,10.0,11700,4.541371
1996-07-22,9.875,10.0,9.875,10.0,9900,4.541371
1996-07-23,9.875,10.0,9.875,10.0,4600,4.541371
1996-07-24,9.75,9.75,9.5,9.625,99000,4.371069
1996-07-25,9.625,9.75,9.625,9.625,21900,4.371069
1996-07-26,9.75,9.8125,9.75,9.8125,1200,4.45622
1996-07-29,9.8125,9.8125,9.8125,9.8125,17400,4.45622
