Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,23.125,23.5,22.875,23.25,839800,3.665167
1990-01-03,23.5,23.5,23.125,23.25,753800,3.665167
1990-01-04,23.25,23.25,22.75,22.875,682200,3.6060519999999996
1990-01-05,22.875,23.125,22.875,22.875,529800,3.6060519999999996
1990-01-08,22.875,23.0,22.0,23.0,943000,3.625757
1990-01-09,23.125,23.125,22.75,22.75,632800,3.586347
1990-01-10,23.0,23.0,22.75,23.0,608200,3.625757
1990-01-11,23.125,23.25,21.375,21.375,2270600,3.369589
1990-01-12,21.5,22.0,21.25,21.375,4190800,3.369589
1990-01-15,21.375,21.625,21.25,21.375,1118600,3.369589
1990-01-16,21.25,21.5,21.25,21.5,1208400,3.389294
1990-01-17,21.625,22.0,21.5,21.75,757200,3.4287050000000003
1990-01-18,21.875,22.0,21.75,22.0,717800,3.468115
1990-01-19,22.0,22.0,21.625,21.625,810800,3.409
1990-01-22,21.625,21.875,21.375,21.375,701200,3.369589
1990-01-23,21.5,21.75,21.25,21.5,749000,3.389294
1990-01-24,21.5,22.5,21.25,21.625,743400,3.409
1990-01-25,21.5,21.625,20.875,20.875,1543000,3.290768
1990-01-26,20.875,21.25,20.875,21.125,749200,3.3301790000000002
1990-01-29,21.25,21.75,21.0,21.5,659000,3.389294
1990-01-30,21.5,21.625,21.0,21.0,616200,3.3104739999999997
1990-01-31,21.25,21.5,21.125,21.5,742400,3.389294
1990-02-01,21.625,21.875,21.5,21.75,644400,3.4287050000000003
1990-02-02,21.625,21.875,21.0,21.875,860200,3.44841
1990-02-05,21.875,22.0,21.75,22.0,945200,3.468115
1990-02-06,21.875,22.0,21.5,21.5,864600,3.389294
1990-02-07,21.625,21.625,21.375,21.625,1015600,3.409
1990-02-08,21.625,21.75,21.25,21.5,589000,3.389294
1990-02-09,21.625,21.625,21.375,21.625,826400,3.409
1990-02-12,21.5,21.625,21.375,21.375,732800,3.369589
1990-02-13,21.5,21.625,21.25,21.25,1994600,3.349884
1990-02-14,20.5,20.75,20.375,20.625,1519800,3.3377470000000002
1990-02-15,20.625,20.625,20.5,20.5,713400,3.317518
1990-02-16,20.625,20.875,20.5,20.625,1013600,3.3377470000000002
1990-02-20,20.625,20.625,19.875,20.125,1707000,3.256832
1990-02-21,20.0,20.125,19.75,20.0,1213000,3.2366029999999997
1990-02-22,20.0,20.125,19.875,20.0,924400,3.2366029999999997
1990-02-23,19.875,20.0,19.75,20.0,729000,3.2366029999999997
1990-02-26,20.0,20.125,19.875,20.0,611600,3.2366029999999997
1990-02-27,20.0,20.125,20.0,20.125,590400,3.256832
1990-02-28,20.125,20.375,20.0,20.125,772600,3.256832
1990-03-01,20.0,20.25,17.375,18.0,5855200,2.912943
1990-03-02,17.75,18.0,17.375,17.75,4394400,2.8724849999999997
1990-03-05,17.875,18.25,17.75,18.25,2121800,2.9534
1990-03-06,18.125,18.25,18.0,18.0,1186400,2.912943
1990-03-07,18.0,18.375,18.0,18.0,1210000,2.912943
1990-03-08,18.0,18.25,18.0,18.25,917800,2.9534
1990-03-09,18.125,18.25,18.0,18.25,721600,2.9534
1990-03-12,18.125,18.25,18.0,18.0,969400,2.912943
1990-03-13,18.125,18.25,18.0,18.125,650800,2.9331709999999998
1990-03-14,18.0,18.25,18.0,18.125,578600,2.9331709999999998
1990-03-15,18.0,18.125,17.75,17.875,929600,2.892714
1990-03-16,18.0,18.0,17.875,18.0,965800,2.912943
1990-03-19,17.875,18.0,17.875,18.0,616400,2.912943
1990-03-20,17.875,18.0,17.625,17.625,1274000,2.852256
1990-03-21,17.75,18.0,17.625,17.875,741200,2.892714
1990-03-22,17.75,18.375,17.625,18.0,2117000,2.912943
1990-03-23,17.875,18.0,17.875,18.0,992000,2.912943
1990-03-26,18.0,18.0,17.625,17.75,977800,2.8724849999999997
1990-03-27,17.875,18.0,17.75,17.875,599400,2.892714
1990-03-28,18.0,18.0,17.75,17.875,611600,2.892714
1990-03-29,17.875,18.0,17.75,18.0,1579200,2.912943
1990-03-30,17.875,18.0,17.75,18.0,1043800,2.912943
1990-04-02,17.75,18.0,17.75,17.875,491400,2.892714
1990-04-03,17.75,18.0,17.75,17.875,1209400,2.892714
1990-04-04,17.75,18.0,17.125,17.125,1826000,2.771341
1990-04-05,17.375,17.5,17.0,17.0,3460000,2.751112
1990-04-06,17.0,17.125,16.5,16.75,2998000,2.710655
1990-04-09,16.625,16.875,16.5,16.875,3281600,2.730884
1990-04-10,16.875,17.25,16.875,17.125,1443800,2.771341
1990-04-11,17.0,17.375,16.5,17.0,1531000,2.751112
1990-04-12,17.0,17.125,16.75,16.875,1055400,2.730884
1990-04-16,16.875,17.125,16.875,17.0,1178200,2.751112
1990-04-17,16.875,16.875,16.5,16.75,1817800,2.710655
1990-04-18,16.75,16.875,16.625,16.75,967400,2.710655
