Date,Open,High,Low,Close,Volume,Adj Close
1990-03-26,19.50016,20.0,19.24992,20.0,2672000,0.493068
1990-03-27,20.0,20.75008,19.75008,20.0,1523200,0.493068
1990-03-28,19.24992,20.49984,19.24992,20.0,1257600,0.493068
1990-03-29,20.49984,20.49984,20.0,20.0,3424000,0.493068
1990-03-30,20.0,20.49984,19.75008,20.24992,1081600,0.499229
1990-04-02,20.0,20.49984,19.50016,20.49984,403200,0.505391
1990-04-03,20.49984,21.0,20.0,21.0,1520000,0.517721
1990-04-04,21.0,21.50016,20.49984,20.49984,2643200,0.505391
1990-04-05,21.0,21.0,20.49984,21.0,803200,0.517721
1990-04-06,21.0,21.0,20.49984,20.75008,102400,0.51156
1990-04-09,21.0,21.75008,20.75008,21.24992,937600,0.523883
1990-04-10,21.24992,21.50016,21.24992,21.50016,860800,0.5300520000000001
1990-04-11,21.50016,21.75008,21.24992,21.24992,1731200,0.523883
1990-04-12,21.50016,21.50016,21.24992,21.50016,860800,0.5300520000000001
1990-04-16,21.0,22.75008,21.0,22.0,1929600,0.542375
1990-04-17,22.49984,23.24992,22.0,22.0,2505600,0.542375
1990-04-18,22.0,22.49984,22.0,22.24992,1168000,0.5485359999999999
1990-04-19,22.0,22.49984,22.0,22.49984,320000,0.5546979999999999
1990-04-20,22.0,22.49984,21.37504,21.50016,5587200,0.5300520000000001
1990-04-23,21.50016,21.50016,20.75008,21.24992,716800,0.523883
1990-04-24,21.24992,21.50016,21.0,21.24992,1081600,0.523883
1990-04-25,21.24992,22.0,21.0,21.50016,1542400,0.5300520000000001
1990-04-26,22.0,22.0,21.50016,22.0,1878400,0.542375
1990-04-27,22.0,22.0,21.50016,21.75008,281600,0.536213
1990-04-30,21.75008,21.75008,21.50016,21.75008,118400,0.536213
1990-05-01,21.75008,22.24992,21.50016,21.75008,982400,0.536213
1990-05-02,22.24992,22.24992,21.75008,22.125120000000003,1808000,0.5454600000000001
1990-05-03,22.24992,22.75008,22.0,22.24992,854400,0.5485359999999999
1990-05-04,22.24992,22.75008,22.24992,22.75008,400000,0.560867
1990-05-07,22.75008,23.50016,22.24992,23.0,2662400,0.567028
1990-05-08,23.50016,24.0,22.75008,23.75008,3756800,0.5855199999999999
1990-05-09,23.24992,23.75008,23.0,23.75008,908800,0.5855199999999999
1990-05-10,23.75008,24.24992,23.24992,23.62496,2896000,0.582436
1990-05-11,24.0,25.50016,23.50016,24.75008,3068800,0.610174
