Date,Open,High,Low,Close,Volume,Adj Close
1995-07-10,23.625,24.5,23.625,24.5,5438000,7.3580440000000005
1995-07-11,25.125,25.125,24.75,25.0,4907000,7.508209
1995-07-12,25.0,26.125,24.875,26.125,1055800,7.846077999999999
1995-07-13,26.0,26.25,25.875,26.125,1373600,7.846077999999999
1995-07-14,26.0,26.125,25.875,26.0,985600,7.808536999999999
1995-07-17,26.0,26.0,25.75,25.875,947600,7.770996
1995-07-18,25.875,25.875,25.125,25.25,727400,7.583291
1995-07-19,25.125,25.125,23.375,23.75,558200,7.132797999999999
1995-07-20,23.5,23.625,23.5,23.625,464600,7.095257000000001
1995-07-21,23.75,24.375,23.75,24.125,721200,7.245421
1995-07-24,24.125,24.5,24.125,24.125,509000,7.245421
1995-07-25,24.25,24.75,24.125,24.25,847000,7.2829619999999995
1995-07-26,24.5,25.125,24.5,25.125,1584800,7.54575
1995-07-27,25.0,25.75,25.0,25.75,2082600,7.733455
1995-07-28,25.75,27.375,25.375,27.375,14640800,8.221488
1995-07-31,27.25,27.25,26.5,27.0,2544600,8.108865
1995-08-01,26.875,26.875,26.5,26.625,1956000,7.996242
1995-08-02,26.625,26.625,25.25,25.375,2307600,7.620832000000001
1995-08-03,25.125,26.0,25.125,26.0,1762800,7.808536999999999
1995-08-04,25.75,25.875,25.0,25.375,903800,7.620832000000001
1995-08-07,25.25,25.25,24.875,25.125,837000,7.54575
1995-08-08,25.0,25.125,24.875,24.875,729000,7.470667999999999
1995-08-09,24.875,24.875,24.375,24.5,586600,7.3580440000000005
1995-08-10,24.5,25.125,24.5,24.75,1319400,7.433127000000001
1995-08-11,24.75,25.25,24.75,25.0,1152000,7.508209
1995-08-14,25.0,25.0,24.25,24.5,379800,7.3580440000000005
1995-08-15,24.5,24.75,24.5,24.625,349600,7.3955850000000005
1995-08-16,24.875,25.0,24.625,24.75,440200,7.433127000000001
1995-08-17,24.75,25.125,24.625,25.125,410600,7.54575
1995-08-18,25.125,25.125,24.375,24.5,598800,7.3580440000000005
1995-08-21,24.625,24.875,24.25,24.25,440400,7.2829619999999995
1995-08-22,24.375,24.5,23.75,24.0,444200,7.20788
1995-08-23,24.125,24.125,23.125,23.625,193200,7.095257000000001
1995-08-24,23.625,23.625,23.125,23.25,1284000,6.982634
1995-08-25,23.25,23.875,22.875,23.625,733400,7.095257000000001
1995-08-28,23.625,23.625,23.0,23.25,447600,6.982634
1995-08-29,23.25,23.25,22.625,22.875,368600,6.870011
1995-08-30,22.625,23.5,22.625,23.125,398000,6.945092999999999
1995-08-31,23.25,23.375,23.125,23.375,417400,7.020175
1995-09-01,23.25,23.625,23.25,23.5,594600,7.057716
1995-09-05,23.75,23.875,23.375,23.625,487600,7.095257000000001
1995-09-06,23.75,24.0,23.625,23.875,476400,7.170339
1995-09-07,23.75,23.75,23.125,23.25,618000,6.982634
1995-09-08,23.25,23.375,23.125,23.25,1015600,6.982634
1995-09-11,23.25,24.0,23.125,23.75,279000,7.132797999999999
1995-09-12,23.75,24.0,23.375,24.0,290000,7.20788
1995-09-13,24.375,24.875,24.375,24.375,325000,7.3205029999999995
1995-09-14,24.375,24.5,24.125,24.5,491800,7.3580440000000005
1995-09-15,24.75,24.875,24.5,24.75,1108600,7.433127000000001
1995-09-18,24.75,24.875,24.625,24.875,609400,7.470667999999999
1995-09-19,24.75,24.875,24.625,24.875,581600,7.470667999999999
1995-09-20,24.75,24.875,24.625,24.75,597600,7.433127000000001
1995-09-21,24.75,24.875,24.625,24.75,437400,7.433127000000001
1995-09-22,24.5,24.75,24.375,24.625,832200,7.3955850000000005
1995-09-25,24.75,24.875,24.5,24.75,436400,7.433127000000001
1995-09-26,24.625,24.875,24.5,24.625,571000,7.3955850000000005
1995-09-27,24.75,25.125,24.625,24.625,893200,7.3955850000000005
1995-09-28,24.75,25.375,24.75,25.375,728200,7.620832000000001
1995-09-29,25.375,26.0,25.25,25.625,300800,7.695914
1995-10-02,25.75,25.75,25.5,25.75,292800,7.733455
1995-10-03,25.625,25.75,25.25,25.625,197600,7.695914
1995-10-04,25.625,25.625,24.875,25.0,232000,7.508209
1995-10-05,25.25,25.25,24.75,24.875,397000,7.470667999999999
1995-10-06,24.875,25.25,24.75,25.0,124400,7.508209
1995-10-09,24.875,25.0,24.625,25.0,148600,7.508209
1995-10-10,25.125,25.25,25.0,25.125,407600,7.54575
1995-10-11,25.25,25.25,24.875,25.125,251400,7.54575
1995-10-12,25.0,25.25,24.875,25.25,462800,7.651814
1995-10-13,25.25,26.0,25.25,25.625,666400,7.765455
1995-10-16,25.75,25.75,25.125,25.25,304400,7.651814
1995-10-17,25.25,25.25,24.75,25.0,358600,7.576053999999999
