Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,35.5,36.0,35.5,35.875,776400,4.306696
1990-01-03,36.0,36.875,35.75,36.5,399600,4.3817260000000005
1990-01-04,37.5,38.0,36.375,37.375,939200,4.4867669999999995
1990-01-05,37.375,38.0,37.0,37.5,667200,4.501773
1990-01-08,37.75,37.75,37.375,37.75,459200,4.531785
1990-01-09,37.5,37.75,37.25,37.5,330000,4.501773
1990-01-10,37.25,37.5,37.0,37.375,333200,4.4867669999999995
1990-01-11,37.5,38.75,37.375,38.0,680800,4.561797
1990-01-12,37.75,38.125,37.5,37.5,189200,4.501773
1990-01-15,37.625,37.625,36.5,36.75,187600,4.4117370000000005
1990-01-16,36.25,37.5,35.75,37.5,263600,4.501773
1990-01-17,37.375,37.875,36.625,37.125,288400,4.456755
1990-01-18,36.875,37.25,35.5,37.125,820000,4.456755
1990-01-19,37.125,37.625,37.125,37.25,155200,4.471761
1990-01-22,37.5,37.625,35.25,35.25,122800,4.231667
1990-01-23,35.25,36.25,34.5,35.75,380000,4.29169
1990-01-24,35.75,36.625,34.75,36.375,604000,4.36672
1990-01-25,36.375,36.75,35.75,35.75,121200,4.29169
1990-01-26,35.5,36.5,35.5,36.5,158800,4.3817260000000005
1990-01-29,36.25,37.0,35.25,36.5,63600,4.3817260000000005
1990-01-30,36.75,37.5,36.0,37.125,138000,4.456755
1990-01-31,37.375,37.875,37.375,37.875,172800,4.546791000000001
1990-02-01,37.5,37.5,37.0,37.5,104800,4.501773
1990-02-02,37.5,38.125,37.375,37.5,214000,4.501773
1990-02-05,37.375,37.875,37.375,37.875,69600,4.546791000000001
1990-02-06,38.0,38.125,37.125,37.5,240800,4.501773
1990-02-07,37.5,37.875,36.5,37.75,111200,4.531785
1990-02-08,37.875,37.875,37.25,37.5,128400,4.501773
1990-02-09,37.25,37.875,37.125,37.625,132800,4.516779
1990-02-12,37.375,37.5,36.875,37.25,51200,4.471761
1990-02-13,37.25,37.75,37.25,37.625,108000,4.516779
1990-02-14,37.75,37.75,37.0,37.5,112800,4.501773
1990-02-15,37.25,37.875,37.25,37.75,105200,4.531785
1990-02-16,37.5,37.5,36.75,37.0,74800,4.441749
1990-02-20,36.75,36.75,36.0,36.125,324400,4.336708
1990-02-21,36.0,36.25,35.875,36.25,295200,4.351714
1990-02-22,36.375,36.5,36.125,36.125,135200,4.336708
1990-02-23,36.125,36.5,36.125,36.375,106000,4.36672
1990-02-26,36.375,36.75,36.0,36.375,512400,4.36672
1990-02-27,36.5,36.625,36.5,36.5,246400,4.3817260000000005
1990-02-28,36.5,36.625,36.375,36.375,265600,4.36672
1990-03-01,36.125,36.75,36.125,36.375,195600,4.36672
1990-03-02,36.5,36.5,36.375,36.5,45200,4.3817260000000005
1990-03-05,36.625,36.625,36.125,36.125,157600,4.336708
1990-03-06,36.0,36.125,35.25,35.625,763200,4.2766839999999995
1990-03-07,35.625,35.625,35.0,35.25,60000,4.231667
1990-03-08,35.125,36.25,35.0,36.0,58800,4.321701999999999
1990-03-09,35.75,35.875,34.875,35.25,53200,4.231667
1990-03-12,35.0,35.875,35.0,35.875,33200,4.306696
1990-03-13,35.625,35.625,35.0,35.125,44400,4.216661
1990-03-14,35.375,35.5,35.0,35.5,50000,4.261678
1990-03-15,35.5,35.5,34.75,34.875,69200,4.186649
1990-03-16,35.25,35.25,34.875,35.125,208000,4.216661
1990-03-19,34.875,35.75,34.75,35.375,111200,4.246672
1990-03-20,35.125,35.875,35.125,35.75,182800,4.29169
1990-03-21,35.75,36.0,35.75,35.75,161200,4.29169
1990-03-22,35.625,36.25,35.5,35.875,150000,4.306696
1990-03-23,35.75,36.25,35.75,36.25,106400,4.351714
1990-03-26,36.5,36.875,36.25,36.625,82800,4.396732
1990-03-27,36.375,36.75,35.875,36.375,166800,4.36672
1990-03-28,36.75,37.25,36.5,37.0,163600,4.441749
1990-03-29,37.25,37.25,36.375,36.375,184800,4.36672
1990-03-30,36.25,36.75,35.625,36.75,166000,4.4117370000000005
1990-04-02,36.5,36.5,35.375,35.375,80400,4.246672
1990-04-03,35.375,36.5,35.375,36.375,83200,4.36672
1990-04-04,36.375,36.625,35.375,35.75,152800,4.29169
1990-04-05,35.5,36.0,35.5,35.75,81600,4.29169
1990-04-06,36.0,36.25,35.625,36.125,197200,4.336708
1990-04-09,36.0,36.125,35.375,35.75,229600,4.29169
1990-04-10,35.5,35.625,35.125,35.25,82000,4.231667
1990-04-11,35.375,35.375,34.875,35.125,44800,4.216661
1990-04-12,35.125,35.125,34.25,34.25,542800,4.111619
1990-04-16,34.5,34.75,34.5,34.5,220400,4.141630999999999
1990-04-17,34.625,34.625,33.75,34.25,79600,4.111619
1990-04-18,34.375,34.625,33.75,33.875,416800,4.066602
1990-04-19,34.0,34.125,31.75,33.25,462800,3.991572
1990-04-20,33.0,34.5,32.25,32.5,836000,3.9015370000000003
1990-04-23,32.625,32.625,31.25,31.375,247600,3.766483
1990-04-24,31.625,32.0,31.375,31.75,266800,3.8115010000000002
1990-04-25,31.875,32.0,31.5,31.5,91600,3.781489
1990-04-26,31.75,31.875,31.25,31.25,253200,3.7514769999999995
1990-04-27,31.25,31.75,31.125,31.125,195200,3.736472
1990-04-30,31.5,32.0,31.125,32.0,156400,3.841513
1990-05-01,31.75,32.125,31.75,32.0,174400,3.841513
1990-05-02,32.25,32.875,32.25,32.75,420000,3.9315480000000003
1990-05-03,32.875,33.75,32.875,33.75,298400,4.051596
1990-05-04,34.0,34.25,33.75,33.875,307600,4.066602
1990-05-07,33.875,34.0,33.875,34.0,55600,4.081607
1990-05-08,34.0,34.0,33.25,33.75,106000,4.051596
1990-05-09,34.0,34.0,33.625,33.875,116000,4.066602
1990-05-10,33.875,34.0,33.625,33.625,78800,4.03659
1990-05-11,33.625,34.125,33.5,33.625,590400,4.03659
1990-05-14,33.875,34.0,33.5,34.0,191200,4.081607
1990-05-15,33.875,34.125,33.625,34.0,98400,4.081607
1990-05-16,33.875,34.0,33.625,34.0,146800,4.081607
1990-05-17,34.0,34.0,33.625,34.0,340400,4.081607
1990-05-18,33.75,34.0,33.25,34.0,261200,4.081607
1990-05-21,34.125,34.5,33.875,34.375,433200,4.126625
1990-05-22,35.0,35.375,34.125,34.375,280400,4.126625
1990-05-23,34.25,34.875,34.25,34.75,266000,4.171643
1990-05-24,34.75,35.25,34.625,35.25,191200,4.231667
1990-05-25,35.0,35.25,34.5,34.75,89200,4.171643
1990-05-29,34.75,35.5,34.75,35.5,37200,4.261678
1990-05-30,35.75,36.375,35.625,36.375,282800,4.36672
1990-05-31,36.25,37.75,36.125,37.125,144000,4.456755
1990-06-01,37.375,37.875,37.0,37.25,196000,4.471761
1990-06-04,37.25,37.75,37.0,37.375,146800,4.4867669999999995
1990-06-05,37.375,38.625,37.375,38.0,181600,4.561797
1990-06-06,37.75,37.75,36.75,37.125,116400,4.456755
1990-06-07,36.875,37.25,36.125,37.0,102400,4.441749
1990-06-08,36.75,37.125,36.25,36.625,64400,4.396732
1990-06-11,36.5,36.875,36.375,36.375,212400,4.36672
1990-06-12,36.25,36.625,35.625,36.5,176000,4.3817260000000005
1990-06-13,36.25,36.25,35.625,35.75,188000,4.29169
1990-06-14,36.0,36.25,35.75,35.875,112800,4.306696
1990-06-15,35.0,35.375,34.875,35.0,364400,4.201655000000001
1990-06-18,35.125,35.25,34.375,34.625,296800,4.156637
1990-06-19,34.375,34.875,33.875,34.375,72800,4.126625
1990-06-20,34.625,34.625,33.625,34.125,44400,4.096613
1990-06-21,34.375,34.875,34.0,34.75,186400,4.171643
1990-06-22,34.875,34.875,33.25,33.25,206400,3.991572
1990-06-25,33.25,33.375,32.75,33.125,394800,3.9765660000000005
1990-06-26,33.375,34.125,33.375,33.375,80000,4.006578
1990-06-27,33.125,33.625,32.75,33.375,119200,4.006578
1990-06-28,33.5,33.5,33.0,33.125,53200,3.9765660000000005
1990-06-29,33.0,33.125,32.75,33.0,160000,3.96156
1990-07-02,33.0,33.25,32.75,33.25,201200,3.991572
1990-07-03,33.375,33.375,33.0,33.125,22000,3.9765660000000005
1990-07-05,33.0,33.125,32.625,32.75,98400,3.9315480000000003
1990-07-06,32.5,33.125,32.5,33.0,209600,3.96156
1990-07-09,33.25,33.25,32.625,33.0,74000,3.96156
1990-07-10,33.125,33.125,32.25,32.375,113600,3.8865309999999997
1990-07-11,32.125,32.875,32.125,32.375,187600,3.8865309999999997
1990-07-12,32.5,32.75,32.25,32.5,108400,3.9015370000000003
1990-07-13,32.75,33.75,32.5,33.625,312800,4.03659
1990-07-16,33.875,33.875,33.375,33.375,309600,4.006578
1990-07-17,33.25,35.25,33.125,34.875,451200,4.186649
1990-07-18,35.25,35.375,34.75,35.25,480000,4.231667
1990-07-19,35.25,35.875,35.0,35.875,148000,4.306696
1990-07-20,35.75,35.75,35.5,35.5,94400,4.261678
1990-07-23,35.5,35.75,35.375,35.5,166400,4.261678
1990-07-24,35.5,35.875,35.5,35.5,144800,4.261678
1990-07-25,35.75,36.875,35.75,36.75,136000,4.4117370000000005
1990-07-26,36.75,37.875,36.5,37.375,138800,4.4867669999999995
1990-07-27,38.5,38.5,37.625,38.25,525600,4.591808
1990-07-30,38.0,38.125,37.25,38.0,148000,4.561797
1990-07-31,38.125,38.125,37.375,37.625,122000,4.516779
1990-08-01,37.625,37.625,36.75,37.0,147200,4.441749
1990-08-02,36.5,38.25,36.375,38.0,261600,4.561797
1990-08-03,38.0,38.125,36.875,37.5,282400,4.501773
1990-08-06,37.25,37.375,35.5,35.5,755200,4.261678
1990-08-07,36.0,36.375,35.75,36.0,266000,4.321701999999999
1990-08-08,36.0,37.25,36.0,37.0,262000,4.441749
1990-08-09,36.875,36.875,36.375,36.5,64000,4.3817260000000005
1990-08-10,36.375,36.5,35.625,35.75,58800,4.29169
1990-08-13,35.5,35.75,35.25,35.625,87200,4.2766839999999995
1990-08-14,35.75,35.75,35.375,35.625,213600,4.2766839999999995
1990-08-15,35.75,36.25,35.25,35.25,336800,4.231667
1990-08-16,35.125,35.125,34.625,34.75,251200,4.171643
1990-08-17,35.0,35.25,34.625,34.75,192400,4.171643
1990-08-20,34.75,35.0,34.5,34.625,47200,4.156637
1990-08-21,33.75,33.875,32.875,33.5,181200,4.021584
1990-08-22,34.0,34.25,33.875,34.0,200400,4.081607
1990-08-23,33.75,33.875,33.125,33.5,217600,4.021584
1990-08-24,33.5,34.375,33.5,34.25,222400,4.111619
1990-08-27,34.5,35.125,34.5,34.875,544000,4.186649
1990-08-28,35.125,35.5,34.875,35.0,66800,4.201655000000001
1990-08-29,35.25,36.25,34.875,35.375,118000,4.246672
1990-08-30,35.375,35.375,35.0,35.0,270400,4.201655000000001
1990-08-31,35.0,35.5,35.0,35.375,108400,4.246672
1990-09-04,34.875,35.125,34.875,35.0,225600,4.201655000000001
