Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,30.25,30.25,29.25,29.375,34100,4.037991000000001
1990-01-03,29.125,29.5,28.875,29.375,39800,4.037991000000001
1990-01-04,29.125,29.125,28.875,28.875,25200,3.9692589999999996
1990-01-05,29.0,29.375,28.75,29.25,29800,4.020808000000001
1990-01-08,29.375,29.75,29.375,29.625,100400,4.072356
1990-01-09,29.875,30.0,29.625,29.75,63300,4.089539
1990-01-10,29.5,29.875,29.375,29.5,25400,4.055174
1990-01-11,29.5,29.5,29.125,29.375,18400,4.037991000000001
1990-01-12,29.25,29.25,28.75,28.875,25500,3.9692589999999996
1990-01-15,29.0,29.0,28.375,28.375,28200,3.900527
1990-01-16,28.375,28.5,28.0,28.125,27100,3.866161
1990-01-17,27.875,28.25,27.875,28.0,62100,3.848978
1990-01-18,28.0,28.0,27.625,28.0,28500,3.848978
1990-01-19,28.0,28.25,27.875,28.25,32500,3.883344
1990-01-22,28.25,28.25,27.875,27.875,19300,3.8317949999999996
1990-01-23,28.0,28.0,27.5,27.625,22500,3.797429
1990-01-24,27.25,27.5,27.0,27.5,23600,3.780247
1990-01-25,27.375,27.625,27.125,27.25,27800,3.745881
1990-01-26,27.125,27.375,27.125,27.25,14800,3.745881
1990-01-29,27.125,27.375,27.125,27.125,19600,3.7286980000000005
1990-01-30,27.125,27.25,27.125,27.125,24000,3.7286980000000005
1990-01-31,27.125,27.375,27.125,27.375,19000,3.763064
1990-02-01,27.5,27.75,27.375,27.75,19200,3.8146120000000003
1990-02-02,27.5,27.625,27.375,27.5,20600,3.780247
1990-02-05,27.5,27.625,27.25,27.5,15600,3.780247
1990-02-06,27.5,27.5,27.375,27.5,11300,3.780247
1990-02-07,27.25,27.5,27.125,27.25,12000,3.745881
1990-02-08,27.375,28.0,27.375,27.875,21700,3.8317949999999996
1990-02-09,27.875,28.0,27.75,27.75,9900,3.8146120000000003
1990-02-12,27.5,27.625,27.25,27.5,26400,3.8481970000000003
1990-02-13,27.375,27.625,27.25,27.625,20900,3.8656879999999996
1990-02-14,27.75,27.75,27.625,27.75,14200,3.8831800000000003
1990-02-15,27.75,28.125,27.625,27.875,40900,3.900672
1990-02-16,28.0,28.125,27.875,27.875,22100,3.900672
1990-02-20,28.0,28.0,27.75,27.875,33500,3.900672
1990-02-21,27.625,27.75,27.375,27.375,29500,3.8307050000000005
1990-02-22,27.375,27.75,27.25,27.375,26800,3.8307050000000005
1990-02-23,27.25,27.5,27.125,27.5,15900,3.8481970000000003
1990-02-26,27.375,27.875,27.375,27.875,9800,3.900672
1990-02-27,27.875,28.375,27.75,28.25,20800,3.953147
1990-02-28,28.125,28.375,28.0,28.125,30000,3.935656
1990-03-01,28.125,28.5,27.875,28.25,10200,3.953147
1990-03-02,28.375,28.5,28.25,28.5,33300,3.9881309999999996
1990-03-05,28.75,28.875,28.375,28.75,20200,4.023115
1990-03-06,28.75,29.0,28.625,28.875,15100,4.0406059999999995
1990-03-07,29.0,29.0,28.625,28.625,6900,4.005623
1990-03-08,28.75,28.875,28.625,28.625,9000,4.005623
1990-03-09,28.875,29.125,28.625,29.125,12600,4.07559
1990-03-12,28.875,28.875,28.5,28.5,41500,3.9881309999999996
1990-03-13,28.375,28.5,28.25,28.25,12100,3.953147
1990-03-14,28.375,28.5,28.125,28.375,11700,3.970639
1990-03-15,28.5,28.625,28.25,28.25,21400,3.953147
1990-03-16,28.125,28.625,28.0,28.5,24400,3.9881309999999996
1990-03-19,28.375,28.625,28.375,28.625,22000,4.005623
1990-03-20,28.875,28.875,28.75,28.75,18500,4.023115
