Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,44.624962,45.375038,44.5,45.375038,1272800,1.923413
1990-01-03,45.5,46.124962,45.5,46.124962,1506400,1.955202
1990-01-04,46.124962,46.124962,45.624962,45.875038,1839200,1.9446080000000001
1990-01-05,45.25,45.624962,45.25,45.5,962400,1.92871
1990-01-08,45.25,45.5,45.124962,45.25,945600,1.9181130000000002
1990-01-09,44.624962,45.0,44.124962,44.124962,978400,1.8808150000000001
1990-01-10,43.75,44.124962,41.5,42.75,1340000,1.8222080000000003
1990-01-11,42.5,42.75,41.875038,42.25,324800,1.8008950000000001
1990-01-12,41.75,41.875038,41.375038,41.624962,533600,1.7742529999999999
1990-01-15,41.375038,41.375038,41.0,41.375038,582400,1.7636
1990-01-16,41.0,41.5,41.0,41.5,581600,1.7689270000000001
1990-01-17,41.375038,41.75,41.0,41.124962,1054400,1.752941
1990-01-18,41.0,41.875038,40.875038,41.375038,1112000,1.7636
1990-01-19,41.624962,41.624962,41.124962,41.5,770400,1.7689270000000001
1990-01-22,41.5,41.75,40.5,40.75,949600,1.7369580000000002
1990-01-23,40.75,40.75,40.25,40.5,276800,1.726302
1990-01-24,40.124962,40.5,39.875038,40.375038,466400,1.720975
1990-01-25,40.5,40.5,38.875038,39.25,406400,1.6730209999999999
1990-01-26,39.75,40.124962,39.5,39.875038,528000,1.6996630000000001
1990-01-29,39.624962,39.875038,38.624962,39.375038,319200,1.678351
1990-01-30,39.375038,40.0,38.25,40.0,829600,1.7049900000000002
1990-01-31,40.0,41.0,40.0,40.624962,3380000,1.731628
1990-02-01,40.75,40.75,39.75,40.124962,218400,1.710316
1990-02-02,39.875038,40.375038,39.624962,39.75,681600,1.694333
1990-02-05,39.75,39.75,38.75,39.375038,260000,1.678351
1990-02-06,39.25,39.375038,38.0,38.0,484000,1.61974
1990-02-07,38.25,38.25,37.875038,38.124962,527200,1.625067
1990-02-08,37.875038,37.875038,37.25,37.25,682400,1.5877709999999998
1990-02-09,37.375038,37.375038,37.0,37.0,1108000,1.577115
1990-02-12,36.5,36.624962,35.875038,36.25,556000,1.5451469999999998
1990-02-13,36.124962,36.5,36.124962,36.25,629600,1.5451469999999998
1990-02-14,36.25,36.875038,36.25,36.875038,241600,1.5717889999999999
1990-02-15,37.0,37.124962,36.75,37.0,1903200,1.577115
1990-02-16,37.124962,37.25,36.75,36.75,2443200,1.566459
1990-02-20,36.624962,36.75,36.5,36.624962,1743200,1.561129
