Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,64.25,65.75,64.125,65.75,299600,10.952391
1990-01-03,65.5,65.625,64.25,64.25,136000,10.702527
1990-01-04,64.25,64.625,64.125,64.375,262400,10.723349
1990-01-05,64.25,64.5,63.875,64.375,223600,10.723349
1990-01-08,64.25,65.5,64.25,65.5,162000,10.910747
1990-01-09,65.25,65.5,64.25,64.25,93200,10.702527
1990-01-10,64.5,65.75,64.5,65.75,113200,10.952391
1990-01-11,65.5,66.0,65.5,66.0,169600,10.994036
1990-01-12,65.75,65.75,64.0,64.0,71600,10.660883
1990-01-15,64.0,64.125,63.625,63.625,115200,10.598417
1990-01-16,63.0,63.0,61.875,62.875,219200,10.473485
1990-01-17,63.0,63.0,61.875,62.5,162400,10.411019
1990-01-18,62.25,63.125,62.125,63.125,100400,10.515129
1990-01-19,63.625,64.125,62.5,62.5,161600,10.411019
1990-01-22,62.75,63.0,61.75,62.0,122800,10.32773
1990-01-23,62.0,62.0,60.5,60.625,379200,10.098688000000001
1990-01-24,59.375,61.0,59.375,60.75,232000,10.11951
1990-01-25,60.875,61.0,60.125,60.25,92000,10.036222
1990-01-26,60.375,61.125,60.375,60.75,80800,10.11951
1990-01-29,61.0,61.25,60.875,61.25,97600,10.202798
1990-01-30,61.375,61.375,61.0,61.25,61200,10.202798
1990-01-31,61.75,62.25,61.75,62.125,71600,10.348552
1990-02-01,61.875,62.375,61.75,62.25,48000,10.369374
1990-02-02,62.375,63.375,62.375,63.375,160400,10.556773
1990-02-05,63.5,63.5,63.125,63.25,58400,10.535950999999999
1990-02-06,62.75,62.75,61.375,61.375,40800,10.265819
1990-02-07,61.125,62.25,60.75,62.25,91200,10.412175
1990-02-08,62.125,62.625,62.125,62.625,51600,10.474899
1990-02-09,62.625,63.25,62.625,63.25,61600,10.579439
1990-02-12,63.375,64.5,63.375,64.125,127200,10.725794
1990-02-13,64.375,64.5,64.125,64.5,179600,10.788518
1990-02-14,64.75,65.75,64.75,65.75,150000,10.997598
1990-02-15,65.875,68.75,65.875,68.75,241200,11.49939
1990-02-16,68.5,68.5,67.375,67.375,154400,11.269402000000001
1990-02-20,67.125,67.125,66.125,66.25,155600,11.08123
1990-02-21,65.75,67.375,65.75,67.375,158000,11.269402000000001
1990-02-22,67.375,68.25,67.125,67.625,211600,11.311217999999998
1990-02-23,67.375,68.25,67.375,68.125,151200,11.39485
1990-02-26,68.25,69.25,68.125,69.125,236800,11.562114
1990-02-27,69.25,71.0,69.25,70.5,385600,11.792100999999999
1990-02-28,70.5,71.0,70.0,71.0,502400,11.875733
1990-03-01,70.875,71.125,70.375,71.0,219600,11.875733
1990-03-02,71.125,71.625,70.75,71.125,250800,11.896641
1990-03-05,70.875,71.0,70.375,70.375,196000,11.771192999999998
1990-03-06,70.375,71.25,70.0,71.25,67600,11.917549000000001
1990-03-07,70.625,71.25,70.625,71.0,314000,11.875733
1990-03-08,71.0,71.875,71.0,71.875,193600,12.022089
1990-03-09,71.75,72.0,71.375,72.0,285600,12.042997
1990-03-12,71.875,73.75,71.75,72.75,268800,12.168445
1990-03-13,72.75,73.0,72.25,72.5,448000,12.126629
1990-03-14,72.375,72.5,71.75,71.75,86800,12.001180999999999
1990-03-15,71.875,72.125,71.375,71.75,121600,12.001180999999999
1990-03-16,71.75,73.75,71.625,73.625,320800,12.314801
1990-03-19,73.375,73.875,72.5,73.75,204800,12.335709
1990-03-20,73.625,74.375,73.375,74.0,128400,12.377525
1990-03-21,74.375,74.625,73.75,73.75,80800,12.335709
1990-03-22,73.625,73.75,73.0,73.625,75600,12.314801
1990-03-23,73.875,74.25,73.75,73.875,42000,12.356617
1990-03-26,74.0,74.25,73.125,73.125,58000,12.231169
1990-03-27,73.25,73.375,72.375,73.375,83600,12.272985
1990-03-28,73.125,73.625,72.75,73.375,93200,12.272985
1990-03-29,73.25,73.25,72.875,73.25,81200,12.252077
1990-03-30,73.5,73.75,72.75,73.75,75200,12.335709
1990-04-02,73.5,74.0,73.125,74.0,82800,12.377525
1990-04-03,73.75,74.5,73.75,74.5,174000,12.461157
1990-04-04,74.375,74.5,74.0,74.0,97600,12.377525
1990-04-05,74.0,74.625,74.0,74.5,118000,12.461157
1990-04-06,74.625,74.625,74.25,74.375,53600,12.440249
1990-04-09,74.25,74.625,74.25,74.5,50400,12.461157
1990-04-10,74.25,74.25,73.375,73.625,32000,12.314801
1990-04-11,73.875,73.875,73.0,73.0,39600,12.210261000000001
1990-04-12,72.75,73.125,72.5,73.0,156400,12.210261000000001
1990-04-16,73.5,73.75,73.125,73.125,106000,12.231169
1990-04-17,72.875,74.0,72.75,73.625,156000,12.314801
1990-04-18,74.0,74.125,73.0,73.0,289200,12.210261000000001
1990-04-19,73.125,73.75,72.875,73.625,136400,12.314801
1990-04-20,73.5,73.5,73.0,73.375,144400,12.272985
1990-04-23,73.25,73.25,72.125,72.25,107600,12.084813
1990-04-24,72.25,72.375,71.25,71.625,223200,11.980273
1990-04-25,71.125,71.75,71.0,71.375,277200,11.938457000000001
1990-04-26,71.375,71.375,70.5,70.5,252000,11.792100999999999
1990-04-27,70.25,70.875,69.875,70.0,134800,11.70847
1990-04-30,69.875,70.375,69.625,70.375,101600,11.771192999999998
1990-05-01,70.375,70.5,70.125,70.25,60800,11.798907
1990-05-02,70.0,70.125,69.875,70.0,211600,11.756917999999999
1990-05-03,69.875,69.875,69.25,69.25,252000,11.630951
1990-05-04,69.375,69.625,69.25,69.625,45200,11.693934
1990-05-07,69.625,69.625,69.375,69.625,204800,11.693934
1990-05-08,69.75,70.5,69.75,70.5,285200,11.840896
1990-05-09,70.375,71.375,70.375,71.125,145600,11.945867999999999
1990-05-10,71.125,71.375,71.125,71.125,85200,11.945867999999999
