Date,Open,High,Low,Close,Volume,Adj Close
1992-03-17,20.75,20.875,20.625,20.875,2600,3.436374
1992-03-18,20.5,20.5,20.375,20.5,15200,3.374643
1992-03-19,20.25,20.25,19.5,19.75,17600,3.2511799999999997
1992-03-20,19.625,20.25,18.625,20.25,69000,3.333489
1992-03-23,20.25,20.375,19.5,19.625,4700,3.230603
1992-03-24,19.625,20.125,19.625,19.75,8900,3.2511799999999997
1992-03-25,19.875,20.125,19.75,19.875,4400,3.271757
1992-03-26,19.875,20.25,19.875,20.125,9400,3.312911
1992-03-27,20.0,20.0,19.625,19.875,3200,3.271757
1992-03-30,19.875,20.375,19.75,20.375,6000,3.3540660000000004
1992-03-31,20.125,20.125,19.875,20.0,3500,3.292334
1992-04-01,20.0,20.125,20.0,20.0,14000,3.292334
1992-04-02,20.25,20.25,20.0,20.25,2000,3.333489
1992-04-03,20.25,20.25,20.0,20.0,6200,3.292334
1992-04-06,19.75,19.875,19.625,19.75,10100,3.2511799999999997
1992-04-07,19.875,20.0,19.75,19.75,20600,3.2511799999999997
1992-04-08,19.75,20.0,19.75,20.0,2000,3.292334
1992-04-09,19.875,20.0,19.875,20.0,13000,3.292334
1992-04-10,20.0,20.125,19.75,19.75,14000,3.2511799999999997
1992-04-13,19.875,19.875,19.625,19.75,8000,3.2511799999999997
1992-04-14,19.75,20.0,19.75,19.75,9300,3.2511799999999997
1992-04-15,19.75,20.0,19.75,19.75,6500,3.2511799999999997
1992-04-16,19.75,20.0,19.625,19.625,11500,3.230603
1992-04-20,19.375,19.625,19.125,19.375,13200,3.189449
1992-04-21,19.375,19.375,18.75,18.875,16500,3.107141
1992-04-22,18.625,19.375,18.625,19.125,32000,3.148295
1992-04-23,19.375,19.5,18.875,19.25,36300,3.168872
1992-04-24,19.5,19.5,19.125,19.25,15700,3.168872
1992-04-27,19.125,19.625,19.125,19.625,11300,3.230603
1992-04-28,19.625,20.0,19.5,20.0,12600,3.292334
1992-04-29,19.625,20.0,19.625,19.875,10300,3.348779
1992-04-30,19.75,20.0,19.625,19.75,12600,3.327718
1992-05-01,19.875,19.875,19.375,19.625,7600,3.306656
1992-05-04,19.5,19.625,19.125,19.25,9300,3.243472
1992-05-05,19.375,19.5,19.25,19.375,2300,3.264533
1992-05-06,19.375,19.5,19.375,19.5,6600,3.285595
1992-05-07,19.625,19.75,19.375,19.625,2800,3.306656
1992-05-08,19.375,19.5,19.0,19.0,11800,3.201349
1992-05-11,19.625,19.625,19.375,19.375,9300,3.264533
1992-05-12,19.625,19.75,19.5,19.75,5300,3.327718
1992-05-13,19.75,20.125,19.625,20.125,12800,3.3909019999999996
1992-05-14,20.125,20.125,19.75,20.0,4300,3.3698410000000005
1992-05-15,19.875,20.0,19.75,20.0,4600,3.3698410000000005
1992-05-18,20.0,20.125,19.875,19.875,12900,3.348779
1992-05-19,20.0,20.0,19.625,19.75,10200,3.327718
1992-05-20,19.75,19.875,19.5,19.625,7400,3.306656
1992-05-21,19.75,19.75,19.5,19.625,18100,3.306656
1992-05-22,19.75,19.875,19.625,19.75,8100,3.327718
1992-05-26,19.75,19.875,19.625,19.75,4500,3.327718
1992-05-27,19.75,19.75,19.25,19.5,18400,3.285595
1992-05-28,19.375,19.5,19.375,19.5,9000,3.285595
1992-05-29,19.375,19.75,19.375,19.75,7800,3.327718
1992-06-01,19.75,19.75,19.5,19.75,4000,3.327718
1992-06-02,19.75,19.875,19.625,19.875,6900,3.348779
1992-06-03,19.75,19.875,19.625,19.875,8500,3.348779
1992-06-04,19.875,19.875,19.625,19.875,5000,3.348779
1992-06-05,19.625,20.0,19.625,20.0,6800,3.3698410000000005
1992-06-08,19.75,20.0,19.75,19.875,4500,3.348779
1992-06-09,19.75,20.0,19.75,19.875,4600,3.348779
1992-06-10,19.875,19.875,19.75,19.875,6900,3.348779
1992-06-11,19.75,20.0,19.75,20.0,9200,3.3698410000000005
1992-06-12,19.875,20.0,19.875,20.0,6900,3.3698410000000005
1992-06-15,20.0,20.125,19.875,20.125,4000,3.3909019999999996
1992-06-16,20.0,20.125,20.0,20.0,6200,3.3698410000000005
1992-06-17,20.125,20.25,20.0,20.0,16500,3.3698410000000005
1992-06-18,20.0,20.125,20.0,20.0,13300,3.3698410000000005
1992-06-19,20.25,20.25,20.0,20.125,5100,3.3909019999999996
1992-06-22,20.0,20.0,19.875,20.0,11200,3.3698410000000005
1992-06-23,19.875,20.0,19.75,19.75,10800,3.327718
1992-06-24,19.625,19.75,19.5,19.5,15300,3.285595
1992-06-25,19.625,19.75,19.375,19.5,6400,3.285595
1992-06-26,19.375,19.625,19.375,19.375,11600,3.264533
1992-06-29,19.625,19.875,19.125,19.375,22800,3.264533
1992-06-30,19.5,19.625,18.875,19.25,18600,3.243472
1992-07-01,19.375,19.875,19.25,19.875,5200,3.348779
1992-07-02,19.875,19.875,19.625,19.875,4500,3.348779
1992-07-06,19.75,20.0,19.625,20.0,4600,3.3698410000000005
1992-07-07,20.0,21.0,20.0,20.75,15300,3.49621
1992-07-08,20.625,20.75,20.5,20.75,20300,3.49621
1992-07-09,20.625,20.625,20.5,20.625,9000,3.4751489999999996
1992-07-10,20.5,21.0,20.5,20.875,9600,3.517272
1992-07-13,20.625,21.0,20.625,20.875,9000,3.517272
1992-07-14,20.75,21.25,20.75,21.25,9500,3.580456
1992-07-15,21.5,21.75,21.0,21.25,15300,3.580456
