Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,31.875,31.875,31.625,31.875,53200,1.308072
1990-01-03,31.75,31.875,31.625,31.625,31600,1.2978120000000002
1990-01-04,31.75,31.75,31.625,31.75,38000,1.302942
1990-01-05,31.625,32.0,31.5,31.5,66400,1.292683
1990-01-08,31.75,32.0,31.5,32.0,110000,1.313201
1990-01-09,31.75,31.875,31.5,31.625,78000,1.2978120000000002
1990-01-10,31.5,31.75,31.5,31.5,136000,1.292683
1990-01-11,31.75,31.875,31.625,31.875,98000,1.308072
1990-01-12,31.625,31.75,31.5,31.625,16400,1.2978120000000002
1990-01-15,31.5,31.75,31.375,31.5,31600,1.292683
1990-01-16,31.5,31.75,31.5,31.5,11600,1.292683
1990-01-17,31.5,31.75,31.5,31.5,28400,1.292683
1990-01-18,31.5,31.75,31.5,31.75,11600,1.302942
1990-01-19,31.75,31.875,31.75,31.875,38000,1.308072
1990-01-22,31.75,31.75,31.5,31.75,23200,1.302942
1990-01-23,31.625,31.625,31.0,31.25,278400,1.2824229999999999
1990-01-24,31.125,31.25,30.875,31.0,29600,1.2721639999999999
1990-01-25,31.0,31.0,31.0,31.0,13600,1.2721639999999999
1990-01-26,31.25,31.25,31.0,31.0,26000,1.2721639999999999
1990-01-29,31.125,31.25,30.5,30.75,131600,1.2619040000000001
1990-01-30,29.875,30.0,29.5,29.5,130400,1.240459
1990-01-31,29.5,29.75,28.875,28.875,66000,1.214178
1990-02-01,29.125,29.125,29.0,29.0,90400,1.219435
1990-02-02,28.75,28.75,28.625,28.75,1807200,1.2089219999999998
1990-02-05,28.625,28.625,28.5,28.625,114400,1.203666
1990-02-06,28.625,28.625,28.125,28.125,268000,1.182641
1990-02-07,28.375,28.5,28.125,28.375,203200,1.193154
1990-02-08,28.5,28.75,28.25,28.375,118400,1.193154
1990-02-09,28.625,28.75,28.625,28.625,54800,1.203666
1990-02-12,28.75,28.75,28.5,28.5,54400,1.19841
1990-02-13,28.75,28.75,28.5,28.625,75200,1.203666
1990-02-14,28.625,28.625,28.125,28.25,137600,1.187897
1990-02-15,28.25,28.75,28.0,28.625,122800,1.203666
1990-02-16,28.5,28.75,28.375,28.375,48000,1.193154
1990-02-20,28.5,28.5,27.875,28.25,58800,1.187897
1990-02-21,28.25,28.375,28.0,28.0,36000,1.1773850000000001
1990-02-22,28.25,28.375,28.0,28.375,43600,1.193154
1990-02-23,28.375,28.375,28.0,28.0,47200,1.1773850000000001
1990-02-26,28.0,28.375,28.0,28.375,62000,1.193154
1990-02-27,28.375,28.625,28.375,28.5,39600,1.19841
1990-02-28,28.625,28.625,28.375,28.375,29200,1.193154
1990-03-01,28.375,28.5,28.375,28.5,11200,1.19841
1990-03-02,28.5,28.625,28.375,28.5,68400,1.19841
1990-03-05,28.625,28.625,28.375,28.5,298800,1.19841
1990-03-06,28.5,28.625,28.375,28.625,117600,1.203666
1990-03-07,28.625,28.625,28.375,28.625,72400,1.203666
1990-03-08,28.625,28.625,28.5,28.5,91200,1.19841
1990-03-09,28.5,28.625,28.5,28.5,62400,1.19841
1990-03-12,28.5,28.625,28.5,28.625,21200,1.203666
1990-03-13,28.625,28.625,28.5,28.5,120800,1.19841
1990-03-14,28.5,28.5,28.375,28.5,64800,1.19841
1990-03-15,28.5,28.5,28.25,28.375,38800,1.193154
1990-03-16,28.375,28.5,28.25,28.25,66000,1.187897
1990-03-19,28.25,28.625,28.25,28.625,60000,1.203666
1990-03-20,28.5,28.75,28.5,28.75,96400,1.2089219999999998
1990-03-21,28.625,29.25,28.625,29.0,66000,1.219435
1990-03-22,28.875,29.0,28.75,29.0,62000,1.219435
1990-03-23,29.125,29.25,29.0,29.125,17600,1.224691
1990-03-26,29.125,29.125,28.75,29.0,83600,1.219435
1990-03-27,29.0,29.0,28.875,29.0,19600,1.219435
1990-03-28,29.0,29.0,28.625,28.75,50400,1.2089219999999998
1990-03-29,28.75,29.0,28.625,29.0,54800,1.219435
1990-03-30,29.0,29.25,28.75,29.25,108800,1.229947
1990-04-02,29.0,29.25,28.75,28.75,124800,1.2089219999999998
1990-04-03,29.0,29.0,28.75,28.75,47600,1.2089219999999998
1990-04-04,28.625,29.0,28.625,28.75,117600,1.2089219999999998
1990-04-05,29.0,29.0,28.375,28.5,45200,1.19841
1990-04-06,28.5,29.0,28.5,29.0,45200,1.219435
1990-04-09,29.0,29.0,28.75,28.75,19200,1.2089219999999998
1990-04-10,28.875,29.125,28.875,29.125,75200,1.224691
1990-04-11,29.0,29.25,28.875,29.0,33600,1.219435
1990-04-12,28.875,29.0,28.875,28.875,47600,1.214178
1990-04-16,28.875,29.25,28.875,29.25,53200,1.229947
1990-04-17,29.25,29.25,29.0,29.25,85600,1.229947
1990-04-18,29.375,29.5,29.0,29.0,350400,1.219435
1990-04-19,29.25,29.375,29.0,29.375,68000,1.235203
1990-04-20,29.25,29.875,29.25,29.5,178800,1.240459
