Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,35.0,35.375,34.75,35.375,1467200,4.851115
1990-01-03,35.375,35.875,35.125,35.5,1749200,4.868256
1990-01-04,35.75,36.625,35.625,36.625,1289200,5.022532
1990-01-05,36.5,37.125,36.0,37.125,1333600,5.091099
1990-01-08,36.875,37.5,36.75,37.125,855600,5.091099
1990-01-09,37.125,37.125,36.0,36.375,1181600,4.988249
1990-01-10,36.125,36.375,35.75,36.0,537600,4.936823
1990-01-11,36.0,36.125,35.5,35.75,1037600,4.90254
1990-01-12,35.0,35.25,34.5,35.125,689600,4.816831
1990-01-15,34.875,35.0,34.625,35.0,711600,4.79969
1990-01-16,34.75,35.75,34.75,35.75,1889600,4.90254
1990-01-17,35.625,35.625,34.75,35.0,1575600,4.79969
1990-01-18,34.875,35.75,34.75,35.625,1518800,4.885398
1990-01-19,35.75,35.75,35.25,35.375,1885600,4.851115
1990-01-22,35.125,35.5,34.625,34.625,1101600,4.748264
1990-01-23,34.875,35.125,34.625,34.75,1738400,4.765406
1990-01-24,34.0,34.375,33.375,34.0,974400,4.6625559999999995
1990-01-25,34.25,34.25,32.5,32.75,742800,4.491137999999999
1990-01-26,32.75,34.0,32.75,34.0,736400,4.6625559999999995
1990-01-29,34.0,34.75,33.875,34.5,1200800,4.731123
1990-01-30,34.625,35.0,34.375,34.5,1468400,4.731123
1990-01-31,34.25,34.625,34.0,34.0,1430400,4.6625559999999995
1990-02-01,34.25,34.25,34.0,34.125,822400,4.679697
1990-02-02,34.0,34.125,33.75,33.875,1583600,4.645414
1990-02-05,33.75,34.5,33.75,34.125,1471200,4.679697
1990-02-06,34.125,34.5,34.0,34.5,1218400,4.731123
1990-02-07,34.25,35.25,34.25,35.25,1691600,4.833973
1990-02-08,35.25,36.0,35.0,35.25,1027200,4.833973
1990-02-09,35.375,35.625,35.25,35.5,792000,4.868256
1990-02-12,35.25,35.5,35.0,35.0,566800,4.79969
1990-02-13,35.125,35.5,35.0,35.375,722800,4.851115
1990-02-14,35.25,35.625,35.25,35.5,878800,4.868256
1990-02-15,35.125,35.75,35.125,35.625,580000,4.9481209999999995
1990-02-16,35.5,35.75,35.0,35.25,492800,4.8960349999999995
1990-02-20,35.0,35.0,34.625,34.625,950000,4.809226
1990-02-21,34.0,34.5,33.875,34.25,876000,4.757141000000001
1990-02-22,34.25,34.5,33.625,33.875,2020400,4.705055000000001
1990-02-23,33.5,34.25,33.375,33.875,744400,4.705055000000001
1990-02-26,33.875,34.375,33.875,34.375,998000,4.774502
1990-02-27,34.375,34.75,34.125,34.5,846800,4.791864
1990-02-28,34.625,35.625,34.5,35.125,843200,4.878673
1990-03-01,35.125,35.625,35.0,35.5,507600,4.930758999999999
1990-03-02,35.375,36.0,35.25,35.75,716800,4.965483
1990-03-05,36.0,36.125,35.5,35.5,644800,4.930758999999999
1990-03-06,35.5,35.875,35.5,35.875,637600,4.982844
1990-03-07,35.625,35.75,35.375,35.5,764800,4.930758999999999
1990-03-08,35.5,36.25,35.5,36.125,1733200,5.017568
1990-03-09,35.75,36.125,35.75,36.0,1142800,5.0002059999999995
1990-03-12,36.0,36.0,35.625,35.75,801200,4.965483
1990-03-13,35.625,36.125,35.25,35.375,3059600,4.913397
1990-03-14,35.375,35.875,35.375,35.625,604800,4.9481209999999995
1990-03-15,35.375,35.75,35.375,35.625,743600,4.9481209999999995
1990-03-16,35.875,36.25,35.625,36.125,1157600,5.017568
1990-03-19,36.0,36.375,35.75,36.25,1086000,5.03493
1990-03-20,36.125,36.375,35.5,35.5,1408800,4.930758999999999
