Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,34.5,34.75,34.25,34.5,643200,4.50957
1990-01-03,34.25,34.25,33.125,33.125,318800,4.329841
1990-01-04,32.375,32.625,32.125,32.25,254000,4.215466999999999
1990-01-05,32.0,32.5,31.875,32.5,185600,4.248145
1990-01-08,32.25,33.25,32.125,33.25,178400,4.34618
1990-01-09,33.25,33.25,32.5,32.5,240800,4.248145
1990-01-10,32.5,32.625,32.125,32.625,73600,4.2644839999999995
1990-01-11,32.875,33.25,32.875,33.125,169600,4.329841
1990-01-12,32.625,32.625,31.75,31.75,89600,4.150111
1990-01-15,31.0,31.75,31.0,31.75,219600,4.150111
1990-01-16,31.75,32.25,30.875,31.0,342800,4.052077
1990-01-17,31.0,31.5,30.75,31.375,143200,4.101094
1990-01-18,31.375,32.375,31.25,32.375,198800,4.231806
1990-01-19,32.625,33.375,32.625,33.125,227200,4.329841
1990-01-22,33.125,33.125,31.75,31.75,81600,4.150111
1990-01-23,31.875,32.875,31.25,32.75,224800,4.280823000000001
1990-01-24,32.25,32.5,31.375,32.5,134000,4.248145
1990-01-25,32.5,32.875,32.5,32.625,180400,4.2644839999999995
1990-01-26,32.875,33.375,32.75,33.25,222000,4.34618
1990-01-29,33.375,33.375,32.0,32.5,134400,4.248145
1990-01-30,32.625,32.625,32.0,32.375,48400,4.231806
1990-01-31,32.5,33.0,32.5,33.0,217200,4.3135010000000005
1990-02-01,33.0,33.0,32.5,32.875,82400,4.297162
1990-02-02,33.5,35.5,33.5,35.5,787200,4.640282
1990-02-05,35.75,36.375,35.625,36.25,389600,4.738316
1990-02-06,36.25,36.25,35.75,36.0,434400,4.7056379999999995
1990-02-07,35.75,36.875,35.375,36.875,408000,4.820011
1990-02-08,37.0,37.75,37.0,37.125,572400,4.852689
1990-02-09,37.0,37.5,37.0,37.0,185200,4.850723
1990-02-12,37.0,37.125,36.5,36.625,402000,4.80156
1990-02-13,36.375,36.75,36.0,36.125,136400,4.73601
1990-02-14,36.125,36.375,35.75,36.125,348800,4.73601
1990-02-15,36.25,37.25,36.125,37.25,769200,4.883498
1990-02-16,37.5,37.75,37.25,37.375,612400,4.899885
1990-02-20,37.25,37.25,36.25,36.625,219600,4.80156
1990-02-21,36.375,37.625,36.25,37.5,397600,4.916273
1990-02-22,37.5,37.625,36.25,36.25,299600,4.752397
1990-02-23,36.125,36.125,34.5,34.75,235200,4.555746
1990-02-26,34.875,35.625,34.0,35.375,144400,4.637683999999999
