Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,47.25,49.375038,47.0,49.375038,5250400,3.4617699999999996
1990-01-03,49.375038,49.624962,48.0,48.5,5460000,3.4004199999999996
1990-01-04,48.5,48.75,47.25,48.0,3092800,3.365364
1990-01-05,47.875038,47.875038,47.25,47.375038,2398400,3.3215470000000002
1990-01-08,47.375038,48.875038,46.875038,48.25,2680800,3.382892
1990-01-09,48.25,48.25,46.624962,47.124962,2818400,3.304013
1990-01-10,47.0,47.0,46.0,47.0,2894400,3.2952519999999996
1990-01-11,47.0,47.375038,46.624962,46.875038,2636000,3.2864910000000003
1990-01-12,46.375038,46.375038,45.5,45.75,3797600,3.2076119999999997
1990-01-15,45.75,46.75,45.375038,45.375038,3378400,3.181323
1990-01-16,45.375038,46.624962,44.5,46.624962,4975200,3.268957
1990-01-17,46.624962,47.624962,45.375038,45.75,5127200,3.2076119999999997
1990-01-18,45.75,45.875038,44.624962,45.375038,6514400,3.181323
1990-01-19,45.375038,45.75,44.375038,44.624962,5256800,3.128734
1990-01-22,44.624962,45.124962,44.25,44.5,3780000,3.119973
1990-01-23,44.5,45.124962,43.75,44.624962,4620000,3.128734
1990-01-24,44.624962,44.875038,43.624962,44.75,3166400,3.137501
1990-01-25,44.75,45.25,43.5,43.875038,2349600,3.076155
1990-01-26,43.875038,44.25,42.5,44.0,3016800,3.084917
1990-01-29,44.0,44.5,42.75,43.624962,2041600,3.058622
1990-01-30,43.624962,44.75,43.624962,44.25,4537600,3.102445
1990-01-31,44.25,44.875038,44.25,44.624962,2911200,3.128734
1990-02-01,44.624962,45.124962,44.375038,44.375038,5905600,3.111211
1990-02-02,44.375038,45.5,44.0,44.624962,5039200,3.128734
1990-02-05,44.624962,45.375038,44.5,45.375038,2051200,3.181323
1990-02-06,45.375038,45.375038,44.5,45.25,2264800,3.172556
1990-02-07,45.25,47.75,45.0,47.624962,7578400,3.3390690000000003
1990-02-08,47.624962,48.25,47.124962,47.5,5228800,3.330308
1990-02-09,47.5,47.875038,46.5,46.624962,3057600,3.268957
1990-02-12,46.5,46.5,45.75,45.75,1991200,3.2076119999999997
1990-02-13,45.75,46.875038,45.5,46.375038,2798400,3.251435
1990-02-14,46.624962,47.75,46.624962,46.75,2168800,3.2777239999999996
1990-02-15,46.75,47.5,46.624962,47.25,2292000,3.3127800000000005
1990-02-16,45.875038,45.875038,43.5,43.875038,13169600,3.076155
1990-02-20,43.124962,43.124962,42.124962,42.25,7261600,2.962221
1990-02-21,42.124962,42.124962,41.124962,42.124962,6323200,2.953455
1990-02-22,42.124962,42.624962,41.375038,41.375038,5844800,2.900876
1990-02-23,41.375038,42.5,41.124962,41.5,3823200,2.909637
1990-02-26,41.5,42.25,41.375038,42.25,2747200,2.962221
1990-02-27,42.25,43.624962,42.124962,42.375038,5604000,2.970988
1990-02-28,42.375038,43.25,42.25,43.124962,3796000,3.023566
1990-03-01,43.0,43.0,41.875038,42.0,3444000,2.944693
1990-03-02,42.0,42.624962,42.0,42.5,2750400,2.979749
1990-03-05,42.5,43.0,41.875038,42.375038,3123200,2.970988
1990-03-06,42.375038,42.875038,42.375038,42.5,3199200,2.979749
1990-03-07,43.124962,44.0,43.124962,43.624962,5640800,3.058622
1990-03-08,43.624962,45.124962,43.624962,44.75,8206400,3.137501
1990-03-09,44.75,45.25,44.5,44.624962,3704000,3.128734
1990-03-12,44.624962,44.875038,43.875038,44.624962,2152000,3.128734
1990-03-13,44.624962,44.75,43.75,44.25,3204000,3.102445
1990-03-14,44.25,44.25,42.875038,44.0,3935200,3.084917
