Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,44.624962,47.0,44.25,47.0,541600,3.7797110000000003
1990-01-03,46.75,46.875038,45.25,45.875038,493600,3.6892419999999997
1990-01-04,45.624962,45.624962,44.25,45.0,244800,3.618872
1990-01-05,45.0,45.0,44.624962,44.75,203200,3.5987669999999996
1990-01-08,44.5,45.0,44.25,44.624962,304800,3.588712
1990-01-09,44.375038,44.75,44.25,44.5,551200,3.5786620000000005
1990-01-10,44.5,44.624962,44.0,44.5,324000,3.5786620000000005
1990-01-11,44.75,45.124962,44.375038,44.5,465600,3.5786620000000005
1990-01-12,43.75,44.25,43.25,43.5,341600,3.498243
1990-01-15,43.25,43.25,42.5,42.624962,387200,3.4278730000000004
1990-01-16,42.375038,42.5,42.124962,42.5,508000,3.417824
1990-01-17,42.5,42.624962,42.0,42.375038,727200,3.407774
1990-01-18,42.25,43.0,42.25,43.0,307200,3.4580330000000004
1990-01-19,43.25,43.624962,42.624962,42.624962,692000,3.4278730000000004
1990-01-22,42.75,42.875038,41.25,41.375038,356800,3.3273550000000003
1990-01-23,41.375038,42.375038,41.375038,41.5,428000,3.3374040000000003
1990-01-24,41.0,41.75,40.875038,41.75,339200,3.357509
1990-01-25,42.25,42.375038,41.375038,41.375038,259200,3.3273550000000003
1990-01-26,41.0,41.5,41.0,41.5,255200,3.3374040000000003
1990-01-29,41.624962,41.624962,40.5,41.624962,266400,3.347453
1990-01-30,41.624962,41.624962,40.5,41.0,441600,3.3091190000000004
1990-01-31,40.75,41.624962,40.75,41.624962,328800,3.3595599999999997
1990-02-01,41.5,41.75,41.25,41.5,314400,3.349474
1990-02-02,41.25,42.75,41.25,42.5,331200,3.430185
1990-02-05,42.5,43.25,42.375038,43.124962,452000,3.480625
1990-02-06,43.0,43.624962,42.75,43.624962,184800,3.52098
1990-02-07,43.75,46.0,43.375038,46.0,1123200,3.7126699999999997
1990-02-08,46.25,46.624962,45.75,45.875038,789600,3.702585
1990-02-09,45.875038,46.0,45.25,45.875038,679200,3.702585
1990-02-12,45.624962,45.624962,45.25,45.25,616000,3.652138
1990-02-13,45.25,46.0,45.0,45.624962,199200,3.682401
1990-02-14,45.875038,46.25,45.75,46.0,508800,3.7126699999999997
1990-02-15,46.0,46.25,45.624962,45.624962,857600,3.682401
1990-02-16,45.75,46.624962,45.75,46.375038,853600,3.74294
1990-02-20,46.25,46.375038,45.25,45.75,687200,3.6924930000000002
1990-02-21,45.25,45.25,44.25,44.875038,600000,3.6218739999999996
1990-02-22,44.875038,45.75,44.75,45.0,271200,3.63196
1990-02-23,45.0,45.75,44.375038,45.5,403200,3.672315
1990-02-26,45.75,46.0,45.5,46.0,200800,3.7126699999999997
1990-02-27,45.875038,46.5,45.875038,46.25,779200,3.732848
1990-02-28,46.0,48.375038,46.0,48.0,1509600,3.8740910000000004
1990-03-01,48.124962,48.5,47.5,47.875038,1880000,3.864005
1990-03-02,48.25,48.25,47.624962,47.875038,521600,3.864005
1990-03-05,47.624962,50.124962,47.5,50.0,1745600,4.035511
1990-03-06,50.0,50.0,48.75,49.375038,1144800,3.98507
1990-03-07,49.5,49.624962,48.875038,49.0,488000,3.9548010000000002
1990-03-08,49.124962,49.124962,47.875038,48.624962,764000,3.924532
1990-03-09,48.875038,49.25,48.75,49.0,953600,3.9548010000000002
1990-03-12,48.5,48.624962,47.5,48.5,796000,3.914446
1990-03-13,48.5,48.5,47.75,48.0,392800,3.8740910000000004
1990-03-14,48.124962,48.75,48.124962,48.5,812800,3.914446
1990-03-15,48.75,48.75,48.5,48.75,790400,3.934623
1990-03-16,49.5,50.124962,49.25,49.5,2000000,3.9951559999999997
1990-03-19,49.25,49.624962,49.0,49.0,392000,3.9548010000000002
1990-03-20,49.124962,49.124962,48.375038,48.375038,649600,3.90436
1990-03-21,48.624962,48.624962,48.124962,48.25,614400,3.894268
1990-03-22,48.375038,48.624962,48.0,48.375038,412000,3.90436
1990-03-23,48.624962,49.25,48.375038,48.875038,523200,3.944715
1990-03-26,48.624962,49.5,48.624962,49.25,276800,3.9749790000000003
1990-03-27,49.25,50.0,49.124962,49.624962,302400,4.005242
1990-03-28,49.875038,50.0,49.624962,50.0,555200,4.035511
1990-03-29,49.875038,50.875038,49.875038,50.875038,678400,4.106136
1990-03-30,50.5,50.5,49.875038,50.5,383200,4.075866
1990-04-02,50.25,50.25,49.5,49.624962,270400,4.005242
1990-04-03,49.375038,50.25,49.375038,50.124962,307200,4.045597
1990-04-04,49.875038,50.5,49.875038,50.375038,1170400,4.065780999999999
1990-04-05,50.375038,51.5,50.375038,51.25,827200,4.136399
1990-04-06,51.375038,51.624962,51.124962,51.624962,669600,4.1666620000000005
1990-04-09,51.624962,51.624962,51.124962,51.375038,596800,4.146491
1990-04-10,51.124962,51.124962,50.124962,50.124962,451200,4.045597
1990-04-11,50.0,50.25,49.75,50.0,1131200,4.035511
1990-04-12,49.75,50.375038,49.75,50.375038,753600,4.065780999999999
1990-04-16,50.25,50.5,50.124962,50.124962,132800,4.045597
1990-04-17,50.0,50.0,49.624962,49.75,171200,4.015333999999999
1990-04-18,50.0,50.25,49.124962,49.124962,491200,3.964887
1990-04-19,48.5,48.875038,48.0,48.0,1178400,3.8740910000000004
1990-04-20,48.25,48.5,48.0,48.124962,1656800,3.884176
1990-04-23,48.0,49.0,48.0,48.875038,514400,3.944715
1990-04-24,49.0,49.25,48.875038,49.124962,246400,3.964887
1990-04-25,48.875038,50.0,48.875038,49.624962,980000,4.005242
1990-04-26,49.75,51.0,49.75,51.0,672000,4.116221
1990-04-27,50.75,51.25,50.25,50.25,798400,4.055689
1990-04-30,50.25,50.624962,50.25,50.624962,269600,4.085952
1990-05-01,50.5,51.0,50.5,50.875038,529600,4.106136
1990-05-02,50.624962,50.875038,50.5,50.75,123200,4.096044
1990-05-03,50.75,51.25,50.624962,50.875038,468000,4.118308
1990-05-04,50.75,50.875038,50.5,50.75,287200,4.108186
1990-05-07,50.75,52.0,50.5,52.0,932000,4.209373
1990-05-08,52.124962,53.375038,52.124962,53.124962,612000,4.300438
1990-05-09,53.124962,53.124962,52.5,52.75,420800,4.270085
