Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,37.25,38.0,36.5,38.0,1112000,6.053462000000001
1990-01-03,37.75,39.25,37.75,38.75,1042400,6.172937999999999
1990-01-04,38.75,38.75,38.25,38.75,788000,6.172937999999999
1990-01-05,38.5,39.25,38.25,38.75,848000,6.172937999999999
1990-01-08,38.75,38.75,37.625,38.0,998000,6.053462000000001
1990-01-09,37.5,37.75,36.0,36.0,1102800,5.734858
1990-01-10,36.0,36.0,35.0,35.25,1385600,5.615382
1990-01-11,35.5,36.0,35.25,35.25,579600,5.615382
1990-01-12,34.75,35.0,34.25,34.75,963600,5.535731
1990-01-15,34.75,35.25,34.5,34.75,816800,5.535731
1990-01-16,34.75,36.25,34.5,35.75,1132800,5.6950330000000005
1990-01-17,36.0,36.0,35.0,35.25,835200,5.615382
1990-01-18,34.75,35.25,34.5,35.25,555200,5.615382
1990-01-19,35.25,35.5,35.0,35.0,326000,5.575557
1990-01-22,35.25,35.25,34.25,34.5,618000,5.495906
1990-01-23,34.5,35.25,34.25,34.75,514000,5.535731
1990-01-24,34.25,34.75,33.75,34.75,741600,5.535731
1990-01-25,34.5,35.0,34.0,34.25,474000,5.456081
1990-01-26,34.0,34.25,33.25,33.5,586400,5.336604
1990-01-29,33.75,34.0,32.75,33.125,708000,5.276866
1990-01-30,33.0,33.0,32.25,32.625,1362000,5.197215
1990-01-31,32.75,33.75,32.75,33.5,711600,5.336604
1990-02-01,33.5,34.5,33.5,34.25,689200,5.456081
1990-02-02,34.25,35.0,34.0,34.25,524000,5.456081
1990-02-05,34.25,34.75,34.0,34.5,387200,5.495906
1990-02-06,34.75,34.75,33.75,33.75,577600,5.37643
1990-02-07,33.75,34.5,32.75,34.375,1082000,5.475993
1990-02-08,34.5,35.25,34.25,34.625,1869600,5.5158190000000005
1990-02-09,34.5,35.0,34.5,34.875,2620000,5.555644
1990-02-12,34.5,35.0,34.25,34.25,530000,5.456081
1990-02-13,34.75,34.75,34.0,34.75,599200,5.535731
1990-02-14,34.75,35.0,33.0,34.0,1438400,5.4162550000000005
1990-02-15,33.75,34.0,32.25,32.75,5008400,5.217128
1990-02-16,31.0,31.0,29.25,29.5,13564800,4.699398
1990-02-20,28.25,28.5,26.75,27.75,7897600,4.4206199999999995
1990-02-21,27.5,28.75,26.75,28.5,3834000,4.540096
1990-02-22,29.0,29.75,28.5,29.25,2297200,4.659572
1990-02-23,29.25,29.25,27.5,28.0,4344000,4.460445
1990-02-26,28.25,29.25,28.0,29.25,2349600,4.659572
1990-02-27,29.0,29.5,27.75,28.0,2898400,4.4719120000000006
1990-02-28,28.0,28.5,27.25,27.75,2668400,4.431984
1990-03-01,27.25,28.0,26.5,27.75,3022000,4.431984
1990-03-02,27.5,29.0,27.5,29.0,2346800,4.631623
1990-03-05,29.0,29.0,28.25,28.25,2029600,4.51184
1990-03-06,28.5,28.5,27.75,28.25,1675600,4.51184
1990-03-07,28.25,28.5,27.0,27.75,4240400,4.431984
1990-03-08,27.75,28.5,27.25,28.375,4220800,4.531804
1990-03-09,28.5,30.25,28.25,30.0,3548400,4.791334
1990-03-12,30.0,30.0,29.0,29.5,1522000,4.711479
1990-03-13,29.75,29.75,29.0,29.25,885200,4.671551
1990-03-14,29.5,30.25,29.25,29.25,1399600,4.671551
1990-03-15,30.25,30.25,29.5,29.875,1866400,4.77137
1990-03-16,30.5,30.75,29.75,30.5,1236400,4.87119
1990-03-19,30.5,30.5,29.5,30.25,1208800,4.831262000000001
1990-03-20,30.25,30.75,29.5,30.0,1622400,4.791334
1990-03-21,29.75,30.75,29.5,29.75,976000,4.751405999999999
1990-03-22,30.0,30.0,29.0,29.25,1724000,4.671551
1990-03-23,29.5,30.0,29.25,29.75,878800,4.751405999999999
1990-03-26,30.0,30.75,30.0,30.5,1144000,4.87119
1990-03-27,30.25,31.0,29.75,30.75,1339200,4.911117
1990-03-28,31.0,32.5,30.5,31.75,1685200,5.070829
1990-03-29,31.75,32.0,31.0,31.25,922400,4.990973
1990-03-30,31.5,31.75,30.75,31.5,682000,5.030901
1990-04-02,31.0,32.5,31.0,32.5,599200,5.190612000000001
1990-04-03,32.5,33.25,32.5,33.0,1417200,5.270468
1990-04-04,32.75,33.25,31.5,32.0,1330800,5.110755999999999
1990-04-05,32.0,32.5,31.25,31.5,1994000,5.030901
1990-04-06,31.75,31.75,31.0,31.375,628000,5.010937
1990-04-09,31.5,31.5,30.0,30.5,1629600,4.87119
1990-04-10,30.5,30.5,29.75,30.375,1290400,4.8512260000000005
1990-04-11,30.25,31.5,30.25,31.25,1037600,4.990973
1990-04-12,31.25,31.75,31.25,31.5,975600,5.030901
1990-04-16,31.75,32.0,31.25,31.5,440800,5.030901
1990-04-17,31.25,31.5,30.75,31.25,908000,4.990973
1990-04-18,31.25,31.5,29.5,29.75,2820000,4.751405999999999
1990-04-19,29.75,30.5,29.25,30.25,1619200,4.831262000000001
1990-04-20,30.0,30.25,28.5,29.0,5099600,4.631623
1990-04-23,29.25,29.5,28.25,29.25,1538800,4.671551
1990-04-24,29.25,29.75,28.5,28.875,2202800,4.6116589999999995
1990-04-25,29.0,29.5,28.75,29.375,1365600,4.691515
1990-04-26,29.5,29.5,27.75,28.75,3164800,4.591695
1990-04-27,28.75,28.75,27.75,28.25,2390000,4.51184
1990-04-30,28.0,28.75,27.25,28.5,1679600,4.551767
1990-05-01,28.75,28.75,27.0,27.75,2830800,4.431984
1990-05-02,28.0,28.0,26.75,27.5,2376800,4.392056
1990-05-03,27.75,28.0,27.0,27.5,1368000,4.392056
1990-05-04,27.5,28.0,26.75,27.75,2602800,4.431984
1990-05-07,28.25,29.75,28.0,29.125,2885600,4.651587
1990-05-08,29.0,29.0,27.75,28.25,3091200,4.51184
1990-05-09,28.0,28.25,27.25,28.0,1936000,4.4719120000000006
1990-05-10,28.0,28.5,27.25,27.75,1851200,4.431984
1990-05-11,26.25,28.25,25.875,27.875,5937600,4.451948000000001
1990-05-14,28.25,29.75,28.25,29.5,2772000,4.711479
1990-05-15,29.5,30.5,29.25,29.75,2394000,4.751405999999999
1990-05-16,29.75,30.25,29.375,30.0,1110800,4.791334
1990-05-17,29.75,31.5,29.75,31.25,2894800,4.990973
1990-05-18,31.25,32.5,30.75,31.75,4308000,5.070829
1990-05-21,32.0,32.0,31.25,32.0,2753200,5.110755999999999
1990-05-22,31.75,32.5,31.25,31.25,2540800,4.990973
1990-05-23,31.25,31.75,30.75,31.75,1145600,5.070829
1990-05-24,31.25,31.75,30.5,31.0,1655600,4.951045
1990-05-25,30.5,31.25,30.0,30.75,1992400,4.911117
1990-05-29,30.75,32.625,30.75,32.5,1847600,5.190612000000001
1990-05-30,32.5,33.25,32.25,33.0,2120800,5.270468
1990-05-31,32.5,34.0,32.5,33.75,2781600,5.390251
1990-06-01,33.75,35.25,33.75,34.75,4386400,5.549962
1990-06-04,34.75,35.75,34.25,35.375,2466000,5.649781
1990-06-05,35.5,36.0,35.0,35.25,3078800,5.629818
1990-06-06,35.25,35.25,34.0,34.75,1920400,5.549962
1990-06-07,35.0,35.25,34.75,35.0,1718400,5.5898900000000005
1990-06-08,34.75,35.0,34.0,34.25,3294000,5.4701059999999995
1990-06-11,34.0,35.0,33.75,35.0,1563600,5.5898900000000005
1990-06-12,35.0,35.5,34.75,35.0,1257600,5.5898900000000005
1990-06-13,35.0,35.25,34.75,35.25,1432800,5.629818
1990-06-14,34.75,35.25,34.75,35.0,1263600,5.5898900000000005
1990-06-15,35.0,35.25,34.75,35.0,1037600,5.5898900000000005
1990-06-18,35.0,35.25,34.25,34.25,1380800,5.4701059999999995
1990-06-19,34.25,34.75,34.25,34.25,1620400,5.4701059999999995
1990-06-20,34.5,36.25,34.5,35.875,3011200,5.729637
1990-06-21,36.0,36.75,35.25,36.5,3170400,5.829457
1990-06-22,36.5,37.0,35.0,35.125,2366400,5.609854
1990-06-25,35.0,35.5,34.75,35.0,3098400,5.5898900000000005
1990-06-26,35.25,35.75,34.0,34.75,1901200,5.549962
1990-06-27,34.5,35.5,34.5,35.0,1030800,5.5898900000000005
1990-06-28,35.0,35.5,34.5,34.75,802400,5.549962
1990-06-29,34.5,34.75,34.0,34.25,1188800,5.4701059999999995
1990-07-02,34.0,34.5,33.75,34.0,961600,5.430179
1990-07-03,34.0,34.75,34.0,34.5,718000,5.510033999999999
1990-07-05,34.5,35.25,34.5,34.75,1093200,5.549962
1990-07-06,34.5,35.5,34.5,35.5,1695200,5.669745
1990-07-09,35.25,36.5,35.25,36.375,1191200,5.809493
1990-07-10,36.25,36.75,35.5,35.75,1086800,5.709673
1990-07-11,35.75,37.0,35.75,36.75,1554000,5.869383999999999
1990-07-12,37.0,37.5,36.25,36.75,1419600,5.869383999999999
1990-07-13,36.75,37.5,36.75,36.75,2598000,5.869383999999999
1990-07-16,36.75,38.25,36.75,37.25,2379200,5.9492400000000005
1990-07-17,37.25,37.5,36.0,36.0,1633200,5.749601
1990-07-18,36.25,36.25,35.25,35.5,1474800,5.669745
1990-07-19,35.5,36.25,35.25,36.0,784800,5.749601
1990-07-20,36.0,37.0,35.75,36.0,1182000,5.749601
1990-07-23,35.25,35.5,32.5,33.75,3343600,5.390251
1990-07-24,34.0,34.5,32.0,32.75,3384000,5.23054
1990-07-25,32.5,33.5,32.25,32.75,1869200,5.23054
1990-07-26,32.5,33.0,31.25,31.5,3372000,5.030901
1990-07-27,31.25,31.5,29.75,30.0,3991200,4.791334
1990-07-30,30.0,30.0,29.0,29.375,3966800,4.691515
1990-07-31,29.5,29.75,29.0,29.0,3098800,4.631623
1990-08-01,29.0,30.0,29.0,29.75,2488000,4.751405999999999
1990-08-02,29.25,30.5,29.0,29.75,1096800,4.751405999999999
1990-08-03,29.5,29.75,28.25,29.375,3424400,4.691515
1990-08-06,28.75,29.5,27.25,27.75,3414000,4.431984
1990-08-07,28.5,28.75,26.0,27.0,4917600,4.312201
1990-08-08,27.25,27.5,25.75,25.875,4313600,4.132526
1990-08-09,26.0,27.375,25.75,27.125,3555600,4.332165
1990-08-10,27.5,28.25,27.0,27.125,3838000,4.332165
1990-08-13,26.5,27.5,26.125,27.5,2094000,4.392056
1990-08-14,27.25,27.5,26.25,26.75,2153200,4.272273
1990-08-15,26.75,27.25,26.5,27.125,870400,4.332165
1990-08-16,26.5,27.0,26.0,26.125,1293200,4.172453
1990-08-17,25.75,26.0,24.5,25.5,4529600,4.072634
