Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,14.75,15.375,14.625,15.375,1260800,1.655273
1990-01-03,15.25,15.5,15.25,15.25,1176800,1.6418150000000002
1990-01-04,15.25,15.625,15.0,15.25,1201600,1.6418150000000002
1990-01-05,15.125,16.125,15.125,16.125,1529600,1.736018
1990-01-08,16.0,16.125,15.625,15.875,1774400,1.7091029999999998
1990-01-09,15.875,16.125,15.375,15.5,1128800,1.6687299999999998
1990-01-10,15.25,15.5,15.0,15.375,1265600,1.655273
1990-01-11,15.375,15.625,15.25,15.375,552800,1.655273
1990-01-12,15.125,15.25,14.5,14.875,1166400,1.601443
1990-01-15,14.75,14.75,14.375,14.5,916000,1.5610700000000002
1990-01-16,14.25,14.375,14.125,14.25,778400,1.534155
1990-01-17,14.25,14.25,14.0,14.0,2027200,1.50724
1990-01-18,14.0,14.25,14.0,14.0,657600,1.50724
1990-01-19,14.0,14.0,13.25,13.75,980000,1.480325
1990-01-22,13.875,14.0,13.25,13.25,1303200,1.426495
1990-01-23,13.25,13.375,13.0,13.125,1486400,1.413038
1990-01-24,13.0,13.25,12.625,13.125,1578400,1.413038
1990-01-25,13.25,14.0,12.875,12.875,2414400,1.386123
1990-01-26,13.0,13.125,12.75,13.125,2024000,1.413038
1990-01-29,13.25,13.5,13.0,13.25,1532800,1.426495
1990-01-30,13.25,13.375,12.75,12.75,1933600,1.372665
1990-01-31,13.0,13.125,12.0,12.375,4949600,1.332293
1990-02-01,12.375,12.75,12.125,12.625,2752800,1.359208
1990-02-02,12.625,13.375,12.5,13.375,2186400,1.439953
1990-02-05,13.375,13.5,13.125,13.25,2348800,1.426495
1990-02-06,13.25,13.25,12.75,12.875,1080000,1.386123
1990-02-07,13.0,13.125,12.75,13.125,1959200,1.413038
1990-02-08,13.25,13.625,13.25,13.375,1406400,1.439953
1990-02-09,13.5,13.875,13.5,13.5,4996000,1.45341
1990-02-12,13.5,13.5,12.625,13.0,2230400,1.3995799999999998
1990-02-13,13.125,13.25,12.875,13.25,920800,1.426495
1990-02-14,13.125,13.25,12.875,13.25,515200,1.426495
1990-02-15,13.5,13.875,13.375,13.75,2139200,1.480325
1990-02-16,13.75,14.25,13.625,13.875,1563200,1.493783
1990-02-20,13.875,13.875,13.375,13.5,1426400,1.45341
1990-02-21,13.125,13.25,12.875,13.125,1560000,1.413038
1990-02-22,13.125,13.25,13.0,13.0,914400,1.3995799999999998
1990-02-23,12.875,13.125,12.875,12.875,436000,1.386123
1990-02-26,13.0,13.375,12.875,13.25,872800,1.426495
1990-02-27,13.0,13.125,12.875,13.0,632000,1.3995799999999998
1990-02-28,12.875,13.125,12.875,13.0,622400,1.3995799999999998
1990-03-01,13.125,13.125,13.0,13.0,1489600,1.3995799999999998
1990-03-02,13.125,13.125,12.875,13.0,1116000,1.3995799999999998
1990-03-05,12.875,13.0,12.75,12.875,803200,1.386123
1990-03-06,12.875,13.0,12.875,13.0,812800,1.3995799999999998
1990-03-07,12.875,13.375,12.875,13.0,553600,1.3995799999999998
1990-03-08,13.0,13.25,12.875,13.25,816800,1.426495
1990-03-09,13.25,13.25,12.875,13.0,1460000,1.3995799999999998
1990-03-12,13.0,13.0,12.75,12.75,500000,1.372665
1990-03-13,13.0,13.125,12.875,12.875,1200000,1.386123
1990-03-14,12.875,13.375,12.875,13.0,1439200,1.3995799999999998
1990-03-15,13.125,13.125,12.875,12.875,844800,1.386123
1990-03-16,13.125,13.125,13.0,13.125,1308000,1.413038
1990-03-19,13.125,13.125,12.875,12.875,740800,1.386123
1990-03-20,13.0,13.125,12.875,13.125,862400,1.413038
1990-03-21,13.0,13.25,12.875,13.0,924000,1.3995799999999998
1990-03-22,13.0,13.0,12.5,12.875,1045600,1.386123
1990-03-23,12.75,13.25,12.75,12.875,1158400,1.386123
1990-03-26,13.0,13.125,12.875,13.125,862400,1.413038
1990-03-27,13.125,13.125,12.875,13.125,523200,1.413038
1990-03-28,13.0,13.125,12.75,12.75,1629600,1.372665
1990-03-29,12.875,12.875,12.625,12.75,1146400,1.372665
1990-03-30,12.75,12.875,12.5,12.625,1591200,1.359208
1990-04-02,12.5,12.875,12.5,12.75,612000,1.372665
1990-04-03,12.875,13.0,12.75,12.75,815200,1.372665
1990-04-04,12.875,13.0,12.5,12.625,1277600,1.359208
1990-04-05,12.75,12.75,12.625,12.625,355200,1.359208
1990-04-06,12.75,12.875,12.375,12.5,943200,1.34575
1990-04-09,12.5,12.75,12.5,12.75,815200,1.372665
1990-04-10,12.75,12.75,12.625,12.625,300800,1.359208
1990-04-11,12.625,12.625,12.375,12.5,1712000,1.34575
1990-04-12,12.5,12.5,12.375,12.5,502400,1.34575
1990-04-16,12.5,12.625,12.0,12.0,1244000,1.2919200000000002
1990-04-17,12.0,12.0,11.75,11.75,3048800,1.265005
1990-04-18,11.875,12.625,11.75,12.5,7434400,1.34575
1990-04-19,12.25,12.375,11.875,12.0,1606400,1.2919200000000002
1990-04-20,12.0,12.25,12.0,12.25,1609600,1.318835
1990-04-23,12.125,12.125,12.0,12.125,467200,1.3053780000000001
1990-04-24,12.125,12.125,11.875,11.875,700000,1.278463
1990-04-25,11.875,12.0,11.875,12.0,1217600,1.2919200000000002
1990-04-26,12.0,12.125,11.75,12.0,2362400,1.2919200000000002
1990-04-27,12.0,12.0,11.75,11.75,1272000,1.265005
1990-04-30,11.875,12.75,11.75,12.125,1129600,1.3053780000000001
1990-05-01,12.125,12.125,11.875,11.875,704800,1.278463
1990-05-02,12.0,12.125,11.875,12.0,3228800,1.2919200000000002
