Date,Open,High,Low,Close,Volume,Adj Close
1998-05-19,25.625,27.0,25.5625,26.625,10156400,10.846594
1998-05-20,26.875,30.375,26.875,29.375,2474800,11.9669
1998-05-21,29.125,29.25,27.875,28.3125,1770200,11.534055
1998-05-22,28.25,28.625,28.1875,28.5,302000,11.610439
1998-05-26,28.5,28.5,27.9375,28.0,450000,11.406747
1998-05-27,27.5625,27.9375,27.3125,27.875,556800,11.355824
1998-05-28,27.875,28.5625,27.875,28.125,59800,11.45767
1998-05-29,28.25,28.5,28.0,28.0,317400,11.406747
1998-06-01,28.125,28.125,27.875,27.875,148600,11.355824
1998-06-02,28.125,28.25,27.5,27.6875,201800,11.27944
1998-06-03,27.8125,27.8125,27.3125,27.3125,180000,11.126671
1998-06-04,27.0,27.4375,26.0,27.4375,173200,11.177594000000001
1998-06-05,27.6875,28.375,27.625,28.0,136800,11.406747
1998-06-08,28.0,28.0625,27.25,27.625,135400,11.253978
1998-06-09,27.625,27.8125,27.625,27.6875,128400,11.27944
1998-06-10,27.75,28.625,27.625,28.375,82400,11.559516
1998-06-11,28.625,29.0625,28.375,28.5,91000,11.610439
1998-06-12,28.5,29.125,28.375,29.0,125400,11.814131
1998-06-15,29.0,29.0,28.75,28.75,266800,11.712285000000001
1998-06-16,28.75,28.8125,28.0625,28.0625,55000,11.432209
1998-06-17,27.8125,28.0,27.0,28.0,469800,11.406747
1998-06-18,28.0,28.5625,27.875,28.25,165200,11.508593
1998-06-19,28.5,29.25,28.5,28.8125,315000,11.737747
1998-06-22,29.0,29.125,28.4375,28.4375,68400,11.584978
1998-06-23,28.625,29.0,28.625,29.0,188200,11.814131
1998-06-24,29.0,29.4375,28.5,28.625,140400,11.661361999999999
1998-06-25,28.625,29.375,28.625,29.125,172600,11.865053999999999
1998-06-26,29.125,29.4375,29.125,29.375,25400,11.9669
1998-06-29,29.3125,31.0,29.3125,30.8125,89600,12.552514
1998-06-30,31.125,33.0,31.125,32.5,520800,13.239973999999998
1998-07-01,33.125,34.25,32.6875,33.0,284800,13.443666
1998-07-02,33.125,34.25,33.0,33.75,92800,13.749204
1998-07-06,34.125,36.4375,34.125,36.125,386600,14.716741
1998-07-07,36.75,37.375,34.625,35.4375,242600,14.436664000000002
1998-07-08,35.625,36.5,35.5,35.5,93800,14.462126000000001
1998-07-09,35.75,35.75,35.0,35.0625,96000,14.283895999999999
1998-07-10,35.25,36.125,35.0,35.8125,32000,14.589432999999998
1998-07-13,35.875,36.4375,35.875,36.125,61800,14.716741
1998-07-14,36.375,36.625,36.25,36.5,55400,14.86951
1998-07-15,36.4375,37.75,36.4375,37.5625,57600,15.302354999999999
1998-07-16,37.75,39.625,37.75,39.375,109800,16.040738
1998-07-17,39.5,39.6875,38.5,38.5,121800,15.684277
1998-07-20,38.625,38.875,38.625,38.625,56400,15.7352
1998-07-21,38.6875,38.8125,38.5625,38.625,45800,15.7352
1998-07-22,38.5625,38.625,37.875,37.9375,53600,15.455124
1998-07-23,37.8125,37.9375,34.875,36.0,131400,14.665818
1998-07-24,36.125,36.8125,36.0,36.0,86000,14.665818
1998-07-27,36.125,36.125,34.125,34.125,61400,13.901973000000002
1998-07-28,33.75,33.8125,32.625,32.75,104400,13.341820000000002
1998-07-29,32.75,33.375,32.75,33.375,98200,13.596435000000001
1998-07-30,33.5,34.25,33.5,34.125,47400,13.901973000000002
1998-07-31,34.25,34.75,34.25,34.5625,90400,14.080204
1998-08-03,34.5625,35.0,34.4375,34.9375,55800,14.232973000000001
1998-08-04,34.75,34.875,34.5,34.75,120400,14.156588000000001
1998-08-05,34.625,34.625,33.875,34.0,252600,13.85105
1998-08-06,33.75,34.0,32.75,33.375,124200,13.596435000000001
1998-08-07,33.375,34.375,33.375,33.8125,58800,13.774666
1998-08-10,33.6875,33.9375,33.6875,33.9375,53200,13.825589
1998-08-11,33.75,33.75,32.375,32.75,63000,13.341820000000002
1998-08-12,32.875,32.9375,32.5,32.625,62400,13.290897
1998-08-13,32.5625,32.75,32.3125,32.75,18000,13.341820000000002
1998-08-14,32.625,32.875,32.375,32.875,55400,13.392743
1998-08-17,32.625,34.5,32.625,34.0,68800,13.85105
1998-08-18,33.75,34.0,33.5625,33.8125,115000,13.774666
1998-08-19,33.75,33.75,33.5,33.75,18800,13.749204
1998-08-20,33.625,35.3125,33.625,35.1875,56000,14.334817999999999
1998-08-21,35.1875,35.4375,34.9375,35.3125,108200,14.385741000000001
1998-08-24,35.25,35.3125,34.75,35.0,55400,14.258434
1998-08-25,34.875,35.875,34.875,35.125,46600,14.309357
1998-08-26,35.0,35.0,34.5625,34.5625,41800,14.080204
1998-08-27,34.5,34.5,32.8125,33.125,95400,13.494589000000001
1998-08-28,33.0,33.1875,32.1875,33.1875,85400,13.520051
1998-08-31,33.3125,33.3125,32.1875,33.125,163600,13.494589000000001
1998-09-01,32.875,33.125,31.3125,31.625,111400,12.883514
1998-09-02,31.5,31.625,30.75,31.1875,325600,12.705283
1998-09-03,31.0625,31.375,30.6875,31.3125,41000,12.756206
1998-09-04,31.375,31.875,31.125,31.3125,51600,12.756206
1998-09-08,31.5625,31.75,31.4375,31.5,196800,12.832591
1998-09-09,31.375,32.375,31.25,31.5,273600,12.832591
1998-09-10,31.375,31.625,31.1875,31.375,129400,12.781668
1998-09-11,31.4375,32.0,31.4375,31.9375,410800,13.010821
