Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,68.375,68.875,67.75,68.75,1581600,7.763773
1990-01-03,68.5,69.25,68.25,68.75,3324800,7.763773
1990-01-04,68.625,68.75,68.125,68.375,4411200,7.721425
1990-01-05,68.375,68.375,67.25,67.625,4626800,7.63673
1990-01-08,67.375,67.75,66.875,67.625,1675600,7.63673
1990-01-09,67.625,67.75,66.625,66.875,1365200,7.552034
1990-01-10,66.875,67.375,66.75,66.875,1611200,7.552034
1990-01-11,67.0,67.75,66.75,66.75,1078000,7.5379179999999995
1990-01-12,66.0,66.5,64.75,65.0,2512000,7.340294999999999
1990-01-15,64.25,65.0,64.125,64.25,1354400,7.255599
1990-01-16,63.875,65.5,63.625,65.5,2786000,7.396758
1990-01-17,65.625,66.5,64.75,65.25,1345200,7.368525999999999
1990-01-18,64.375,65.75,64.125,65.625,2311200,7.410874000000001
1990-01-19,65.75,66.375,65.625,65.625,1948800,7.410874000000001
1990-01-22,65.625,65.875,64.0,64.25,1540400,7.255599
1990-01-23,64.625,64.625,63.0,64.125,1561200,7.241483000000001
1990-01-24,62.75,64.0,62.625,63.875,2026800,7.213251
1990-01-25,63.5,64.125,62.875,63.0,1716400,7.114439
1990-01-26,63.125,63.25,61.125,61.875,2181200,6.987396
1990-01-29,62.375,62.875,61.125,62.125,1443600,7.0156279999999995
1990-01-30,62.25,62.5,61.125,62.0,1468400,7.001512
1990-01-31,62.375,63.125,62.25,63.125,1862800,7.128555
1990-02-01,63.125,63.375,62.75,62.875,2898000,7.1003229999999995
1990-02-02,62.75,64.875,62.625,64.25,2850000,7.255599
1990-02-05,64.375,64.875,63.875,64.25,1864400,7.255599
1990-02-06,64.25,64.25,62.75,63.125,1008800,7.128555
1990-02-07,62.0,64.125,61.75,64.0,1370000,7.227367
1990-02-08,63.75,64.125,63.0,63.625,792000,7.1850190000000005
1990-02-09,63.375,63.5,62.25,62.75,1256000,7.132167
1990-02-12,62.875,63.0,62.0,62.0,875600,7.046922
1990-02-13,61.5,62.5,61.375,62.25,1800800,7.075336999999999
1990-02-14,62.375,62.5,62.0,62.25,544400,7.075336999999999
1990-02-15,62.25,62.875,62.125,62.75,1249200,7.132167
1990-02-16,62.875,63.0,61.625,62.25,1732000,7.075336999999999
1990-02-20,61.625,62.0,61.125,61.625,1158400,7.0043
1990-02-21,61.0,61.5,60.75,61.375,1489200,6.975885000000001
1990-02-22,61.5,61.625,60.0,60.0,1751200,6.819602000000001
1990-02-23,59.5,60.25,58.75,59.125,2007200,6.72015
1990-02-26,59.0,60.375,58.875,60.25,2487200,6.848017
1990-02-27,60.5,61.0,60.25,60.25,2992000,6.848017
1990-02-28,60.5,60.75,60.25,60.375,1621600,6.862225
1990-03-01,61.0,61.75,60.375,61.375,1807200,6.975885000000001
1990-03-02,61.75,62.5,61.125,61.875,1276000,7.032715
1990-03-05,62.25,62.625,61.625,61.875,1276000,7.032715
1990-03-06,62.0,62.5,61.75,62.5,1002400,7.103752
1990-03-07,62.625,62.75,62.125,62.625,1419200,7.117960000000001
1990-03-08,62.875,63.375,62.625,63.25,2642800,7.1889970000000005
1990-03-09,63.0,63.25,62.625,62.875,975200,7.146375
1990-03-12,62.0,63.125,62.0,63.0,1215600,7.160582000000001
1990-03-13,62.0,62.75,61.625,61.875,1886000,7.032715
1990-03-14,62.0,62.25,60.625,61.75,1141600,7.0185070000000005
1990-03-15,61.875,63.0,61.75,62.875,2280000,7.146375
1990-03-16,63.5,63.625,63.25,63.375,3302000,7.2032050000000005
