Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,60.75,61.125,60.375,61.0,302400,7.2352300000000005
1990-01-03,61.125,61.25,61.0,61.25,145200,7.264882000000001
1990-01-04,60.625,60.625,59.875,59.875,114000,7.177967
1990-01-05,59.625,60.125,58.625,58.75,246400,7.0431
1990-01-08,58.625,59.5,58.625,59.125,134400,7.088056
1990-01-09,58.875,59.0,56.125,56.125,147600,6.728408
1990-01-10,56.125,58.125,56.125,56.75,356400,6.803335000000001
1990-01-11,56.875,57.0,56.625,57.0,200000,6.833305
1990-01-12,56.875,56.875,56.25,56.25,76000,6.743392999999999
1990-01-15,56.375,56.75,56.25,56.75,142000,6.803335000000001
1990-01-16,56.625,57.5,56.5,57.5,65600,6.893246
1990-01-17,57.375,57.75,57.25,57.5,136000,6.893246
1990-01-18,57.5,58.75,57.5,58.75,174000,7.0431
1990-01-19,58.625,58.75,57.25,57.25,100800,6.863275999999999
1990-01-22,57.0,57.125,56.25,56.625,62400,6.788349
1990-01-23,56.875,57.5,56.625,57.375,194400,6.878261
1990-01-24,56.625,56.875,56.125,56.5,224800,6.773364
1990-01-25,56.75,56.875,55.75,55.75,146000,6.683452000000001
1990-01-26,55.5,55.5,53.625,54.5,138000,6.533599
1990-01-29,54.5,54.625,53.875,54.375,50800,6.518612999999999
1990-01-30,54.375,54.5,53.0,53.625,141200,6.4287019999999995
1990-01-31,53.5,54.75,53.25,54.75,194000,6.563569
1990-02-01,54.5,54.875,54.125,54.125,122800,6.488643
1990-02-02,54.0,54.5,53.875,54.5,121200,6.533599
1990-02-05,54.5,54.75,54.25,54.375,70000,6.518612999999999
1990-02-06,54.125,54.125,53.625,53.75,129600,6.443687000000001
1990-02-07,53.5,53.625,52.625,53.375,116000,6.398731
1990-02-08,53.125,53.25,52.75,53.25,120000,6.3837459999999995
1990-02-09,53.25,53.375,52.625,52.875,48000,6.33879
1990-02-12,52.875,53.0,51.875,52.75,202800,6.323804
1990-02-13,53.0,54.0,52.75,54.0,253200,6.473658
1990-02-14,54.0,54.125,53.25,53.5,98000,6.413716
1990-02-15,53.375,53.875,53.375,53.75,56000,6.443687000000001
1990-02-16,53.625,54.75,53.125,53.25,108400,6.3837459999999995
1990-02-20,53.0,53.0,52.125,52.125,69600,6.2488779999999995
1990-02-21,51.875,52.375,51.625,52.25,72800,6.263863
1990-02-22,52.25,52.875,51.75,52.25,111200,6.263863
1990-02-23,52.5,52.75,52.25,52.375,56000,6.278848
1990-02-26,52.625,53.5,52.625,53.5,232800,6.413716
1990-02-27,53.75,53.75,52.625,52.625,401200,6.308819000000001
1990-02-28,52.75,53.5,52.75,53.0,109200,6.353775
1990-03-01,53.25,54.5,53.25,53.75,107200,6.443687000000001
1990-03-02,53.75,54.5,53.625,53.875,143200,6.458672
1990-03-05,53.75,53.75,52.625,52.625,43600,6.308819000000001
1990-03-06,52.875,53.75,52.5,53.75,48000,6.443687000000001
1990-03-07,53.625,53.875,52.625,52.625,108400,6.308819000000001
1990-03-08,52.75,53.875,52.625,53.875,82000,6.458672
1990-03-09,53.875,54.0,53.625,53.875,39200,6.458672
1990-03-12,53.875,54.25,53.375,54.25,100400,6.503628
1990-03-13,54.0,54.0,53.5,53.5,182400,6.413716
1990-03-14,53.625,53.625,52.75,52.875,68000,6.33879
1990-03-15,53.125,54.0,52.875,54.0,276000,6.473658
1990-03-16,55.0,55.25,54.75,55.0,372000,6.593539999999999
1990-03-19,54.75,54.875,53.75,54.0,98800,6.473658
1990-03-20,54.0,54.5,53.75,54.0,89200,6.473658
1990-03-21,54.125,54.5,54.0,54.125,278000,6.488643
1990-03-22,54.0,54.25,53.25,53.375,482400,6.398731
1990-03-23,53.375,53.5,53.125,53.375,73200,6.398731
1990-03-26,53.625,53.75,53.5,53.5,26000,6.413716
1990-03-27,53.25,54.125,53.25,53.875,58800,6.458672
1990-03-28,53.625,54.625,53.5,54.625,158400,6.548584
1990-03-29,54.625,54.875,54.5,54.875,126400,6.578555000000001
1990-03-30,54.75,55.5,54.5,55.5,150400,6.653481
1990-04-02,55.25,56.0,55.0,55.25,178400,6.623511
1990-04-03,54.5,54.875,53.75,54.875,230000,6.578555000000001
1990-04-04,53.625,53.875,53.125,53.25,145600,6.460268
1990-04-05,53.375,53.375,52.0,52.0,172400,6.308619
1990-04-06,52.25,52.375,51.375,52.125,175600,6.323784
1990-04-09,52.125,52.375,52.0,52.25,503200,6.3389489999999995
1990-04-10,52.25,52.375,52.0,52.375,45600,6.354114
1990-04-11,52.375,53.0,52.375,53.0,80800,6.429938
1990-04-12,53.0,55.5,53.0,55.5,96400,6.733237
1990-04-16,55.25,55.375,55.0,55.125,184800,6.687742999999999
1990-04-17,55.125,55.625,55.0,55.625,80400,6.7484020000000005
1990-04-18,55.625,55.75,54.625,54.75,242000,6.6422479999999995
1990-04-19,54.625,54.75,54.375,54.5,169600,6.611917999999999
