Date,Open,High,Low,Close,Volume,Adj Close
1994-03-10,19.375,19.625,19.375,19.5,2952400,5.0711949999999995
1994-03-11,19.5,19.75,19.5,19.75,294600,5.136211
1994-03-14,19.75,19.75,19.5,19.75,346400,5.136211
1994-03-15,19.75,19.75,19.5,19.625,274100,5.103703
1994-03-16,19.625,19.75,19.5,19.625,218500,5.103703
1994-03-17,19.625,19.75,19.5,19.625,171500,5.103703
1994-03-18,19.625,20.0,19.625,19.875,187500,5.168718
1994-03-21,19.875,20.0,19.75,20.0,135600,5.201226
1994-03-22,19.875,20.0,19.875,20.0,97600,5.201226
1994-03-23,20.0,20.25,19.875,20.25,213000,5.266241
1994-03-24,20.25,20.5,20.25,20.375,253000,5.298749
1994-03-25,20.25,20.5,20.25,20.375,127000,5.298749
1994-03-28,20.25,20.5,20.25,20.5,162500,5.331257
1994-03-29,20.375,20.5,19.625,19.625,113100,5.103703
1994-03-30,19.5,19.625,19.25,19.5,223200,5.0711949999999995
1994-03-31,19.375,19.5,19.0,19.5,231400,5.0711949999999995
1994-04-04,18.5,19.0,18.125,19.0,86800,4.941165
1994-04-05,19.125,19.5,19.125,19.5,98900,5.0711949999999995
1994-04-06,19.5,19.625,19.375,19.625,121700,5.103703
1994-04-07,19.75,19.75,19.375,19.375,41600,5.038688
1994-04-08,19.5,19.5,19.375,19.375,9800,5.038688
1994-04-11,19.375,19.5,19.25,19.5,35300,5.0711949999999995
1994-04-12,19.5,19.625,19.375,19.5,71400,5.0711949999999995
1994-04-13,19.625,19.875,19.375,19.5,77900,5.0711949999999995
1994-04-14,19.5,19.625,19.25,19.625,27300,5.103703
1994-04-15,19.625,19.625,19.125,19.25,72300,5.0061800000000005
1994-04-18,19.375,19.375,19.125,19.125,48700,4.9736720000000005
1994-04-19,19.125,19.25,19.125,19.125,20000,4.9736720000000005
1994-04-20,19.125,19.125,18.875,19.125,25700,4.9736720000000005
1994-04-21,19.25,19.25,19.0,19.125,65100,4.9736720000000005
1994-04-22,19.25,19.5,19.25,19.5,30700,5.0711949999999995
1994-04-25,19.375,19.5,19.375,19.5,13300,5.0711949999999995
1994-04-26,19.5,19.625,19.5,19.625,13700,5.103703
1994-04-28,19.5,19.5,19.375,19.375,19300,5.038688
1994-04-29,19.25,19.625,19.25,19.625,35500,5.103703
1994-05-02,19.5,19.625,19.5,19.5,54100,5.0711949999999995
1994-05-03,19.5,19.75,19.5,19.75,31500,5.136211
1994-05-04,19.5,19.75,19.5,19.5,16400,5.0711949999999995
1994-05-05,19.5,19.5,19.375,19.5,44100,5.0711949999999995
1994-05-06,19.25,19.375,19.25,19.375,30900,5.05684
1994-05-09,19.25,19.375,19.125,19.125,38800,4.99159
1994-05-10,19.125,19.25,19.0,19.0,56300,4.958966
1994-05-11,19.0,19.125,18.875,19.125,16700,4.99159
1994-05-12,19.25,19.25,19.125,19.25,25100,5.024215
1994-05-13,19.125,19.25,19.125,19.25,30900,5.024215
1994-05-16,19.25,19.375,19.125,19.125,16200,4.99159
1994-05-17,19.375,19.375,19.25,19.25,21800,5.024215
1994-05-18,19.25,19.375,19.125,19.25,42500,5.024215
1994-05-19,19.125,19.125,18.875,19.0,54500,4.958966
1994-05-20,19.0,19.375,19.0,19.25,47200,5.024215
1994-05-23,19.125,19.25,19.0,19.25,10200,5.024215
1994-05-24,19.0,19.125,18.875,19.0,22200,4.958966
1994-05-25,19.0,19.0,18.875,19.0,8800,4.958966
1994-05-26,19.0,19.0,18.75,18.75,57100,4.893716
1994-05-27,18.75,18.875,18.75,18.75,14500,4.893716
1994-05-31,18.75,19.0,18.75,19.0,18900,4.958966
1994-06-01,19.375,19.375,19.25,19.375,125000,5.05684
1994-06-02,19.375,19.5,19.375,19.5,22400,5.089465000000001
1994-06-03,19.5,19.625,19.5,19.5,15700,5.089465000000001
1994-06-06,19.625,20.25,19.5,20.125,162100,5.2525889999999995
1994-06-07,20.125,20.125,19.875,19.875,31100,5.187339
1994-06-08,20.0,20.0,19.75,19.75,21700,5.154714
1994-06-09,19.75,19.875,19.375,19.5,13200,5.089465000000001
1994-06-10,19.5,20.125,19.5,20.0,118700,5.219964
1994-06-13,20.125,20.25,20.0,20.0,66100,5.219964
1994-06-14,20.125,20.25,20.0,20.125,29100,5.2525889999999995
1994-06-15,20.0,20.25,20.0,20.125,46400,5.2525889999999995
