Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,34.375,34.875,34.25,34.875,3128000,5.512891000000001
1990-01-03,34.75,34.75,34.25,34.5,4244800,5.453613
1990-01-04,34.5,34.625,33.75,33.875,3026400,5.3548160000000005
1990-01-05,33.75,34.0,32.875,33.25,4822400,5.256018
1990-01-08,33.125,34.0,32.875,33.875,3346000,5.3548160000000005
1990-01-09,34.0,34.25,33.625,33.625,4269200,5.315297
1990-01-10,33.25,33.5,32.625,33.0,4530000,5.216499
1990-01-11,33.25,33.875,32.625,32.75,2773600,5.17698
1990-01-12,32.5,32.5,31.0,32.125,5225200,5.078183
1990-01-15,32.0,32.5,31.5,31.75,4260000,5.018905
1990-01-16,31.25,32.125,31.0,32.125,4524400,5.078183
1990-01-17,32.125,32.375,31.75,32.125,2595200,5.078183
1990-01-18,31.5,32.5,31.375,32.25,3970000,5.097942
1990-01-19,32.125,32.25,31.75,31.875,3051200,5.038664
1990-01-22,31.75,31.75,30.75,31.0,3492800,4.900348
1990-01-23,31.25,31.75,31.0,31.5,2500800,4.979386
1990-01-24,31.125,31.625,30.625,31.0,4014000,4.900348
1990-01-25,31.5,31.625,30.625,30.875,2848400,4.8805879999999995
1990-01-26,30.75,31.75,30.375,31.25,4648400,4.939867
1990-01-29,31.125,31.625,30.625,31.25,2763200,4.939867
1990-01-30,31.125,31.75,31.0,31.25,4034400,4.939867
1990-01-31,31.5,32.625,31.5,32.625,3586800,5.157221
1990-02-01,32.625,33.375,32.625,33.125,4661600,5.2362589999999996
1990-02-02,33.0,33.5,33.0,33.25,3623600,5.256018
1990-02-05,33.0,33.5,33.0,33.5,2855600,5.295537
1990-02-06,33.25,33.375,33.0,33.125,2838400,5.2362589999999996
1990-02-07,33.25,33.875,32.75,33.875,4014000,5.3548160000000005
1990-02-08,33.75,34.0,33.125,33.125,4473600,5.2362589999999996
1990-02-09,33.375,33.5,32.875,33.0,3262000,5.216499
1990-02-12,32.875,33.0,32.5,32.5,2018400,5.137461
1990-02-13,32.375,32.625,32.125,32.625,3273200,5.157221
1990-02-14,32.5,32.625,32.125,32.25,2158800,5.097942
1990-02-15,32.375,32.875,32.25,32.875,2292000,5.19674
1990-02-16,32.875,32.875,32.25,32.375,3282400,5.1177019999999995
1990-02-20,32.0,32.25,31.625,31.875,2610000,5.038664
1990-02-21,31.25,31.625,31.25,31.25,3957600,4.939867
1990-02-22,31.25,31.625,31.0,31.25,2979200,4.939867
1990-02-23,30.875,31.125,30.625,30.75,4256400,4.860829
1990-02-26,30.625,31.5,30.625,31.5,3562400,4.979386
1990-02-27,31.25,31.875,31.125,31.625,3072800,5.011394999999999
1990-02-28,31.75,32.25,31.5,31.5,3367200,4.991587
1990-03-01,31.625,31.75,31.125,31.5,3275200,4.991587
1990-03-02,31.625,32.0,31.5,31.75,2934800,5.031203
1990-03-05,31.875,32.0,31.75,32.0,1977200,5.070819
1990-03-06,32.0,32.125,31.75,32.0,3800000,5.070819
1990-03-07,32.0,32.125,31.125,31.125,3456000,4.932164
1990-03-08,31.375,32.0,31.125,32.0,3044400,5.070819
1990-03-09,32.0,32.25,31.75,32.125,2304000,5.090627
1990-03-12,31.875,32.0,31.625,32.0,2383200,5.070819
1990-03-13,31.75,31.875,31.5,31.625,2369600,5.011394999999999
1990-03-14,31.875,31.875,31.375,31.75,2038000,5.031203
1990-03-15,31.625,31.875,31.5,31.625,2024400,5.011394999999999
1990-03-16,31.875,31.875,31.75,31.875,4211600,5.051011
1990-03-19,31.875,32.75,31.5,32.75,4793200,5.189666000000001
1990-03-20,32.5,32.75,32.25,32.375,3330800,5.130243
1990-03-21,32.375,32.5,31.625,31.875,1659600,5.051011
1990-03-22,31.375,31.625,31.0,31.5,4283600,4.991587
1990-03-23,31.75,31.875,31.25,31.375,1635200,4.971779
1990-03-26,31.5,31.75,31.375,31.375,1956000,4.971779
1990-03-27,31.375,31.875,31.25,31.875,2750000,5.051011
1990-03-28,32.0,32.125,31.75,31.875,2410800,5.051011
1990-03-29,31.75,31.875,31.375,31.625,2060800,5.011394999999999
1990-03-30,31.625,32.25,31.5,31.75,2594800,5.031203
1990-04-02,31.5,31.75,31.25,31.625,2372800,5.011394999999999
1990-04-03,31.625,32.125,31.625,32.0,1872800,5.070819
1990-04-04,31.75,32.0,31.5,31.5,2658400,4.991587
1990-04-05,31.5,31.75,31.375,31.5,2044000,4.991587
1990-04-06,31.625,31.625,31.0,31.25,1904800,4.9519720000000005
1990-04-09,31.125,31.875,31.0,31.875,2602000,5.051011
1990-04-10,31.875,32.5,31.75,32.25,3718800,5.110435
1990-04-11,32.375,32.5,32.125,32.125,1948800,5.090627
1990-04-12,32.125,32.875,32.125,32.625,2447600,5.1698580000000005
1990-04-16,32.875,33.25,32.625,32.875,2835600,5.209474
1990-04-17,32.625,33.125,32.5,33.0,2768000,5.2292819999999995
1990-04-18,33.125,33.125,32.25,32.375,2541600,5.130243
1990-04-19,32.125,32.375,31.875,31.875,1995600,5.051011
1990-04-20,31.875,32.0,31.0,31.5,4820400,4.991587
1990-04-23,31.5,31.5,30.75,31.125,3690000,4.932164
1990-04-24,31.125,31.375,30.75,30.875,2756400,4.892548000000001
1990-04-25,31.0,31.125,30.875,30.875,2880400,4.892548000000001
1990-04-26,31.0,31.125,30.375,30.625,4033600,4.852932
1990-04-27,30.625,30.875,30.375,30.375,4776000,4.813316
1990-04-30,30.375,30.5,30.0,30.25,3803200,4.793508
1990-05-01,30.25,30.75,30.0,30.625,3445600,4.852932
1990-05-02,30.625,31.125,30.625,31.125,1776800,4.932164
1990-05-03,31.25,31.75,31.125,31.25,4505600,4.9519720000000005
1990-05-04,31.5,31.875,31.125,31.875,2851600,5.051011
1990-05-07,31.875,32.125,31.625,31.75,2378800,5.031203
1990-05-08,31.625,31.75,31.25,31.375,2984000,4.971779
1990-05-09,31.125,31.875,31.125,31.75,3361600,5.031203
1990-05-10,31.75,32.25,31.625,31.875,3478400,5.051011
1990-05-11,32.0,32.75,31.875,32.625,8518800,5.1698580000000005
1990-05-14,32.5,33.0,32.25,32.5,5972800,5.15005
1990-05-15,32.125,32.375,31.875,32.125,3652800,5.090627
1990-05-16,32.0,32.25,31.625,31.75,3352400,5.031203
1990-05-17,31.875,32.25,31.75,31.875,3609200,5.051011
1990-05-18,32.0,32.875,31.75,32.75,4956800,5.189666000000001
1990-05-21,32.75,33.5,32.375,33.5,4436800,5.308514
1990-05-22,33.75,34.0,33.375,33.625,3956400,5.328321
1990-05-23,33.25,34.125,33.0,34.125,4913600,5.407553
1990-05-24,34.5,35.5,34.375,35.125,7754000,5.566016
1990-05-25,34.875,34.875,34.375,34.375,2594400,5.447169000000001
1990-05-29,34.5,35.0,34.25,34.75,2357200,5.5065919999999995
1990-05-30,35.0,35.0,34.375,34.625,4573200,5.5002379999999995
1990-05-31,34.25,34.625,34.25,34.625,2806400,5.5002379999999995
