Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,57.0,58.0,57.0,58.0,1533600,3.9121919999999997
1990-01-03,57.875038,58.124962,57.624962,57.624962,2320800,3.8868949999999995
1990-01-04,58.0,58.75,57.75,58.75,2385600,3.9627809999999997
1990-01-05,58.5,58.5,58.0,58.124962,1252800,3.920621
1990-01-08,58.124962,58.124962,57.25,57.5,928000,3.8784660000000004
1990-01-09,57.75,57.75,56.375038,56.5,676800,3.8110150000000003
1990-01-10,56.0,56.75,55.5,56.375038,912800,3.8025860000000002
1990-01-11,56.624962,56.75,56.25,56.375038,721600,3.8025860000000002
1990-01-12,55.75,56.0,55.0,55.375038,1774400,3.7351339999999995
1990-01-15,55.124962,55.25,54.624962,54.624962,1092800,3.68454
1990-01-16,54.0,56.375038,54.0,56.124962,1020000,3.785718
1990-01-17,56.0,59.875038,56.0,59.25,5129600,3.996507
1990-01-18,58.0,58.875038,57.5,58.124962,3942400,3.920621
1990-01-19,58.375038,61.0,58.0,59.875038,5552800,4.038666
1990-01-22,60.5,61.124962,58.0,58.0,2828800,3.9121919999999997
1990-01-23,58.5,58.624962,55.75,57.25,1755200,3.8616029999999997
1990-01-24,57.25,59.25,54.75,59.25,3720800,3.996507
1990-01-25,58.5,58.5,56.75,56.875038,1627200,3.8363120000000004
1990-01-26,56.875038,58.0,56.0,57.0,1158400,3.8447410000000004
1990-01-29,57.25,57.5,55.624962,56.375038,2553600,3.8025860000000002
1990-01-30,56.25,57.624962,56.0,57.25,5220000,3.8616029999999997
1990-01-31,57.624962,57.75,56.5,56.624962,2085600,3.8194440000000003
1990-02-01,56.875038,56.875038,55.624962,56.375038,1444000,3.8025860000000002
1990-02-02,56.124962,57.25,55.5,55.5,1680000,3.7435629999999995
1990-02-05,55.25,56.375038,55.0,56.25,1549600,3.7941519999999995
1990-02-06,56.0,56.0,54.75,55.0,1837600,3.7098370000000003
1990-02-07,55.0,55.875038,54.624962,55.25,2249600,3.7267
1990-02-08,55.124962,55.375038,53.875038,53.875038,1561600,3.633957
1990-02-09,54.0,54.0,51.5,52.75,2188800,3.558071
1990-02-12,52.624962,52.75,51.875038,51.875038,744000,3.499054
1990-02-13,51.875038,52.375038,51.375038,52.375038,837600,3.5327800000000003
1990-02-14,52.25,52.75,51.375038,51.875038,632800,3.499054
1990-02-15,52.5,53.0,51.5,51.875038,884000,3.499054
1990-02-16,51.875038,52.25,51.25,51.624962,1411200,3.482186
1990-02-20,50.875038,50.875038,49.25,49.25,2624000,3.357106
1990-02-21,48.75,51.624962,48.624962,50.875038,3012000,3.4678760000000004
1990-02-22,51.0,52.75,51.0,51.624962,2440800,3.518995
1990-02-23,51.375038,51.875038,50.375038,51.5,1432800,3.510477
1990-02-26,51.5,52.0,51.5,51.875038,2088000,3.5360410000000004
1990-02-27,52.25,52.624962,51.75,51.75,1022400,3.527518
1990-02-28,51.75,53.624962,51.75,53.0,1572000,3.6127239999999996
1990-03-01,53.0,54.25,53.0,53.875038,2420000,3.67237
1990-03-02,54.5,54.5,53.375038,53.624962,1230400,3.655324
1990-03-05,53.624962,53.624962,53.124962,53.375038,656800,3.6382879999999997
1990-03-06,53.5,54.5,53.375038,54.5,588800,3.7149699999999997
1990-03-07,54.5,54.5,53.75,53.75,858400,3.663847
1990-03-08,53.875038,54.5,53.624962,54.375038,1045600,3.7064519999999996
1990-03-09,54.124962,54.375038,53.25,53.5,969600,3.6468059999999998
1990-03-12,53.375038,53.375038,52.75,53.0,1736800,3.6127239999999996
1990-03-13,52.75,53.0,51.75,52.25,1994400,3.5616
1990-03-14,52.5,52.875038,52.25,52.75,529600,3.595682
1990-03-15,52.875038,53.25,52.624962,52.624962,1029600,3.5871589999999998
1990-03-16,53.375038,53.375038,52.875038,53.124962,1077600,3.6212410000000004
1990-03-19,53.0,53.5,52.0,53.5,1500000,3.6468059999999998
1990-03-20,53.124962,54.375038,53.0,53.875038,2750400,3.67237
1990-03-21,54.0,54.75,53.5,53.5,1916000,3.6468059999999998
1990-03-22,53.624962,53.875038,51.75,52.375038,1509600,3.570123
1990-03-23,52.5,52.875038,52.25,52.624962,1515200,3.5871589999999998
1990-03-26,53.0,53.124962,52.5,52.5,848000,3.578641
1990-03-27,52.5,52.875038,52.375038,52.624962,1164000,3.5871589999999998
1990-03-28,52.75,53.0,52.624962,53.0,1156800,3.6127239999999996
1990-03-29,52.75,53.624962,52.624962,53.25,1176000,3.6297650000000004
1990-03-30,53.25,53.75,52.624962,52.875038,2124800,3.6042059999999996
1990-04-02,52.5,52.875038,52.25,52.875038,803200,3.6042059999999996
1990-04-03,53.124962,53.75,53.0,53.5,1368800,3.6468059999999998
1990-04-04,53.5,53.5,52.875038,53.0,832800,3.6127239999999996
1990-04-05,53.375038,53.375038,53.0,53.0,575200,3.6127239999999996
1990-04-06,53.25,53.25,52.5,52.875038,378400,3.6042059999999996
1990-04-09,52.875038,53.375038,52.875038,53.124962,270400,3.6212410000000004
1990-04-10,53.0,53.25,52.75,53.124962,348800,3.6212410000000004
1990-04-11,53.25,56.25,53.25,55.875038,2938400,3.808699
1990-04-12,55.624962,56.124962,54.624962,55.375038,1459200,3.7746169999999997
1990-04-16,55.124962,55.375038,54.5,54.5,844800,3.7149699999999997
1990-04-17,54.25,54.624962,54.0,54.5,1287200,3.7149699999999997
1990-04-18,54.75,55.75,54.75,55.124962,2063200,3.757571
1990-04-19,54.875038,55.0,53.624962,53.875038,1672000,3.67237
1990-04-20,53.5,53.875038,52.875038,53.124962,1437600,3.6212410000000004
1990-04-23,53.124962,54.25,52.75,52.75,1181600,3.595682
1990-04-24,52.624962,53.0,52.124962,52.25,2268800,3.5616
1990-04-25,52.25,52.875038,51.875038,52.875038,1445600,3.6042059999999996
1990-04-26,53.624962,54.124962,53.375038,53.875038,1644000,3.67237
1990-04-27,53.75,53.875038,53.0,53.0,914400,3.6127239999999996
1990-04-30,52.5,52.624962,52.25,52.25,1124000,3.5616
1990-05-01,52.25,53.0,52.25,52.75,2584000,3.595682
1990-05-02,52.75,53.375038,52.624962,53.25,1134400,3.6297650000000004
1990-05-03,53.124962,53.624962,52.75,53.0,730400,3.6127239999999996
1990-05-04,52.875038,53.0,52.375038,52.5,1500000,3.578641
1990-05-07,52.375038,52.875038,52.375038,52.624962,453600,3.5871589999999998
1990-05-08,52.75,53.375038,52.624962,53.124962,1469600,3.6212410000000004
1990-05-09,53.124962,53.5,52.875038,53.25,823200,3.6297650000000004
1990-05-10,53.25,53.75,53.0,53.5,1169600,3.6468059999999998
1990-05-11,53.75,54.5,53.5,54.375038,2034400,3.7064519999999996
1990-05-14,54.75,55.5,54.75,55.124962,1644000,3.757571
1990-05-15,55.124962,55.25,54.75,54.875038,804800,3.740535
1990-05-16,55.0,55.124962,54.624962,54.875038,316000,3.740535
1990-05-17,54.875038,55.25,54.5,54.624962,861600,3.7234879999999997
1990-05-18,54.75,54.75,54.375038,54.624962,696000,3.7234879999999997
1990-05-21,54.5,55.0,54.5,55.0,2653600,3.749053
1990-05-22,55.75,55.75,54.875038,54.875038,2550400,3.777624
1990-05-23,54.875038,55.5,54.75,55.375038,1096800,3.812044
1990-05-24,55.5,56.5,55.5,55.875038,1407200,3.8464650000000002
1990-05-25,55.875038,55.875038,55.124962,55.124962,504800,3.794829
1990-05-29,55.124962,56.0,55.124962,56.0,885600,3.855067
1990-05-30,56.0,56.25,55.0,55.25,1114400,3.803437
1990-05-31,55.0,55.124962,54.624962,54.75,761600,3.769016
1990-06-01,55.124962,55.25,54.375038,54.624962,1149600,3.7604089999999997
1990-06-04,54.875038,55.875038,54.75,55.75,2080800,3.837857
1990-06-05,56.0,56.124962,55.375038,55.75,1302400,3.837857
1990-06-06,55.75,57.375038,55.75,56.75,3260800,3.9066970000000003
1990-06-07,57.25,57.375038,56.5,56.5,1952800,3.8894870000000004
1990-06-08,56.375038,56.5,55.624962,56.25,1254400,3.8722769999999995
1990-06-11,56.0,56.0,55.5,55.75,1348800,3.837857
1990-06-12,55.25,56.624962,55.124962,56.25,3841600,3.8722769999999995
1990-06-13,56.124962,56.375038,55.375038,55.875038,1347200,3.8464650000000002
1990-06-14,55.375038,55.875038,55.124962,55.875038,1138400,3.8464650000000002
1990-06-15,56.0,56.5,55.75,56.375038,2017600,3.8808849999999997
1990-06-18,56.5,57.0,56.25,56.25,2081600,3.8722769999999995
1990-06-19,56.124962,56.25,55.5,56.0,1120800,3.855067
1990-06-20,56.0,56.0,55.624962,56.0,1069600,3.855067
1990-06-21,55.875038,56.375038,55.624962,56.25,998400,3.8722769999999995
1990-06-22,56.124962,57.124962,56.124962,56.375038,1296800,3.8808849999999997
1990-06-25,56.5,56.75,55.75,55.875038,1268800,3.8464650000000002
1990-06-26,56.124962,56.375038,55.75,56.124962,1329600,3.8636690000000002
1990-06-27,56.0,57.124962,56.0,56.75,646400,3.9066970000000003
1990-06-28,56.75,56.75,56.0,56.375038,1069600,3.8808849999999997
1990-06-29,56.25,56.375038,56.124962,56.25,623200,3.8722769999999995
1990-07-02,56.25,57.25,56.25,57.25,999200,3.941118
1990-07-03,57.25,57.5,56.875038,57.0,968000,3.923907
1990-07-05,56.875038,56.875038,56.5,56.75,752800,3.9066970000000003
1990-07-06,56.5,56.875038,56.5,56.75,735200,3.9066970000000003
1990-07-09,56.75,57.0,56.624962,56.75,772800,3.9066970000000003
1990-07-10,56.624962,56.75,56.25,56.25,796800,3.8722769999999995
1990-07-11,56.375038,56.75,56.25,56.624962,584000,3.8980900000000003
1990-07-12,56.375038,56.875038,55.875038,56.0,847200,3.855067
1990-07-13,56.124962,56.124962,55.124962,55.5,2228800,3.820647
1990-07-16,55.75,55.875038,55.5,55.624962,913600,3.829249
1990-07-17,55.75,55.75,55.124962,55.75,819200,3.837857
1990-07-18,55.5,55.624962,55.124962,55.5,1322400,3.820647
