Date,Open,High,Low,Close,Volume,Adj Close
1990-03-26,20.75,20.75,20.25,20.75,58000,2.9856380000000002
1990-03-27,20.5,20.5,20.25,20.5,321200,2.965386
1990-03-28,20.5,20.5,20.25,20.5,145600,2.965386
1990-03-29,20.5,20.75,20.25,20.5,657200,2.965386
1990-03-30,21.0,22.0,20.25,22.0,492400,3.182366
1990-04-02,21.25,22.0,21.25,21.5,124800,3.110039
1990-04-03,22.0,23.5,22.0,23.0,337200,3.327018
1990-04-04,23.5,23.5,22.75,22.75,115600,3.290855
1990-04-05,23.25,23.375,22.75,23.25,128400,3.363182
1990-04-06,23.5,23.75,23.0,23.25,106800,3.363182
1990-04-09,23.25,24.0,23.25,23.5,202800,3.399345
1990-04-10,23.5,24.0,22.75,22.75,644400,3.290855
1990-04-11,23.25,23.25,22.75,23.25,251600,3.363182
1990-04-12,22.75,23.75,22.5,22.75,386400,3.290855
1990-04-16,22.25,22.75,21.75,22.0,478400,3.182366
1990-04-17,21.75,22.0,21.125,21.75,634400,3.146202
1990-04-18,21.75,22.0,21.25,21.25,501600,3.073876
1990-04-19,21.75,21.75,21.25,21.5,740800,3.110039
1990-04-20,21.25,21.75,21.25,21.625,793200,3.1281209999999997
1990-04-23,21.25,21.75,21.25,21.75,180000,3.146202
1990-04-24,21.25,22.5,21.25,22.25,200800,3.218529
1990-04-25,22.0,22.25,21.125,21.25,682800,3.073876
1990-04-26,21.25,21.5,21.125,21.5,360000,3.110039
1990-04-27,21.5,21.75,21.25,21.75,42000,3.146202
1990-04-30,21.25,21.5,20.25,20.625,405600,2.9834680000000002
1990-05-01,21.25,21.5,21.0,21.0,642000,3.037713
1990-05-02,21.5,21.5,21.0,21.5,42400,3.110039
1990-05-03,21.5,22.25,21.0,22.0,564800,3.182366
1990-05-04,22.0,22.75,22.0,22.25,627200,3.218529
1990-05-07,22.0,22.75,22.0,22.25,666400,3.218529
1990-05-08,22.25,22.5,22.25,22.25,329600,3.218529
1990-05-09,22.25,22.5,22.25,22.25,117600,3.218529
1990-05-10,22.5,22.5,22.0,22.25,751200,3.218529
1990-05-11,22.25,24.0,22.25,24.0,1194400,3.4716709999999997
1990-05-14,24.0,24.0,23.5,23.5,527600,3.399345
1990-05-15,23.5,24.0,23.5,23.5,1083600,3.399345
1990-05-16,23.75,23.75,23.25,23.75,570400,3.435508
1990-05-17,23.75,23.75,23.25,23.25,594800,3.363182
1990-05-18,23.75,23.75,23.25,23.5,118400,3.399345
1990-05-21,23.25,23.75,23.25,23.25,642000,3.363182
1990-05-22,23.75,23.75,23.0,23.5,159200,3.399345
1990-05-23,23.5,23.5,23.0,23.0,142800,3.327018
1990-05-24,23.25,23.25,22.25,22.25,203200,3.218529
1990-05-25,22.75,22.75,22.0,22.0,35600,3.182366
1990-05-29,22.0,22.5,21.75,22.25,454400,3.218529
1990-05-30,22.0,22.5,22.0,22.25,466400,3.218529
1990-05-31,22.25,23.5,22.25,23.25,928800,3.363182
1990-06-01,23.5,23.5,23.0,23.0,1044800,3.327018
1990-06-04,23.5,23.75,22.75,23.75,206000,3.435508
1990-06-05,23.5,24.25,23.25,24.0,850000,3.4716709999999997
1990-06-06,23.75,24.5,23.75,23.875,627200,3.45359
1990-06-07,24.25,24.25,23.75,23.75,326800,3.435508
1990-06-08,23.75,24.25,23.75,23.75,384800,3.435508
1990-06-11,23.5,24.25,23.5,24.0,173600,3.4716709999999997
1990-06-12,24.25,24.75,24.0,24.5,429600,3.543998
1990-06-13,25.0,26.5,25.0,25.25,1021200,3.652488
1990-06-14,25.25,26.0,25.25,25.875,368000,3.742896
1990-06-15,25.5,25.875,25.5,25.5,392400,3.688651
1990-06-18,25.5,26.0,25.5,25.5,221200,3.688651
