Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,78.0,78.124981,77.500019,78.0,814800,6.294836
1990-01-03,77.875019,78.250019,76.875,77.500019,1372800,6.254486
1990-01-04,77.500019,77.625,76.125,76.750019,1063200,6.193958
1990-01-05,75.874981,76.000019,74.749981,75.0,631800,6.102422
1990-01-08,74.749981,75.124981,74.500019,74.500019,825000,6.0617410000000005
1990-01-09,74.500019,76.249981,73.875,76.000019,904800,6.183789
1990-01-10,76.5,77.500019,75.874981,76.5,810600,6.224471
1990-01-11,77.25,77.25,76.750019,76.750019,358800,6.244814
1990-01-12,76.249981,76.5,75.499981,75.874981,765000,6.173616
1990-01-15,76.000019,76.000019,75.124981,75.250019,362400,6.122765
1990-01-16,75.0,76.999981,75.0,76.999981,489000,6.265152
1990-01-17,76.750019,77.625,76.5,76.875,662400,6.254983
1990-01-18,76.249981,76.875,76.000019,76.875,770400,6.254983
1990-01-19,76.875,77.749981,76.000019,76.5,490800,6.224471
1990-01-22,76.000019,76.5,74.374981,74.500019,781800,6.0617410000000005
1990-01-23,74.25,75.625019,73.999981,75.499981,429600,6.143104
1990-01-24,74.25,75.499981,73.999981,75.375,593400,6.132934
1990-01-25,75.499981,76.125,75.499981,75.499981,522000,6.143104
1990-01-26,75.499981,76.000019,72.874981,75.0,1045800,6.102422
1990-01-29,75.499981,75.75,74.749981,75.0,503400,6.102422
1990-01-30,75.0,75.250019,73.249981,74.625,340800,6.07191
1990-01-31,75.250019,75.874981,75.0,75.874981,744000,6.173616
1990-02-01,76.000019,76.5,75.75,75.75,670200,6.1634459999999995
1990-02-02,75.250019,76.375019,74.749981,76.375019,193800,6.214302
1990-02-05,76.125,77.875019,76.000019,77.625,1081800,6.316007
1990-02-06,77.875019,77.875019,77.374981,77.875019,386400,6.33635
1990-02-07,77.25,78.0,77.25,77.625,493200,6.316007
1990-02-08,77.625,77.625,75.75,76.624981,448200,6.23464
1990-02-09,76.999981,76.999981,75.75,76.5,350400,6.224471
1990-02-12,76.249981,76.5,76.000019,76.000019,242400,6.183789
1990-02-13,76.000019,76.249981,75.250019,76.249981,442200,6.204128
1990-02-14,76.000019,76.999981,76.000019,76.750019,577200,6.244814
1990-02-15,77.125019,78.0,77.125019,77.500019,499800,6.305838
1990-02-16,77.500019,77.625,76.999981,77.25,805200,6.285495
1990-02-20,76.999981,76.999981,75.499981,76.000019,477000,6.183789
1990-02-21,75.0,76.5,75.0,76.5,304200,6.224471
1990-02-22,76.5,76.999981,76.000019,76.000019,673200,6.183789
1990-02-23,75.250019,76.750019,75.250019,76.000019,334800,6.183789
1990-02-26,76.750019,77.25,76.5,77.25,271800,6.285495
1990-02-27,78.0,78.499981,77.500019,77.500019,257400,6.305838
1990-02-28,77.25,78.250019,76.624981,77.500019,979200,6.305838
1990-03-01,77.500019,78.0,76.000019,77.25,718800,6.285495
1990-03-02,77.749981,79.249981,77.25,79.000019,561600,6.427886
1990-03-05,78.75,79.750019,77.749981,78.0,553800,6.346519
1990-03-06,77.749981,77.749981,75.75,77.500019,830400,6.305838
1990-03-07,77.500019,77.500019,75.0,75.250019,931200,6.122765
1990-03-08,75.124981,75.375,73.999981,75.375,634200,6.132934
1990-03-09,74.875019,75.250019,73.000019,73.5,823800,5.980373999999999
1990-03-12,72.250019,72.499981,71.500019,72.250019,1327800,5.878668
1990-03-13,72.124981,72.124981,70.125,71.25,1131600,5.797301
1990-03-14,71.25,71.25,70.375019,70.750019,1219800,5.75662
1990-03-15,70.750019,70.999981,69.499981,69.874981,1310400,5.685422
1990-03-16,70.5,70.5,69.75,70.125,2757600,5.705765
1990-03-19,69.874981,71.749981,69.874981,71.749981,790200,5.837982
1990-03-20,71.749981,71.749981,70.249981,70.750019,1350000,5.75662
1990-03-21,70.750019,70.750019,69.75,69.75,886800,5.675253
1990-03-22,69.499981,69.625019,67.5,67.999981,931800,5.5328610000000005
1990-03-23,68.125019,68.875019,67.999981,68.625,833400,5.583716000000001
1990-03-26,68.875019,69.250019,68.500019,68.500019,268200,5.5735470000000005
1990-03-27,68.25,68.625,67.750019,68.625,740400,5.583716000000001
1990-03-28,68.749981,70.000019,68.749981,70.000019,1014600,5.695596
1990-03-29,70.000019,70.750019,69.375,69.75,969600,5.675253
1990-03-30,69.874981,71.500019,69.499981,71.374981,604200,5.8074699999999995
1990-04-02,71.25,72.0,70.875,71.125019,501600,5.787132
1990-04-03,71.374981,73.000019,71.25,73.000019,773400,5.939693
1990-04-04,73.249981,74.125019,73.249981,73.750019,958800,6.000717
1990-04-05,73.125,74.749981,72.874981,73.999981,897000,6.072519000000001
1990-04-06,74.500019,74.500019,73.750019,73.875,372600,6.0622620000000005
1990-04-09,74.125019,75.250019,74.125019,75.0,467400,6.154580999999999
1990-04-10,75.0,75.0,74.25,74.25,436200,6.0930349999999995
1990-04-11,74.749981,75.0,74.500019,74.625,507600,6.123808
1990-04-12,74.749981,75.250019,74.749981,75.0,475200,6.154580999999999
1990-04-16,75.124981,75.75,75.124981,75.499981,331800,6.19561
1990-04-17,75.0,75.375,74.500019,74.749981,785400,6.1340639999999995
1990-04-18,74.875019,74.875019,73.624981,73.624981,394200,6.041746
1990-04-19,73.375019,73.624981,71.500019,71.500019,343800,5.867369
1990-04-20,70.750019,71.25,69.0,70.125,1711800,5.754533
1990-04-23,70.000019,70.249981,69.124981,69.625019,2290200,5.713504
1990-04-24,70.750019,70.999981,68.875019,69.0,1474200,5.662215
1990-04-25,69.0,69.250019,68.500019,68.625,394800,5.631442
1990-04-26,68.875019,69.499981,68.500019,69.375,677400,5.692988
1990-04-27,69.375,69.375,67.750019,67.750019,1383000,5.55964
1990-04-30,67.5,67.624981,67.000019,67.375019,825000,5.528867
1990-05-01,67.750019,68.25,67.5,68.125019,520800,5.590413
1990-05-02,68.25,69.0,68.25,68.749981,934200,5.641698
1990-05-03,69.250019,69.625019,68.625,68.625,849000,5.631442
1990-05-04,68.875019,69.124981,67.875,68.374981,571800,5.610925
1990-05-07,68.25,68.374981,67.375019,67.5,657600,5.539123
1990-05-08,67.999981,67.999981,67.125,67.249981,873600,5.518606
1990-05-09,67.000019,68.625,67.000019,67.999981,2012400,5.580152
1990-05-10,68.500019,70.249981,68.500019,69.874981,654600,5.734017
1990-05-11,70.000019,71.125019,70.000019,70.5,1163400,5.785305999999999
1990-05-14,70.375019,72.625019,70.375019,72.250019,967200,5.928915
1990-05-15,72.250019,73.624981,72.0,73.375019,787200,6.0212330000000005
1990-05-16,73.125,73.249981,72.625019,73.000019,832200,5.990461
1990-05-17,73.249981,73.624981,72.75,72.75,2292600,5.969944
1990-05-18,72.874981,73.125,72.499981,73.125,961200,6.000717
1990-05-21,72.874981,73.125,72.375,73.125,966600,6.000717
1990-05-22,73.750019,73.875,73.000019,73.5,1164600,6.03149
1990-05-23,73.5,75.0,72.75,75.0,747000,6.154580999999999
1990-05-24,76.000019,77.374981,75.874981,77.25,1023000,6.339219
1990-05-25,77.374981,77.500019,76.249981,76.249981,559200,6.257156
1990-05-29,76.5,78.0,76.249981,78.0,543600,6.400764
1990-05-30,79.000019,79.249981,78.124981,78.124981,524400,6.41102
1990-05-31,78.499981,79.750019,78.499981,79.249981,714000,6.5033389999999995
1990-06-01,79.999981,80.25,78.499981,78.625019,750600,6.452054
1990-06-04,78.375,79.750019,78.375,79.375019,583200,6.5136
1990-06-05,79.750019,81.0,79.5,79.999981,920400,6.564885
1990-06-06,79.249981,79.875,79.000019,79.249981,418800,6.5033389999999995
1990-06-07,79.375019,79.375019,78.375,78.75,261600,6.4623099999999996
1990-06-08,79.000019,79.000019,76.000019,76.375019,479400,6.267417
1990-06-11,76.5,77.25,76.5,76.999981,238800,6.318702
1990-06-12,76.999981,78.75,76.750019,78.625019,552600,6.452054
1990-06-13,78.75,79.750019,77.875019,78.874981,844200,6.4725660000000005
1990-06-14,78.625019,78.625019,77.25,77.500019,432000,6.359735
1990-06-15,76.999981,77.500019,75.75,77.500019,1909800,6.359735
1990-06-18,76.999981,77.25,75.75,76.000019,551400,6.236644
1990-06-19,76.000019,76.624981,75.250019,75.75,597000,6.216126999999999
1990-06-20,75.124981,75.874981,74.625,75.375,640800,6.185354
1990-06-21,75.124981,76.5,74.749981,75.874981,408000,6.226383
1990-06-22,75.625019,76.750019,74.749981,74.749981,460200,6.1340639999999995
1990-06-25,75.0,75.499981,73.5,73.5,856200,6.03149
1990-06-26,73.999981,74.374981,73.999981,73.999981,289200,6.072519000000001
1990-06-27,73.5,75.250019,73.5,75.250019,462600,6.175098
1990-06-28,75.124981,76.000019,75.0,76.000019,294000,6.236644
1990-06-29,76.000019,76.999981,75.75,76.750019,517200,6.29819
1990-07-02,76.750019,77.25,76.375019,77.25,170400,6.339219
1990-07-03,77.500019,78.499981,77.374981,78.0,1392000,6.400764
1990-07-05,76.999981,77.125019,74.749981,75.874981,400800,6.278704
1990-07-06,76.000019,78.0,75.75,78.0,252000,6.454551
1990-07-09,78.0,78.0,77.25,77.625,127800,6.423519000000001
1990-07-10,77.749981,77.749981,75.250019,75.375,228000,6.23733
1990-07-11,76.000019,76.249981,75.499981,76.249981,393600,6.309736
1990-07-12,76.5,76.5,75.375,75.874981,591600,6.278704
1990-07-13,76.000019,77.374981,75.874981,76.5,1050000,6.330425
1990-07-16,76.875,77.25,76.750019,76.875,435600,6.3614559999999996
1990-07-17,76.750019,77.374981,76.624981,77.374981,228600,6.402830000000001
1990-07-18,76.875,77.500019,76.000019,76.5,354000,6.330425
1990-07-19,76.5,77.25,76.5,77.25,540000,6.392488
1990-07-20,77.500019,77.625,74.500019,74.625,391800,6.175267
1990-07-23,73.875,75.0,71.749981,75.0,1129800,6.206299
1990-07-24,74.875019,75.0,72.75,73.875,1039800,6.113205000000001
1990-07-25,74.25,74.25,73.5,73.875,620400,6.113205000000001
1990-07-26,73.750019,73.750019,72.625019,72.874981,537000,6.0304519999999995
1990-07-27,72.625019,72.75,71.749981,72.75,760200,6.02011
1990-07-30,72.625019,74.25,72.625019,74.25,687000,6.144236
1990-07-31,74.25,75.0,74.25,74.875019,703800,6.195957
1990-08-01,75.0,75.124981,73.624981,73.624981,478200,6.092515000000001
1990-08-02,72.499981,73.5,72.375,73.000019,537600,6.040799
1990-08-03,72.250019,72.250019,69.499981,70.875,924600,5.864953
1990-08-06,69.499981,69.75,67.750019,69.75,547800,5.771858
1990-08-07,70.000019,70.5,68.749981,69.499981,552000,5.751169
1990-08-08,69.874981,71.500019,69.874981,71.25,678000,5.8959839999999994
1990-08-09,71.500019,71.749981,70.999981,71.125019,388200,5.885642
1990-08-10,71.500019,71.500019,69.75,70.125,406800,5.8028900000000005
1990-08-13,69.250019,71.500019,69.0,71.500019,420000,5.916673
1990-08-14,71.749981,71.749981,70.000019,70.000019,1089000,5.792547
1990-08-15,70.000019,70.5,69.874981,70.5,905400,5.833921
1990-08-16,70.000019,70.875,70.000019,70.249981,388200,5.813232
1990-08-17,70.375019,70.5,66.874981,67.000019,1326000,5.544295
1990-08-20,67.249981,69.0,67.249981,68.500019,498600,5.6684209999999995
1990-08-21,67.750019,68.25,67.000019,67.750019,758400,5.606358
1990-08-22,67.999981,68.500019,66.75,67.5,1542000,5.585669
1990-08-23,66.499981,67.5,66.124981,66.874981,840000,5.5339480000000005
1990-08-24,67.875,67.999981,66.874981,67.249981,514800,5.56498
1990-08-27,69.0,70.750019,69.0,70.000019,447600,5.792547
1990-08-28,70.000019,70.5,69.75,70.000019,611400,5.792547
1990-08-29,69.250019,70.000019,69.250019,69.499981,482400,5.751169
1990-08-30,69.874981,70.249981,69.250019,70.000019,534600,5.792547
1990-08-31,70.000019,70.5,70.000019,70.249981,224400,5.813232
1990-09-04,70.249981,71.500019,70.125,71.500019,339000,5.916673
1990-09-05,71.500019,72.0,70.249981,71.125019,864600,5.885642
1990-09-06,71.25,71.25,69.499981,70.000019,580200,5.792547
