Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,79.375,80.625,79.125,80.5,1496000,9.760386
1990-01-03,80.625,81.875,80.5,81.375,2631600,9.866477
1990-01-04,80.875,83.0,80.875,82.0,2538400,9.942257000000001
1990-01-05,81.625,82.0,80.625,80.625,1825600,9.775542
1990-01-08,80.5,82.875,80.5,82.75,2164400,10.033192
1990-01-09,82.625,84.0,82.5,82.75,2305600,10.033192
1990-01-10,83.25,83.25,81.5,82.25,2172000,9.972567999999999
1990-01-11,82.875,83.75,82.625,83.0,1348800,10.063504
1990-01-12,81.5,82.25,80.25,80.25,1733200,9.730074
1990-01-15,80.375,81.375,80.0,80.0,1350800,9.699762
1990-01-16,79.5,81.25,79.25,81.0,2433200,9.821009
1990-01-17,81.125,82.0,80.5,81.125,1659600,9.836165
1990-01-18,80.375,81.25,80.0,80.875,2860000,9.805854
1990-01-19,80.875,81.125,80.125,80.875,2570800,9.805854
1990-01-22,80.875,80.875,78.0,78.125,1256800,9.472424
1990-01-23,78.625,78.75,77.25,77.75,2254000,9.426957000000002
1990-01-24,75.5,78.125,75.5,78.0,2895200,9.457268
1990-01-25,78.25,78.375,75.375,76.125,1545600,9.22993
1990-01-26,76.5,77.125,75.125,76.0,2409200,9.214774
1990-01-29,76.375,77.0,75.75,76.25,1461600,9.245086
1990-01-30,76.75,77.625,76.125,76.625,2447600,9.290554
1990-01-31,77.0,78.125,77.0,78.125,1723600,9.472424
1990-02-01,78.125,78.125,77.625,77.875,1315200,9.442113
1990-02-02,77.625,79.0,77.625,78.125,2007200,9.472424
1990-02-05,77.875,79.875,77.875,79.75,1510800,9.669450999999999
1990-02-06,79.75,79.75,79.125,79.25,1400400,9.608827
1990-02-07,79.25,81.0,78.5,80.875,1846000,9.805854
1990-02-08,81.125,82.125,81.125,81.625,1940400,9.896789
1990-02-09,81.5,81.875,81.125,81.125,1481600,9.836165
1990-02-12,81.0,81.125,80.0,80.5,1259600,9.760386
1990-02-13,80.25,81.5,79.25,81.0,1935600,9.821009
1990-02-14,80.75,81.0,80.0,80.125,1574000,9.714917999999999
1990-02-15,79.875,81.0,79.875,81.0,2630400,9.821009
1990-02-16,80.25,80.375,79.75,79.875,1912400,9.772681
1990-02-20,79.125,79.25,78.125,78.25,1354800,9.573863000000001
1990-02-21,77.25,78.5,77.25,77.375,2132800,9.466807000000001
1990-02-22,77.625,78.75,77.5,77.5,1831600,9.482101
1990-02-23,76.875,78.5,76.875,77.75,1216400,9.512688
1990-02-26,78.25,78.625,78.0,78.625,1266800,9.619744
1990-02-27,78.625,80.375,78.5,79.875,2664800,9.772681
