Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,16.625,17.0,16.625,17.0,168000,3.512313
1990-01-03,17.125,17.25,16.5,16.625,491600,3.4348360000000002
1990-01-04,16.625,16.625,16.25,16.5,617600,3.40901
1990-01-05,16.375,16.5,16.25,16.375,80000,3.3831839999999995
1990-01-08,16.25,16.375,15.75,16.125,278000,3.331532
1990-01-09,16.25,16.25,15.875,16.0,185600,3.305707
1990-01-10,15.75,15.875,15.25,15.625,182000,3.2282290000000002
1990-01-11,15.625,15.75,15.375,15.75,56400,3.254055
1990-01-12,15.375,15.625,15.375,15.375,103600,3.176577
1990-01-15,15.5,15.5,15.375,15.5,137600,3.202403
1990-01-16,15.375,15.5,15.125,15.5,299200,3.202403
1990-01-17,15.625,15.625,15.25,15.25,116800,3.150752
1990-01-18,15.0,15.5,14.875,15.5,390000,3.202403
1990-01-19,15.625,15.75,15.5,15.625,210800,3.2282290000000002
1990-01-22,15.625,15.625,15.125,15.25,64000,3.150752
1990-01-23,15.25,15.25,15.0,15.125,65200,3.124926
1990-01-24,14.75,15.125,14.75,15.0,164000,3.0991
1990-01-25,15.25,15.375,15.25,15.25,93600,3.150752
1990-01-26,15.375,15.375,14.875,14.875,362800,3.073274
1990-01-29,15.0,15.0,14.5,14.75,124000,3.047448
1990-01-30,14.875,15.125,14.75,15.125,136800,3.124926
1990-01-31,15.0,15.625,15.0,15.625,279200,3.2282290000000002
1990-02-01,15.625,16.125,15.625,16.125,634000,3.331532
1990-02-02,15.875,16.25,15.875,16.25,198400,3.357358
1990-02-05,16.0,16.5,16.0,16.375,201600,3.3831839999999995
1990-02-06,16.375,16.5,16.375,16.5,137200,3.417358
1990-02-07,16.5,16.75,16.25,16.625,825600,3.443247
1990-02-08,16.5,17.125,16.5,16.5,690000,3.417358
1990-02-09,16.75,16.875,16.25,16.5,182400,3.417358
1990-02-12,16.625,16.625,16.25,16.25,62000,3.365579
1990-02-13,16.25,16.625,16.25,16.5,127600,3.417358
1990-02-14,16.75,17.125,16.75,17.0,448400,3.520914
1990-02-15,17.0,17.25,16.875,17.25,330800,3.572692
1990-02-16,17.125,17.5,17.0,17.125,213200,3.5468029999999997
1990-02-20,16.875,16.875,16.5,16.75,165600,3.469136
1990-02-21,16.5,16.875,16.5,16.875,138800,3.495025
1990-02-22,16.75,17.0,16.5,16.625,408000,3.443247
1990-02-23,16.375,16.375,15.5,15.75,334400,3.262023
1990-02-26,15.75,15.875,15.5,15.875,283600,3.2879120000000004
1990-02-27,16.0,16.0,15.75,15.875,122000,3.2879120000000004
1990-02-28,16.0,16.25,15.875,16.25,236000,3.365579
1990-03-01,16.25,16.25,15.625,15.75,244800,3.262023
1990-03-02,15.5,16.375,15.375,16.375,263200,3.3914690000000003
1990-03-05,16.375,16.375,15.875,16.125,183200,3.33969
1990-03-06,16.125,16.25,16.0,16.0,174000,3.313801
1990-03-07,16.25,16.375,16.0,16.375,160800,3.3914690000000003
1990-03-08,16.375,16.75,16.375,16.625,524400,3.443247
1990-03-09,16.5,16.625,16.25,16.375,87600,3.3914690000000003
1990-03-12,16.375,16.375,15.875,16.25,130000,3.365579
1990-03-13,16.25,16.25,15.875,16.0,138400,3.313801
1990-03-14,16.0,16.25,16.0,16.25,241200,3.365579
1990-03-15,16.375,16.375,16.0,16.25,105200,3.365579
1990-03-16,16.375,16.375,16.0,16.0,118000,3.313801
1990-03-19,15.75,16.0,15.5,15.875,816000,3.2879120000000004
1990-03-20,15.875,15.875,15.5,15.75,295600,3.262023
1990-03-21,15.625,15.625,15.125,15.125,325200,3.132578
1990-03-22,15.125,15.125,14.875,14.875,575600,3.0808
1990-03-23,14.75,15.375,14.625,15.25,782000,3.158467
1990-03-26,15.375,15.5,15.125,15.125,118000,3.132578
1990-03-27,15.0,15.625,15.0,15.625,458400,3.236134
1990-03-28,15.375,15.75,15.375,15.75,139200,3.262023
1990-03-29,15.75,16.0,15.625,16.0,164800,3.313801
1990-03-30,15.75,15.875,15.625,15.875,204400,3.2879120000000004
1990-04-02,15.625,15.875,15.375,15.75,140000,3.262023
1990-04-03,15.875,16.0,15.75,16.0,86800,3.313801
1990-04-04,16.0,16.625,15.875,16.125,938000,3.33969
1990-04-05,16.25,16.25,15.875,15.875,191200,3.2879120000000004
1990-04-06,15.875,16.0,15.75,15.875,74800,3.2879120000000004
1990-04-09,15.75,15.875,15.375,15.5,44400,3.210245
1990-04-10,15.375,15.5,15.25,15.25,55600,3.158467
1990-04-11,15.0,15.125,14.75,14.75,112800,3.054911
1990-04-12,14.75,14.875,14.5,14.75,319200,3.054911
1990-04-16,14.75,15.0,14.75,15.0,369600,3.106689
1990-04-17,14.75,15.25,14.5,15.25,216400,3.158467
1990-04-18,15.0,15.25,14.875,14.875,246000,3.0808
1990-04-19,14.875,15.0,14.5,14.5,122000,3.003132
1990-04-20,14.5,14.625,13.75,14.0,357600,2.8995759999999997
1990-04-23,13.875,14.125,13.875,13.875,246800,2.873687
1990-04-24,14.0,14.375,14.0,14.25,148400,2.9513540000000003
1990-04-25,14.125,14.375,14.0,14.375,44800,2.977243
1990-04-26,14.25,14.375,14.125,14.25,62000,2.9513540000000003
1990-04-27,14.25,14.75,14.25,14.75,451200,3.054911
1990-04-30,14.75,14.75,14.375,14.625,122800,3.0290209999999997
1990-05-01,14.5,14.5,14.25,14.5,90400,3.011368
1990-05-02,14.375,14.5,14.125,14.25,283200,2.959448
1990-05-03,14.125,14.375,14.0,14.375,339200,2.985408
1990-05-04,14.375,14.5,14.25,14.5,271600,3.011368
1990-05-07,14.375,14.375,14.25,14.25,47200,2.959448
1990-05-08,14.125,14.75,14.125,14.5,295600,3.011368
1990-05-09,14.5,14.875,14.5,14.875,295200,3.089249
1990-05-10,15.0,15.125,14.625,15.0,180800,3.115209
1990-05-11,15.125,15.5,15.125,15.5,278000,3.219049
1990-05-14,15.5,16.5,15.5,16.375,656800,3.4007699999999996
1990-05-15,16.375,16.625,16.125,16.625,602800,3.45269
1990-05-16,16.375,16.5,16.125,16.375,114000,3.4007699999999996
1990-05-17,16.375,16.5,16.0,16.125,191600,3.348849
1990-05-18,16.0,16.25,16.0,16.125,103600,3.348849
1990-05-21,16.125,16.5,16.125,16.5,182800,3.4267300000000005
1990-05-22,16.5,16.5,16.125,16.375,270800,3.4007699999999996
1990-05-23,16.125,16.5,16.0,16.5,206800,3.4267300000000005
1990-05-24,16.5,16.625,16.25,16.375,447200,3.4007699999999996
1990-05-25,16.125,16.375,16.125,16.25,371600,3.3748089999999995
1990-05-29,16.375,16.375,16.0,16.25,202800,3.3748089999999995
1990-05-30,16.25,16.375,16.0,16.25,260000,3.3748089999999995
1990-05-31,16.125,16.875,16.125,16.875,1022000,3.50461
1990-06-01,16.875,17.0,16.5,16.5,257200,3.4267300000000005
1990-06-04,16.5,16.625,16.25,16.5,96800,3.4267300000000005
1990-06-05,16.375,16.75,16.125,16.375,428800,3.4007699999999996
1990-06-06,16.25,16.375,16.125,16.25,85600,3.3748089999999995
1990-06-07,16.125,16.125,15.625,15.75,498000,3.270969
1990-06-08,15.875,16.25,15.625,16.25,348000,3.3748089999999995
1990-06-11,15.875,16.0,15.75,16.0,174800,3.322889
1990-06-12,15.875,16.125,15.875,16.0,130000,3.322889
1990-06-13,16.125,16.25,16.0,16.125,193200,3.348849
1990-06-14,16.125,16.125,15.75,16.0,166800,3.322889
1990-06-15,15.75,15.875,15.625,15.625,269600,3.245009
1990-06-18,15.625,15.625,14.75,15.25,487600,3.167129
1990-06-19,15.25,15.25,14.875,15.25,157200,3.167129
1990-06-20,15.125,15.5,14.75,14.75,478400,3.063289
1990-06-21,15.0,15.625,15.0,15.5,132800,3.219049
1990-06-22,15.625,16.125,15.375,15.625,400800,3.245009
