Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,36.5,36.5,36.0,36.5,347000,6.048891
1990-01-03,36.25,36.25,35.875,36.0,744800,5.966029
1990-01-04,35.875,35.875,34.75,35.125,753600,5.821022
1990-01-05,35.25,35.25,34.25,34.625,1146400,5.73816
1990-01-08,34.5,34.5,33.625,34.0,2046400,5.634583
1990-01-09,34.0,34.0,33.125,33.625,677600,5.572437
1990-01-10,33.5,34.0,33.375,33.875,1273200,5.613868
1990-01-11,34.0,34.375,34.0,34.125,883000,5.655298999999999
1990-01-12,34.0,34.125,33.375,33.375,578800,5.531006
1990-01-15,33.625,33.75,33.375,33.625,398800,5.572437
1990-01-16,33.5,34.125,33.5,34.125,1218000,5.655298999999999
1990-01-17,34.25,34.625,34.125,34.25,423600,5.676014
1990-01-18,34.125,34.375,34.0,34.375,857600,5.6967300000000005
1990-01-19,34.375,34.5,34.125,34.375,1237800,5.6967300000000005
1990-01-22,34.5,34.5,33.75,33.75,385600,5.593153
1990-01-23,33.75,34.125,33.75,34.0,242000,5.634583
1990-01-24,33.75,34.125,33.75,33.875,386200,5.613868
1990-01-25,34.0,34.0,33.75,33.75,353200,5.593153
1990-01-26,33.75,34.0,33.625,33.875,677800,5.613868
1990-01-29,33.875,33.875,33.625,33.875,294000,5.613868
1990-01-30,33.625,33.75,33.0,33.625,357400,5.572437
1990-01-31,33.75,34.125,33.75,34.0,329200,5.634583
1990-02-01,33.875,34.0,33.5,33.75,350800,5.593153
1990-02-02,33.625,33.875,33.625,33.75,231800,5.593153
1990-02-05,33.75,34.0,33.5,33.5,353400,5.551722
1990-02-06,33.5,33.75,33.5,33.75,251800,5.593153
1990-02-07,33.625,34.375,33.5,34.375,235600,5.6967300000000005
1990-02-08,34.25,34.5,33.625,33.75,419000,5.593153
1990-02-09,34.0,34.125,33.5,33.875,288400,5.613868
1990-02-12,33.875,33.875,33.5,33.75,175600,5.593153
1990-02-13,33.875,34.0,33.375,34.0,382400,5.634583
1990-02-14,34.0,34.375,34.0,34.25,211400,5.676014
1990-02-15,34.125,34.25,34.0,34.0,156600,5.634583
