Date,Open,High,Low,Close,Volume,Adj Close
2002-05-23,16.19,17.399998999999998,16.04,16.75,104790000,1.1964290000000002
2002-05-24,17.0,17.15,16.76,16.940001000000002,11104800,1.21
2002-05-28,16.99,17.249999,16.2,16.2,6609400,1.157143
2002-05-29,16.299999,16.299999,15.200001,15.45,6757800,1.1035709999999999
2002-05-30,15.51,15.51,15.0,15.0,10154200,1.0714290000000002
2002-05-31,15.1,15.1,15.0,15.069999,8464400,1.076429
2002-06-03,15.120001,16.089999,15.069999,15.799999,3151400,1.128571
2002-06-04,15.9,15.96,15.55,15.649999,3105200,1.1178569999999999
2002-06-05,15.55,16.229999,15.499998999999999,16.06,1531600,1.147143
2002-06-06,16.1,17.249999,16.079999,16.55,2305800,1.182143
2002-06-07,16.49,16.49,15.45,15.66,1369200,1.118571
2002-06-10,15.89,16.449999,15.88,16.19,484400,1.1564290000000002
2002-06-11,16.19,16.64,15.799999,16.150001,1003800,1.153571
2002-06-12,16.150001,16.55,15.25,15.3,1799000,1.092857
2002-06-13,15.46,15.710001,15.120001,15.16,2567600,1.082857
2002-06-14,15.15,15.200001,13.72,13.81,4783800,0.9864290000000001
2002-06-17,14.189998999999998,14.830001000000001,12.85,12.91,4855200,0.922143
2002-06-18,13.14,13.15,11.79,12.75,10808000,0.9107139999999999
2002-06-19,12.76,13.95,12.5,13.32,5482400,0.9514290000000001
2002-06-20,13.6,14.559999,13.3,13.4,6111000,0.9571430000000001
2002-06-21,13.75,13.85,13.27,13.71,2346400,0.9792860000000001
2002-06-24,13.71,14.2,13.4,13.7,2567600,0.9785709999999999
2002-06-25,13.84,14.100001,13.26,13.5,3941000,0.9642860000000001
2002-06-26,13.49,13.95,12.9,13.84,2924600,0.9885709999999999
2002-06-27,14.13,14.259998999999999,13.2,13.21,3817800,0.9435709999999999
2002-06-28,13.45,14.189998999999998,13.45,13.99,9234400,0.999286
2002-07-01,14.0,14.65,13.9,14.390001000000002,4585000,1.027857
2002-07-02,14.75,16.730001,14.549999,16.42,9020200,1.172857
2002-07-03,16.5,17.0,15.649999,17.0,4957400,1.214286
2002-07-05,17.0,18.190001000000002,16.99,17.87,2003400,1.276429
2002-07-08,17.530001000000002,17.530001000000002,16.35,16.46,1953000,1.175714
2002-07-09,16.449999,16.75,15.6,16.25,2935800,1.160714
2002-07-10,16.26,16.5,15.850001,16.290001,1554000,1.163571
2002-07-11,16.159999,17.900001,15.859998999999998,17.77,2529800,1.2692860000000001
2002-07-12,17.900001,17.92,16.9,16.91,2837800,1.207857
2002-07-15,17.399998999999998,17.48,15.069999,16.000001,4239200,1.142857
2002-07-16,16.140001,16.2,15.46,15.77,1941800,1.1264290000000001
2002-07-17,16.03,16.290001,15.059999,15.25,1261400,1.089286
2002-07-18,15.640001000000002,16.33,15.55,16.089999,2899400,1.149286
2002-07-19,16.140001,16.25,15.710001,16.24,1792000,1.16
2002-07-22,15.9,16.510001000000003,15.61,16.39,1993600,1.170714
2002-07-23,16.47,16.99,15.83,16.05,1577800,1.1464290000000001
2002-07-24,16.05,16.229999,15.04,15.6,3355800,1.114286
2002-07-25,15.75,15.789999,14.49,14.51,4755800,1.036429
2002-07-26,14.699998999999998,14.82,11.9,12.2,7046200,0.8714290000000001
2002-07-29,12.55,12.94,11.9,12.27,3260600,0.8764290000000001
2002-07-30,12.51,13.2,12.51,12.8,3777200,0.914286
2002-07-31,13.0,13.44,12.68,13.35,3333400,0.953571
2002-08-01,13.3,13.44,12.29,12.48,4529000,0.8914290000000001
2002-08-02,12.41,12.43,9.89,10.89,6655600,0.777857
2002-08-05,10.9,11.38,10.65,10.85,3808000,0.775
2002-08-06,11.14,11.25,10.4,10.65,3217200,0.760714
2002-08-07,10.65,11.11,10.4,11.11,2758000,0.793571
2002-08-08,11.15,11.25,10.51,11.15,2283400,0.7964289999999999
2002-08-09,11.18,11.5,10.9,11.02,1500800,0.787143
2002-08-12,11.24,11.3,10.55,10.6,2130800,0.757143
2002-08-13,10.75,11.27,10.56,10.82,1677200,0.772857
2002-08-14,10.86,11.67,10.8,11.67,4047400,0.833571
2002-08-15,11.72,12.75,11.66,12.36,3263400,0.882857
2002-08-16,12.5,12.94,12.0,12.78,1828400,0.9128569999999999
2002-08-19,12.95,13.78,12.85,13.75,2074800,0.982143
2002-08-20,13.79,13.91,12.9,13.25,2539600,0.9464290000000001
2002-08-21,13.34,13.6,12.86,13.56,2779000,0.968571
2002-08-22,13.63,13.99,13.01,13.77,2963800,0.9835709999999999
