Date,Open,High,Low,Close,Volume,Adj Close
1993-11-12,18.0,18.5,18.0,18.125,3055200,4.53125
1993-11-15,18.125,18.375,18.125,18.125,998400,4.53125
1993-11-16,18.125,18.25,17.5,17.5,722800,4.375
1993-11-17,17.625,17.875,17.625,17.625,325600,4.40625
1993-11-18,17.625,17.625,17.5,17.625,227600,4.40625
1993-11-19,17.5,17.5,16.5,16.5,584400,4.125
1993-11-22,16.75,17.25,16.75,17.125,146000,4.28125
1993-11-23,17.125,17.25,16.875,17.0,124400,4.25
1993-11-24,17.25,17.625,17.0,17.5,137200,4.375
1993-11-26,17.25,17.25,17.25,17.25,202800,4.3125
1993-11-29,17.25,17.375,16.375,16.5,263600,4.125
1993-11-30,16.5,16.75,16.375,16.375,64000,4.09375
1993-12-01,16.5,16.5,16.375,16.5,55200,4.125
1993-12-02,16.625,16.625,16.5,16.625,24800,4.15625
1993-12-03,17.0,17.0,16.25,16.375,110400,4.09375
1993-12-06,16.25,16.25,15.75,16.0,216800,4.0
1993-12-07,16.125,16.25,16.0,16.25,82000,4.0625
1993-12-08,16.375,16.5,16.375,16.375,38400,4.09375
1993-12-09,16.5,17.0,16.5,16.875,65600,4.21875
1993-12-10,16.875,17.0,16.875,16.875,98800,4.21875
1993-12-13,16.75,17.0,16.625,16.625,34000,4.15625
1993-12-14,16.625,16.75,16.375,16.375,102000,4.09375
1993-12-15,16.5,16.75,16.5,16.625,112800,4.15625
1993-12-16,16.75,16.875,16.75,16.75,70800,4.1875
1993-12-17,16.625,16.875,16.5,16.625,36000,4.15625
1993-12-20,16.5,16.75,16.5,16.625,95600,4.15625
1993-12-21,16.75,17.125,16.75,17.0,365200,4.25
1993-12-22,17.0,17.125,17.0,17.0,6800,4.25
1993-12-23,17.0,17.125,17.0,17.125,23600,4.28125
1993-12-27,17.0,17.25,17.0,17.125,47200,4.28125
1993-12-28,17.125,17.125,17.0,17.0,24400,4.25
1993-12-29,17.25,17.625,17.125,17.5,65600,4.375
1993-12-30,17.625,17.75,17.375,17.5,113200,4.375
1993-12-31,17.5,17.625,17.375,17.625,49600,4.40625
1994-01-03,17.375,17.5,17.375,17.5,99200,4.375
1994-01-04,17.5,17.5,17.375,17.375,75200,4.34375
1994-01-05,17.625,18.5,17.625,18.125,699200,4.53125
1994-01-06,18.125,19.25,18.125,19.0,213600,4.75
1994-01-07,19.0,19.125,18.875,18.875,198800,4.71875
1994-01-10,19.125,19.375,19.0,19.375,59200,4.84375
1994-01-11,19.25,19.625,19.125,19.125,198800,4.78125
1994-01-12,19.0,19.0,18.625,18.875,159200,4.71875
1994-01-13,18.875,19.0,18.75,19.0,82800,4.75
1994-01-14,19.125,19.125,19.0,19.0,132400,4.75
1994-01-17,19.0,19.25,19.0,19.25,104800,4.8125
1994-01-18,19.25,19.5,19.25,19.375,56000,4.84375
1994-01-19,19.5,19.625,19.5,19.625,251200,4.90625
