Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,19.125,19.250001,19.000001,19.250001,323700,1.125836
1990-01-03,19.250001,19.250001,19.000001,19.000001,465700,1.111215
1990-01-04,19.000001,19.125,19.000001,19.000001,338000,1.111215
1990-01-05,19.125,19.125,18.875001,18.875001,435200,1.103904
1990-01-08,18.875001,19.000001,18.75,18.75,290100,1.096594
1990-01-09,18.75,18.875001,18.625001,18.625001,403100,1.089283
1990-01-10,18.75,18.75,18.5,18.5,346600,1.0819729999999999
1990-01-11,18.625001,18.75,18.5,18.625001,825600,1.089283
1990-01-12,18.5,18.625001,18.125001,18.25,466200,1.067351
1990-01-15,18.125001,18.375001,18.125001,18.25,637300,1.067351
1990-01-16,18.25,18.25,18.0,18.125001,216800,1.060041
1990-01-17,18.125001,18.25,17.75,17.75,1412500,1.038109
1990-01-18,17.625001,17.875001,17.625001,17.875001,432100,1.045419
1990-01-19,18.0,18.125001,17.875001,18.0,201100,1.05273
1990-01-22,17.875001,18.0,17.75,17.75,609800,1.038109
1990-01-23,17.75,17.875001,17.625001,17.625001,662200,1.0307979999999999
1990-01-24,17.375001,17.625001,17.25,17.625001,2071100,1.0307979999999999
1990-01-25,17.125,17.375001,17.125,17.25,2697700,1.023971
1990-01-26,17.25,17.5,17.25,17.5,1182900,1.038812
1990-01-29,17.375001,17.75,17.375001,17.375001,412800,1.031392
1990-01-30,17.5,17.625001,17.375001,17.375001,816900,1.031392
1990-01-31,17.375001,17.75,17.25,17.75,375100,1.053652
1990-02-01,17.75,18.25,17.625001,18.25,532900,1.083332
1990-02-02,18.0,18.125001,17.75,17.875001,309500,1.061072
1990-02-05,17.875001,18.0,17.75,17.875001,663200,1.061072
1990-02-06,17.875001,17.875001,17.75,17.875001,301300,1.061072
1990-02-07,17.75,17.875001,17.75,17.875001,349200,1.061072
1990-02-08,17.875001,18.125001,17.75,18.125001,790000,1.075912
1990-02-09,18.0,18.5,18.0,18.375001,1897600,1.090752
1990-02-12,18.375001,18.375001,18.125001,18.25,749200,1.083332
1990-02-13,18.25,18.25,18.125001,18.25,715700,1.083332
1990-02-14,18.125001,18.25,18.0,18.25,204600,1.083332
1990-02-15,18.125001,18.25,18.125001,18.25,286600,1.083332
1990-02-16,18.125001,18.25,18.125001,18.25,455600,1.083332
1990-02-20,18.125001,18.125001,17.75,17.875001,215300,1.061072
1990-02-21,17.75,17.75,17.5,17.625001,989000,1.046232
1990-02-22,17.75,17.75,17.5,17.625001,428100,1.046232
1990-02-23,17.625001,17.75,17.625001,17.75,487100,1.053652
1990-02-26,17.875001,17.875001,17.625001,17.625001,298300,1.046232
1990-02-27,17.625001,17.75,17.625001,17.625001,282500,1.046232
1990-02-28,17.625001,18.125001,17.625001,18.125001,4355500,1.075912
1990-03-01,18.125001,18.25,18.0,18.125001,352200,1.075912
1990-03-02,18.125001,18.25,18.125001,18.25,444900,1.083332
1990-03-05,18.125001,18.25,18.125001,18.25,443800,1.083332
1990-03-06,18.25,18.25,18.125001,18.125001,1100500,1.075912
1990-03-07,18.125001,18.5,18.125001,18.5,276400,1.098172
1990-03-08,18.375001,18.5,18.375001,18.375001,1510700,1.090752
1990-03-09,18.375001,18.5,18.375001,18.375001,1340700,1.090752
1990-03-12,18.375001,18.5,18.25,18.5,199500,1.098172
1990-03-13,18.5,18.5,18.375001,18.5,459600,1.098172
1990-03-14,18.375001,18.5,18.375001,18.375001,836800,1.090752
1990-03-15,18.375001,18.5,18.125001,18.25,492700,1.083332
1990-03-16,18.125001,18.125001,18.0,18.125001,226500,1.075912
1990-03-19,18.0,18.125001,17.875001,18.125001,463200,1.075912
1990-03-20,18.125001,18.375001,18.125001,18.25,272800,1.083332
1990-03-21,18.375001,18.625001,18.25,18.5,315100,1.098172
1990-03-22,18.25,18.25,18.125001,18.125001,372100,1.075912
1990-03-23,18.0,18.0,17.75,17.875001,377700,1.061072
1990-03-26,17.875001,18.0,17.625001,17.875001,774700,1.061072
1990-03-27,17.875001,17.875001,17.75,17.875001,248900,1.061072
1990-03-28,17.875001,17.875001,17.75,17.875001,136400,1.061072
1990-03-29,17.875001,17.875001,17.625001,17.75,184800,1.053652
1990-03-30,17.625001,17.875001,17.5,17.875001,853600,1.061072
1990-04-02,17.875001,17.875001,17.625001,17.75,275900,1.053652
1990-04-03,17.75,18.0,17.75,17.875001,242300,1.061072
1990-04-04,18.0,18.0,17.75,17.875001,378700,1.061072
1990-04-05,17.75,18.0,17.75,18.0,567000,1.068492
1990-04-06,18.0,18.125001,17.875001,18.0,194900,1.068492
1990-04-09,18.0,18.125001,17.875001,18.0,377200,1.068492
1990-04-10,18.0,18.0,17.875001,18.0,530400,1.068492
1990-04-11,17.875001,18.0,17.875001,17.875001,186800,1.061072
1990-04-12,17.875001,18.0,17.75,18.0,276400,1.068492
1990-04-16,17.875001,18.0,17.875001,17.875001,202100,1.061072
1990-04-17,17.875001,18.0,17.75,18.0,774200,1.068492
1990-04-18,18.0,18.125001,18.0,18.125001,355800,1.075912
1990-04-19,18.0,18.125001,17.875001,18.125001,724300,1.075912
1990-04-20,18.0,18.0,17.000001,17.875001,559400,1.061072
1990-04-23,17.75,17.75,17.25,17.25,677500,1.023971
1990-04-24,16.875,17.125,16.875,17.125,3488700,1.032108
1990-04-25,17.000001,17.25,17.000001,17.25,3210800,1.039641
1990-04-26,17.25,17.25,16.875,17.000001,228500,1.0245739999999999
1990-04-27,17.000001,17.000001,16.875,16.875,130300,1.01704
1990-04-30,16.625,16.875,16.625,16.625,542100,1.001973
1990-05-01,16.750001,17.000001,16.625,16.875,408700,1.01704
1990-05-02,16.875,17.125,16.750001,17.125,191900,1.032108
1990-05-03,17.000001,17.5,17.000001,17.375001,565000,1.047175
1990-05-04,17.5,17.625001,17.375001,17.5,137400,1.0547090000000001
1990-05-07,17.5,17.75,17.5,17.625001,615400,1.062242
1990-05-08,17.5,17.625001,17.25,17.375001,526300,1.047175
1990-05-09,17.375001,17.625001,17.375001,17.5,448400,1.0547090000000001
1990-05-10,17.5,17.625001,17.5,17.5,357300,1.0547090000000001
1990-05-11,17.625001,17.875001,17.625001,17.875001,1164600,1.07731
1990-05-14,17.75,17.875001,17.75,17.875001,297300,1.07731
1990-05-15,17.75,17.75,17.5,17.75,730900,1.069776
1990-05-16,17.5,17.625001,17.375001,17.375001,107400,1.047175
1990-05-17,17.625001,17.625001,17.5,17.625001,311000,1.062242
1990-05-18,17.5,17.75,17.375001,17.625001,346100,1.062242
1990-05-21,17.75,17.875001,17.625001,17.75,609800,1.069776
1990-05-22,17.75,17.75,17.625001,17.625001,1180900,1.062242
1990-05-23,17.75,17.75,17.5,17.5,496300,1.0547090000000001
1990-05-24,17.5,17.75,17.5,17.625001,310500,1.062242
1990-05-25,17.5,17.625001,17.125,17.125,3037200,1.032108
1990-05-29,17.375001,17.375001,17.000001,17.000001,365000,1.0245739999999999
1990-05-30,17.000001,17.000001,16.750001,16.875,450000,1.01704
1990-05-31,16.875,17.000001,16.750001,16.750001,2104200,1.009507
1990-06-01,16.875,17.125,16.750001,17.000001,2298100,1.0245739999999999
1990-06-04,17.000001,17.375001,17.000001,17.25,892300,1.039641
1990-06-05,17.25,17.75,17.25,17.75,483000,1.069776
1990-06-06,17.75,18.0,17.5,18.0,924300,1.084843
1990-06-07,18.0,18.0,17.875001,18.0,1756600,1.084843
1990-06-08,17.875001,18.0,17.75,17.75,1779500,1.069776
1990-06-11,17.75,17.75,17.5,17.75,123700,1.069776
1990-06-12,17.625001,17.875001,17.625001,17.875001,2426900,1.07731
1990-06-13,17.875001,18.0,17.75,18.0,499800,1.084843
1990-06-14,17.875001,18.0,17.875001,17.875001,174100,1.07731
1990-06-15,17.75,17.875001,17.75,17.875001,940600,1.07731
1990-06-18,17.875001,17.875001,17.75,17.75,820500,1.069776
1990-06-19,17.75,18.0,17.75,18.0,341000,1.084843
1990-06-20,18.125001,18.125001,17.875001,18.125001,83500,1.0923770000000002
1990-06-21,18.0,18.0,17.75,18.0,302900,1.084843
1990-06-22,17.875001,18.0,17.75,18.0,1735200,1.084843
1990-06-25,17.875001,17.875001,17.375001,17.5,425000,1.0547090000000001
1990-06-26,17.5,17.75,17.5,17.5,1554500,1.0547090000000001
1990-06-27,17.625001,17.625001,17.5,17.625001,227500,1.062242
1990-06-28,17.625001,17.75,17.375001,17.5,1222100,1.0547090000000001
1990-06-29,17.5,17.75,17.5,17.625001,208200,1.062242
1990-07-02,17.625001,18.0,17.5,17.875001,540000,1.07731
1990-07-03,18.0,18.0,17.625001,17.75,172000,1.069776
1990-07-05,17.875001,18.0,17.75,18.0,337000,1.084843
1990-07-06,17.875001,18.0,17.875001,18.0,394000,1.084843
1990-07-09,17.875001,17.875001,17.625001,17.75,470800,1.069776
1990-07-10,17.625001,17.875001,17.625001,17.875001,253000,1.07731
1990-07-11,17.875001,17.875001,17.5,17.5,575700,1.0547090000000001
1990-07-12,17.625001,17.75,17.5,17.75,137400,1.069776
1990-07-13,17.75,17.75,17.625001,17.75,163900,1.069776
