Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,60.0,61.249919999999996,59.875038,61.249919999999996,326400,2.333499
1990-01-03,61.0,62.249919999999996,61.0,62.249919999999996,422400,2.371597
1990-01-04,62.375038,62.5,62.0,62.124962,630400,2.366837
1990-01-05,62.249919999999996,62.249919999999996,61.249919999999996,61.624962,297600,2.347788
1990-01-08,61.5,63.0,61.375038,62.875038,137600,2.395413
1990-01-09,62.875038,63.124962,60.750080000000004,60.750080000000004,358400,2.3144560000000003
1990-01-10,60.5,60.750080000000004,60.0,60.624962,188800,2.3096900000000002
1990-01-11,60.624962,60.750080000000004,60.0,60.5,262400,2.304929
1990-01-12,60.249919999999996,60.249919999999996,59.0,59.249919999999996,548800,2.257303
1990-01-15,58.750080000000004,58.750080000000004,57.750080000000004,57.750080000000004,516800,2.2001619999999997
1990-01-16,57.249919999999996,57.375038,56.750080000000004,57.375038,532800,2.185874
1990-01-17,57.5,57.5,56.750080000000004,56.875038,1107200,2.166825
1990-01-18,56.750080000000004,56.750080000000004,55.375038,55.875038,376000,2.128727
1990-01-19,55.875038,56.124962,54.750080000000004,54.750080000000004,862400,2.085868
1990-01-22,54.875038,54.875038,52.0,52.0,520000,1.981096
1990-01-23,51.875038,53.0,50.375038,52.124962,1144000,1.985857
1990-01-24,51.5,51.5,50.5,51.24992,440000,1.952519
1990-01-25,51.375038,52.750080000000004,50.0,50.24992,788800,1.914421
1990-01-26,50.24992,50.875038,48.624962,50.124962,539200,1.909661
1990-01-29,50.24992,50.24992,49.0,49.624962,256000,1.890612
1990-01-30,49.5,49.5,48.24992,48.624962,534400,1.852514
1990-01-31,48.75008,51.24992,48.624962,51.0,526400,1.942998
1990-02-01,51.0,51.24992,50.624962,51.0,225600,1.942998
1990-02-02,50.624962,52.5,50.375038,52.0,601600,1.981096
1990-02-05,52.0,52.0,51.24992,51.75008,203200,1.9715740000000002
1990-02-06,51.5,51.5,50.5,50.75008,208000,1.9334759999999998
1990-02-07,50.5,51.875038,50.24992,51.5,496000,1.962047
1990-02-08,51.5,51.875038,50.75008,50.75008,2708800,1.9334759999999998
1990-02-09,50.875038,52.0,50.75008,51.75008,1139200,1.9715740000000002
1990-02-12,51.5,51.75008,50.75008,51.0,395200,1.942998
1990-02-13,50.75008,50.875038,50.5,50.624962,211200,1.92871
1990-02-14,50.5,50.875038,50.5,50.75008,371200,1.9334759999999998
1990-02-15,50.5,50.875038,50.5,50.875038,208000,1.938237
1990-02-16,50.875038,50.875038,50.375038,50.375038,324800,1.9191880000000001
1990-02-20,50.24992,50.24992,48.24992,48.75008,281600,1.8572799999999998
1990-02-21,48.875038,50.124962,48.5,50.124962,420800,1.909661
1990-02-22,50.0,50.124962,49.24992,49.24992,148800,1.876323
