Date,Open,High,Low,Close,Volume,Adj Close
1999-01-22,21.0,23.43744,18.62496,19.68744,67867200,1.547488
1999-01-25,21.24996,21.99996,19.68744,21.75,12762000,1.709611
1999-01-26,21.99996,22.437479,19.74996,20.06256,8580000,1.576973
1999-01-27,20.12496,20.625,18.99996,20.00004,6109200,1.572059
1999-01-28,20.00004,20.12496,19.812479,19.937521,5688000,1.567145
1999-01-29,19.937521,20.00004,18.99996,18.99996,6100800,1.49345
1999-02-01,18.99996,19.5,18.99996,19.37496,3867600,1.522926
1999-02-02,18.99996,19.5,17.312521,17.87496,6602400,1.405022
1999-02-03,17.625,18.50004,17.49996,18.24996,1878000,1.434498
1999-02-04,18.50004,19.74996,18.24996,19.25004,4548000,1.513107
1999-02-05,19.562521,20.00004,19.062479,19.812479,3421200,1.557316
1999-02-08,19.937521,20.00004,19.125,19.125,3852000,1.5032780000000001
1999-02-09,19.5,19.62504,18.12504,18.375,2174400,1.444326
1999-02-10,18.375,18.87504,17.87496,18.18744,3705600,1.429584
1999-02-11,18.24996,20.49996,18.24996,19.74996,3306000,1.552402
1999-02-12,20.00004,21.0,20.00004,20.87496,2743200,1.64083
1999-02-16,21.24996,22.125,18.87504,21.0,5275200,1.650659
1999-02-17,20.49996,20.75004,19.5,19.875,1693200,1.56223
1999-02-18,20.49996,20.75004,19.62504,20.187479,1767600,1.586792
1999-02-19,20.00004,21.24996,19.74996,20.87496,1884000,1.64083
1999-02-22,21.24996,21.50004,19.875,21.0,5131200,1.650659
1999-02-23,21.50004,22.437479,20.25,21.99996,3452400,1.7292580000000002
1999-02-24,25.250041,26.25,23.187479,23.75004,15319200,1.8668189999999998
1999-02-25,24.75,25.5,22.62504,23.00004,3728400,1.807867
1999-02-26,23.25,24.0,21.75,21.93744,4315200,1.7243439999999999
1999-03-01,22.5,23.00004,21.0,22.062479,2304000,1.734172
1999-03-02,21.99996,22.125,21.50004,21.87504,1381200,1.719439
1999-03-03,21.99996,21.99996,20.25,20.37504,1534800,1.601535
1999-03-04,21.375,21.50004,19.74996,19.937521,1434000,1.567145
1999-03-05,20.12496,21.12504,20.12496,21.062521,1969200,1.655573
1999-03-08,20.49996,21.99996,20.12496,21.375,1897200,1.680135
1999-03-09,21.312479,22.37496,21.312479,22.062479,3579600,1.734172
1999-03-10,22.37496,22.37496,21.375,21.687479,5883600,1.704696
1999-03-11,21.312479,21.687479,20.75004,20.75004,1357200,1.631011
1999-03-12,20.87496,20.87496,20.00004,20.37504,2269200,1.601535
1999-03-15,20.87496,21.50004,20.75004,21.24996,2720400,1.670306
1999-03-16,21.375,21.62496,20.37504,20.562479,1978800,1.616268
1999-03-17,20.75004,21.12504,20.187479,20.687521,1284000,1.626097
1999-03-18,20.75004,21.24996,20.25,20.937479,1158000,1.6457439999999999
1999-03-19,20.87496,21.62496,20.87496,21.0,2632800,1.650659
1999-03-22,21.437521,21.50004,20.37504,20.37504,916800,1.601535
1999-03-23,20.49996,20.49996,18.75,19.125,4099200,1.5032780000000001
1999-03-24,18.99996,19.125,18.24996,18.99996,1521600,1.49345
1999-03-25,18.93744,20.00004,18.87504,19.25004,1008000,1.513107
1999-03-26,19.5,21.0,19.5,20.937479,2206800,1.6457439999999999
1999-03-29,21.56256,22.062479,21.18744,21.56256,1648800,1.694877
1999-03-30,21.62496,21.812521,19.62504,19.74996,1737600,1.552402
1999-03-31,20.37504,21.375,19.437479,21.12504,3840000,1.6604869999999998
1999-04-01,21.12504,21.24996,20.12496,20.49996,760800,1.6113540000000002
1999-04-05,20.25,20.75004,19.74996,19.875,2466000,1.56223
1999-04-06,20.06256,20.12496,18.99996,19.37496,1742400,1.522926
1999-04-07,19.5,21.12504,19.37496,21.0,2232000,1.650659
1999-04-08,21.12504,21.99996,20.87496,21.375,3253200,1.680135
1999-04-09,21.50004,21.50004,20.87496,21.0,1215600,1.650659
1999-04-12,20.75004,20.75004,19.74996,20.12496,832800,1.5818780000000001
1999-04-13,20.49996,20.49996,18.99996,19.31256,903600,1.5180209999999998
1999-04-14,19.25004,19.68744,18.75,18.75,1207200,1.473802
1999-04-15,19.25004,19.25004,18.75,19.25004,896400,1.513107
1999-04-16,19.125,20.187479,19.125,19.875,973200,1.56223
1999-04-19,20.12496,20.12496,18.75,18.99996,782400,1.49345
1999-04-20,18.99996,19.74996,18.437521,18.62496,1692000,1.4639739999999999
