Date,Open,High,Low,Close,Volume,Adj Close
1994-10-18,16.0,16.125,15.75,16.0,405200,1.922716
1994-10-19,16.125,17.5,16.125,17.375,242200,2.087949
1994-10-20,17.625,18.125,17.5,17.5,137200,2.1029709999999997
1994-10-21,17.5,17.625,17.125,17.25,66600,2.072928
1994-10-24,17.25,17.625,16.875,16.875,73400,2.0278650000000003
1994-10-25,16.75,17.25,16.5,17.125,63200,2.057907
1994-10-26,16.875,17.125,16.875,16.875,46200,2.045784
1994-10-27,16.875,17.125,16.875,16.875,33800,2.045784
1994-10-28,16.875,17.0,16.625,16.625,40000,2.015476
1994-10-31,16.75,16.875,16.625,16.625,32800,2.015476
1994-11-01,16.625,16.75,16.5,16.625,33000,2.015476
1994-11-02,16.625,16.75,16.125,16.5,73200,2.000322
1994-11-03,16.625,16.75,16.375,16.375,54800,1.985168
1994-11-04,16.375,16.5,16.0,16.0,65600,1.9397060000000002
1994-11-07,16.0,16.25,16.0,16.0,71200,1.9397060000000002
1994-11-08,16.0,16.25,16.0,16.25,103000,1.970014
1994-11-09,16.125,16.375,16.125,16.125,60000,1.9548599999999998
1994-11-10,16.0,16.375,15.625,15.75,74200,1.909398
1994-11-11,15.875,15.875,15.25,15.625,78400,1.8942439999999998
1994-11-14,15.5,15.875,15.25,15.75,63800,1.909398
1994-11-15,15.375,15.75,15.25,15.375,68200,1.863936
1994-11-16,15.375,15.625,15.25,15.5,83200,1.8790900000000001
1994-11-17,15.25,15.625,15.25,15.625,96400,1.8942439999999998
1994-11-18,15.5,15.5,15.25,15.25,110400,1.848782
1994-11-21,15.5,15.75,15.25,15.5,132600,1.8790900000000001
1994-11-22,15.375,15.625,15.375,15.5,90200,1.8790900000000001
1994-11-23,15.375,15.625,15.375,15.625,47000,1.8942439999999998
1994-11-25,15.25,15.625,15.25,15.625,32800,1.9126049999999999
1994-11-28,15.625,15.875,15.5,15.875,66400,1.943207
1994-11-29,15.875,16.0,15.75,15.75,46600,1.9279060000000001
1994-11-30,15.875,16.125,15.75,16.0,70400,1.9585080000000001
1994-12-01,16.0,16.125,15.875,16.125,66600,1.973809
1994-12-02,16.0,16.125,15.875,15.875,30600,1.943207
1994-12-05,15.75,16.0,15.75,15.875,44200,1.943207
1994-12-06,15.75,15.875,15.625,15.875,42000,1.943207
1994-12-07,15.625,15.875,15.625,15.875,33000,1.943207
1994-12-08,15.75,16.0,15.75,15.75,37400,1.9279060000000001
1994-12-09,15.625,15.875,15.625,15.75,70400,1.9279060000000001
1994-12-12,15.875,16.0,15.75,15.75,31000,1.9279060000000001
1994-12-13,15.875,15.875,15.75,15.75,67200,1.9279060000000001
1994-12-14,15.875,16.0,15.625,16.0,109400,1.9585080000000001
1994-12-15,16.0,16.25,15.875,16.0,42800,1.9585080000000001
1994-12-16,16.25,16.875,16.125,16.5,80800,2.019711
1994-12-19,16.625,17.0,16.5,16.75,76600,2.050313
1994-12-20,16.5,16.75,16.25,16.75,55800,2.050313
1994-12-21,16.625,16.875,16.625,16.75,53400,2.050313
1994-12-22,16.75,16.875,16.625,16.75,57600,2.050313
1994-12-23,16.75,16.875,16.625,16.625,44000,2.035012
1994-12-27,16.5,16.875,16.25,16.375,45600,2.0226599999999997
1994-12-28,16.5,16.625,16.375,16.625,40800,2.0535400000000004
